Reporting Area,MMWR Year,MMWR Week,"Ehrlichiosis/Anaplasmosis§, Ehrlichia chaffeensis, Current week","Ehrlichiosis/Anaplasmosis§, Ehrlichia chaffeensis, Current week, flag","Ehrlichiosis/Anaplasmosis§, Ehrlichia chaffeensis, Previous 52 weeks Med","Ehrlichiosis/Anaplasmosis§, Ehrlichia chaffeensis, Previous 52 weeks Med, flag","Ehrlichiosis/Anaplasmosis§, Ehrlichia chaffeensis, Previous 52 weeks Max","Ehrlichiosis/Anaplasmosis§, Ehrlichia chaffeensis, Previous 52 weeks Max, flag","Ehrlichiosis/Anaplasmosis§, Ehrlichia chaffeensis, Cum 2016","Ehrlichiosis/Anaplasmosis§, Ehrlichia chaffeensis, Cum 2016, flag","Ehrlichiosis/Anaplasmosis§, Ehrlichia chaffeensis, Cum 2015","Ehrlichiosis/Anaplasmosis§, Ehrlichia chaffeensis, Cum 2015, flag","Ehrlichiosis/Anaplasmosis§, Anaplasma phagocytophilum, Current week","Ehrlichiosis/Anaplasmosis§, Anaplasma phagocytophilum, Current week, flag","Ehrlichiosis/Anaplasmosis§, Anaplasma phagocytophilum, Previous 52 weeks Med","Ehrlichiosis/Anaplasmosis§, Anaplasma phagocytophilum, Previous 52 weeks Med, flag","Ehrlichiosis/Anaplasmosis§, Anaplasma phagocytophilum, Previous 52 weeks Max","Ehrlichiosis/Anaplasmosis§, Anaplasma phagocytophilum, Previous 52 weeks Max, flag","Ehrlichiosis/Anaplasmosis§, Anaplasma phagocytophilum, Cum 2016","Ehrlichiosis/Anaplasmosis§, Anaplasma phagocytophilum, Cum 2016, flag","Ehrlichiosis/Anaplasmosis§, Anaplasma phagocytophilum, Cum 2015","Ehrlichiosis/Anaplasmosis§, Anaplasma phagocytophilum, Cum 2015, flag","Ehrlichiosis/Anaplasmosis§, Undetermined, Current week","Ehrlichiosis/Anaplasmosis§, Undetermined, Current week, flag","Ehrlichiosis/Anaplasmosis§, Undetermined, Previous 52 weeks Med","Ehrlichiosis/Anaplasmosis§, Undetermined, Previous 52 weeks Med, flag","Ehrlichiosis/Anaplasmosis§, Undetermined, Previous 52 weeks Max","Ehrlichiosis/Anaplasmosis§, Undetermined, Previous 52 weeks Max, flag","Ehrlichiosis/Anaplasmosis§, Undetermined, Cum 2016","Ehrlichiosis/Anaplasmosis§, Undetermined, Cum 2016, flag","Ehrlichiosis/Anaplasmosis§, Undetermined, Cum 2015","Ehrlichiosis/Anaplasmosis§, Undetermined, Cum 2015, flag",Location 1,Location 2
OKLAHOMA,2016,9,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"OKLAHOMA
(35.468494, -97.521264)",
OHIO,2016,9,,-,0,,2,,,-,1,,,-,0,,0,,,-,1,,,-,0,,1,,,-,,-,"OHIO
(40.056807, -82.405897)",
WEST VIRGINIA,2016,9,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,"WEST VIRGINIA
(38.668501, -80.709421)",
NORTH DAKOTA,2016,9,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
NEW YORK,2016,9,1,,1,,34,,8,,,-,,-,12,,50,,10,,4,,,-,0,,3,,,-,,-,"NEW YORK
(42.826892, -75.544286)",
NEBRASKA,2016,9,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"NEBRASKA
(41.640503, -99.367122)",
VERMONT,2016,9,,-,0,,2,,1,,,-,,-,2,,12,,2,,2,,,-,0,,1,,,-,,-,"VERMONT
(43.622479, -72.51927)",
MICHIGAN,2016,9,,-,0,,2,,,-,1,,,-,0,,1,,1,,2,,,-,0,,0,,,-,,-,"MICHIGAN
(44.66399, -84.711206)",
GUAM,2016,9,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"GUAM
(13.3532, 144.653198)",
WASHINGTON,2016,9,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"WASHINGTON
(47.517368, -120.467672)",
FLORIDA,2016,9,,-,0,,3,,2,,1,,,-,0,,2,,2,,1,,,-,0,,1,,,-,,-,"FLORIDA
(28.915325, -81.922409)",
CONNECTICUT,2016,9,,-,0,,0,,,-,,-,,-,1,,20,,,-,1,,,-,0,,0,,,-,,-,"CONNECTICUT
(41.544654, -72.651713)",
ALABAMA,2016,9,1,,0,,3,,1,,,-,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,"ALABAMA
(32.839182, -86.631125)",
DELAWARE,2016,9,,-,0,,3,,,-,,-,,-,0,,1,,1,,,-,,-,0,,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
CALIFORNIA,2016,9,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,"CALIFORNIA
(37.640735, -121.002435)",
VIRGINIA,2016,9,,-,1,,9,,,-,2,,,-,0,,3,,,-,1,,,-,0,,2,,,-,,-,"VIRGINIA
(37.542699, -78.45822)",
ARKANSAS,2016,9,1,,2,,16,,3,,2,,1,,0,,2,,1,,,-,,-,0,,0,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
RHODE ISLAND,2016,9,,-,0,,4,,1,,3,,,-,1,,10,,3,,2,,,-,0,,0,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
ARIZONA,2016,9,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,"ARIZONA
(34.869712, -111.760902)",
NEVADA,2016,9,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NEVADA
(39.491833, -117.070159)",
SOUTH DAKOTA,2016,9,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"SOUTH DAKOTA
(44.35371, -100.373709)",
MARYLAND,2016,9,,-,0,,7,,2,,1,,,-,0,,1,,,-,1,,,-,0,,1,,,-,,-,"MARYLAND
(39.290443, -76.612333)",
WISCONSIN,2016,9,,-,0,,3,,,-,,-,,-,7,,46,,,-,2,,,-,0,,4,,,-,6,,"WISCONSIN
(44.395526, -89.834513)",
WYOMING,2016,9,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"WYOMING
(43.23558, -108.110518)",
MONTANA,2016,9,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"MONTANA
(47.062617, -109.430168)",
MISSISSIPPI,2016,9,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,"MISSISSIPPI
(32.738663, -89.537312)",
SOUTH CAROLINA,2016,9,,-,0,,1,,,-,1,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"SOUTH CAROLINA
(34.009286, -81.037094)",
NEW JERSEY,2016,9,,-,0,,5,,,-,5,,,-,1,,12,,1,,5,,,-,0,,2,,,-,,-,"NEW JERSEY
(40.104655, -74.386686)",
LOUISIANA,2016,9,,-,0,,1,,1,,,-,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,"LOUISIANA
(31.2931, -92.463284)",
GEORGIA,2016,9,,-,0,,4,,,-,,-,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,"GEORGIA
(32.836038, -83.631709)",
ILLINOIS,2016,9,,-,0,,5,,,-,3,,,-,0,,2,,,-,1,,,-,0,,1,,,-,1,,"ILLINOIS
(40.477092, -88.993221)",
MISSOURI,2016,9,,-,2,,17,,1,,1,,,-,0,,2,,1,,1,,,-,0,,3,,,-,,-,"MISSOURI
(38.636168, -92.566292)",
TEXAS,2016,9,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"TEXAS
(31.827233, -99.423022)",
NEW HAMPSHIRE,2016,9,,-,0,,2,,1,,1,,,-,0,,8,,,-,2,,,-,0,,0,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
OREGON,2016,9,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"OREGON
(44.567912, -120.156945)",
UNITED STATES,2016,10,1,,13,,70,,25,,34,,3,,44,,198,,40,,38,,,-,2,,10,,3,,8,,,
NEW ENGLAND,2016,10,,-,1,,7,,3,,6,,,-,18,,99,,16,,12,,,-,0,,2,,1,,,-,,
MID. ATLANTIC,2016,10,1,,2,,34,,9,,7,,3,,15,,61,,17,,10,,,-,0,,3,,2,,,-,,
NEW YORK CITY,2016,10,,-,0,,2,,,-,2,,,-,1,,6,,3,,1,,,-,0,,1,,2,,,-,"NEW YORK CITY
",
E.N. CENTRAL,2016,10,,-,1,,8,,,-,3,,,-,7,,48,,1,,8,,,-,1,,6,,,-,7,,,
W.N. CENTRAL,2016,10,,-,2,,20,,1,,1,,,-,0,,3,,1,,1,,,-,0,,3,,,-,,-,,
S. ATLANTIC,2016,10,,-,2,,23,,6,,14,,,-,1,,7,,4,,7,,,-,0,,3,,,-,1,,,
DIST. OF COL.,2016,10,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"DIST. OF COL.
",
E.S. CENTRAL,2016,10,,-,1,,14,,2,,1,,,-,0,,3,,,-,,-,,-,0,,5,,,-,,-,,
W.S. CENTRAL,2016,10,,-,2,,17,,4,,2,,,-,0,,2,,1,,,-,,-,0,,1,,,-,,-,,
MOUNTAIN,2016,10,,-,0,,0,,,-,,-,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,,
PACIFIC,2016,10,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,
AMER. SAMOA,2016,10,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"AMER. SAMOA
",
C.N.M.I.,2016,10,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"C.N.M.I.
",
VIRGIN ISL.,2016,10,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISL.
",
LOUISIANA,2016,10,,-,0,,1,,1,,,-,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,"LOUISIANA
(31.2931, -92.463284)",
SOUTH CAROLINA,2016,10,,-,0,,1,,,-,1,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"SOUTH CAROLINA
(34.009286, -81.037094)",
MINNESOTA,2016,10,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MINNESOTA
(44.943719, -93.094281)",
WASHINGTON,2016,10,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"WASHINGTON
(47.517368, -120.467672)",
MICHIGAN,2016,10,,-,0,,2,,,-,1,,,-,0,,1,,1,,4,,,-,0,,0,,,-,,-,"MICHIGAN
(44.66399, -84.711206)",
NORTH DAKOTA,2016,10,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
MASSACHUSETTS,2016,10,,-,0,,2,,,-,,-,,-,9,,61,,7,,5,,,-,0,,2,,,-,,-,"MASSACHUSETTS
(42.268546, -72.085064)",
WEST VIRGINIA,2016,10,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,"WEST VIRGINIA
(38.668501, -80.709421)",
WISCONSIN,2016,10,,-,0,,3,,,-,,-,,-,7,,47,,,-,2,,,-,0,,6,,,-,6,,"WISCONSIN
(44.395526, -89.834513)",
MISSISSIPPI,2016,10,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,"MISSISSIPPI
(32.738663, -89.537312)",
ARKANSAS,2016,10,,-,2,,16,,3,,2,,,-,0,,2,,1,,,-,,-,0,,0,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
MAINE,2016,10,,-,0,,1,,,-,1,,,-,2,,16,,3,,,-,,-,0,,1,,1,,,-,"MAINE
(45.252223, -68.986647)",
SOUTH DAKOTA,2016,10,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"SOUTH DAKOTA
(44.35371, -100.373709)",
KENTUCKY,2016,10,,-,0,,6,,1,,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"KENTUCKY
(37.64591, -84.774043)",
IDAHO,2016,10,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"IDAHO
(43.680635, -114.364237)",
VIRGINIA,2016,10,,-,1,,9,,,-,2,,,-,0,,3,,,-,1,,,-,0,,2,,,-,1,,"VIRGINIA
(37.542699, -78.45822)",
WYOMING,2016,10,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"WYOMING
(43.23558, -108.110518)",
NEW MEXICO,2016,10,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"NEW MEXICO
(34.520396, -106.244402)",
TENNESSEE,2016,10,,-,0,,7,,,-,1,,,-,0,,2,,,-,,-,,-,0,,5,,,-,,-,"TENNESSEE
(35.681402, -85.774444)",
HAWAII,2016,10,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"HAWAII
(21.30992, -157.858158)",
COLORADO,2016,10,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"COLORADO
(38.841772, -106.132562)",
OHIO,2016,10,,-,0,,2,,,-,1,,,-,0,,0,,,-,1,,,-,0,,1,,,-,,-,"OHIO
(40.056807, -82.405897)",
ALASKA,2016,10,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"ALASKA
(64.836661, -147.738891)",
VERMONT,2016,10,,-,0,,2,,1,,,-,,-,2,,12,,2,,2,,,-,0,,1,,,-,,-,"VERMONT
(43.622479, -72.51927)",
DELAWARE,2016,10,,-,0,,3,,,-,,-,,-,0,,1,,1,,,-,,-,0,,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
MONTANA,2016,10,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"MONTANA
(47.062617, -109.430168)",
NEW YORK,2016,10,1,,1,,34,,9,,,-,3,,12,,50,,13,,4,,,-,0,,3,,,-,,-,"NEW YORK
(42.826892, -75.544286)",
GEORGIA,2016,10,,-,0,,4,,,-,,-,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,"GEORGIA
(32.836038, -83.631709)",
ARIZONA,2016,10,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,"ARIZONA
(34.869712, -111.760902)",
UTAH,2016,10,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"UTAH
(39.359772, -111.584173)",
RHODE ISLAND,2016,10,,-,0,,4,,1,,4,,,-,2,,10,,4,,2,,,-,0,,0,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
TEXAS,2016,10,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"TEXAS
(31.827233, -99.423022)",
NEVADA,2016,10,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NEVADA
(39.491833, -117.070159)",
ALABAMA,2016,10,,-,0,,3,,1,,,-,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,"ALABAMA
(32.839182, -86.631125)",
CALIFORNIA,2016,10,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,"CALIFORNIA
(37.640735, -121.002435)",
FLORIDA,2016,10,,-,0,,3,,2,,1,,,-,0,,2,,2,,1,,,-,0,,1,,,-,,-,"FLORIDA
(28.915325, -81.922409)",
PENNSYLVANIA,2016,10,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"PENNSYLVANIA
(40.789676, -77.858055)",
ILLINOIS,2016,10,,-,0,,5,,,-,1,,,-,0,,2,,,-,1,,,-,0,,1,,,-,1,,"ILLINOIS
(40.477092, -88.993221)",
CONNECTICUT,2016,10,,-,0,,0,,,-,,-,,-,1,,20,,,-,1,,,-,0,,0,,,-,,-,"CONNECTICUT
(41.544654, -72.651713)",
PUERTO RICO,2016,10,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"PUERTO RICO
(18.215692, -66.414655)",
NEW JERSEY,2016,10,,-,0,,5,,,-,5,,,-,0,,12,,1,,5,,,-,0,,2,,,-,,-,"NEW JERSEY
(40.104655, -74.386686)",
OKLAHOMA,2016,10,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"OKLAHOMA
(35.468494, -97.521264)",
MISSOURI,2016,10,,-,2,,17,,1,,1,,,-,0,,2,,1,,1,,,-,0,,3,,,-,,-,"MISSOURI
(38.636168, -92.566292)",
MARYLAND,2016,10,,-,0,,7,,3,,1,,,-,0,,1,,,-,1,,,-,0,,1,,,-,,-,"MARYLAND
(39.290443, -76.612333)",
OREGON,2016,10,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"OREGON
(44.567912, -120.156945)",
NORTH CAROLINA,2016,10,,-,0,,22,,1,,9,,,-,0,,5,,1,,4,,,-,0,,0,,,-,,-,"NORTH CAROLINA
(35.47995, -79.180571)",
INDIANA,2016,10,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,"INDIANA
(39.76845, -86.156212)",
NEBRASKA,2016,10,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"NEBRASKA
(41.640503, -99.367122)",
NEW HAMPSHIRE,2016,10,,-,0,,2,,1,,1,,,-,0,,9,,,-,2,,,-,0,,0,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
IOWA,2016,10,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"IOWA
(42.46942, -93.815856)",
KANSAS,2016,10,,-,0,,5,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"KANSAS
(38.345528, -98.201847)",
GUAM,2016,10,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"GUAM
(13.3532, 144.653198)",
UNITED STATES,2016,11,3,,13,,70,,29,,37,,2,,44,,198,,42,,43,,,-,2,,12,,3,,9,,,
NEW ENGLAND,2016,11,,-,1,,7,,3,,6,,1,,18,,100,,17,,14,,,-,0,,2,,1,,,-,,
MID. ATLANTIC,2016,11,3,,2,,36,,12,,7,,1,,15,,61,,18,,12,,,-,0,,3,,2,,,-,,
NEW YORK CITY,2016,11,,-,0,,2,,,-,2,,,-,1,,6,,3,,1,,,-,0,,1,,2,,,-,"NEW YORK CITY
",
E.N. CENTRAL,2016,11,,-,1,,8,,,-,3,,,-,7,,48,,1,,9,,,-,1,,6,,,-,8,,,
W.N. CENTRAL,2016,11,,-,2,,20,,1,,2,,,-,0,,3,,1,,1,,,-,0,,3,,,-,,-,,
S. ATLANTIC,2016,11,,-,2,,23,,6,,15,,,-,0,,7,,4,,7,,,-,0,,3,,,-,1,,,
DIST. OF COL.,2016,11,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"DIST. OF COL.
",
E.S. CENTRAL,2016,11,,-,1,,14,,2,,1,,,-,0,,3,,,-,,-,,-,0,,6,,,-,,-,,
W.S. CENTRAL,2016,11,,-,2,,17,,5,,3,,,-,0,,2,,1,,,-,,-,0,,1,,,-,,-,,
MOUNTAIN,2016,11,,-,0,,0,,,-,,-,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,,
PACIFIC,2016,11,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,
AMER. SAMOA,2016,11,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"AMER. SAMOA
",
C.N.M.I.,2016,11,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"C.N.M.I.
",
VIRGIN ISL.,2016,11,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISL.
",
ILLINOIS,2016,11,,-,0,,5,,,-,1,,,-,0,,2,,,-,2,,,-,0,,1,,,-,1,,"ILLINOIS
(40.477092, -88.993221)",
IOWA,2016,11,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"IOWA
(42.46942, -93.815856)",
ALABAMA,2016,11,,-,0,,3,,1,,,-,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,"ALABAMA
(32.839182, -86.631125)",
OHIO,2016,11,,-,0,,2,,,-,1,,,-,0,,0,,,-,1,,,-,0,,1,,,-,,-,"OHIO
(40.056807, -82.405897)",
SOUTH CAROLINA,2016,11,,-,0,,1,,,-,1,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"SOUTH CAROLINA
(34.009286, -81.037094)",
NEW HAMPSHIRE,2016,11,,-,0,,2,,1,,1,,,-,0,,10,,,-,2,,,-,0,,0,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
MINNESOTA,2016,11,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MINNESOTA
(44.943719, -93.094281)",
GEORGIA,2016,11,,-,0,,4,,,-,,-,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,"GEORGIA
(32.836038, -83.631709)",
DELAWARE,2016,11,,-,0,,3,,,-,,-,,-,0,,1,,1,,,-,,-,0,,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
ALASKA,2016,11,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"ALASKA
(64.836661, -147.738891)",
MAINE,2016,11,,-,0,,1,,,-,1,,,-,2,,16,,3,,1,,,-,0,,1,,1,,,-,"MAINE
(45.252223, -68.986647)",
HAWAII,2016,11,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"HAWAII
(21.30992, -157.858158)",
COLORADO,2016,11,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"COLORADO
(38.841772, -106.132562)",
CALIFORNIA,2016,11,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,"CALIFORNIA
(37.640735, -121.002435)",
CONNECTICUT,2016,11,,-,0,,0,,,-,,-,,-,1,,20,,,-,1,,,-,0,,0,,,-,,-,"CONNECTICUT
(41.544654, -72.651713)",
TENNESSEE,2016,11,,-,0,,7,,,-,1,,,-,0,,2,,,-,,-,,-,0,,6,,,-,,-,"TENNESSEE
(35.681402, -85.774444)",
GUAM,2016,11,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"GUAM
(13.3532, 144.653198)",
WEST VIRGINIA,2016,11,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,"WEST VIRGINIA
(38.668501, -80.709421)",
WASHINGTON,2016,11,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"WASHINGTON
(47.517368, -120.467672)",
RHODE ISLAND,2016,11,,-,0,,4,,1,,4,,,-,2,,10,,4,,2,,,-,0,,0,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
NEW YORK,2016,11,3,,1,,36,,12,,,-,1,,12,,53,,14,,5,,,-,0,,3,,,-,,-,"NEW YORK
(42.826892, -75.544286)",
KENTUCKY,2016,11,,-,0,,6,,1,,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"KENTUCKY
(37.64591, -84.774043)",
TEXAS,2016,11,,-,0,,1,,1,,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"TEXAS
(31.827233, -99.423022)",
NEVADA,2016,11,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NEVADA
(39.491833, -117.070159)",
PUERTO RICO,2016,11,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"PUERTO RICO
(18.215692, -66.414655)",
OREGON,2016,11,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"OREGON
(44.567912, -120.156945)",
WYOMING,2016,11,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"WYOMING
(43.23558, -108.110518)",
MISSOURI,2016,11,,-,2,,17,,1,,2,,,-,0,,2,,1,,1,,,-,0,,3,,,-,,-,"MISSOURI
(38.636168, -92.566292)",
SOUTH DAKOTA,2016,11,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"SOUTH DAKOTA
(44.35371, -100.373709)",
NEW JERSEY,2016,11,,-,0,,5,,,-,5,,,-,0,,12,,1,,6,,,-,0,,2,,,-,,-,"NEW JERSEY
(40.104655, -74.386686)",
PENNSYLVANIA,2016,11,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"PENNSYLVANIA
(40.789676, -77.858055)",
ARKANSAS,2016,11,,-,2,,16,,3,,3,,,-,0,,2,,1,,,-,,-,0,,0,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
LOUISIANA,2016,11,,-,0,,1,,1,,,-,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,"LOUISIANA
(31.2931, -92.463284)",
MASSACHUSETTS,2016,11,,-,0,,2,,,-,,-,,-,9,,61,,7,,6,,,-,0,,2,,,-,,-,"MASSACHUSETTS
(42.268546, -72.085064)",
OKLAHOMA,2016,11,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"OKLAHOMA
(35.468494, -97.521264)",
KANSAS,2016,11,,-,0,,5,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"KANSAS
(38.345528, -98.201847)",
VERMONT,2016,11,,-,0,,2,,1,,,-,1,,2,,12,,3,,2,,,-,0,,1,,,-,,-,"VERMONT
(43.622479, -72.51927)",
VIRGINIA,2016,11,,-,1,,9,,,-,2,,,-,0,,3,,,-,1,,,-,0,,2,,,-,1,,"VIRGINIA
(37.542699, -78.45822)",
UTAH,2016,11,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"UTAH
(39.359772, -111.584173)",
MISSISSIPPI,2016,11,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,"MISSISSIPPI
(32.738663, -89.537312)",
NEBRASKA,2016,11,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"NEBRASKA
(41.640503, -99.367122)",
NEW MEXICO,2016,11,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,"NEW MEXICO
(34.520396, -106.244402)",
FLORIDA,2016,11,,-,0,,3,,1,,1,,,-,0,,2,,2,,1,,,-,0,,1,,,-,,-,"FLORIDA
(28.915325, -81.922409)",
MONTANA,2016,11,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"MONTANA
(47.062617, -109.430168)",
MICHIGAN,2016,11,,-,0,,2,,,-,1,,,-,0,,1,,1,,4,,,-,0,,0,,,-,,-,"MICHIGAN
(44.66399, -84.711206)",
NORTH CAROLINA,2016,11,,-,0,,22,,2,,9,,,-,0,,5,,1,,4,,,-,0,,0,,,-,,-,"NORTH CAROLINA
(35.47995, -79.180571)",
