Reporting Area,MMWRYear,MMWRWeek,"Cryptosporidiosis, Current week","Cryptosporidiosis, Current week, flag","Cryptosporidiosis, Previous 52 weeks Med","Cryptosporidiosis, Previous 52 weeks Med, flag","Cryptosporidiosis, Previous 52 weeks Max","Cryptosporidiosis, Previous 52 weeks Max, flag","Cryptosporidiosis, Cum 2014","Cryptosporidiosis, Cum 2014, flag","Cryptosporidiosis, Cum 2013","Cryptosporidiosis, Cum 2013, flag","Dengue Fever†, Current week","Dengue Fever†, Current week, flag","Dengue Fever†, Previous 52 weeks Med","Dengue Fever†, Previous 52 weeks Med, flag","Dengue Fever†, Previous 52 weeks Max","Dengue Fever†, Previous 52 weeks Max, flag","Dengue Fever†, Cum 2014","Dengue Fever†, Cum 2014, flag","Dengue Fever†, Cum 2013","Dengue Fever†, Cum 2013, flag","Dengue Hemorrhagic Fever§, Current week","Dengue Hemorrhagic Fever§, Current week, flag","Dengue Hemorrhagic Fever§, Previous 52 weeks Med","Dengue Hemorrhagic Fever§, Previous 52 weeks Med, flag","Dengue Hemorrhagic Fever§, Previous 52 weeks Max","Dengue Hemorrhagic Fever§, Previous 52 weeks Max, flag","Dengue Hemorrhagic Fever§, Cum 2014","Dengue Hemorrhagic Fever§, Cum 2014, flag","Dengue Hemorrhagic Fever§, Cum 2013","Dengue Hemorrhagic Fever§, Cum 2013, flag",Location 1,Location 2
KENTUCKY,2014,13,,-,1,,5,,11,,11,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"KENTUCKY
(37.645973909000475, -84.77496612599964)",
NORTH CAROLINA,2014,13,4,,0,,28,,48,,42,,,-,0,,2,,,-,4,,,-,0,,0,,,-,,-,"NORTH CAROLINA
(35.46622388600048, -79.15924924699965)",
INDIANA,2014,13,,-,2,,7,,13,,32,,,-,0,,1,,,-,3,,,-,0,,0,,,-,,-,"INDIANA
(39.76691364600049, -86.14995579899966)",
NEW YORK CITY,2014,13,2,,2,,6,,20,,10,,,-,1,,9,,1,,21,,,-,0,,1,,,-,,-,"NEW YORK CITY
(40.71426755700048, -74.00596858999967)",
NEW JERSEY,2014,13,,-,0,,5,,3,,10,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NEW JERSEY
(40.1305700530005, -74.27368565099965)",
NEW MEXICO,2014,13,,-,1,,3,,12,,7,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NEW MEXICO
(34.52088247800049, -106.24057768899968)",
GEORGIA,2014,13,,-,4,,16,,51,,70,,,-,0,,2,,,-,1,,,-,0,,0,,,-,,-,"GEORGIA
(32.83968004200045, -83.62757601199968)",
WASHINGTON,2014,13,1,,1,,13,,5,,10,,,-,0,,2,,1,,2,,,-,0,,0,,,-,,-,"WASHINGTON
(47.522287905000496, -120.47002746299972)",
NEW YORK,2014,13,4,,4,,16,,31,,31,,,-,0,,3,,,-,16,,,-,0,,1,,,-,,-,"NEW YORK
(42.82700023900048, -75.54396639699968)",
DIST. OF COL.,2014,13,,N,0,,0,,,N,,N,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"DIST. OF COL.
(39.52368635500045, -99.11415045099966)",
NORTH DAKOTA,2014,13,,-,1,,7,,6,,5,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"NORTH DAKOTA
(47.47531738700047, -100.11842599699969)",
NEVADA,2014,13,,-,0,,2,,1,,4,,,-,0,,1,,1,,,-,,-,0,,0,,,-,,-,"NEVADA
(39.49324126500045, -117.07183978499972)",
VERMONT,2014,13,,-,0,,2,,2,,5,,,-,0,,2,,2,,1,,,-,0,,0,,,-,,-,"VERMONT
(43.62538292400046, -72.51763944499965)",
WYOMING,2014,13,,-,0,,25,,1,,1,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"WYOMING
(43.23554147100049, -108.10982744299969)",
ARIZONA,2014,13,,-,1,,6,,12,,7,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"ARIZONA
(34.865973091000455, -111.76380949799972)",
PUERTO RICO,2014,13,,N,0,,0,,,N,,N,,-,72,,424,,123,,2327,,,-,0,,5,,1,,13,,"PUERTO RICO
(26.649497232000442, -98.34556876399967)",
TENNESSEE,2014,13,1,,1,,6,,19,,13,,,-,0,,2,,,-,2,,,-,0,,0,,,-,,-,"TENNESSEE
(35.680943063000484, -85.77448642199965)",
VIRGIN ISL.,2014,13,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISL.
(39.52368635500045, -99.11415045099966)",
MAINE,2014,13,1,,0,,4,,12,,4,,,-,0,,0,,,-,1,,,-,0,,0,,,-,,-,"MAINE
(45.254228663000504, -68.98502952999962)",
UNITED STATES,2014,14,46,,108,,451,,1059,,1304,,,-,11,,48,,32,,159,,,-,0,,2,,,-,1,,,
NEW ENGLAND,2014,14,,-,5,,14,,46,,49,,,-,0,,3,,3,,8,,,-,0,,0,,,-,,-,,
MID. ATLANTIC,2014,14,8,,12,,42,,123,,130,,,-,3,,12,,11,,50,,,-,0,,1,,,-,,-,,
E.N. CENTRAL,2014,14,13,,22,,64,,198,,299,,,-,1,,6,,5,,20,,,-,0,,0,,,-,,-,,
W.N. CENTRAL,2014,14,1,,17,,172,,103,,165,,,-,1,,3,,2,,7,,,-,0,,1,,,-,1,,,
S. ATLANTIC,2014,14,9,,20,,58,,276,,275,,,-,2,,16,,8,,45,,,-,0,,1,,,-,,-,,
E.S. CENTRAL,2014,14,3,,6,,19,,61,,63,,,-,0,,2,,,-,4,,,-,0,,0,,,-,,-,,
W.S. CENTRAL,2014,14,3,,12,,44,,91,,124,,,-,1,,11,,1,,4,,,-,0,,0,,,-,,-,,
MOUNTAIN,2014,14,1,,9,,54,,61,,94,,,-,0,,1,,1,,1,,,-,0,,0,,,-,,-,,
PACIFIC,2014,14,8,,11,,75,,100,,105,,,-,1,,8,,1,,20,,,-,0,,0,,,-,,-,,
VIRGINIA,2014,14,1,,3,,9,,32,,27,,,-,0,,3,,5,,5,,,-,0,,1,,,-,,-,"VIRGINIA
(37.54268075100049, -78.45788924199968)",
PENNSYLVANIA,2014,14,4,,6,,30,,65,,74,,,-,0,,3,,5,,10,,,-,0,,0,,,-,,-,"PENNSYLVANIA
(40.79373106100047, -77.86069775999965)",
MARYLAND,2014,14,1,,1,,4,,14,,13,,,-,0,,2,,3,,2,,,-,0,,0,,,-,,-,"MARYLAND
(39.2905806980005, -76.60925970899967)",
WYOMING,2014,14,,-,0,,25,,1,,1,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"WYOMING
(43.23554147100049, -108.10982744299969)",
TEXAS,2014,14,2,,6,,35,,46,,55,,,-,1,,11,,1,,4,,,-,0,,0,,,-,,-,"TEXAS
(31.827243635000457, -99.4267664729997)",
WEST VIRGINIA,2014,14,,-,0,,2,,,-,6,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"WEST VIRGINIA
(38.665511497000466, -80.71263935099967)",
C.N.M.I.,2014,14,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"C.N.M.I.
(39.52368635500045, -99.11415045099966)",
OKLAHOMA,2014,14,,-,1,,4,,10,,14,,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"OKLAHOMA
(35.472034350000456, -97.52106845499969)",
NORTH DAKOTA,2014,14,,-,1,,7,,6,,6,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"NORTH DAKOTA
(47.47531738700047, -100.11842599699969)",
MINNESOTA,2014,14,,-,0,,0,,,-,,-,,-,0,,2,,,-,5,,,-,0,,1,,,-,,-,"MINNESOTA
(46.35564867700049, -94.79419697699967)",
OREGON,2014,14,4,,2,,58,,22,,28,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"OREGON
(44.567446178000466, -120.15502977999972)",
RHODE ISLAND,2014,14,,-,0,,2,,1,,1,,,-,0,,1,,1,,,-,,-,0,,0,,,-,,-,"RHODE ISLAND
(41.70828281900049, -71.52246918099962)",
NEBRASKA,2014,14,,-,2,,11,,8,,19,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NEBRASKA
(41.64104043900045, -99.36571864599966)",
ILLINOIS,2014,14,,-,4,,16,,4,,44,,,-,0,,3,,1,,5,,,-,0,,0,,,-,,-,"ILLINOIS
(40.48501278700047, -88.99770813999965)",
MASSACHUSETTS,2014,14,,-,2,,7,,19,,28,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MASSACHUSETTS
(42.27687306500047, -72.08268985899963)",
NEW MEXICO,2014,14,,-,1,,3,,12,,8,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NEW MEXICO
(34.52088247800049, -106.24057768899968)",
ARKANSAS,2014,14,1,,1,,12,,4,,5,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"ARKANSAS
(34.748651751000466, -92.27448794899965)",
INDIANA,2014,14,,-,2,,7,,13,,33,,,-,0,,1,,,-,3,,,-,0,,0,,,-,,-,"INDIANA
(39.76691364600049, -86.14995579899966)",
TENNESSEE,2014,14,2,,1,,6,,21,,14,,,-,0,,2,,,-,2,,,-,0,,0,,,-,,-,"TENNESSEE
(35.680943063000484, -85.77448642199965)",
GUAM,2014,14,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.355173397000442, 144.70297250000056)",
MONTANA,2014,14,1,,1,,23,,4,,9,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"MONTANA
(47.066526051000494, -109.42441687999968)",
PUERTO RICO,2014,14,,N,0,,0,,,N,,N,,-,70,,424,,144,,2391,,,-,0,,5,,2,,16,,"PUERTO RICO
(26.649497232000442, -98.34556876399967)",
CONNECTICUT,2014,14,,-,0,,5,,8,,5,,,-,0,,2,,,-,3,,,-,0,,0,,,-,,-,"CONNECTICUT
(41.56266394200048, -72.64983753699966)",
WISCONSIN,2014,14,3,,7,,25,,67,,80,,,-,0,,1,,1,,4,,,-,0,,0,,,-,,-,"WISCONSIN
(44.3931903350005, -89.81636715299965)",
ARIZONA,2014,14,,-,1,,6,,13,,8,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"ARIZONA
(34.865973091000455, -111.76380949799972)",
SOUTH CAROLINA,2014,14,,-,1,,7,,13,,27,,,-,0,,4,,,-,1,,,-,0,,0,,,-,,-,"SOUTH CAROLINA
(33.99882060100049, -81.04536765699964)",
LOUISIANA,2014,14,,-,3,,31,,31,,50,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"LOUISIANA
(31.312662564000448, -92.44567554599968)",
KENTUCKY,2014,14,,-,1,,5,,11,,12,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"KENTUCKY
(37.645973909000475, -84.77496612599964)",
DELAWARE,2014,14,,-,0,,2,,2,,3,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"DELAWARE
(39.00883351400046, -75.57773943699965)",
NEVADA,2014,14,,-,0,,2,,1,,5,,,-,0,,1,,1,,1,,,-,0,,0,,,-,,-,"NEVADA
(39.49324126500045, -117.07183978499972)",
NORTH CAROLINA,2014,14,,-,0,,28,,48,,45,,,-,0,,2,,,-,5,,,-,0,,0,,,-,,-,"NORTH CAROLINA
(35.46622388600048, -79.15924924699965)",
HAWAII,2014,14,,-,0,,1,,,-,,-,,-,0,,2,,,-,2,,,-,0,,0,,,-,,-,"HAWAII
(21.30485166200043, -157.85774691599974)",
CALIFORNIA,2014,14,2,,6,,15,,70,,66,,,-,1,,8,,,-,14,,,-,0,,0,,,-,,-,"CALIFORNIA
(37.638640488000476, -120.99999889499969)",
UTAH,2014,14,,-,1,,8,,10,,30,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"UTAH
(39.36070374600047, -111.5871285339997)",
ALABAMA,2014,14,,-,2,,8,,22,,28,,,-,0,,2,,,-,1,,,-,0,,0,,,-,,-,"ALABAMA
(32.84057327200048, -86.63185803899967)",
VERMONT,2014,14,,-,0,,2,,2,,5,,,-,0,,2,,2,,1,,,-,0,,0,,,-,,-,"VERMONT
(43.62538292400046, -72.51763944499965)",
AMER. SAMOA,2014,14,,N,,-,,-,,N,,N,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"AMER. SAMOA
(39.52368635500045, -99.11415045099966)",
NEW JERSEY,2014,14,,-,0,,5,,3,,13,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NEW JERSEY
(40.1305700530005, -74.27368565099965)",
VIRGIN ISL.,2014,14,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISL.
(39.52368635500045, -99.11415045099966)",
COLORADO,2014,14,,-,1,,7,,5,,13,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"COLORADO
(38.84384047000049, -106.13360888799969)",
NEW HAMPSHIRE,2014,14,,-,1,,2,,4,,6,,,-,0,,1,,,-,3,,,-,0,,0,,,-,,-,"NEW HAMPSHIRE
(43.6559537330005, -71.50035726399966)",
ALASKA,2014,14,,-,0,,1,,1,,,-,,-,0,,0,,,-,1,,,-,0,,0,,,-,,-,"ALASKA
(64.84507923900048, -147.72205669099972)",
GEORGIA,2014,14,,-,4,,16,,51,,76,,,-,0,,2,,,-,1,,,-,0,,0,,,-,,-,"GEORGIA
(32.83968004200045, -83.62757601199968)",
MAINE,2014,14,,-,0,,4,,12,,4,,,-,0,,0,,,-,1,,,-,0,,0,,,-,,-,"MAINE
(45.254228663000504, -68.98502952999962)",
OHIO,2014,14,8,,6,,17,,74,,83,,,-,0,,2,,3,,3,,,-,0,,0,,,-,,-,"OHIO
(40.06021029700048, -82.40425685299965)",
WASHINGTON,2014,14,2,,1,,13,,7,,11,,,-,0,,2,,1,,3,,,-,0,,0,,,-,,-,"WASHINGTON
(47.522287905000496, -120.47002746299972)",
FLORIDA,2014,14,7,,8,,23,,116,,78,,,-,1,,13,,,-,31,,,-,0,,0,,,-,,-,"FLORIDA
(28.932042899000464, -81.92895558499964)",
IOWA,2014,14,,-,6,,155,,35,,48,,,-,0,,0,,,-,,-,,-,0,,1,,,-,1,,"IOWA
(42.469404401000475, -93.81648936699969)",
MISSOURI,2014,14,1,,3,,11,,28,,45,,,-,0,,2,,2,,,-,,-,0,,0,,,-,,-,"MISSOURI
(38.63579372300046, -92.56629737199967)",
KANSAS,2014,14,,-,2,,7,,7,,22,,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,"KANSAS
(38.34774033400049, -98.20077655499966)",
MISSISSIPPI,2014,14,1,,1,,5,,7,,9,,,-,0,,0,,,-,1,,,-,0,,0,,,-,,-,"MISSISSIPPI
(32.74551123200047, -89.53802764499966)",
NEW YORK,2014,14,4,,4,,16,,35,,32,,,-,0,,3,,,-,19,,,-,0,,1,,,-,,-,"NEW YORK
(42.82700023900048, -75.54396639699968)",
NEW YORK CITY,2014,14,,-,2,,6,,20,,11,,,-,2,,9,,6,,21,,,-,0,,1,,,-,,-,"NEW YORK CITY
(40.71426755700048, -74.00596858999967)",
IDAHO,2014,14,,-,2,,16,,15,,20,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"IDAHO
(43.682630058000484, -114.3637261449997)",
MICHIGAN,2014,14,2,,4,,15,,40,,59,,,-,0,,3,,,-,5,,,-,0,,0,,,-,,-,"MICHIGAN
(44.66131575600048, -84.71438724399968)",
SOUTH DAKOTA,2014,14,,-,2,,17,,19,,25,,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,"SOUTH DAKOTA
(44.35313342000046, -100.37352811899967)",
DIST. OF COL.,2014,14,,N,0,,0,,,N,,N,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"DIST. OF COL.
(39.52368635500045, -99.11415045099966)",
UNITED STATES,2014,15,38,,111,,459,,1154,,1461,,,-,10,,48,,34,,164,,,-,0,,2,,,-,1,,,
NEW ENGLAND,2014,15,2,,4,,14,,52,,56,,,-,0,,3,,3,,8,,,-,0,,0,,,-,,-,,
CONNECTICUT,2014,15,,-,0,,5,,8,,6,,,-,0,,2,,,-,3,,,-,0,,0,,,-,,-,,
MAINE,2014,15,2,,0,,4,,16,,6,,,-,0,,0,,,-,1,,,-,0,,0,,,-,,-,,
MASSACHUSETTS,2014,15,,-,2,,7,,20,,29,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,
NEW HAMPSHIRE,2014,15,,-,1,,2,,5,,7,,,-,0,,1,,,-,3,,,-,0,,0,,,-,,-,,
RHODE ISLAND,2014,15,,-,0,,2,,1,,1,,,-,0,,1,,1,,,-,,-,0,,0,,,-,,-,,
VERMONT,2014,15,,-,0,,2,,2,,7,,,-,0,,2,,2,,1,,,-,0,,0,,,-,,-,,
MID. ATLANTIC,2014,15,3,,12,,42,,126,,144,,,-,2,,12,,11,,53,,,-,0,,1,,,-,,-,,
NEW JERSEY,2014,15,,-,0,,5,,3,,16,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,
NEW YORK,2014,15,3,,4,,16,,38,,33,,,-,0,,3,,,-,21,,,-,0,,1,,,-,,-,,
NEW YORK CITY,2014,15,,-,2,,6,,20,,12,,,-,2,,9,,6,,22,,,-,0,,1,,,-,,-,,
PENNSYLVANIA,2014,15,,-,6,,30,,65,,83,,,-,0,,3,,5,,10,,,-,0,,0,,,-,,-,,
E.N. CENTRAL,2014,15,6,,21,,64,,220,,332,,,-,1,,6,,5,,20,,,-,0,,0,,,-,,-,,
ILLINOIS,2014,15,,-,4,,16,,14,,49,,,-,0,,3,,1,,5,,,-,0,,0,,,-,,-,,
INDIANA,2014,15,,-,2,,7,,18,,37,,,-,0,,1,,,-,3,,,-,0,,0,,,-,,-,,
MICHIGAN,2014,15,,-,4,,15,,40,,64,,,-,0,,3,,,-,5,,,-,0,,0,,,-,,-,,
OHIO,2014,15,6,,7,,17,,81,,93,,,-,0,,2,,3,,3,,,-,0,,0,,,-,,-,,
WISCONSIN,2014,15,,-,7,,25,,67,,89,,,-,0,,1,,1,,4,,,-,0,,0,,,-,,-,,
W.N. CENTRAL,2014,15,2,,21,,187,,118,,228,,,-,1,,3,,2,,7,,,-,0,,1,,,-,1,,,
IOWA,2014,15,,-,6,,155,,35,,56,,,-,0,,0,,,-,,-,,-,0,,1,,,-,1,,,
KANSAS,2014,15,,-,1,,7,,7,,22,,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,,
MINNESOTA,2014,15,,-,5,,17,,,-,54,,,-,0,,2,,,-,5,,,-,0,,1,,,-,,-,,
MISSOURI,2014,15,2,,3,,11,,31,,45,,,-,0,,2,,2,,,-,,-,0,,0,,,-,,-,,
NEBRASKA,2014,15,,-,3,,11,,18,,20,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,
NORTH DAKOTA,2014,15,,-,1,,7,,6,,6,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,
SOUTH DAKOTA,2014,15,,-,3,,17,,21,,25,,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,,
S. ATLANTIC,2014,15,6,,20,,58,,288,,285,,,-,2,,16,,9,,47,,,-,0,,1,,,-,,-,,
DELAWARE,2014,15,,-,0,,2,,2,,3,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,
DIST. OF COL.,2014,15,,N,0,,0,,,N,,N,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,
FLORIDA,2014,15,,-,8,,23,,116,,82,,,-,1,,13,,1,,33,,,-,0,,0,,,-,,-,,
GEORGIA,2014,15,3,,4,,16,,58,,77,,,-,0,,2,,,-,1,,,-,0,,0,,,-,,-,,
MARYLAND,2014,15,1,,1,,4,,15,,14,,,-,0,,2,,3,,2,,,-,0,,0,,,-,,-,,
NORTH CAROLINA,2014,15,,-,0,,28,,48,,45,,,-,0,,2,,,-,5,,,-,0,,0,,,-,,-,,
SOUTH CAROLINA,2014,15,,-,1,,7,,13,,27,,,-,0,,4,,,-,1,,,-,0,,0,,,-,,-,,
VIRGINIA,2014,15,2,,3,,9,,36,,30,,,-,0,,3,,5,,5,,,-,0,,1,,,-,,-,,
WEST VIRGINIA,2014,15,,-,0,,2,,,-,7,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"WEST, VIRGINIA
",
E.S. CENTRAL,2014,15,2,,6,,19,,67,,69,,,-,0,,2,,1,,4,,,-,0,,0,,,-,,-,,
ALABAMA,2014,15,,-,2,,8,,22,,31,,,-,0,,2,,,-,1,,,-,0,,0,,,-,,-,,
KENTUCKY,2014,15,2,,1,,5,,15,,14,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,
MISSISSIPPI,2014,15,,-,1,,5,,9,,9,,,-,0,,1,,1,,1,,,-,0,,0,,,-,,-,,
TENNESSEE,2014,15,,-,2,,6,,21,,15,,,-,0,,2,,,-,2,,,-,0,,0,,,-,,-,,
W.S. CENTRAL,2014,15,7,,12,,44,,101,,133,,,-,1,,11,,1,,4,,,-,0,,0,,,-,,-,,
ARKANSAS,2014,15,1,,1,,12,,5,,5,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,
LOUISIANA,2014,15,,-,3,,31,,31,,51,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,
OKLAHOMA,2014,15,,-,1,,4,,10,,16,,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,,
TEXAS,2014,15,6,,6,,36,,55,,61,,,-,1,,11,,1,,4,,,-,0,,0,,,-,,-,,
MOUNTAIN,2014,15,5,,9,,54,,73,,103,,,-,0,,1,,1,,1,,,-,0,,0,,,-,,-,,
ARIZONA,2014,15,,-,1,,6,,14,,9,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,
COLORADO,2014,15,,-,2,,7,,7,,13,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,
IDAHO,2014,15,1,,2,,16,,16,,23,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,
MONTANA,2014,15,3,,1,,23,,8,,14,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,
NEVADA,2014,15,,-,0,,2,,2,,5,,,-,0,,1,,1,,1,,,-,0,,0,,,-,,-,,
NEW MEXICO,2014,15,,-,1,,3,,12,,8,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,
UTAH,2014,15,1,,1,,8,,13,,30,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,
WYOMING,2014,15,,-,0,,25,,1,,1,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,
PACIFIC,2014,15,5,,11,,75,,109,,111,,,-,1,,8,,1,,20,,,-,0,,0,,,-,,-,,
ALASKA,2014,15,,-,0,,1,,1,,,-,,-,0,,0,,,-,1,,,-,0,,0,,,-,,-,,
CALIFORNIA,2014,15,4,,5,,15,,77,,70,,,-,1,,8,,,-,14,,,-,0,,0,,,-,,-,,
HAWAII,2014,15,,-,0,,1,,,-,,-,,-,0,,2,,,-,2,,,-,0,,0,,,-,,-,,
OREGON,2014,15,1,,3,,58,,24,,28,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,
WASHINGTON,2014,15,,-,1,,13,,7,,13,,,-,0,,2,,1,,3,,,-,0,,0,,,-,,-,,
AMER. SAMOA,2014,15,,N,,-,,-,,N,,N,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
C.N.M.I.,2014,15,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
PUERTO RICO,2014,15,,N,0,,0,,,N,,N,,-,70,,424,,268,,2477,,,-,0,,5,,2,,17,,,
VIRGIN ISL.,2014,15,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,
UNITED STATES,2014,16,48,,111,,459,,1272,,1563,,,-,10,,48,,35,,173,,,-,0,,2,,,-,1,,,
NEW ENGLAND,2014,16,,-,4,,14,,53,,55,,,-,0,,3,,3,,9,,,-,0,,0,,,-,,-,,
MID. ATLANTIC,2014,16,9,,12,,42,,134,,158,,,-,2,,12,,11,,54,,,-,0,,1,,,-,,-,,
E.N. CENTRAL,2014,16,9,,21,,64,,257,,353,,,-,1,,6,,5,,21,,,-,0,,0,,,-,,-,,
W.N. CENTRAL,2014,16,,-,21,,187,,123,,249,,,-,1,,3,,2,,7,,,-,0,,1,,,-,1,,,
S. ATLANTIC,2014,16,13,,20,,59,,319,,298,,,-,2,,16,,10,,49,,,-,0,,1,,,-,,-,,
E.S. CENTRAL,2014,16,2,,7,,19,,80,,77,,,-,0,,2,,1,,4,,,-,0,,0,,,-,,-,,
W.S. CENTRAL,2014,16,2,,12,,44,,104,,141,,,-,1,,11,,1,,5,,,-,0,,0,,,-,,-,,
MOUNTAIN,2014,16,2,,9,,60,,79,,109,,,-,0,,1,,1,,1,,,-,0,,0,,,-,,-,,
PACIFIC,2014,16,11,,11,,75,,123,,123,,,-,1,,8,,1,,23,,,-,0,,0,,,-,,-,,
OKLAHOMA,2014,16,,-,1,,4,,10,,18,,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"OKLAHOMA
(35.472034350000456, -97.52106845499969)",
ARKANSAS,2014,16,,-,1,,12,,5,,5,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"ARKANSAS
(34.748651751000466, -92.27448794899965)",
ALABAMA,2014,16,2,,2,,9,,25,,33,,,-,0,,2,,,-,1,,,-,0,,0,,,-,,-,"ALABAMA
(32.84057327200048, -86.63185803899967)",
UTAH,2014,16,1,,1,,8,,14,,29,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"UTAH
(39.36070374600047, -111.5871285339997)",
WASHINGTON,2014,16,3,,1,,13,,10,,15,,,-,0,,2,,1,,3,,,-,0,,0,,,-,,-,"WASHINGTON
(47.522287905000496, -120.47002746299972)",
OREGON,2014,16,,-,3,,58,,24,,32,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"OREGON
(44.567446178000466, -120.15502977999972)",
WISCONSIN,2014,16,1,,7,,25,,70,,95,,,-,0,,1,,1,,4,,,-,0,,0,,,-,,-,"WISCONSIN
(44.3931903350005, -89.81636715299965)",
WYOMING,2014,16,,-,0,,25,,1,,1,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"WYOMING
(43.23554147100049, -108.10982744299969)",
VIRGIN ISL.,2014,16,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISL.
(39.52368635500045, -99.11415045099966)",
MONTANA,2014,16,,-,1,,23,,10,,15,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"MONTANA
(47.066526051000494, -109.42441687999968)",
IDAHO,2014,16,1,,2,,22,,17,,25,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"IDAHO
(43.682630058000484, -114.3637261449997)",
WEST VIRGINIA,2014,16,,-,0,,2,,,-,8,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"WEST VIRGINIA
(38.665511497000466, -80.71263935099967)",
TEXAS,2014,16,1,,6,,36,,56,,64,,,-,1,,11,,1,,4,,,-,0,,0,,,-,,-,"TEXAS
(31.827243635000457, -99.4267664729997)",
LOUISIANA,2014,16,1,,3,,31,,33,,54,,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,"LOUISIANA
(31.312662564000448, -92.44567554599968)",
OHIO,2014,16,8,,6,,17,,89,,100,,,-,0,,2,,3,,3,,,-,0,,0,,,-,,-,"OHIO
(40.06021029700048, -82.40425685299965)",
VIRGINIA,2014,16,1,,3,,8,,40,,32,,,-,0,,3,,5,,5,,,-,0,,1,,,-,,-,"VIRGINIA
(37.54268075100049, -78.45788924199968)",
