Reporting Area,MMWR Year,MMWR Week,"Lyme disease, Current week","Lyme disease, Current week, flag","Lyme disease, Previous 52 weeks Med","Lyme disease, Previous 52 weeks Med, flag","Lyme disease, Previous 52 weeks Max","Lyme disease, Previous 52 weeks Max, flag","Lyme disease, Cum 2014","Lyme disease, Cum 2014, flag","Lyme disease, Cum 2013","Lyme disease, Cum 2013, flag","Malaria, Current week","Malaria, Current week, flag","Malaria, Previous 52 weeks Med","Malaria, Previous 52 weeks Med, flag","Malaria, Previous 52 weeks Max","Malaria, Previous 52 weeks Max, flag","Malaria, Cum 2014","Malaria, Cum 2014, flag","Malaria, Cum 2013","Malaria, Cum 2013, flag","Meningococcal disease, invasive, All serogroups, Current week","Meningococcal disease, invasive†, All serogroups, Current week, flag","Meningococcal disease, invasive†, All serogroups, Previous 52 weeks Med","Meningococcal disease, invasive†, All serogroups, Previous 52 weeks Med, flag","Meningococcal disease, invasive†, All serogroups, Previous 52 weeks Max","Meningococcal disease, invasive†, All serogroups, Previous 52 weeks Max, flag","Meningococcal disease, invasive†, All serogroups, Cum 2014","Meningococcal disease, invasive†, All serogroups, Cum 2014, flag","Meningococcal disease, invasive†, All serogroups, Cum 2013","Meningococcal disease, invasive†, All serogroups, Cum 2013, flag",Location 1,Location 2
NEW HAMPSHIRE,2014,25,,-,5,,164,,37,,504,,,-,0,,2,,2,,6,,,-,0,,0,,,-,2,,"NEW HAMPSHIRE
(43.6559537330005, -71.50035726399966)",
COLORADO,2014,25,,-,0,,0,,,-,,-,,-,0,,3,,6,,12,,,-,0,,1,,1,,5,,"COLORADO
(38.84384047000049, -106.13360888799969)",
IOWA,2014,25,,-,1,,21,,16,,114,,,-,0,,2,,4,,4,,,-,0,,1,,1,,,-,"IOWA
(42.469404401000475, -93.81648936699969)",
SOUTH DAKOTA,2014,25,,-,0,,1,,,-,,-,,-,0,,3,,1,,2,,,-,0,,1,,2,,4,,"SOUTH DAKOTA
(44.35313342000046, -100.37352811899967)",
NEW JERSEY,2014,25,3,,36,,234,,605,,1351,,,-,1,,6,,23,,42,,,-,0,,2,,3,,9,,"NEW JERSEY
(40.1305700530005, -74.27368565099965)",
MINNESOTA,2014,25,,-,7,,217,,3,,451,,,-,0,,5,,2,,30,,,-,0,,2,,3,,9,,"MINNESOTA
(46.35564867700049, -94.79419697699967)",
VERMONT,2014,25,6,,9,,103,,104,,112,,,-,0,,3,,,-,,-,,-,0,,1,,,-,2,,"VERMONT
(43.62538292400046, -72.51763944499965)",
MISSISSIPPI,2014,25,,-,0,,0,,,-,,-,,-,0,,1,,1,,1,,,-,0,,1,,,-,2,,"MISSISSIPPI
(32.74551123200047, -89.53802764499966)",
HAWAII,2014,25,,N,0,,0,,,N,,N,,-,0,,0,,,-,1,,,-,0,,1,,1,,1,,"HAWAII
(21.30485166200043, -157.85774691599974)",
SOUTH CAROLINA,2014,25,,-,0,,5,,6,,8,,,-,0,,2,,2,,3,,,-,0,,1,,1,,2,,"SOUTH CAROLINA
(33.99882060100049, -81.04536765699964)",
C.N.M.I.,2014,25,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"C.N.M.I.
(39.52368635500045, -99.11415045099966)",
OKLAHOMA,2014,25,,-,0,,2,,,-,1,,,-,0,,3,,2,,5,,,-,0,,2,,6,,5,,"OKLAHOMA
(35.472034350000456, -97.52106845499969)",
UNITED STATES,2014,26,429,,377,,2486,,6104,,10801,,22,,25,,51,,526,,669,,5,,8,,24,,237,,326,,,
NEW ENGLAND,2014,26,31,,90,,1003,,1531,,4240,,,-,1,,9,,18,,53,,,-,0,,3,,8,,13,,,
MID. ATLANTIC,2014,26,329,,179,,907,,3465,,3691,,6,,7,,21,,137,,160,,2,,1,,3,,24,,47,,,
E.N. CENTRAL,2014,26,7,,14,,235,,259,,854,,1,,2,,8,,46,,63,,,-,1,,4,,27,,34,,,
W.N. CENTRAL,2014,26,,-,7,,245,,41,,714,,1,,1,,7,,27,,48,,1,,0,,3,,15,,27,,,
S. ATLANTIC,2014,26,56,,46,,309,,691,,1153,,12,,7,,18,,186,,186,,1,,1,,6,,59,,61,,,
E.S. CENTRAL,2014,26,5,,2,,9,,58,,25,,1,,1,,4,,22,,16,,,-,0,,2,,9,,7,,,
W.S. CENTRAL,2014,26,,-,0,,13,,2,,30,,,-,1,,21,,24,,44,,,-,1,,6,,23,,34,,,
MOUNTAIN,2014,26,1,,1,,9,,14,,26,,,-,1,,5,,18,,44,,,-,0,,2,,14,,28,,,
PACIFIC,2014,26,,-,3,,10,,43,,68,,1,,3,,9,,48,,55,,1,,2,,7,,58,,75,,,
IDAHO,2014,26,1,,0,,2,,6,,6,,,-,0,,1,,,-,2,,,-,0,,1,,2,,4,,"IDAHO
(43.682630058000484, -114.3637261449997)",
INDIANA,2014,26,,-,0,,14,,,-,58,,,-,0,,2,,4,,7,,,-,0,,1,,3,,10,,"INDIANA
(39.76691364600049, -86.14995579899966)",
NEW JERSEY,2014,26,2,,40,,234,,710,,1517,,,-,1,,6,,24,,45,,,-,0,,2,,4,,10,,"NEW JERSEY
(40.1305700530005, -74.27368565099965)",
GEORGIA,2014,26,,-,0,,2,,2,,4,,,-,1,,5,,37,,27,,,-,0,,2,,9,,6,,"GEORGIA
(32.83968004200045, -83.62757601199968)",
UTAH,2014,26,,-,0,,2,,2,,7,,,-,0,,1,,1,,4,,,-,0,,1,,1,,6,,"UTAH
(39.36070374600047, -111.5871285339997)",
VIRGINIA,2014,26,15,,14,,267,,196,,313,,2,,1,,5,,32,,35,,,-,0,,2,,5,,4,,"VIRGINIA
(37.54268075100049, -78.45788924199968)",
WEST VIRGINIA,2014,26,,-,1,,23,,15,,50,,,-,0,,1,,,-,1,,,-,0,,0,,,-,2,,"WEST VIRGINIA
(38.665511497000466, -80.71263935099967)",
MISSOURI,2014,26,,-,0,,1,,2,,,-,1,,0,,1,,8,,1,,1,,0,,2,,7,,6,,"MISSOURI
(38.63579372300046, -92.56629737199967)",
TEXAS,2014,26,,-,0,,11,,2,,29,,,-,1,,19,,18,,32,,,-,0,,5,,13,,16,,"TEXAS
(31.827243635000457, -99.4267664729997)",
VERMONT,2014,26,13,,9,,103,,122,,135,,,-,0,,3,,,-,,-,,-,0,,1,,,-,2,,"VERMONT
(43.62538292400046, -72.51763944499965)",
PUERTO RICO,2014,26,,N,0,,0,,,N,,N,,-,0,,1,,1,,,-,,-,0,,1,,1,,1,,"PUERTO RICO
(26.649497232000442, -98.34556876399967)",
MASSACHUSETTS,2014,26,,-,32,,484,,602,,1932,,,-,1,,4,,10,,32,,,-,0,,3,,6,,4,,"MASSACHUSETTS
(42.27687306500047, -72.08268985899963)",
ARIZONA,2014,26,,-,0,,3,,2,,5,,,-,0,,3,,8,,21,,,-,0,,2,,3,,10,,"ARIZONA
(34.865973091000455, -111.76380949799972)",
OHIO,2014,26,6,,1,,7,,21,,30,,1,,1,,3,,21,,11,,,-,0,,2,,6,,6,,"OHIO
(40.06021029700048, -82.40425685299965)",
HAWAII,2014,26,,N,0,,0,,,N,,N,,-,0,,0,,,-,1,,,-,0,,1,,1,,1,,"HAWAII
(21.30485166200043, -157.85774691599974)",
GUAM,2014,26,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,1,,"GUAM
(13.355173397000442, 144.70297250000056)",
NEBRASKA,2014,26,,-,0,,3,,3,,1,,,-,0,,2,,1,,1,,,-,0,,1,,,-,3,,"NEBRASKA
(41.64104043900045, -99.36571864599966)",
ALASKA,2014,26,,-,0,,2,,8,,3,,,-,0,,1,,1,,2,,,-,0,,0,,,-,,-,"ALASKA
(64.84507923900048, -147.72205669099972)",
WYOMING,2014,26,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,,-,0,,1,,,-,1,,"WYOMING
(43.23554147100049, -108.10982744299969)",
NEW YORK,2014,26,89,,49,,244,,679,,561,,2,,1,,5,,22,,23,,1,,0,,3,,5,,11,,"NEW YORK
(42.82700023900048, -75.54396639699968)",
NORTH DAKOTA,2014,26,,-,0,,6,,3,,3,,,-,0,,1,,4,,2,,,-,0,,1,,1,,2,,"NORTH DAKOTA
(47.47531738700047, -100.11842599699969)",
MAINE,2014,26,1,,15,,102,,196,,259,,,-,0,,2,,3,,2,,,-,0,,1,,,-,2,,"MAINE
(45.254228663000504, -68.98502952999962)",
ILLINOIS,2014,26,,-,1,,30,,34,,150,,,-,0,,5,,10,,30,,,-,0,,2,,8,,5,,"ILLINOIS
(40.48501278700047, -88.99770813999965)",
MONTANA,2014,26,,-,0,,3,,2,,5,,,-,0,,0,,,-,,-,,-,0,,1,,3,,,-,"MONTANA
(47.066526051000494, -109.42441687999968)",
NEW HAMPSHIRE,2014,26,,-,4,,164,,42,,615,,,-,0,,2,,2,,6,,,-,0,,0,,,-,2,,"NEW HAMPSHIRE
(43.6559537330005, -71.50035726399966)",
LOUISIANA,2014,26,,-,0,,0,,,-,,-,,-,0,,1,,2,,4,,,-,0,,2,,3,,8,,"LOUISIANA
(31.312662564000448, -92.44567554599968)",
OREGON,2014,26,,-,1,,4,,31,,18,,,-,0,,1,,6,,4,,,-,0,,3,,12,,7,,"OREGON
(44.567446178000466, -120.15502977999972)",
NEVADA,2014,26,,-,0,,1,,2,,2,,,-,0,,1,,3,,3,,,-,0,,1,,2,,1,,"NEVADA
(39.49324126500045, -117.07183978499972)",
CONNECTICUT,2014,26,5,,25,,252,,427,,1146,,,-,0,,3,,,-,13,,,-,0,,1,,1,,2,,"CONNECTICUT
(41.56266394200048, -72.64983753699966)",
PENNSYLVANIA,2014,26,238,,60,,433,,1594,,1434,,1,,1,,5,,22,,31,,,-,0,,2,,7,,16,,"PENNSYLVANIA
(40.79373106100047, -77.86069775999965)",
OKLAHOMA,2014,26,,-,0,,2,,,-,1,,,-,0,,2,,2,,7,,,-,0,,2,,6,,5,,"OKLAHOMA
(35.472034350000456, -97.52106845499969)",
MICHIGAN,2014,26,,-,2,,16,,19,,22,,,-,0,,2,,7,,9,,,-,0,,1,,6,,3,,"MICHIGAN
(44.66131575600048, -84.71438724399968)",
DELAWARE,2014,26,5,,8,,24,,150,,199,,,-,0,,1,,1,,5,,,-,0,,1,,1,,2,,"DELAWARE
(39.00883351400046, -75.57773943699965)",
NEW YORK CITY,2014,26,,-,6,,441,,482,,179,,3,,4,,13,,69,,61,,1,,0,,2,,8,,10,,"NEW YORK CITY
(40.71426755700048, -74.00596858999967)",
AMER. SAMOA,2014,26,,N,,-,,-,,N,,N,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"AMER. SAMOA
(39.52368635500045, -99.11415045099966)",
NORTH CAROLINA,2014,26,10,,1,,32,,42,,47,,6,,0,,5,,18,,9,,,-,0,,3,,11,,9,,"NORTH CAROLINA
(35.46622388600048, -79.15924924699965)",
WASHINGTON,2014,26,,-,0,,4,,,-,2,,1,,0,,3,,14,,8,,,-,0,,5,,8,,8,,"WASHINGTON
(47.522287905000496, -120.47002746299972)",
SOUTH CAROLINA,2014,26,,-,0,,5,,7,,9,,,-,0,,2,,2,,3,,,-,0,,1,,2,,2,,"SOUTH CAROLINA
(33.99882060100049, -81.04536765699964)",
C.N.M.I.,2014,26,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"C.N.M.I.
(39.52368635500045, -99.11415045099966)",
IOWA,2014,26,,-,1,,21,,28,,126,,,-,0,,2,,5,,4,,,-,0,,1,,1,,,-,"IOWA
(42.469404401000475, -93.81648936699969)",
MINNESOTA,2014,26,,-,6,,217,,3,,575,,,-,0,,5,,2,,33,,,-,0,,2,,3,,9,,"MINNESOTA
(46.35564867700049, -94.79419697699967)",
CALIFORNIA,2014,26,,-,0,,8,,4,,45,,,-,2,,5,,27,,40,,1,,2,,6,,37,,59,,"CALIFORNIA
(37.638640488000476, -120.99999889499969)",
ARKANSAS,2014,26,,-,0,,0,,,-,,-,,-,0,,1,,2,,1,,,-,0,,1,,1,,5,,"ARKANSAS
(34.748651751000466, -92.27448794899965)",
DIST. OF COL.,2014,26,,N,0,,0,,,N,,N,,-,0,,2,,3,,11,,,-,0,,0,,,-,,-,"DIST. OF COL.
(39.52368635500045, -99.11415045099966)",
VIRGIN ISL.,2014,26,,N,0,,0,,,N,,N,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISL.
(39.52368635500045, -99.11415045099966)",
SOUTH DAKOTA,2014,26,,-,0,,1,,,-,1,,,-,0,,3,,1,,2,,,-,0,,1,,2,,4,,"SOUTH DAKOTA
(44.35313342000046, -100.37352811899967)",
MISSISSIPPI,2014,26,,-,0,,0,,,-,,-,,-,0,,1,,1,,1,,,-,0,,1,,,-,2,,"MISSISSIPPI
(32.74551123200047, -89.53802764499966)",
FLORIDA,2014,26,2,,2,,14,,30,,29,,1,,1,,3,,22,,28,,1,,1,,3,,27,,34,,"FLORIDA
(28.932042899000464, -81.92895558499964)",
MARYLAND,2014,26,24,,15,,81,,249,,502,,3,,2,,10,,71,,67,,,-,0,,1,,4,,2,,"MARYLAND
(39.2905806980005, -76.60925970899967)",
TENNESSEE,2014,26,1,,0,,4,,13,,4,,1,,0,,3,,9,,8,,,-,0,,1,,4,,3,,"TENNESSEE
(35.680943063000484, -85.77448642199965)",
NEW MEXICO,2014,26,,-,0,,3,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,2,,1,,"NEW MEXICO
(34.52088247800049, -106.24057768899968)",
KANSAS,2014,26,,-,0,,4,,2,,8,,,-,0,,2,,6,,5,,,-,0,,1,,1,,3,,"KANSAS
(38.34774033400049, -98.20077655499966)",
COLORADO,2014,26,,-,0,,0,,,-,,-,,-,0,,3,,6,,14,,,-,0,,1,,1,,5,,"COLORADO
(38.84384047000049, -106.13360888799969)",
WISCONSIN,2014,26,1,,11,,196,,185,,594,,,-,0,,2,,4,,6,,,-,0,,1,,4,,10,,"WISCONSIN
(44.3931903350005, -89.81636715299965)",
RHODE ISLAND,2014,26,12,,9,,54,,142,,153,,,-,0,,8,,3,,,-,,-,0,,1,,1,,1,,"RHODE ISLAND
(41.70828281900049, -71.52246918099962)",
ALABAMA,2014,26,2,,0,,4,,21,,9,,,-,0,,1,,4,,2,,,-,0,,1,,3,,1,,"ALABAMA
(32.84057327200048, -86.63185803899967)",
KENTUCKY,2014,26,2,,0,,9,,24,,12,,,-,0,,2,,8,,5,,,-,0,,1,,2,,1,,"KENTUCKY
(37.645973909000475, -84.77496612599964)",
UNITED STATES,2014,27,363,,406,,2486,,6963,,13023,,23,,25,,51,,569,,713,,2,,8,,24,,241,,338,,,
NEW ENGLAND,2014,27,19,,98,,1003,,1812,,5243,,,-,1,,9,,25,,56,,,-,0,,3,,8,,13,,,
MID. ATLANTIC,2014,27,300,,179,,907,,3915,,4337,,8,,7,,21,,148,,175,,,-,1,,3,,24,,48,,,
E.N. CENTRAL,2014,27,1,,14,,235,,277,,1089,,,-,2,,8,,50,,70,,,-,1,,4,,27,,35,,,
W.N. CENTRAL,2014,27,,-,7,,245,,55,,959,,1,,1,,7,,29,,49,,,-,0,,3,,16,,28,,,
S. ATLANTIC,2014,27,39,,46,,309,,777,,1232,,12,,7,,18,,202,,196,,,-,1,,6,,59,,62,,,
E.S. CENTRAL,2014,27,2,,2,,9,,62,,27,,,-,1,,4,,23,,17,,,-,0,,2,,9,,8,,,
W.S. CENTRAL,2014,27,2,,0,,13,,5,,30,,,-,1,,21,,23,,49,,2,,1,,6,,25,,34,,,
MOUNTAIN,2014,27,,-,1,,9,,16,,29,,1,,1,,5,,19,,44,,,-,0,,2,,14,,28,,,
PACIFIC,2014,27,,-,3,,10,,44,,77,,1,,3,,9,,50,,57,,,-,2,,7,,59,,82,,,
AMER. SAMOA,2014,27,,N,,-,,-,,N,,N,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"AMER. SAMOA
",
C.N.M.I.,2014,27,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"C.N.M.I.
",
VIRGIN ISL.,2014,27,,N,0,,0,,,N,,N,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISL.
",
WYOMING,2014,27,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,,-,0,,1,,,-,1,,"WYOMING
(43.235543013000495, -108.10982744299969)",
COLORADO,2014,27,,-,0,,0,,,-,,-,,-,0,,3,,6,,14,,,-,0,,1,,1,,5,,"COLORADO
(38.84384201300048, -106.13360888799969)",
MONTANA,2014,27,,-,0,,3,,3,,5,,,-,0,,0,,,-,,-,,-,0,,1,,3,,,-,"MONTANA
(47.06652759400049, -109.42441687999968)",
FLORIDA,2014,27,5,,2,,14,,35,,32,,3,,1,,3,,25,,30,,,-,1,,3,,27,,34,,"FLORIDA
(28.93204444200046, -81.92895558499964)",
IOWA,2014,27,,-,1,,21,,38,,147,,,-,0,,2,,5,,4,,,-,0,,1,,1,,1,,"IOWA
(42.469401477000474, -93.81648936699969)",
NORTH CAROLINA,2014,27,1,,1,,27,,43,,49,,,-,0,,7,,19,,9,,,-,0,,3,,11,,9,,"NORTH CAROLINA
(35.46622096200048, -79.15924924699965)",
UTAH,2014,27,,-,0,,2,,2,,8,,,-,0,,1,,1,,4,,,-,0,,1,,1,,6,,"UTAH
(39.36070082200047, -111.5871285339997)",
NEW YORK,2014,27,114,,49,,244,,793,,662,,1,,1,,5,,23,,25,,,-,0,,3,,5,,11,,"NEW YORK
(42.82700178100049, -75.54396639699968)",
IDAHO,2014,27,,-,0,,2,,6,,7,,1,,0,,1,,1,,2,,,-,0,,1,,2,,4,,"IDAHO
(43.68263160000049, -114.3637261449997)",
CONNECTICUT,2014,27,14,,26,,252,,502,,1374,,,-,0,,3,,,-,13,,,-,0,,1,,1,,2,,"CONNECTICUT
(41.56266101800048, -72.64983753699966)",
OKLAHOMA,2014,27,,-,0,,2,,,-,1,,,-,0,,2,,1,,7,,2,,0,,2,,8,,5,,"OKLAHOMA
(35.472031425000466, -97.52106845499969)",
SOUTH DAKOTA,2014,27,,-,0,,1,,,-,1,,,-,0,,3,,2,,2,,,-,0,,1,,2,,4,,"SOUTH DAKOTA
(44.35313049600046, -100.37352811899967)",
HAWAII,2014,27,,N,0,,0,,,N,,N,,-,0,,0,,,-,1,,,-,0,,1,,1,,1,,"HAWAII
(21.304853205000427, -157.85774691599974)",
NEW HAMPSHIRE,2014,27,,-,4,,164,,42,,779,,,-,0,,2,,2,,6,,,-,0,,0,,,-,2,,"NEW HAMPSHIRE
(43.65595081000049, -71.50035726399966)",
MINNESOTA,2014,27,,-,4,,217,,3,,792,,,-,0,,5,,2,,34,,,-,0,,2,,4,,9,,"MINNESOTA
(46.35564575300049, -94.79419697699967)",
MASSACHUSETTS,2014,27,1,,38,,484,,778,,2416,,,-,1,,4,,17,,35,,,-,0,,3,,6,,4,,"MASSACHUSETTS
(42.27687014100047, -72.08268985899963)",
GUAM,2014,27,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,1,,"GUAM
(13.480998894000436, 144.73149801400064)",
KENTUCKY,2014,27,1,,0,,9,,25,,12,,,-,0,,2,,8,,5,,,-,0,,1,,2,,1,,"KENTUCKY
(37.645970985000474, -84.77496612599964)",
ALABAMA,2014,27,,-,0,,5,,23,,10,,,-,0,,1,,5,,2,,,-,0,,1,,3,,1,,"ALABAMA
(32.84057034900047, -86.63185803899967)",
ARIZONA,2014,27,,-,0,,3,,3,,6,,,-,0,,3,,8,,21,,,-,0,,2,,3,,10,,"ARIZONA
(34.865970167000455, -111.76380949799972)",
MISSOURI,2014,27,,-,0,,1,,3,,,-,,-,0,,1,,8,,1,,,-,0,,2,,7,,6,,"MISSOURI
(38.63579079900046, -92.56629737199967)",
NEVADA,2014,27,,-,0,,1,,2,,2,,,-,0,,1,,3,,3,,,-,0,,1,,2,,1,,"NEVADA
(39.493242807000456, -117.07183978499972)",
WEST VIRGINIA,2014,27,,-,1,,23,,12,,52,,,-,0,,1,,,-,1,,,-,0,,0,,,-,2,,"WEST VIRGINIA
(38.66551303900047, -80.71263935099967)",
ALASKA,2014,27,,-,0,,2,,8,,4,,,-,0,,1,,1,,2,,,-,0,,0,,,-,,-,"ALASKA
(64.84507631500048, -147.72205669099972)",
LOUISIANA,2014,27,,-,0,,1,,1,,,-,,-,0,,1,,2,,4,,,-,0,,2,,3,,8,,"LOUISIANA
(31.312664106000454, -92.44567554599968)",
TENNESSEE,2014,27,1,,0,,4,,14,,5,,,-,0,,3,,9,,9,,,-,0,,1,,4,,3,,"TENNESSEE
(35.68094014000047, -85.77448642199965)",
MARYLAND,2014,27,8,,16,,81,,281,,530,,8,,2,,10,,80,,68,,,-,0,,1,,4,,2,,"MARYLAND
(39.29058224000045, -76.60925970899967)",
NEW JERSEY,2014,27,,-,39,,234,,769,,1751,,,-,1,,6,,27,,48,,,-,0,,2,,4,,10,,"NEW JERSEY
(40.13057159500045, -74.27368565099965)",
NORTH DAKOTA,2014,27,,-,0,,6,,4,,6,,1,,0,,1,,5,,2,,,-,0,,1,,1,,2,,"NORTH DAKOTA
(47.47531892900048, -100.11842599699969)",
RHODE ISLAND,2014,27,,-,9,,54,,162,,172,,,-,0,,8,,3,,,-,,-,0,,1,,1,,1,,"RHODE ISLAND
(41.708284362000484, -71.52246918099962)",
DELAWARE,2014,27,3,,8,,24,,166,,213,,,-,0,,1,,1,,5,,,-,0,,1,,1,,2,,"DELAWARE
(39.00883059000046, -75.57773943699965)",
CALIFORNIA,2014,27,,-,0,,8,,4,,50,,,-,2,,5,,28,,42,,,-,2,,6,,38,,65,,"CALIFORNIA
(37.63864203100047, -120.99999889499969)",
TEXAS,2014,27,2,,0,,11,,4,,29,,,-,1,,19,,18,,37,,,-,0,,5,,13,,16,,"TEXAS
(31.827240712000446, -99.4267664729997)",
NEBRASKA,2014,27,,-,0,,3,,3,,1,,,-,0,,2,,1,,1,,,-,0,,1,,,-,3,,"NEBRASKA
(41.641041981000456, -99.36571864599966)",
MAINE,2014,27,,-,14,,102,,202,,325,,,-,0,,2,,3,,2,,,-,0,,1,,,-,2,,"MAINE
(45.2542257390005, -68.98502952999962)",
OHIO,2014,27,1,,1,,7,,24,,31,,,-,1,,3,,21,,11,,,-,0,,2,,6,,6,,"OHIO
(40.06021184000048, -82.40425685299965)",
MICHIGAN,2014,27,,-,2,,16,,19,,25,,,-,0,,2,,8,,9,,,-,0,,1,,6,,3,,"MICHIGAN
(44.66132176400049, -84.71438724399968)",
NEW YORK CITY,2014,27,1,,5,,441,,483,,202,,5,,3,,13,,74,,66,,,-,0,,2,,8,,11,,"NEW YORK CITY
(40.71426755700048, -74.00596858999967)",
ARKANSAS,2014,27,,-,0,,0,,,-,,-,,-,0,,1,,2,,1,,,-,0,,1,,1,,5,,"ARKANSAS
(34.74865329300047, -92.27448794899965)",
OREGON,2014,27,,-,1,,4,,32,,19,,,-,0,,1,,6,,4,,,-,0,,3,,12,,8,,"OREGON
(44.56745218600048, -120.15502977999972)",
PENNSYLVANIA,2014,27,185,,61,,433,,1870,,1722,,2,,1,,5,,24,,36,,,-,0,,2,,7,,16,,"PENNSYLVANIA
(40.79373260300048, -77.86069775999965)",
SOUTH CAROLINA,2014,27,,-,0,,5,,8,,9,,,-,0,,2,,2,,5,,,-,0,,1,,2,,2,,"SOUTH CAROLINA
(33.99882214300044, -81.04536765699964)",
PUERTO RICO,2014,27,,N,0,,0,,,N,,N,,-,0,,1,,1,,,-,,-,0,,1,,1,,1,,"PUERTO RICO
(18.24828934900046, -66.49988980099965)",
WASHINGTON,2014,27,,-,0,,4,,,-,4,,1,,0,,3,,15,,8,,,-,0,,5,,8,,8,,"WASHINGTON
(47.5222894470005, -120.47002746299972)",
ILLINOIS,2014,27,,-,1,,28,,37,,178,,,-,1,,5,,13,,35,,,-,0,,2,,8,,5,,"ILLINOIS
(40.48501433000047, -88.99770813999965)",
MISSISSIPPI,2014,27,,-,0,,0,,,-,,-,,-,0,,1,,1,,1,,,-,0,,1,,,-,3,,"MISSISSIPPI
(32.745512774000474, -89.53802764499966)",
NEW MEXICO,2014,27,,-,0,,3,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,2,,1,,"NEW MEXICO
(34.520884020000494, -106.24057768899968)",
VERMONT,2014,27,4,,9,,103,,126,,177,,,-,0,,3,,,-,,-,,-,0,,1,,,-,2,,"VERMONT
(43.62538000100045, -72.51763944499965)",
KANSAS,2014,27,,-,0,,4,,4,,12,,,-,0,,2,,6,,5,,,-,0,,1,,1,,3,,"KANSAS
(38.3477418760005, -98.20077655499966)",
WISCONSIN,2014,27,,-,10,,196,,197,,790,,,-,0,,2,,4,,6,,,-,0,,1,,4,,10,,"WISCONSIN
(44.393191877000504, -89.81636715299965)",
INDIANA,2014,27,,-,0,,9,,,-,65,,,-,0,,2,,4,,9,,,-,0,,1,,3,,11,,"INDIANA
(39.76691072200049, -86.14995579899966)",
VIRGINIA,2014,27,22,,14,,267,,229,,343,,1,,1,,5,,35,,35,,,-,0,,2,,5,,4,,"VIRGINIA
(37.542682294000485, -78.45788924199968)",
GEORGIA,2014,27,,-,0,,3,,3,,4,,,-,1,,5,,37,,32,,,-,0,,2,,9,,7,,"GEORGIA
(32.83968158500045, -83.62757601199968)",
UNITED STATES,2014,28,509,,406,,2486,,7930,,15289,,14,,25,,51,,595,,761,,1,,8,,24,,243,,343,,,
NEW ENGLAND,2014,28,24,,101,,998,,1907,,6084,,1,,1,,9,,26,,65,,,-,0,,3,,8,,13,,,
MID. ATLANTIC,2014,28,430,,179,,907,,4597,,5179,,5,,7,,21,,154,,182,,,-,1,,3,,24,,51,,,
E.N. CENTRAL,2014,28,4,,17,,199,,357,,1275,,,-,2,,8,,53,,76,,,-,1,,4,,27,,35,,,
W.N. CENTRAL,2014,28,,-,7,,235,,66,,1194,,1,,1,,7,,30,,53,,,-,0,,3,,16,,28,,,
S. ATLANTIC,2014,28,48,,46,,309,,866,,1372,,5,,7,,18,,211,,206,,1,,1,,6,,60,,62,,,
DIST. OF COL.,2014,28,,N,0,,0,,,N,,N,,-,0,,2,,3,,11,,,-,0,,0,,,-,,-,"DIST. OF COL.
",
E.S. CENTRAL,2014,28,2,,2,,9,,67,,27,,,-,1,,4,,24,,18,,,-,0,,2,,9,,8,,,
W.S. CENTRAL,2014,28,,-,1,,13,,7,,35,,,-,1,,21,,24,,51,,,-,1,,6,,26,,35,,,
MOUNTAIN,2014,28,,-,1,,9,,18,,37,,1,,1,,5,,21,,49,,,-,0,,2,,14,,28,,,
PACIFIC,2014,28,1,,2,,10,,45,,86,,1,,3,,9,,52,,61,,,-,2,,7,,59,,83,,,
AMER. SAMOA,2014,28,,N,,-,,-,,N,,N,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"AMER. SAMOA
",
C.N.M.I.,2014,28,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"C.N.M.I.
",
VIRGIN ISL.,2014,28,,N,0,,0,,,N,,N,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISL.
",
MASSACHUSETTS,2014,28,,-,35,,411,,778,,2790,,,-,1,,4,,17,,38,,,-,0,,3,,6,,4,,"MASSACHUSETTS
(42.27687014100047, -72.08268985899963)",
CALIFORNIA,2014,28,,-,0,,8,,4,,56,,,-,2,,5,,28,,45,,,-,1,,5,,38,,66,,"CALIFORNIA
(37.63864203100047, -120.99999889499969)",
INDIANA,2014,28,,-,0,,9,,,-,74,,,-,0,,2,,4,,11,,,-,0,,1,,3,,11,,"INDIANA
(39.76691072200049, -86.14995579899966)",
