Reporting Area,MMWR Year,MMWR Week,"Invasive Pneumococcal disease, All ages, Current week","Invasive Pneumococcal disease§, All ages, Current week, flag","Invasive Pneumococcal disease§, All ages, Previous 52 weeks Med","Invasive Pneumococcal disease§, All ages, Previous 52 weeks Med, flag","Invasive Pneumococcal disease§, All ages, Previous 52 weeks Max","Invasive Pneumococcal disease§, All ages, Previous 52 weeks Max, flag","Invasive Pneumococcal disease§, All ages, Cum 2016","Invasive Pneumococcal disease§, All ages, Cum 2016, flag","Invasive Pneumococcal disease§, All ages, Cum 2015","Invasive Pneumococcal disease§, All ages, Cum 2015, flag","Invasive Pneumococcal disease§, Age LT 5, Current week","Invasive Pneumococcal disease§, Age LT 5, Current week, flag","Invasive Pneumococcal disease§, Age LT 5, Previous 52 weeks Med","Invasive Pneumococcal disease§, Age LT 5, Previous 52 weeks Med, flag","Invasive Pneumococcal disease§, Age LT 5, Previous 52 weeks Max","Invasive Pneumococcal disease§, Age LT 5, Previous 52 weeks Max, flag","Invasive Pneumococcal disease§, Age LT 5, Cum 2016","Invasive Pneumococcal disease§, Age LT 5, Cum 2016, flag","Invasive Pneumococcal disease§, Age LT 5, Cum 2015","Invasive Pneumococcal disease§, Age LT 5, Cum 2015, flag","Legionellosis, Current week","Legionellosis, Current week, flag","Legionellosis, Previous 52 weeks Med","Legionellosis, Previous 52 weeks Med, flag","Legionellosis, Previous 52 weeks Max","Legionellosis, Previous 52 weeks Max, flag","Legionellosis, Cum 2016","Legionellosis, Cum 2016, flag","Legionellosis, Cum 2015","Legionellosis, Cum 2015, flag",Location 1,Location 2
CALIFORNIA,2016,10,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,1,,7,,18,,17,,102,,"CALIFORNIA
(37.640735, -121.002435)",
VERMONT,2016,10,1,,1,,5,,20,,16,,,-,0,,1,,1,,2,,,-,0,,3,,1,,,-,"VERMONT
(43.622479, -72.51927)",
INDIANA,2016,10,,-,10,,28,,87,,121,,,-,0,,3,,,-,8,,,-,1,,10,,7,,18,,"INDIANA
(39.76845, -86.156212)",
NEW JERSEY,2016,10,,-,0,,20,,2,,148,,,-,0,,1,,,-,3,,,-,2,,10,,,-,26,,"NEW JERSEY
(40.104655, -74.386686)",
HAWAII,2016,10,1,,1,,6,,16,,11,,,-,0,,1,,,-,,-,1,,0,,1,,1,,2,,"HAWAII
(21.30992, -157.858158)",
ALASKA,2016,10,1,,2,,7,,18,,17,,,-,0,,1,,3,,1,,,-,0,,0,,,-,,-,"ALASKA
(64.836661, -147.738891)",
IOWA,2016,10,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,-,0,,3,,2,,7,,"IOWA
(42.46942, -93.815856)",
SOUTH DAKOTA,2016,10,4,,2,,11,,24,,23,,,N,0,,0,,,N,,N,,-,0,,2,,,-,1,,"SOUTH DAKOTA
(44.35371, -100.373709)",
TEXAS,2016,10,43,,28,,175,,398,,384,,3,,2,,11,,25,,34,,1,,5,,13,,13,,31,,"TEXAS
(31.827233, -99.423022)",
UTAH,2016,10,,-,2,,7,,3,,49,,,-,0,,2,,,-,5,,,-,0,,2,,,-,9,,"UTAH
(39.359772, -111.584173)",
MISSISSIPPI,2016,10,6,,5,,12,,78,,66,,,-,0,,2,,7,,4,,,-,0,,4,,1,,5,,"MISSISSIPPI
(32.738663, -89.537312)",
ALABAMA,2016,10,4,,5,,17,,77,,93,,,-,0,,4,,7,,9,,1,,1,,6,,7,,8,,"ALABAMA
(32.839182, -86.631125)",
DELAWARE,2016,10,1,,1,,5,,14,,28,,,-,0,,1,,,-,2,,,-,0,,3,,5,,2,,"DELAWARE
(39.008676, -75.574561)",
WASHINGTON,2016,10,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,-,0,,7,,4,,4,,"WASHINGTON
(47.517368, -120.467672)",
RHODE ISLAND,2016,10,1,,1,,5,,5,,10,,,-,0,,1,,,-,1,,,-,0,,6,,,-,3,,"RHODE ISLAND
(41.707447, -71.522488)",
MICHIGAN,2016,10,6,,14,,46,,163,,171,,1,,1,,3,,9,,7,,,-,2,,13,,7,,25,,"MICHIGAN
(44.66399, -84.711206)",
KENTUCKY,2016,10,,-,3,,10,,16,,63,,,-,0,,2,,,-,1,,,-,1,,7,,6,,11,,"KENTUCKY
(37.64591, -84.774043)",
KANSAS,2016,10,,-,3,,7,,39,,40,,,-,0,,1,,2,,6,,,-,0,,4,,1,,3,,"KANSAS
(38.345528, -98.201847)",
GUAM,2016,10,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
SOUTH CAROLINA,2016,10,16,,7,,18,,98,,152,,,-,0,,2,,3,,9,,,-,1,,3,,4,,9,,"SOUTH CAROLINA
(34.009286, -81.037094)",
COLORADO,2016,10,,-,8,,21,,,-,109,,,-,0,,2,,,-,10,,,-,1,,6,,,-,5,,"COLORADO
(38.841772, -106.132562)",
NEBRASKA,2016,10,3,,3,,7,,42,,38,,,-,0,,2,,3,,3,,,-,0,,2,,,-,7,,"NEBRASKA
(41.640503, -99.367122)",
ARIZONA,2016,10,22,,12,,37,,265,,217,,1,,1,,4,,18,,15,,,-,1,,4,,11,,21,,"ARIZONA
(34.869712, -111.760902)",
TENNESSEE,2016,10,12,,13,,33,,182,,268,,2,,1,,3,,10,,13,,1,,2,,9,,15,,9,,"TENNESSEE
(35.681402, -85.774444)",
GEORGIA,2016,10,13,,16,,31,,169,,303,,1,,1,,5,,13,,13,,1,,2,,9,,11,,4,,"GEORGIA
(32.836038, -83.631709)",
NEVADA,2016,10,2,,3,,10,,26,,53,,,-,0,,2,,1,,2,,,-,0,,2,,,-,5,,"NEVADA
(39.491833, -117.070159)",
MAINE,2016,10,1,,3,,7,,30,,34,,,-,0,,2,,3,,,-,,-,0,,2,,4,,,-,"MAINE
(45.252223, -68.986647)",
PUERTO RICO,2016,10,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,2,,,-,3,,"PUERTO RICO
(18.215692, -66.414655)",
PENNSYLVANIA,2016,10,6,,10,,21,,112,,128,,1,,0,,2,,2,,6,,2,,6,,23,,20,,34,,"PENNSYLVANIA
(40.789676, -77.858055)",
UNITED STATES,2016,11,274,,299,,647,,3764,,4704,,17,,22,,33,,232,,303,,30,,94,,230,,496,,806,,,
NEW ENGLAND,2016,11,4,,19,,41,,222,,277,,1,,0,,4,,14,,18,,,-,5,,15,,16,,34,,,
MID. ATLANTIC,2016,11,51,,41,,106,,521,,667,,,-,2,,7,,20,,27,,13,,20,,101,,127,,161,,,
NEW YORK CITY,2016,11,18,,13,,24,,181,,181,,,-,1,,3,,4,,9,,2,,5,,84,,55,,39,,"NEW YORK CITY
",
E.N. CENTRAL,2016,11,42,,53,,127,,688,,719,,3,,3,,9,,35,,37,,5,,17,,101,,95,,142,,,
W.N. CENTRAL,2016,11,14,,12,,49,,133,,386,,2,,0,,5,,8,,35,,,-,4,,22,,24,,35,,,
PENNSYLVANIA,2016,11,8,,10,,21,,125,,140,,,-,0,,2,,3,,6,,2,,6,,23,,23,,38,,"PENNSYLVANIA
(40.789676, -77.858055)",
S. ATLANTIC,2016,11,55,,47,,101,,687,,874,,4,,4,,11,,53,,55,,8,,18,,31,,124,,167,,,
DIST. OF COL.,2016,11,,-,1,,5,,9,,17,,,-,0,,1,,,-,4,,,-,0,,1,,,-,,-,"DIST. OF COL.
",
E.S. CENTRAL,2016,11,10,,29,,70,,395,,528,,,-,2,,5,,24,,30,,1,,5,,15,,32,,38,,,
W.S. CENTRAL,2016,11,53,,40,,202,,606,,622,,5,,4,,13,,45,,55,,1,,8,,15,,21,,54,,,
MOUNTAIN,2016,11,42,,36,,62,,471,,602,,2,,2,,6,,30,,45,,1,,4,,10,,21,,51,,,
PACIFIC,2016,11,3,,3,,8,,41,,29,,,-,0,,2,,3,,1,,1,,9,,20,,36,,124,,,
AMER. SAMOA,2016,11,,N,0,,0,,,N,,N,,-,0,,0,,,-,,-,,N,0,,0,,,N,,N,"AMER. SAMOA
",
C.N.M.I.,2016,11,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"C.N.M.I.
",
VIRGIN ISL.,2016,11,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISL.
",
PUERTO RICO,2016,11,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,2,,,-,3,,"PUERTO RICO
(18.215692, -66.414655)",
MISSOURI,2016,11,,N,0,,0,,,N,,N,,-,0,,0,,,-,2,,,-,2,,19,,16,,12,,"MISSOURI
(38.636168, -92.566292)",
MAINE,2016,11,2,,3,,7,,32,,35,,,-,0,,2,,3,,1,,,-,0,,2,,4,,,-,"MAINE
(45.252223, -68.986647)",
ARIZONA,2016,11,36,,12,,38,,298,,239,,2,,1,,4,,20,,16,,1,,1,,4,,13,,24,,"ARIZONA
(34.869712, -111.760902)",
ALABAMA,2016,11,2,,5,,16,,83,,101,,,-,0,,4,,7,,9,,,-,1,,6,,7,,9,,"ALABAMA
(32.839182, -86.631125)",
GEORGIA,2016,11,17,,18,,33,,226,,333,,1,,1,,5,,16,,14,,1,,2,,9,,15,,6,,"GEORGIA
(32.836038, -83.631709)",
KENTUCKY,2016,11,,-,3,,10,,31,,70,,,-,0,,2,,,-,1,,,-,1,,7,,6,,12,,"KENTUCKY
(37.64591, -84.774043)",
ILLINOIS,2016,11,,N,0,,0,,,N,,N,,-,0,,2,,,-,,-,,-,4,,48,,17,,22,,"ILLINOIS
(40.477092, -88.993221)",
WEST VIRGINIA,2016,11,,-,3,,11,,10,,63,,,-,0,,2,,,-,2,,,-,0,,3,,,-,9,,"WEST VIRGINIA
(38.668501, -80.709421)",
IOWA,2016,11,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,-,0,,3,,2,,7,,"IOWA
(42.46942, -93.815856)",
MICHIGAN,2016,11,9,,14,,46,,181,,190,,1,,1,,3,,10,,9,,,-,2,,13,,9,,27,,"MICHIGAN
(44.66399, -84.711206)",
ALASKA,2016,11,3,,2,,6,,25,,18,,,-,0,,1,,3,,1,,,-,0,,0,,,-,,-,"ALASKA
(64.836661, -147.738891)",
CONNECTICUT,2016,11,1,,4,,11,,50,,59,,1,,0,,1,,3,,1,,,-,1,,4,,3,,5,,"CONNECTICUT
(41.544654, -72.651713)",
KANSAS,2016,11,,-,3,,8,,42,,45,,,-,0,,1,,2,,6,,,-,0,,4,,2,,3,,"KANSAS
(38.345528, -98.201847)",
MONTANA,2016,11,2,,1,,5,,17,,16,,,-,0,,1,,1,,,-,,-,0,,2,,1,,1,,"MONTANA
(47.062617, -109.430168)",
COLORADO,2016,11,,-,8,,21,,,-,120,,,-,0,,2,,,-,10,,,-,1,,6,,,-,7,,"COLORADO
(38.841772, -106.132562)",
TENNESSEE,2016,11,8,,14,,33,,200,,290,,,-,1,,3,,10,,16,,1,,2,,8,,16,,10,,"TENNESSEE
(35.681402, -85.774444)",
RHODE ISLAND,2016,11,,-,1,,5,,6,,12,,,-,0,,1,,,-,1,,,-,0,,6,,,-,3,,"RHODE ISLAND
(41.707447, -71.522488)",
UTAH,2016,11,,-,3,,7,,33,,52,,,-,0,,2,,2,,6,,,-,0,,2,,,-,9,,"UTAH
(39.359772, -111.584173)",
IDAHO,2016,11,,N,0,,0,,,N,,N,,-,0,,1,,2,,3,,,-,0,,1,,5,,2,,"IDAHO
(43.680635, -114.364237)",
GUAM,2016,11,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
DELAWARE,2016,11,,-,1,,5,,15,,31,,,-,0,,1,,,-,2,,,-,0,,3,,5,,2,,"DELAWARE
(39.008676, -75.574561)",
WYOMING,2016,11,1,,0,,4,,12,,7,,,-,0,,0,,,-,1,,,-,0,,2,,,-,,-,"WYOMING
(43.23558, -108.110518)",
ARKANSAS,2016,11,2,,5,,24,,59,,79,,,-,0,,3,,6,,5,,,-,0,,4,,2,,4,,"ARKANSAS
(34.748745, -92.275105)",
FLORIDA,2016,11,19,,8,,29,,202,,132,,2,,1,,4,,19,,17,,6,,5,,13,,52,,59,,"FLORIDA
(28.915325, -81.922409)",
LOUISIANA,2016,11,5,,6,,16,,97,,116,,1,,0,,3,,8,,8,,,-,0,,4,,4,,11,,"LOUISIANA
(31.2931, -92.463284)",
VERMONT,2016,11,1,,1,,5,,21,,16,,,-,0,,1,,1,,2,,,-,0,,3,,1,,,-,"VERMONT
(43.622479, -72.51927)",
VIRGINIA,2016,11,1,,0,,2,,6,,5,,1,,0,,2,,6,,5,,,-,2,,9,,13,,21,,"VIRGINIA
(37.542699, -78.45822)",
NEW JERSEY,2016,11,,-,0,,20,,2,,156,,,-,0,,1,,,-,4,,,-,2,,10,,,-,29,,"NEW JERSEY
(40.104655, -74.386686)",
TEXAS,2016,11,46,,28,,175,,450,,427,,3,,2,,11,,28,,37,,1,,5,,13,,14,,38,,"TEXAS
(31.827233, -99.423022)",
MISSISSIPPI,2016,11,,-,5,,12,,81,,67,,,-,0,,2,,7,,4,,,-,0,,4,,3,,7,,"MISSISSIPPI
(32.738663, -89.537312)",
OKLAHOMA,2016,11,,N,0,,0,,,N,,N,1,,0,,2,,3,,5,,,-,0,,9,,1,,1,,"OKLAHOMA
(35.468494, -97.521264)",
INDIANA,2016,11,,-,10,,28,,104,,140,,,-,0,,3,,1,,11,,,-,1,,10,,7,,23,,"INDIANA
(39.76845, -86.156212)",
OREGON,2016,11,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,-,1,,3,,4,,5,,"OREGON
(44.567912, -120.156945)",
NEBRASKA,2016,11,8,,3,,7,,51,,44,,1,,0,,2,,5,,3,,,-,0,,2,,,-,7,,"NEBRASKA
(41.640503, -99.367122)",
HAWAII,2016,11,,-,1,,6,,16,,11,,,-,0,,1,,,-,,-,,-,0,,1,,1,,3,,"HAWAII
(21.30992, -157.858158)",
SOUTH CAROLINA,2016,11,6,,7,,18,,105,,169,,,-,0,,2,,3,,9,,,-,1,,3,,4,,11,,"SOUTH CAROLINA
(34.009286, -81.037094)",
NORTH DAKOTA,2016,11,3,,1,,6,,11,,23,,1,,0,,1,,1,,1,,,-,0,,1,,,-,1,,"NORTH DAKOTA
(47.475879, -100.121011)",
WASHINGTON,2016,11,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,1,,0,,7,,5,,5,,"WASHINGTON
(47.517368, -120.467672)",
NORTH CAROLINA,2016,11,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,-,3,,8,,17,,35,,"NORTH CAROLINA
(35.47995, -79.180571)",
MARYLAND,2016,11,12,,7,,23,,114,,124,,,-,0,,3,,9,,2,,1,,2,,9,,18,,24,,"MARYLAND
(39.290443, -76.612333)",
CALIFORNIA,2016,11,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,-,7,,18,,26,,111,,"CALIFORNIA
(37.640735, -121.002435)",
MINNESOTA,2016,11,,-,0,,36,,,-,251,,,-,0,,5,,,-,23,,,-,1,,5,,4,,4,,"MINNESOTA
(44.943719, -93.094281)",
NEVADA,2016,11,,-,2,,10,,26,,58,,,-,0,,2,,1,,4,,,-,0,,2,,,-,6,,"NEVADA
(39.491833, -117.070159)",
NEW MEXICO,2016,11,3,,4,,14,,85,,110,,,-,0,,4,,4,,5,,,-,0,,2,,2,,2,,"NEW MEXICO
(34.520396, -106.244402)",
WISCONSIN,2016,11,9,,7,,24,,104,,116,,1,,0,,2,,5,,7,,,-,2,,6,,4,,13,,"WISCONSIN
(44.395526, -89.834513)",
NEW YORK,2016,11,25,,16,,69,,213,,190,,,-,1,,4,,13,,8,,9,,6,,26,,49,,55,,"NEW YORK
(42.826892, -75.544286)",
NEW HAMPSHIRE,2016,11,,-,1,,4,,7,,33,,,-,0,,1,,,-,5,,,-,0,,5,,,-,3,,"NEW HAMPSHIRE
(43.657736, -71.500736)",
SOUTH DAKOTA,2016,11,3,,2,,11,,29,,23,,,N,0,,0,,,N,,N,,-,0,,2,,,-,1,,"SOUTH DAKOTA
(44.35371, -100.373709)",
MASSACHUSETTS,2016,11,,-,9,,25,,106,,122,,,-,0,,3,,7,,8,,,-,3,,8,,8,,23,,"MASSACHUSETTS
(42.268546, -72.085064)",
AMER. SAMOA,2016,17,,N,0,,0,,,N,,N,,-,0,,0,,,-,,-,,N,0,,0,,,N,,N,"AMER. SAMOA
",
OHIO,2016,11,24,,20,,41,,299,,273,,1,,1,,4,,19,,10,,5,,7,,74,,58,,57,,"OHIO
(40.056807, -82.405897)",
UNITED STATES,2016,12,216,,300,,647,,4194,,5130,,19,,23,,33,,259,,332,,40,,94,,231,,560,,884,,,
NEW ENGLAND,2016,12,3,,20,,41,,267,,314,,,-,0,,4,,16,,22,,3,,5,,15,,23,,36,,,
MID. ATLANTIC,2016,12,43,,42,,106,,570,,741,,4,,2,,7,,24,,27,,15,,20,,101,,142,,177,,,
NEW YORK CITY,2016,12,13,,13,,24,,194,,202,,,-,0,,3,,4,,9,,3,,5,,84,,58,,42,,"NEW YORK CITY
",
E.N. CENTRAL,2016,12,37,,53,,127,,753,,782,,2,,3,,9,,38,,39,,2,,17,,101,,104,,148,,,
W.N. CENTRAL,2016,12,9,,12,,49,,153,,428,,,-,0,,5,,8,,38,,1,,4,,22,,25,,37,,,
S. ATLANTIC,2016,12,45,,49,,102,,781,,943,,2,,4,,11,,57,,62,,9,,18,,31,,135,,187,,,
DIST. OF COL.,2016,12,4,,1,,5,,17,,20,,,-,0,,1,,,-,4,,,-,0,,1,,,-,,-,"DIST. OF COL.
",
E.S. CENTRAL,2016,12,22,,30,,70,,476,,562,,3,,2,,5,,27,,34,,6,,5,,15,,41,,43,,,
W.S. CENTRAL,2016,12,27,,40,,202,,647,,684,,6,,4,,13,,53,,60,,1,,8,,16,,23,,63,,,
MOUNTAIN,2016,12,29,,36,,62,,505,,639,,2,,2,,6,,33,,49,,1,,4,,10,,23,,56,,,
PACIFIC,2016,12,1,,3,,8,,42,,37,,,-,0,,2,,3,,1,,2,,9,,20,,44,,137,,,
AMER. SAMOA,2016,12,,N,0,,0,,,N,,N,,-,0,,0,,,-,,-,,N,0,,0,,,N,,N,"AMER. SAMOA
",
C.N.M.I.,2016,12,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"C.N.M.I.
",
VIRGIN ISL.,2016,12,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISL.
",
NEW YORK,2016,12,25,,17,,69,,238,,212,,3,,1,,4,,16,,9,,8,,6,,26,,57,,61,,"NEW YORK
(42.826892, -75.544286)",
MICHIGAN,2016,12,3,,14,,46,,205,,209,,1,,1,,3,,11,,10,,1,,2,,13,,10,,27,,"MICHIGAN
(44.66399, -84.711206)",
GEORGIA,2016,12,10,,18,,33,,260,,366,,,-,1,,5,,17,,15,,,-,2,,9,,15,,8,,"GEORGIA
(32.836038, -83.631709)",
ARKANSAS,2016,12,1,,5,,24,,64,,86,,,-,0,,3,,6,,5,,1,,0,,4,,3,,5,,"ARKANSAS
(34.748745, -92.275105)",
OHIO,2016,12,33,,20,,41,,333,,293,,1,,1,,4,,20,,10,,1,,7,,74,,59,,62,,"OHIO
(40.056807, -82.405897)",
MISSOURI,2016,12,,N,0,,0,,,N,,N,,-,0,,0,,,-,2,,1,,2,,19,,17,,12,,"MISSOURI
(38.636168, -92.566292)",
WASHINGTON,2016,12,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,2,,0,,7,,7,,5,,"WASHINGTON
(47.517368, -120.467672)",
IDAHO,2016,12,,N,0,,0,,,N,,N,,-,0,,1,,2,,3,,,-,0,,1,,5,,3,,"IDAHO
(43.680635, -114.364237)",
LOUISIANA,2016,12,3,,6,,16,,106,,123,,,-,0,,3,,9,,9,,,-,0,,4,,4,,11,,"LOUISIANA
(31.2931, -92.463284)",
HAWAII,2016,12,,-,1,,6,,16,,15,,,-,0,,1,,,-,,-,,-,0,,1,,1,,3,,"HAWAII
(21.30992, -157.858158)",
KANSAS,2016,12,,-,3,,9,,47,,50,,,-,0,,1,,2,,7,,,-,0,,4,,2,,3,,"KANSAS
(38.345528, -98.201847)",
NEW MEXICO,2016,12,,-,4,,15,,95,,119,,,-,0,,4,,5,,7,,,-,0,,2,,2,,2,,"NEW MEXICO
(34.520396, -106.244402)",
MAINE,2016,12,2,,3,,7,,35,,39,,,-,0,,2,,3,,1,,,-,0,,2,,5,,1,,"MAINE
(45.252223, -68.986647)",
PUERTO RICO,2016,12,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,2,,,-,4,,"PUERTO RICO
(18.215692, -66.414655)",
ARIZONA,2016,12,27,,12,,37,,317,,253,,2,,1,,4,,21,,18,,1,,1,,4,,15,,28,,"ARIZONA
(34.869712, -111.760902)",
NEVADA,2016,12,,-,2,,10,,28,,59,,,-,0,,1,,1,,4,,,-,0,,2,,,-,6,,"NEVADA
(39.491833, -117.070159)",
MISSISSIPPI,2016,12,2,,5,,12,,86,,69,,,-,0,,2,,7,,4,,,-,0,,4,,3,,8,,"MISSISSIPPI
(32.738663, -89.537312)",
MASSACHUSETTS,2016,12,,-,9,,24,,136,,137,,,-,0,,3,,8,,11,,,-,2,,8,,11,,23,,"MASSACHUSETTS
(42.268546, -72.085064)",
ALABAMA,2016,12,,-,5,,16,,93,,106,,,-,0,,4,,7,,11,,2,,1,,6,,10,,9,,"ALABAMA
(32.839182, -86.631125)",
COLORADO,2016,12,,-,7,,21,,,-,126,,,-,0,,2,,,-,10,,,-,1,,6,,,-,7,,"COLORADO
(38.841772, -106.132562)",
NEBRASKA,2016,12,4,,3,,8,,55,,44,,,-,0,,2,,5,,3,,,-,0,,2,,,-,7,,"NEBRASKA
(41.640503, -99.367122)",
MARYLAND,2016,12,13,,7,,23,,129,,130,,2,,0,,3,,11,,4,,,-,2,,9,,18,,25,,"MARYLAND
(39.290443, -76.612333)",
NEW JERSEY,2016,12,,-,0,,20,,2,,173,,,-,0,,1,,,-,4,,,-,2,,10,,,-,33,,"NEW JERSEY
(40.104655, -74.386686)",
OREGON,2016,12,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,-,1,,3,,4,,7,,"OREGON
(44.567912, -120.156945)",
SOUTH CAROLINA,2016,12,4,,6,,18,,109,,184,,,-,0,,2,,3,,9,,,-,1,,3,,4,,13,,"SOUTH CAROLINA
(34.009286, -81.037094)",
WYOMING,2016,12,,-,0,,4,,12,,7,,,-,0,,0,,,-,1,,,-,0,,2,,,-,,-,"WYOMING
(43.23558, -108.110518)",
CALIFORNIA,2016,12,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,-,6,,18,,32,,122,,"CALIFORNIA
(37.640735, -121.002435)",
MONTANA,2016,12,2,,1,,5,,20,,17,,,-,0,,1,,2,,,-,,-,0,,2,,1,,1,,"MONTANA
(47.062617, -109.430168)",
WEST VIRGINIA,2016,12,,-,4,,11,,27,,65,,,-,0,,2,,1,,2,,,-,0,,3,,,-,10,,"WEST VIRGINIA
(38.668501, -80.709421)",
NORTH DAKOTA,2016,12,1,,1,,6,,15,,25,,,-,0,,1,,1,,2,,,-,0,,1,,,-,1,,"NORTH DAKOTA
(47.475879, -100.121011)",
UTAH,2016,12,,-,3,,7,,33,,58,,,-,0,,2,,2,,6,,,-,0,,2,,,-,9,,"UTAH
(39.359772, -111.584173)",
KENTUCKY,2016,12,3,,4,,11,,71,,76,,1,,0,,2,,1,,1,,,-,1,,7,,8,,12,,"KENTUCKY
(37.64591, -84.774043)",
MINNESOTA,2016,12,,-,0,,36,,,-,283,,,-,0,,5,,,-,24,,,-,1,,5,,4,,5,,"MINNESOTA
(44.943719, -93.094281)",
INDIANA,2016,12,,-,10,,28,,104,,161,,,-,0,,3,,1,,12,,,-,1,,10,,9,,24,,"INDIANA
(39.76845, -86.156212)",
SOUTH DAKOTA,2016,12,4,,2,,11,,36,,26,,,N,0,,0,,,N,,N,,-,0,,2,,,-,1,,"SOUTH DAKOTA
(44.35371, -100.373709)",
VIRGINIA,2016,12,,-,0,,2,,6,,5,,,-,0,,2,,6,,5,,,-,2,,9,,13,,22,,"VIRGINIA
(37.542699, -78.45822)",
ILLINOIS,2016,12,,N,0,,0,,,N,,N,,-,0,,2,,,-,,-,,-,4,,48,,22,,22,,"ILLINOIS
(40.477092, -88.993221)",
FLORIDA,2016,12,14,,8,,29,,216,,141,,,-,1,,4,,19,,21,,9,,5,,13,,61,,65,,"FLORIDA
(28.915325, -81.922409)",
GUAM,2016,12,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
WISCONSIN,2016,12,1,,7,,24,,111,,119,,,-,0,,2,,6,,7,,,-,2,,6,,4,,13,,"WISCONSIN
(44.395526, -89.834513)",
TENNESSEE,2016,12,17,,14,,33,,226,,311,,2,,1,,3,,12,,18,,4,,2,,8,,20,,14,,"TENNESSEE
(35.681402, -85.774444)",
VERMONT,2016,12,,-,1,,5,,21,,16,,,-,0,,1,,1,,2,,,-,0,,3,,1,,1,,"VERMONT
(43.622479, -72.51927)",
TEXAS,2016,12,23,,28,,175,,477,,475,,4,,2,,11,,33,,41,,,-,5,,15,,15,,43,,"TEXAS
(31.827233, -99.423022)",
PENNSYLVANIA,2016,12,5,,10,,21,,136,,154,,1,,0,,2,,4,,5,,4,,6,,23,,27,,41,,"PENNSYLVANIA
(40.789676, -77.858055)",
NEW HAMPSHIRE,2016,12,1,,1,,4,,11,,36,,,-,0,,1,,1,,5,,,-,0,,5,,,-,3,,"NEW HAMPSHIRE
(43.657736, -71.500736)",
NORTH CAROLINA,2016,12,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,-,3,,8,,19,,42,,"NORTH CAROLINA
(35.47995, -79.180571)",
DELAWARE,2016,12,,-,1,,5,,17,,32,,,-,0,,1,,,-,2,,,-,0,,3,,5,,2,,"DELAWARE
(39.008676, -75.574561)",
ALASKA,2016,12,1,,2,,6,,26,,22,,,-,0,,1,,3,,1,,,-,0,,0,,,-,,-,"ALASKA
(64.836661, -147.738891)",
OKLAHOMA,2016,12,,N,0,,0,,,N,,N,2,,0,,2,,5,,5,,,-,0,,9,,1,,4,,"OKLAHOMA
(35.468494, -97.521264)",
CONNECTICUT,2016,12,,-,4,,11,,57,,72,,,-,0,,1,,3,,2,,,-,1,,4,,3,,5,,"CONNECTICUT
(41.544654, -72.651713)",
IOWA,2016,12,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,-,0,,3,,2,,8,,"IOWA
(42.46942, -93.815856)",
RHODE ISLAND,2016,12,,-,1,,5,,7,,14,,,-,0,,1,,,-,1,,3,,0,,6,,3,,3,,"RHODE ISLAND
(41.707447, -71.522488)",
UNITED STATES,2016,13,261,,292,,653,,4625,,5553,,7,,22,,33,,282,,360,,35,,94,,232,,625,,962,,,
NEW ENGLAND,2016,13,4,,20,,41,,278,,349,,1,,0,,4,,18,,25,,,-,5,,15,,24,,39,,,
MID. ATLANTIC,2016,13,65,,42,,108,,642,,806,,1,,2,,7,,25,,34,,9,,20,,101,,152,,192,,,
NEW YORK CITY,2016,13,21,,13,,24,,215,,222,,,-,0,,3,,4,,10,,1,,5,,84,,59,,44,,"NEW YORK CITY
",
E.N. CENTRAL,2016,13,39,,55,,127,,836,,868,,,-,3,,9,,41,,44,,9,,17,,101,,126,,156,,,
W.N. CENTRAL,2016,13,13,,12,,49,,172,,463,,1,,0,,5,,11,,38,,,-,4,,22,,25,,41,,,
