Reporting Area,MMWR Year,MMWR Week,"Cryptosporidiosis, Current week","Cryptosporidiosis, Current week, flag","Cryptosporidiosis, Previous 52 weeks Med","Cryptosporidiosis, Previous 52 weeks Med, flag","Cryptosporidiosis, Previous 52 weeks Max","Cryptosporidiosis, Previous 52 weeks Max, flag","Cryptosporidiosis, Cum 2015","Cryptosporidiosis, Cum 2015, flag","Cryptosporidiosis, Cum 2014","Cryptosporidiosis, Cum 2014, flag","Dengue Fever, Current week","Dengue§, Current week, flag","Dengue§, Previous 52 weeks Med","Dengue§, Previous 52 weeks Med, flag","Dengue§, Previous 52 weeks Max","Dengue§, Previous 52 weeks Max, flag","Dengue§, Cum 2015","Dengue§, Cum 2015, flag","Dengue§, Cum 2014","Dengue§, Cum 2014, flag","Dengue Hemorrhagic Fever, Current week","Dengue Severe, Current week, flag","Dengue Severe, Previous 52 weeks Med","Dengue Severe, Previous 52 weeks Med, flag","Dengue Severe, Previous 52 weeks Max","Dengue Severe, Previous 52 weeks Max, flag","Dengue Severe, Cum 2015","Dengue Severe, Cum 2015, flag","Dengue Severe, Cum 2014","Dengue Severe, Cum 2014, flag",Location 1,Location 2
IDAHO,2015,11,2,,1,,14,,10,,14,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"IDAHO
(43.68263174800006, -114.36372693399994)",
SOUTH CAROLINA,2015,11,2,,1,,4,,12,,12,,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,"SOUTH CAROLINA
(33.99882216300006, -81.04536596899999)",
GEORGIA,2015,11,1,,4,,15,,61,,41,,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,"GEORGIA
(32.839683200000024, -83.62757885599996)",
ARKANSAS,2015,11,,-,1,,12,,7,,3,,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"ARKANSAS
(34.74865032200006, -92.27448966799994)",
WASHINGTON,2015,11,,-,0,,13,,8,,4,,,-,0,,2,,3,,2,,,-,0,,0,,,-,,-,"WASHINGTON
(47.52228790000004, -120.47002813699999)",
MISSISSIPPI,2015,11,,-,1,,6,,7,,6,,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,"MISSISSIPPI
(32.745513440000025, -89.53802722999995)",
COLORADO,2015,11,,-,1,,6,,2,,10,,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"COLORADO
(38.84384342200008, -106.13360911499996)",
NEW YORK CITY,2015,11,3,,2,,7,,14,,17,,,-,0,,4,,,-,6,,,-,0,,0,,,-,,-,"NEW YORK CITY
(40.71426755700003, -74.00596858999995)",
ALASKA,2015,11,,-,0,,1,,1,,1,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"ALASKA
(64.84507799500005, -147.72205958799998)",
SOUTH DAKOTA,2015,11,,-,2,,9,,11,,20,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"SOUTH DAKOTA
(44.35313004200003, -100.37352915599996)",
MAINE,2015,11,1,,1,,5,,8,,9,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"MAINE
(45.25422910300006, -68.98502586699993)",
MICHIGAN,2015,11,,-,4,,13,,26,,36,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"MICHIGAN
(44.66132238800003, -84.71438555599997)",
HAWAII,2015,11,,-,0,,1,,,-,,-,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"HAWAII
(21.30485232600006, -157.85774798099996)",
MASSACHUSETTS,2015,11,2,,3,,9,,22,,18,,,-,0,,2,,,-,4,,,-,0,,0,,,-,,-,"MASSACHUSETTS
(42.27687400000008, -72.08268726299997)",
ALABAMA,2015,11,1,,3,,9,,45,,19,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"ALABAMA
(32.84057234800002, -86.63185738799996)",
VERMONT,2015,11,,-,0,,7,,4,,2,,,-,0,,1,,1,,2,,,-,0,,0,,,-,,-,"VERMONT
(43.62538389600007, -72.51763667599994)",
PUERTO RICO,2015,11,,N,0,,0,,,N,,N,,-,3,,13,,7,,274,,,-,0,,0,,,-,2,,"PUERTO RICO
(18.24828934900006, -66.49988980099994)",
ILLINOIS,2015,11,,-,2,,9,,17,,27,,,-,0,,1,,,-,2,,,-,0,,0,,,-,,-,"ILLINOIS
(40.48501223300008, -88.99770922699997)",
NEW MEXICO,2015,11,,-,1,,7,,3,,11,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NEW MEXICO
(34.52088149400004, -106.24057817299996)",
OKLAHOMA,2015,11,1,,1,,10,,4,,8,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"OKLAHOMA
(35.472030747000076, -97.52106835299998)",
NEW YORK,2015,11,3,,4,,14,,26,,23,,,-,0,,2,,3,,8,,,-,0,,0,,,-,,-,"NEW YORK
(42.82700376100007, -75.54396609999998)",
CALIFORNIA,2015,11,,-,5,,15,,40,,52,,,-,2,,8,,7,,16,,,-,0,,0,,,-,,-,"CALIFORNIA
(37.63864210000003, -120.99999644699994)",
WEST VIRGINIA,2015,11,,-,0,,2,,2,,2,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"WEST VIRGINIA
(38.66551127300005, -80.71263755899997)",
NEW JERSEY,2015,11,,-,0,,1,,,-,12,,,-,1,,6,,5,,2,,,-,0,,0,,,-,,-,"NEW JERSEY
(40.130570807000026, -74.27368796999997)",
MONTANA,2015,11,,-,1,,5,,2,,4,,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,"MONTANA
(47.06652795700006, -109.42441587999997)",
VIRGINIA,2015,11,4,,2,,9,,14,,28,,,-,0,,3,,1,,5,,,-,0,,0,,,-,,-,"VIRGINIA
(37.542680705000066, -78.45788932099998)",
RHODE ISLAND,2015,11,,-,0,,4,,2,,1,,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,"RHODE ISLAND
(41.70828106100004, -71.52246566099996)",
WISCONSIN,2015,11,,-,7,,32,,55,,60,,,-,0,,2,,,-,2,,,-,0,,0,,,-,,-,"WISCONSIN
(44.39319064600005, -89.81636640199997)",
INDIANA,2015,11,,-,3,,11,,13,,22,,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"INDIANA
(39.766913353000064, -86.14995646699998)",
NEW HAMPSHIRE,2015,11,,-,0,,3,,2,,3,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NEW HAMPSHIRE
(43.65595283500005, -71.50035697299995)",
NORTH DAKOTA,2015,11,,-,1,,16,,3,,7,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NORTH DAKOTA
(47.475318609000055, -100.11842789099995)",
WYOMING,2015,11,,-,0,,4,,,-,2,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"WYOMING
(43.23554100600006, -108.10982701399996)",
C.N.M.I.,2015,14,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"C.N.M.I.
",
UNITED STATES,2015,12,54,,117,,335,,983,,1064,,,-,11,,37,,40,,96,,,-,0,,0,,,-,,-,,
NEW ENGLAND,2015,12,2,,5,,17,,48,,44,,,-,0,,3,,1,,7,,,-,0,,0,,,-,,-,,
MID. ATLANTIC,2015,12,8,,11,,36,,86,,121,,,-,2,,10,,8,,21,,,-,0,,0,,,-,,-,,
E.N. CENTRAL,2015,12,8,,21,,76,,182,,227,,,-,0,,4,,2,,7,,,-,0,,0,,,-,,-,,
W.N. CENTRAL,2015,12,1,,14,,39,,95,,120,,,-,0,,2,,1,,1,,,-,0,,0,,,-,,-,,
S. ATLANTIC,2015,12,18,,31,,151,,266,,257,,,-,2,,7,,10,,28,,,-,0,,0,,,-,,-,,
DIST. OF COL.,2015,12,,-,0,,1,,1,,1,,,-,0,,3,,3,,,-,,-,0,,0,,,-,,-,"DIST. OF COL.
",
E.S. CENTRAL,2015,12,3,,9,,22,,96,,56,,,-,0,,3,,6,,1,,,-,0,,0,,,-,,-,,
W.S. CENTRAL,2015,12,6,,12,,33,,74,,87,,,-,0,,4,,2,,6,,,-,0,,0,,,-,,-,,
MOUNTAIN,2015,12,,-,8,,23,,52,,73,,,-,0,,22,,,-,6,,,-,0,,0,,,-,,-,,
PACIFIC,2015,12,8,,8,,25,,84,,79,,,-,2,,8,,10,,19,,,-,0,,0,,,-,,-,,
AMER. SAMOA,2015,12,,N,,-,,-,,N,,N,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"AMER. SAMOA
",
C.N.M.I.,2015,12,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"C.N.M.I.
",
VIRGIN ISL.,2015,12,,-,0,,0,,,-,,-,,-,0,,3,,3,,1,,,-,0,,0,,,-,,-,"VIRGIN ISL.
",
NORTH DAKOTA,2015,12,,-,1,,16,,3,,7,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NORTH DAKOTA
(47.475318609000055, -100.11842789099995)",
ARIZONA,2015,12,,-,1,,3,,7,,12,,,-,0,,22,,,-,4,,,-,0,,0,,,-,,-,"ARIZONA
(34.86597351900008, -111.76380664699997)",
NEW JERSEY,2015,12,,-,0,,1,,,-,12,,,-,1,,6,,5,,2,,,-,0,,0,,,-,,-,"NEW JERSEY
(40.130570807000026, -74.27368796999997)",
TEXAS,2015,12,3,,7,,22,,25,,47,,,-,0,,3,,2,,5,,,-,0,,0,,,-,,-,"TEXAS
(31.827240467000024, -99.42676785299994)",
CALIFORNIA,2015,12,4,,5,,15,,47,,57,,,-,2,,8,,7,,17,,,-,0,,0,,,-,,-,"CALIFORNIA
(37.63864210000003, -120.99999644699994)",
MAINE,2015,12,2,,1,,5,,10,,11,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"MAINE
(45.25422910300006, -68.98502586699993)",
MISSOURI,2015,12,,-,3,,13,,18,,28,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"MISSOURI
(38.63579147100006, -92.56629944499997)",
MINNESOTA,2015,12,,-,0,,0,,,-,,-,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,"MINNESOTA
(46.35564896600005, -94.79419983199995)",
SOUTH CAROLINA,2015,12,3,,1,,4,,15,,14,,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,"SOUTH CAROLINA
(33.99882216300006, -81.04536596899999)",
NORTH CAROLINA,2015,12,,-,0,,42,,25,,44,,,-,0,,2,,,-,2,,,-,0,,0,,,-,,-,"NORTH CAROLINA
(35.466220159000045, -79.15924997399998)",
WISCONSIN,2015,12,,-,7,,32,,55,,65,,,-,0,,2,,,-,2,,,-,0,,0,,,-,,-,"WISCONSIN
(44.39319064600005, -89.81636640199997)",
GEORGIA,2015,12,1,,4,,15,,63,,45,,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,"GEORGIA
(32.839683200000024, -83.62757885599996)",
OREGON,2015,12,1,,2,,7,,25,,17,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"OREGON
(44.56745049300008, -120.15502935599994)",
IDAHO,2015,12,,-,1,,14,,9,,14,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"IDAHO
(43.68263174800006, -114.36372693399994)",
MARYLAND,2015,12,1,,1,,5,,9,,13,,,-,0,,2,,,-,3,,,-,0,,0,,,-,,-,"MARYLAND
(39.290582950000044, -76.60925984299996)",
NEBRASKA,2015,12,1,,2,,9,,21,,16,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NEBRASKA
(41.64104362100005, -99.36571888999998)",
HAWAII,2015,12,,-,0,,1,,,-,,-,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"HAWAII
(21.30485232600006, -157.85774798099996)",
MICHIGAN,2015,12,,-,4,,13,,30,,38,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"MICHIGAN
(44.66132238800003, -84.71438555599997)",
PENNSYLVANIA,2015,12,3,,6,,17,,41,,64,,,-,0,,1,,,-,3,,,-,0,,0,,,-,,-,"PENNSYLVANIA
(40.79373362300004, -77.86069690799997)",
NEW YORK,2015,12,5,,4,,14,,31,,27,,,-,0,,2,,3,,8,,,-,0,,0,,,-,,-,"NEW YORK
(42.82700376100007, -75.54396609999998)",
ILLINOIS,2015,12,,-,2,,7,,20,,36,,,-,0,,1,,,-,2,,,-,0,,0,,,-,,-,"ILLINOIS
(40.48501223300008, -88.99770922699997)",
ARKANSAS,2015,12,2,,1,,12,,9,,3,,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"ARKANSAS
(34.74865032200006, -92.27448966799994)",
WASHINGTON,2015,12,3,,0,,21,,11,,4,,,-,0,,2,,3,,2,,,-,0,,0,,,-,,-,"WASHINGTON
(47.52228790000004, -120.47002813699999)",
LOUISIANA,2015,12,,-,3,,17,,35,,28,,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,"LOUISIANA
(31.312663324000027, -92.44567750499994)",
MISSISSIPPI,2015,12,,-,1,,6,,8,,7,,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,"MISSISSIPPI
(32.745513440000025, -89.53802722999995)",
NEVADA,2015,12,,-,0,,2,,2,,2,,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,"NEVADA
(39.49324221300003, -117.07183885899997)",
VERMONT,2015,12,,-,0,,7,,5,,2,,,-,0,,1,,1,,2,,,-,0,,0,,,-,,-,"VERMONT
(43.62538389600007, -72.51763667599994)",
RHODE ISLAND,2015,12,,-,0,,4,,2,,1,,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,"RHODE ISLAND
(41.70828106100004, -71.52246566099996)",
MONTANA,2015,12,,-,1,,5,,2,,5,,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,"MONTANA
(47.06652795700006, -109.42441587999997)",
TENNESSEE,2015,12,2,,2,,12,,28,,19,,,-,0,,3,,5,,,-,,-,0,,0,,,-,,-,"TENNESSEE
(35.68094072700006, -85.77448666899994)",
IOWA,2015,12,,-,4,,13,,28,,38,,,-,0,,1,,1,,,-,,-,0,,0,,,-,,-,"IOWA
(42.469401411000035, -93.81648725599996)",
ALABAMA,2015,12,1,,3,,9,,49,,19,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"ALABAMA
(32.84057234800002, -86.63185738799996)",
COLORADO,2015,12,,-,1,,6,,2,,10,,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"COLORADO
(38.84384342200008, -106.13360911499996)",
OHIO,2015,12,8,,5,,15,,56,,63,,,-,0,,2,,2,,3,,,-,0,,0,,,-,,-,"OHIO
(40.060212455000055, -82.40425667899996)",
SOUTH DAKOTA,2015,12,,-,2,,9,,12,,22,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"SOUTH DAKOTA
(44.35313004200003, -100.37352915599996)",
NEW HAMPSHIRE,2015,12,,-,0,,3,,3,,3,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"NEW HAMPSHIRE
(43.65595283500005, -71.50035697299995)",
WEST VIRGINIA,2015,12,,-,0,,2,,2,,2,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"WEST VIRGINIA
(38.66551127300005, -80.71263755899997)",
INDIANA,2015,12,,-,3,,11,,21,,25,,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"INDIANA
(39.766913353000064, -86.14995646699998)",
DELAWARE,2015,12,,-,0,,1,,2,,2,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"DELAWARE
(39.00883389200004, -75.57773597599999)",
PUERTO RICO,2015,12,,N,0,,0,,,N,,N,,-,3,,13,,7,,286,,,-,0,,0,,,-,2,,"PUERTO RICO
(18.24828934900006, -66.49988980099994)",
NEW YORK CITY,2015,12,,-,2,,7,,14,,18,,,-,0,,4,,,-,8,,,-,0,,0,,,-,,-,"NEW YORK CITY
(40.71426755700003, -74.00596858999995)",
CONNECTICUT,2015,12,,-,1,,3,,6,,9,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"CONNECTICUT
(41.56266070000004, -72.64983977999998)",
ALASKA,2015,12,,-,0,,1,,1,,1,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"ALASKA
(64.84507799500005, -147.72205958799998)",
NEW MEXICO,2015,12,,-,1,,7,,3,,11,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NEW MEXICO
(34.52088149400004, -106.24057817299996)",
KANSAS,2015,12,,-,1,,5,,13,,9,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"KANSAS
(38.347742794000055, -98.20077822999997)",
KENTUCKY,2015,12,,-,1,,6,,11,,11,,,-,0,,1,,1,,,-,,-,0,,0,,,-,,-,"KENTUCKY
(37.64597313300004, -84.77496771599994)",
MASSACHUSETTS,2015,12,,-,3,,9,,22,,18,,,-,0,,2,,,-,4,,,-,0,,0,,,-,,-,"MASSACHUSETTS
(42.27687400000008, -72.08268726299997)",
VIRGINIA,2015,12,,-,2,,9,,14,,31,,,-,0,,3,,1,,5,,,-,0,,0,,,-,,-,"VIRGINIA
(37.542680705000066, -78.45788932099998)",
FLORIDA,2015,12,13,,18,,123,,135,,105,,,-,1,,5,,6,,16,,,-,0,,0,,,-,,-,"FLORIDA
(28.932042722000062, -81.92895768899996)",
GUAM,2015,12,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"GUAM
(13.480998894000038, 144.73149801400007)",
WYOMING,2015,12,,-,0,,4,,,-,4,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"WYOMING
(43.23554100600006, -108.10982701399996)",
UTAH,2015,12,,-,1,,5,,27,,15,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"UTAH
(39.36070123200005, -111.58712831499997)",
OKLAHOMA,2015,12,1,,1,,10,,5,,9,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"OKLAHOMA
(35.472030747000076, -97.52106835299998)",
UNITED STATES,2015,13,40,,116,,332,,1066,,1163,,,-,11,,37,,45,,99,,,-,0,,0,,,-,,-,,
NEW ENGLAND,2015,13,1,,6,,17,,53,,49,,,-,0,,3,,1,,8,,,-,0,,0,,,-,,-,,
MID. ATLANTIC,2015,13,6,,11,,36,,94,,133,,,-,2,,10,,10,,22,,,-,0,,0,,,-,,-,,
E.N. CENTRAL,2015,13,5,,21,,74,,202,,244,,,-,0,,4,,2,,7,,,-,0,,0,,,-,,-,,
W.N. CENTRAL,2015,13,3,,14,,39,,107,,134,,,-,0,,2,,1,,1,,,-,0,,0,,,-,,-,,
S. ATLANTIC,2015,13,14,,31,,151,,282,,274,,,-,2,,7,,12,,28,,,-,0,,0,,,-,,-,,
DIST. OF COL.,2015,13,,-,0,,1,,1,,2,,,-,0,,3,,3,,,-,,-,0,,0,,,-,,-,"DIST. OF COL.
",
E.S. CENTRAL,2015,13,4,,9,,22,,102,,65,,,-,0,,3,,7,,1,,,-,0,,0,,,-,,-,,
W.S. CENTRAL,2015,13,3,,12,,33,,78,,95,,,-,0,,4,,2,,7,,,-,0,,0,,,-,,-,,
MOUNTAIN,2015,13,3,,8,,23,,58,,80,,,-,0,,22,,,-,6,,,-,0,,0,,,-,,-,,
PACIFIC,2015,13,1,,8,,27,,90,,89,,,-,2,,8,,10,,19,,,-,0,,0,,,-,,-,,
AMER. SAMOA,2015,13,,N,,-,,-,,N,,N,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"AMER. SAMOA
",
C.N.M.I.,2015,13,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"C.N.M.I.
",
VIRGIN ISL.,2015,13,,-,0,,0,,,-,,-,,-,0,,3,,3,,1,,,-,0,,0,,,-,,-,"VIRGIN ISL.
",
PENNSYLVANIA,2015,13,5,,6,,17,,47,,69,,,-,0,,1,,1,,3,,,-,0,,0,,,-,,-,"PENNSYLVANIA
(40.79373362300004, -77.86069690799997)",
GEORGIA,2015,13,1,,4,,15,,64,,48,,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,"GEORGIA
(32.839683200000024, -83.62757885599996)",
OKLAHOMA,2015,13,1,,1,,10,,6,,10,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"OKLAHOMA
(35.472030747000076, -97.52106835299998)",
TEXAS,2015,13,2,,7,,22,,28,,50,,,-,0,,3,,2,,6,,,-,0,,0,,,-,,-,"TEXAS
(31.827240467000024, -99.42676785299994)",
MONTANA,2015,13,,-,1,,5,,2,,5,,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,"MONTANA
(47.06652795700006, -109.42441587999997)",
OHIO,2015,13,4,,5,,15,,60,,67,,,-,0,,2,,2,,3,,,-,0,,0,,,-,,-,"OHIO
(40.060212455000055, -82.40425667899996)",
MICHIGAN,2015,13,,-,4,,13,,35,,40,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"MICHIGAN
(44.66132238800003, -84.71438555599997)",
LOUISIANA,2015,13,,-,3,,17,,35,,32,,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,"LOUISIANA
(31.312663324000027, -92.44567750499994)",
NEW JERSEY,2015,13,,-,0,,1,,,-,13,,,-,1,,6,,6,,3,,,-,0,,0,,,-,,-,"NEW JERSEY
(40.130570807000026, -74.27368796999997)",
ARIZONA,2015,13,2,,1,,3,,9,,14,,,-,0,,22,,,-,4,,,-,0,,0,,,-,,-,"ARIZONA
(34.86597351900008, -111.76380664699997)",
WASHINGTON,2015,13,1,,0,,23,,12,,5,,,-,0,,2,,3,,2,,,-,0,,0,,,-,,-,"WASHINGTON
(47.52228790000004, -120.47002813699999)",
KANSAS,2015,13,1,,1,,5,,17,,10,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"KANSAS
(38.347742794000055, -98.20077822999997)",
WYOMING,2015,13,,-,0,,4,,,-,5,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"WYOMING
(43.23554100600006, -108.10982701399996)",
NORTH DAKOTA,2015,13,,-,1,,16,,3,,7,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NORTH DAKOTA
(47.475318609000055, -100.11842789099995)",
SOUTH DAKOTA,2015,13,,-,2,,9,,14,,22,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"SOUTH DAKOTA
(44.35313004200003, -100.37352915599996)",
WISCONSIN,2015,13,1,,7,,32,,61,,68,,,-,0,,2,,,-,2,,,-,0,,0,,,-,,-,"WISCONSIN
(44.39319064600005, -89.81636640199997)",
INDIANA,2015,13,,-,3,,11,,24,,29,,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"INDIANA
(39.766913353000064, -86.14995646699998)",
UTAH,2015,13,,-,1,,6,,30,,15,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"UTAH
(39.36070123200005, -111.58712831499997)",
NEW HAMPSHIRE,2015,13,,-,0,,3,,4,,6,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"NEW HAMPSHIRE
(43.65595283500005, -71.50035697299995)",
MAINE,2015,13,1,,1,,5,,11,,12,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"MAINE
(45.25422910300006, -68.98502586699993)",
NORTH CAROLINA,2015,13,,-,0,,42,,25,,48,,,-,0,,2,,,-,2,,,-,0,,0,,,-,,-,"NORTH CAROLINA
(35.466220159000045, -79.15924997399998)",
DELAWARE,2015,13,,-,0,,1,,2,,2,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"DELAWARE
(39.00883389200004, -75.57773597599999)",
ALASKA,2015,13,,-,0,,1,,1,,2,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"ALASKA
(64.84507799500005, -147.72205958799998)",
KENTUCKY,2015,13,,-,1,,6,,11,,12,,,-,0,,1,,1,,,-,,-,0,,0,,,-,,-,"KENTUCKY
(37.64597313300004, -84.77496771599994)",
CONNECTICUT,2015,13,,-,1,,3,,7,,10,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"CONNECTICUT
(41.56266070000004, -72.64983977999998)",
NEVADA,2015,13,,-,0,,2,,2,,2,,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,"NEVADA
(39.49324221300003, -117.07183885899997)",
VIRGINIA,2015,13,2,,2,,9,,19,,31,,,-,0,,3,,1,,5,,,-,0,,0,,,-,,-,"VIRGINIA
(37.542680705000066, -78.45788932099998)",
COLORADO,2015,13,1,,1,,6,,3,,11,,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"COLORADO
(38.84384342200008, -106.13360911499996)",
MARYLAND,2015,13,1,,1,,5,,10,,14,,,-,0,,2,,,-,3,,,-,0,,0,,,-,,-,"MARYLAND
(39.290582950000044, -76.60925984299996)",
MISSISSIPPI,2015,13,,-,1,,6,,8,,10,,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,"MISSISSIPPI
(32.745513440000025, -89.53802722999995)",
NEW YORK,2015,13,1,,4,,14,,31,,31,,,-,0,,2,,3,,8,,,-,0,,0,,,-,,-,"NEW YORK
(42.82700376100007, -75.54396609999998)",
MINNESOTA,2015,13,,-,0,,0,,,-,,-,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,"MINNESOTA
(46.35564896600005, -94.79419983199995)",
RHODE ISLAND,2015,13,,-,0,,4,,2,,1,,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,"RHODE ISLAND
(41.70828106100004, -71.52246566099996)",
FLORIDA,2015,13,10,,18,,123,,144,,109,,,-,1,,5,,7,,16,,,-,0,,0,,,-,,-,"FLORIDA
(28.932042722000062, -81.92895768899996)",
HAWAII,2015,13,,-,0,,1,,,-,,-,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"HAWAII
(21.30485232600006, -157.85774798099996)",
WEST VIRGINIA,2015,13,,-,0,,2,,2,,2,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"WEST VIRGINIA
(38.66551127300005, -80.71263755899997)",
VIRGIN ISL.,2015,14,,-,0,,0,,,-,,-,,-,0,,3,,3,,1,,,-,0,,0,,,-,,-,"VIRGIN ISL.
",
NEW MEXICO,2015,13,,-,1,,7,,3,,13,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NEW MEXICO
(34.52088149400004, -106.24057817299996)",
GUAM,2015,13,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"GUAM
(13.480998894000038, 144.73149801400007)",
VERMONT,2015,13,,-,0,,7,,6,,2,,,-,0,,1,,1,,2,,,-,0,,0,,,-,,-,"VERMONT
(43.62538389600007, -72.51763667599994)",
OREGON,2015,13,,-,2,,7,,28,,21,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"OREGON
(44.56745049300008, -120.15502935599994)",
MISSOURI,2015,13,,-,3,,13,,18,,33,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"MISSOURI
(38.63579147100006, -92.56629944499997)",
NEBRASKA,2015,13,2,,2,,9,,23,,18,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NEBRASKA
(41.64104362100005, -99.36571888999998)",
PUERTO RICO,2015,13,,N,0,,0,,,N,,N,,-,3,,13,,7,,294,,,-,0,,0,,,-,2,,"PUERTO RICO
(18.24828934900006, -66.49988980099994)",
ALABAMA,2015,13,4,,3,,9,,53,,23,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"ALABAMA
(32.84057234800002, -86.63185738799996)",
ILLINOIS,2015,13,,-,2,,7,,22,,40,,,-,0,,1,,,-,2,,,-,0,,0,,,-,,-,"ILLINOIS
(40.48501223300008, -88.99770922699997)",
IDAHO,2015,13,,-,1,,14,,9,,15,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"IDAHO
(43.68263174800006, -114.36372693399994)",
