Reporting Area,MMWR Year,MMWR Week,"Chlamydia trachomatis infection, Current week","Chlamydia trachomatis infection, Current week, flag","Chlamydia trachomatis infection, Previous 52 weeks Med","Chlamydia trachomatis infection, Previous 52 weeks Med, flag","Chlamydia trachomatis infection, Previous 52 weeks Max","Chlamydia trachomatis infection, Previous 52 weeks Max, flag","Chlamydia trachomatis infection, Cum 2014","Chlamydia trachomatis infection, Cum 2014, flag","Chlamydia trachomatis infection, Cum 2013","Chlamydia trachomatis infection, Cum 2013, flag","Coccidioidomycosis, Current week","Coccidioidomycosis, Current week, flag","Coccidioidomycosis, Previous 52 weeks Med","Coccidioidomycosis, Previous 52 weeks Med, flag","Coccidioidomycosis, Previous 52 weeks Max","Coccidioidomycosis, Previous 52 weeks Max, flag","Coccidioidomycosis, Cum 2014","Coccidioidomycosis, Cum 2014, flag","Coccidioidomycosis, Cum 2013","Coccidioidomycosis, Cum 2013, flag",Location 1,Location 2
UNITED STATES,2014,1,9183,,26409,,29519,,9183,,20449,,13,,206,,290,,13,,166,,,
NEW ENGLAND,2014,1,315,,928,,1163,,315,,719,,,-,0,,1,,,-,,-,,
MID. ATLANTIC,2014,1,933,,3409,,3740,,933,,1869,,,-,0,,0,,,-,,-,,
E.N. CENTRAL,2014,1,505,,3886,,4698,,505,,2637,,,-,0,,2,,,-,1,,,
W.N. CENTRAL,2014,1,72,,1510,,1753,,72,,983,,,-,1,,7,,,-,,-,,
S. ATLANTIC,2014,1,3626,,5383,,6568,,3626,,3605,,,-,0,,1,,,-,,-,,
E.S. CENTRAL,2014,1,586,,1817,,2206,,586,,1113,,,-,0,,0,,,-,,-,,
W.S. CENTRAL,2014,1,1621,,3493,,5271,,1621,,5271,,,-,0,,1,,,-,,-,,
MOUNTAIN,2014,1,625,,1681,,2265,,625,,1162,,4,,132,,230,,4,,103,,,
PACIFIC,2014,1,900,,4256,,5263,,900,,3090,,9,,63,,90,,9,,62,,,
UNITED STATES,2014,2,12163,,26436,,29501,,25738,,48440,,27,,206,,290,,42,,401,,,
NEW ENGLAND,2014,2,339,,928,,1163,,664,,1661,,,-,0,,1,,,-,,-,,
MID. ATLANTIC,2014,2,1867,,3410,,3739,,3159,,5139,,,-,0,,0,,,-,,-,,
E.N. CENTRAL,2014,2,924,,3890,,4698,,2109,,7160,,,-,0,,2,,1,,2,,,
W.N. CENTRAL,2014,2,244,,1510,,1753,,731,,2680,,,-,1,,7,,,-,,-,,
S. ATLANTIC,2014,2,3295,,5410,,6559,,7356,,9360,,,-,0,,1,,,-,,-,,
E.S. CENTRAL,2014,2,913,,1823,,2203,,1739,,2551,,,-,0,,0,,,-,,-,,
W.S. CENTRAL,2014,2,1676,,3467,,4312,,3927,,8676,,,-,0,,1,,,-,,-,,
MOUNTAIN,2014,2,871,,1682,,2276,,2195,,2838,,18,,132,,227,,23,,262,,,
PACIFIC,2014,2,2034,,4256,,5275,,3858,,8375,,9,,63,,90,,18,,137,,,
UNITED STATES,2014,3,10630,,26514,,29510,,43536,,77973,,70,,205,,291,,287,,735,,,
NEW ENGLAND,2014,3,510,,915,,1163,,1395,,2824,,,-,0,,1,,,-,1,,,
MID. ATLANTIC,2014,3,2405,,3409,,3733,,7176,,8774,,,-,0,,0,,,-,,-,,
W.S. CENTRAL,2014,8,2179,,3598,,4346,,21079,,29996,,,-,0,,1,,,-,1,,,
E.N. CENTRAL,2014,3,1204,,3889,,4698,,4291,,11861,,,-,0,,2,,1,,3,,,
W.N. CENTRAL,2014,3,198,,1509,,1753,,1431,,4422,,,-,1,,7,,,-,,-,,
S. ATLANTIC,2014,3,2706,,5358,,6549,,11031,,15587,,,-,0,,1,,,-,,-,,
E.S. CENTRAL,2014,3,748,,1823,,2203,,2743,,4581,,,-,0,,0,,,-,,-,,
S. ATLANTIC,2014,12,3252,,5378,,6724,,58344,,66163,,,-,0,,1,,1,,1,,,
W.S. CENTRAL,2014,3,87,,3507,,4309,,4014,,11865,,,-,0,,1,,,-,,-,,
MOUNTAIN,2014,3,865,,1692,,2282,,4183,,4579,,63,,131,,226,,254,,535,,,
PACIFIC,2014,3,1907,,4255,,5096,,7272,,13480,,7,,62,,90,,32,,196,,,
UNITED STATES,2014,4,8724,,26542,,29043,,64289,,103741,,104,,202,,291,,592,,994,,,
NEW ENGLAND,2014,4,,-,900,,1155,,1467,,3696,,,-,0,,0,,,-,1,,,
MID. ATLANTIC,2014,4,2182,,3394,,3734,,10516,,12140,,,-,0,,0,,,-,,-,,
E.N. CENTRAL,2014,4,1131,,3848,,4424,,6770,,16098,,,-,0,,2,,3,,3,,,
W.N. CENTRAL,2014,4,345,,1541,,1753,,3077,,5892,,1,,1,,7,,1,,,-,,
S. ATLANTIC,2014,4,2385,,5371,,6540,,15085,,20622,,,-,0,,1,,,-,1,,,
E.S. CENTRAL,2014,4,453,,1817,,2203,,3814,,6114,,,-,0,,0,,,-,,-,,
W.S. CENTRAL,2014,4,29,,3511,,4309,,7077,,15436,,,-,0,,1,,,-,,-,,
MOUNTAIN,2014,4,787,,1693,,2290,,6187,,5926,,69,,133,,229,,513,,740,,,
PACIFIC,2014,4,1412,,4227,,4717,,10296,,17817,,34,,62,,90,,75,,249,,,
UNITED STATES,2014,5,11731,,27655,,30333,,86996,,138882,,44,,206,,296,,684,,1188,,,
NEW ENGLAND,2014,5,586,,900,,1155,,2371,,4839,,,-,0,,0,,,-,1,,,
MID. ATLANTIC,2014,5,2608,,3410,,3737,,14199,,15839,,,-,0,,0,,,-,,-,,
E.N. CENTRAL,2014,5,1314,,4898,,5703,,10915,,26597,,2,,0,,2,,6,,3,,,
W.N. CENTRAL,2014,5,314,,1541,,1753,,4239,,7610,,,-,1,,7,,1,,,-,,
S. ATLANTIC,2014,5,3474,,5385,,6543,,20476,,26872,,1,,0,,1,,1,,1,,,
E.S. CENTRAL,2014,5,908,,1817,,2203,,5360,,8140,,,-,0,,0,,,-,,-,,
W.S. CENTRAL,2014,5,68,,3498,,4309,,7338,,18910,,,-,0,,1,,,-,,-,,
MOUNTAIN,2014,5,947,,1699,,2295,,8345,,7535,,5,,132,,229,,550,,859,,,
PACIFIC,2014,5,1512,,4191,,4718,,13753,,22540,,36,,64,,90,,126,,324,,,
UNITED STATES,2014,6,12429,,27644,,29675,,111485,,167825,,18,,204,,300,,720,,1406,,,
NEW ENGLAND,2014,6,530,,903,,1155,,3316,,5480,,,-,0,,0,,,-,1,,,
MID. ATLANTIC,2014,6,2080,,3394,,3739,,17280,,19232,,,-,0,,0,,,-,,-,,
E.N. CENTRAL,2014,6,1394,,4880,,5614,,14765,,32218,,,-,0,,3,,8,,3,,,
W.N. CENTRAL,2014,6,328,,1539,,1753,,5871,,9363,,1,,1,,7,,3,,,-,,
S. ATLANTIC,2014,6,4221,,5370,,6543,,25785,,32482,,,-,0,,1,,1,,1,,,
E.S. CENTRAL,2014,6,562,,1812,,2216,,7617,,10343,,,-,0,,0,,,-,,-,,
W.S. CENTRAL,2014,6,525,,3501,,4308,,8487,,22561,,,-,0,,1,,,-,,-,,
MOUNTAIN,2014,6,860,,1706,,2297,,10604,,9272,,2,,131,,229,,556,,1012,,,
PACIFIC,2014,6,1929,,4192,,4583,,17760,,26874,,15,,65,,90,,152,,389,,,
UNITED STATES,2014,7,11336,,27697,,29767,,140386,,196058,,38,,200,,308,,834,,1624,,,
NEW ENGLAND,2014,7,521,,911,,1155,,4247,,6492,,,-,0,,0,,,-,1,,,
MID. ATLANTIC,2014,7,1928,,3410,,3740,,20395,,22701,,,-,0,,0,,,-,,-,,
E.N. CENTRAL,2014,7,1371,,4842,,5583,,18455,,37768,,,-,0,,3,,9,,3,,,
W.N. CENTRAL,2014,7,306,,1566,,1819,,6902,,10874,,,-,1,,7,,3,,,-,,
S. ATLANTIC,2014,7,3427,,5375,,6543,,31115,,37856,,,-,0,,1,,1,,1,,,
E.S. CENTRAL,2014,7,1160,,1789,,2216,,9080,,12312,,,-,0,,0,,,-,,-,,
W.S. CENTRAL,2014,7,394,,3611,,4326,,16227,,26156,,,-,0,,1,,,-,1,,,
MOUNTAIN,2014,7,466,,1704,,2293,,12579,,10959,,7,,128,,230,,628,,1157,,,
PACIFIC,2014,7,1763,,4175,,4583,,21386,,30940,,31,,67,,91,,193,,461,,,
UNITED STATES,2014,8,11741,,27683,,29773,,161849,,223470,,21,,197,,307,,896,,1803,,,
NEW ENGLAND,2014,8,520,,900,,1155,,4907,,7353,,,-,0,,0,,,-,1,,,
MID. ATLANTIC,2014,8,2110,,3378,,3732,,23507,,26048,,,-,0,,0,,,-,,-,,
E.N. CENTRAL,2014,8,1244,,4834,,5594,,21858,,42821,,,-,0,,3,,9,,3,,,
W.N. CENTRAL,2014,8,118,,1566,,1819,,8031,,12262,,1,,1,,7,,4,,,-,,
S. ATLANTIC,2014,8,3562,,5385,,6543,,35677,,43358,,,-,0,,1,,1,,1,,,
E.S. CENTRAL,2014,8,949,,1789,,2216,,11003,,14208,,,-,0,,0,,,-,,-,,
MOUNTAIN,2014,8,424,,1704,,2294,,13517,,12545,,20,,124,,229,,689,,1293,,,
PACIFIC,2014,8,635,,4175,,4583,,22270,,34879,,,-,67,,91,,193,,504,,,
UNITED STATES,2014,9,12996,,26748,,28838,,187840,,241694,,3,,197,,311,,949,,1960,,,
NEW ENGLAND,2014,9,632,,900,,1155,,6164,,8394,,,-,0,,0,,,-,1,,,
PACIFIC,2014,12,2129,,4212,,4645,,40857,,52030,,28,,65,,92,,362,,757,,,
MID. ATLANTIC,2014,9,2302,,3375,,3730,,26881,,29733,,,-,0,,0,,,-,,-,,
E.N. CENTRAL,2014,9,1292,,3847,,4410,,25134,,37065,,,-,0,,3,,11,,3,,,
W.N. CENTRAL,2014,9,291,,1565,,1814,,10116,,13644,,,-,1,,7,,4,,1,,,
S. ATLANTIC,2014,9,5350,,5359,,6544,,42034,,49244,,,-,0,,1,,1,,1,,,
E.S. CENTRAL,2014,9,570,,1765,,2216,,11929,,15874,,,-,0,,0,,,-,,-,,
W.S. CENTRAL,2014,9,16,,3559,,4346,,21259,,33866,,,-,0,,1,,,-,2,,,
MOUNTAIN,2014,9,498,,1704,,2296,,15474,,14509,,,-,123,,229,,690,,1371,,,
PACIFIC,2014,9,2045,,4233,,4645,,28849,,39365,,3,,67,,91,,243,,581,,,
UNITED STATES,2014,10,15078,,26725,,28871,,215669,,270051,,42,,186,,298,,981,,2059,,,
NEW ENGLAND,2014,10,489,,891,,1155,,6692,,9476,,,-,0,,0,,,-,1,,,
MID. ATLANTIC,2014,10,2256,,3355,,3731,,30217,,33205,,,-,0,,0,,,-,,-,,
AMER. SAMOA,2014,33,,-,,-,,-,,-,,-,,N,,-,,-,,N,,N,"AMER. SAMOA
",
E.N. CENTRAL,2014,10,1095,,3856,,4418,,28485,,41256,,,-,0,,3,,11,,3,,,
W.N. CENTRAL,2014,10,220,,1565,,1814,,11406,,15128,,,-,1,,7,,4,,1,,,
S. ATLANTIC,2014,10,4806,,5359,,6545,,48287,,54707,,,-,0,,1,,1,,1,,,
E.S. CENTRAL,2014,10,1236,,1751,,2216,,12937,,17857,,,-,0,,0,,,-,,-,,
W.S. CENTRAL,2014,10,2245,,3524,,4387,,27051,,38190,,,-,0,,1,,,-,2,,,
MOUNTAIN,2014,10,769,,1703,,2321,,17870,,16438,,33,,109,,216,,690,,1396,,,
PACIFIC,2014,10,1962,,4227,,4656,,32724,,43794,,9,,67,,91,,275,,655,,,
UNITED STATES,2014,11,14935,,26725,,28947,,239924,,297447,,25,,178,,295,,1011,,2171,,,
NEW ENGLAND,2014,11,717,,890,,1156,,8149,,10363,,,-,0,,0,,,-,1,,,
MID. ATLANTIC,2014,11,1874,,3351,,3731,,32515,,36636,,,-,0,,0,,,-,,-,,
E.N. CENTRAL,2014,11,1259,,3913,,4431,,32066,,45342,,,-,0,,3,,12,,5,,,
W.N. CENTRAL,2014,11,378,,1569,,1814,,13472,,16701,,,-,1,,7,,5,,1,,,
S. ATLANTIC,2014,11,5443,,5359,,6689,,54462,,60627,,,-,0,,1,,1,,1,,,
E.S. CENTRAL,2014,11,569,,1719,,2216,,13505,,19972,,,-,0,,0,,,-,,-,,
W.S. CENTRAL,2014,11,2383,,3506,,4387,,29916,,41583,,,-,0,,1,,,-,2,,,
MOUNTAIN,2014,11,445,,1694,,2308,,19248,,18425,,,-,104,,213,,670,,1456,,,
PACIFIC,2014,11,1867,,4200,,4654,,36591,,47798,,25,,66,,91,,323,,705,,,
UNITED STATES,2014,12,11755,,26750,,29066,,263734,,324941,,50,,174,,294,,1089,,2264,,,
NEW ENGLAND,2014,12,580,,899,,1156,,9209,,11227,,,-,0,,0,,,-,1,,,
MID. ATLANTIC,2014,12,2271,,3342,,3731,,37077,,40167,,,-,0,,0,,,-,,-,,
E.N. CENTRAL,2014,12,1308,,3974,,4476,,36101,,49796,,1,,0,,3,,14,,5,,,
W.N. CENTRAL,2014,12,208,,1588,,1810,,14433,,18143,,,-,1,,7,,5,,1,,,
E.S. CENTRAL,2014,12,934,,1691,,2216,,14762,,21657,,,-,0,,0,,,-,,-,,
W.S. CENTRAL,2014,12,468,,3506,,4387,,31697,,45712,,,-,0,,1,,,-,2,,,
MOUNTAIN,2014,12,605,,1702,,2323,,21254,,20046,,21,,100,,212,,707,,1497,,,
UNITED STATES,2014,13,13592,,26783,,29193,,289794,,351499,,53,,172,,295,,1200,,2368,,,
NEW ENGLAND,2014,13,387,,910,,1156,,9926,,12165,,,-,0,,0,,,-,1,,,
MID. ATLANTIC,2014,13,2473,,3354,,3738,,40659,,43553,,,-,0,,0,,,-,,-,,
E.N. CENTRAL,2014,13,1092,,3999,,4488,,39715,,53780,,,-,1,,3,,14,,6,,,
W.N. CENTRAL,2014,13,181,,1595,,1810,,15903,,19754,,,-,1,,7,,5,,2,,,
S. ATLANTIC,2014,13,5075,,5359,,6740,,64199,,71329,,,-,0,,1,,1,,1,,,
E.S. CENTRAL,2014,13,1089,,1682,,2216,,15851,,23792,,,-,0,,0,,,-,,-,,
W.S. CENTRAL,2014,13,376,,3539,,4387,,35451,,49080,,,-,0,,1,,,-,2,,,
MOUNTAIN,2014,13,532,,1701,,2354,,22980,,21752,,36,,100,,211,,791,,1542,,,
PACIFIC,2014,13,2387,,4186,,4642,,45110,,56294,,17,,65,,92,,389,,814,,,
UNITED STATES,2014,14,15122,,26823,,29199,,325059,,378369,,35,,174,,295,,1401,,2512,,,
NEW ENGLAND,2014,14,634,,896,,1155,,10704,,13259,,,-,0,,0,,,-,1,,,
MID. ATLANTIC,2014,14,2395,,3359,,3743,,44027,,46721,,,-,0,,0,,,-,,-,,
E.N. CENTRAL,2014,14,1276,,4001,,4489,,43495,,57811,,,-,1,,3,,14,,6,,,
W.N. CENTRAL,2014,14,317,,1591,,1810,,17894,,21424,,,-,1,,7,,5,,4,,,
S. ATLANTIC,2014,14,4488,,5407,,6753,,70945,,77087,,,-,0,,1,,1,,1,,,
E.S. CENTRAL,2014,14,894,,1817,,2217,,23767,,25336,,,-,0,,0,,,-,,-,,
W.S. CENTRAL,2014,14,2268,,3539,,4387,,40215,,53041,,,-,0,,1,,,-,2,,,
MOUNTAIN,2014,14,574,,1690,,2365,,24577,,23385,,19,,101,,211,,967,,1621,,,
PACIFIC,2014,14,2276,,4161,,4635,,49435,,60305,,16,,65,,92,,414,,877,,,
UNITED STATES,2014,15,9866,,26746,,29183,,341074,,405365,,47,,173,,294,,1597,,2655,,,
NEW ENGLAND,2014,15,62,,889,,1156,,10846,,14142,,,-,0,,0,,,-,1,,,
MID. ATLANTIC,2014,15,1570,,3362,,3743,,45912,,50120,,,-,0,,0,,,-,,-,,
E.N. CENTRAL,2014,15,597,,4001,,4489,,46016,,61941,,,-,1,,3,,14,,6,,,
W.N. CENTRAL,2014,15,245,,1590,,1816,,18882,,22978,,,-,1,,7,,20,,7,,,
S. ATLANTIC,2014,15,2790,,5346,,6753,,73807,,82567,,,-,0,,1,,1,,1,,,
E.S. CENTRAL,2014,15,516,,1814,,2217,,24619,,27329,,,-,0,,0,,,-,,-,,
W.S. CENTRAL,2014,15,2317,,3520,,4388,,42858,,57148,,,-,0,,1,,,-,2,,,
MOUNTAIN,2014,15,170,,1688,,2380,,25423,,24764,,30,,100,,210,,1114,,1694,,,
PACIFIC,2014,15,1599,,4161,,4635,,52711,,64376,,17,,65,,92,,448,,944,,,
UNITED STATES,2014,16,12436,,26755,,29187,,366414,,432898,,36,,174,,294,,1651,,2809,,,
NEW ENGLAND,2014,16,495,,889,,1156,,11811,,14998,,,-,0,,0,,,-,1,,,
MID. ATLANTIC,2014,16,1708,,3355,,3743,,49017,,53599,,,-,0,,0,,,-,,-,,
E.N. CENTRAL,2014,16,1224,,4004,,4493,,50270,,66445,,,-,1,,3,,14,,6,,,
W.N. CENTRAL,2014,16,349,,1592,,1817,,20002,,24694,,,-,2,,8,,23,,11,,,
S. ATLANTIC,2014,16,3845,,5316,,6759,,78804,,87787,,,-,0,,1,,1,,2,,,
E.S. CENTRAL,2014,16,1153,,1812,,2217,,26376,,29488,,,-,0,,0,,,-,,-,,
W.S. CENTRAL,2014,16,447,,3486,,4388,,45135,,60812,,,-,0,,1,,,-,2,,,
MOUNTAIN,2014,16,1116,,1700,,2386,,28065,,26395,,,-,100,,210,,1115,,1779,,,
PACIFIC,2014,16,2099,,4161,,4635,,56934,,68680,,36,,65,,92,,498,,1008,,,
UNITED STATES,2014,17,11089,,26731,,29213,,387433,,461222,,1,,174,,294,,1776,,2983,,,
NEW ENGLAND,2014,17,329,,889,,1156,,12261,,16031,,,-,0,,0,,,-,1,,,
MID. ATLANTIC,2014,17,759,,3372,,3775,,49775,,57664,,,-,0,,0,,,-,,-,,
E.N. CENTRAL,2014,17,1284,,3998,,4488,,54634,,70789,,1,,1,,3,,15,,6,,,
W.N. CENTRAL,2014,17,238,,1592,,1817,,22101,,26348,,,-,2,,8,,27,,15,,,
S. ATLANTIC,2014,17,3904,,5316,,6774,,84372,,93305,,,-,0,,1,,1,,2,,,
E.S. CENTRAL,2014,17,1049,,1791,,2217,,27902,,31312,,,-,0,,0,,,-,,-,,
W.S. CENTRAL,2014,17,2386,,3459,,4388,,50039,,64981,,,-,0,,1,,,-,2,,,
MOUNTAIN,2014,17,368,,1747,,2382,,28562,,27988,,,-,100,,210,,1235,,1884,,,
PACIFIC,2014,17,772,,4155,,4635,,57787,,72804,,,-,65,,92,,498,,1073,,,
UNITED STATES,2014,18,12667,,26963,,29479,,419409,,491539,,126,,175,,293,,2383,,3176,,,
NEW ENGLAND,2014,18,496,,881,,1157,,13287,,16674,,,-,0,,1,,1,,1,,,
MID. ATLANTIC,2014,18,1658,,3390,,3782,,53129,,61372,,,-,0,,0,,,-,,-,,
E.N. CENTRAL,2014,18,1400,,3933,,4400,,58628,,74312,,,-,1,,3,,17,,6,,,
W.N. CENTRAL,2014,18,304,,1586,,1817,,24122,,28056,,,-,2,,8,,30,,18,,,
S. ATLANTIC,2014,18,4230,,5377,,6907,,91638,,98766,,,-,0,,1,,1,,2,,,
E.S. CENTRAL,2014,18,1370,,1744,,2210,,29653,,33166,,,-,0,,0,,,-,,-,,
W.S. CENTRAL,2014,18,63,,3812,,4864,,50104,,72353,,,-,0,,1,,,-,2,,,
MOUNTAIN,2014,18,1109,,1772,,2495,,33768,,29884,,68,,105,,209,,1715,,1998,,,
PACIFIC,2014,18,2037,,4155,,4635,,65080,,76956,,58,,64,,92,,619,,1149,,,
UNITED STATES,2014,19,11358,,26786,,29781,,447760,,515957,,204,,181,,293,,2938,,3359,,,
NEW ENGLAND,2014,19,491,,888,,1157,,14100,,17450,,,-,0,,1,,1,,1,,,
MID. ATLANTIC,2014,19,2463,,3396,,3782,,60421,,64524,,,-,0,,0,,,-,,-,,
E.N. CENTRAL,2014,19,1112,,4034,,4946,,62342,,78916,,1,,1,,3,,19,,7,,,
W.N. CENTRAL,2014,19,256,,1594,,1826,,25604,,29796,,,-,2,,8,,35,,22,,,
S. ATLANTIC,2014,19,3795,,5341,,6913,,96846,,104533,,1,,0,,1,,2,,2,,,
E.S. CENTRAL,2014,19,754,,1759,,2209,,32337,,35284,,,-,0,,0,,,-,,-,,
W.S. CENTRAL,2014,19,76,,3494,,4557,,52503,,71439,,,-,0,,1,,,-,2,,,
MOUNTAIN,2014,19,490,,1825,,2757,,34482,,32679,,170,,109,,209,,2182,,2094,,,
PACIFIC,2014,19,1921,,4152,,4636,,69125,,81336,,32,,63,,92,,699,,1231,,,
UNITED STATES,2014,20,14528,,26744,,29789,,475553,,543584,,210,,183,,291,,3369,,3481,,,
NEW ENGLAND,2014,20,511,,888,,1157,,14857,,18494,,,-,0,,1,,1,,1,,,
MID. ATLANTIC,2014,20,2349,,3397,,3782,,63687,,68065,,,-,0,,0,,,-,,-,,
E.N. CENTRAL,2014,20,1171,,4019,,4946,,66204,,82996,,,-,1,,3,,20,,8,,,
W.N. CENTRAL,2014,20,144,,1595,,1826,,26554,,31309,,,-,2,,8,,39,,30,,,
S. ATLANTIC,2014,20,4396,,5382,,6918,,103254,,109946,,,-,0,,1,,2,,2,,,
E.S. CENTRAL,2014,20,712,,1832,,2210,,33742,,37173,,,-,0,,0,,,-,,-,,
W.S. CENTRAL,2014,20,2044,,3480,,4557,,58238,,75079,,,-,0,,1,,,-,2,,,
MOUNTAIN,2014,20,1341,,1828,,2764,,37030,,34668,,161,,116,,209,,2510,,2206,,,
PACIFIC,2014,20,1860,,4154,,4645,,71987,,85854,,49,,65,,95,,797,,1232,,,
UNITED STATES,2014,21,10328,,26524,,29492,,495532,,567172,,136,,184,,291,,3604,,3659,,,
NEW ENGLAND,2014,21,462,,880,,1157,,15401,,19427,,,-,0,,1,,1,,1,,,
MID. ATLANTIC,2014,21,1999,,3390,,3782,,66671,,71272,,,-,0,,0,,,-,,-,,
E.N. CENTRAL,2014,21,1136,,4005,,4785,,70049,,86719,,1,,1,,3,,22,,8,,,
W.N. CENTRAL,2014,21,152,,1596,,1826,,27858,,32822,,,-,2,,7,,48,,32,,,
S. ATLANTIC,2014,21,3699,,5407,,6919,,107901,,115082,,,-,0,,1,,2,,3,,,
E.S. CENTRAL,2014,21,403,,1832,,2209,,34152,,39140,,,-,0,,0,,,-,,-,,
W.S. CENTRAL,2014,21,374,,3480,,4557,,59012,,78560,,,-,0,,1,,,-,2,,,
MOUNTAIN,2014,21,298,,1818,,2764,,37554,,36548,,113,,118,,209,,2686,,2297,,,
PACIFIC,2014,21,1805,,4065,,4479,,76934,,87602,,22,,65,,95,,845,,1316,,,
UNITED STATES,2014,22,11963,,26650,,29630,,520473,,592614,,135,,182,,293,,3809,,3642,,,
NEW ENGLAND,2014,22,501,,864,,1157,,16114,,20273,,,-,0,,1,,1,,1,,,
MID. ATLANTIC,2014,22,2077,,3390,,3782,,69944,,74105,,,-,0,,0,,,-,,-,,
E.N. CENTRAL,2014,22,864,,3990,,4785,,73216,,90207,,,-,1,,3,,23,,8,,,
W.N. CENTRAL,2014,22,163,,1596,,1826,,29467,,34243,,,-,2,,7,,51,,39,,,
S. ATLANTIC,2014,22,3956,,5411,,6924,,113533,,119608,,,-,0,,1,,2,,4,,,
E.S. CENTRAL,2014,22,855,,1822,,2209,,35451,,40464,,,-,0,,0,,,-,,-,,
W.S. CENTRAL,2014,22,1573,,3458,,4557,,63634,,81457,,,-,0,,1,,,-,2,,,
MOUNTAIN,2014,22,262,,1809,,2764,,38959,,37944,,101,,118,,209,,2821,,2381,,,
PACIFIC,2014,22,1712,,4108,,4613,,80155,,94313,,34,,62,,93,,911,,1207,,,
UNITED STATES,2014,23,12251,,26698,,29630,,545115,,619565,,148,,182,,293,,4029,,3815,,,
NEW ENGLAND,2014,23,611,,864,,1157,,17646,,21178,,,-,0,,1,,1,,1,,,
MID. ATLANTIC,2014,23,2074,,3390,,3782,,72434,,77366,,,-,0,,0,,,-,,-,,
NEW ENGLAND,2014,24,189,,850,,1157,,18153,,22328,,,-,0,,1,,1,,1,,,
E.N. CENTRAL,2014,23,1241,,4001,,4785,,77396,,94263,,1,,1,,3,,24,,10,,,
W.N. CENTRAL,2014,23,245,,1596,,1826,,30262,,35862,,1,,2,,6,,52,,44,,,
S. ATLANTIC,2014,23,4379,,5412,,6926,,119160,,125171,,,-,0,,1,,2,,4,,,
E.S. CENTRAL,2014,23,204,,1821,,2209,,37223,,41984,,,-,0,,0,,,-,,-,,
W.S. CENTRAL,2014,23,380,,3461,,4557,,64390,,85458,,,-,0,,1,,,-,2,,,
MOUNTAIN,2014,23,1016,,1828,,2764,,42411,,39668,,118,,118,,209,,2977,,2479,,,
PACIFIC,2014,23,2101,,4115,,4613,,84193,,98615,,28,,62,,93,,973,,1275,,,
UNITED STATES,2014,24,12296,,26655,,29630,,568092,,646261,,134,,182,,293,,4241,,3978,,,
MID. ATLANTIC,2014,24,2291,,3397,,3782,,76972,,80679,,,-,0,,0,,,-,,-,,
E.N. CENTRAL,2014,24,980,,3979,,4785,,80069,,98233,,,-,1,,3,,25,,11,,,
W.N. CENTRAL,2014,24,322,,1594,,1826,,31719,,37454,,,-,2,,6,,52,,47,,,
S. ATLANTIC,2014,24,4948,,5382,,6927,,125076,,130443,,1,,0,,1,,3,,4,,,
E.S. CENTRAL,2014,24,346,,1831,,2209,,38244,,43797,,,-,0,,0,,,-,,-,,
W.S. CENTRAL,2014,24,597,,3434,,4557,,65216,,89310,,,-,0,,1,,1,,2,,,
MOUNTAIN,2014,24,651,,1828,,2765,,44693,,41258,,120,,123,,209,,3151,,2581,,,
PACIFIC,2014,24,1972,,4122,,4613,,87950,,102759,,13,,61,,93,,1008,,1332,,,
LOUISIANA,2014,18,,-,503,,1359,,5016,,8423,,,-,0,,1,,,-,2,,"LOUISIANA (31.312662564000448, -92.44567554599968)
(39.52368635500045, -99.11415045099966)",
PUERTO RICO,2014,23,46,,96,,277,,2376,,2764,,,N,0,,0,,,N,,N,"PUERTO RICO (26.649497232000442, -98.34556876399967)
(39.52368635500045, -99.11415045099966)",
MICHIGAN,2014,3,431,,873,,1091,,1233,,2161,,,-,0,,2,,,-,1,,"MICHIGAN (44.66131575600048, -84.71438724399968)
(39.52368635500045, -99.11415045099966)",
TENNESSEE,2014,7,196,,579,,844,,2676,,3902,,,N,0,,0,,,N,,N,"TENNESSEE (35.680943063000484, -85.77448642199965)
(39.52368635500045, -99.11415045099966)",
TENNESSEE,2014,10,123,,572,,844,,2379,,5806,,,N,0,,0,,,N,,N,"TENNESSEE (35.680943063000484, -85.77448642199965)
(39.52368635500045, -99.11415045099966)",
MINNESOTA,2014,21,,-,343,,419,,4335,,7636,,,-,1,,6,,38,,24,,"MINNESOTA (46.35564867700049, -94.79419697699967)
(39.52368635500045, -99.11415045099966)",
INDIANA,2014,13,126,,557,,777,,6300,,7116,,,N,0,,0,,,N,,N,"INDIANA (39.76691364600049, -86.14995579899966)
(39.52368635500045, -99.11415045099966)",
OHIO,2014,17,313,,1027,,1163,,15404,,17685,,1,,0,,1,,4,,2,,"OHIO (40.06021029700048, -82.40425685299965)
(39.52368635500045, -99.11415045099966)",
MONTANA,2014,20,1,,75,,104,,1433,,1431,,1,,0,,1,,3,,1,,"MONTANA (47.066526051000494, -109.42441687999968)
(39.52368635500045, -99.11415045099966)",
ILLINOIS,2014,15,50,,1194,,1482,,9531,,18527,,,N,0,,0,,,N,,N,"ILLINOIS
(40.48501278700047, -88.99770813999965)",
VERMONT,2014,1,2,,32,,111,,2,,18,,,N,0,,0,,,N,,N,"VERMONT (43.62538292400046, -72.51763944499965)
(39.52368635500045, -99.11415045099966)",
NEW JERSEY,2014,24,137,,564,,690,,12475,,12881,,,N,0,,0,,,N,,N,"NEW JERSEY (40.1305700530005, -74.27368565099965)
(39.52368635500045, -99.11415045099966)",
