Reporting Area,MMWR Year,MMWR Week,"Spotted Fever Rickettsiosis (including RMSF)§, Confirmed, Current week","Spotted Fever Rickettsiosis (including RMSF)§, Confirmed, Current week, flag","Spotted Fever Rickettsiosis (including RMSF)§, Confirmed, Previous 52 weeks Med","Spotted Fever Rickettsiosis (including RMSF)§, Confirmed, Previous 52 weeks Med, flag","Spotted Fever Rickettsiosis (including RMSF)§, Confirmed, Previous 52 weeks Max","Spotted Fever Rickettsiosis (including RMSF)§, Confirmed, Previous 52 weeks Max, flag","Spotted Fever Rickettsiosis (including RMSF)§, Confirmed, Cum 2016","Spotted Fever Rickettsiosis (including RMSF)§, Confirmed, Cum 2016, flag","Spotted Fever Rickettsiosis (including RMSF)§, Confirmed, Cum 2015","Spotted Fever Rickettsiosis (including RMSF)§, Confirmed, Cum 2015, flag","Spotted Fever Rickettsiosis (including RMSF)§, Probable, Current week","Spotted Fever Rickettsiosis (including RMSF)§, Probable, Current week, flag","Spotted Fever Rickettsiosis (including RMSF)§, Probable, Previous 52 weeks Med","Spotted Fever Rickettsiosis (including RMSF)§, Probable, Previous 52 weeks Med, flag","Spotted Fever Rickettsiosis (including RMSF)§, Probable, Previous 52 weeks Max","Spotted Fever Rickettsiosis (including RMSF)§, Probable, Previous 52 weeks Max, flag","Spotted Fever Rickettsiosis (including RMSF)§, Probable, Cum 2016","Spotted Fever Rickettsiosis (including RMSF)§, Probable, Cum 2016, flag","Spotted Fever Rickettsiosis (including RMSF)§, Probable, Cum 2015","Spotted Fever Rickettsiosis (including RMSF)§, Probable, Cum 2015, flag","Syphilis, primary and secondary, Current week","Syphilis, primary and secondary, Current week, flag","Syphilis, primary and secondary, Previous 52 weeks Med","Syphilis, primary and secondary, Previous 52 weeks Med, flag","Syphilis, primary and secondary, Previous 52 weeks Max","Syphilis, primary and secondary, Previous 52 weeks Max, flag","Syphilis, primary and secondary, Cum 2016","Syphilis, primary and secondary, Cum 2016, flag","Syphilis, primary and secondary, Cum 2015","Syphilis, primary and secondary, Cum 2015, flag",Location 1,Location 2
UNITED STATES,2016,1,,-,1,,10,,,-,2,,4,,50,,213,,4,,8,,66,,435,,522,,66,,384,,,
NEW ENGLAND,2016,1,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,1,,11,,24,,1,,5,,,
MID. ATLANTIC,2016,1,,-,0,,2,,,-,,-,,-,1,,11,,,-,,-,11,,54,,84,,11,,40,,,
NEW YORK CITY,2016,1,,-,0,,0,,,-,,-,,-,0,,3,,,-,,-,1,,28,,45,,1,,26,,"NEW YORK CITY
",
E.N. CENTRAL,2016,1,,-,0,,3,,,-,,-,,-,1,,6,,,-,,-,3,,40,,64,,3,,40,,,
W.N. CENTRAL,2016,1,,-,0,,5,,,-,,-,,-,6,,25,,,-,,-,3,,15,,26,,3,,13,,,
S. ATLANTIC,2016,1,,-,0,,5,,,-,1,,,-,9,,79,,,-,3,,5,,108,,151,,5,,84,,,
DIST. OF COL.,2016,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,1,,5,,,-,4,,"DIST. OF COL.
",
E.S. CENTRAL,2016,1,,-,0,,3,,,-,,-,4,,14,,64,,4,,4,,,-,17,,27,,,-,11,,,
W.S. CENTRAL,2016,1,,-,0,,1,,,-,,-,,-,10,,72,,,-,1,,24,,49,,66,,24,,49,,,
MOUNTAIN,2016,1,,-,0,,2,,,-,1,,,-,0,,3,,,-,,-,,-,24,,40,,,-,30,,,
PACIFIC,2016,1,,-,0,,1,,,-,,-,,-,0,,2,,,-,,-,19,,105,,132,,19,,112,,,
AMER. SAMOA,2016,1,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"AMER. SAMOA
",
C.N.M.I.,2016,1,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"C.N.M.I.
",
VIRGIN ISL.,2016,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISL.
",
NEW HAMPSHIRE,2016,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,7,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
FLORIDA,2016,1,,-,0,,1,,,-,,-,,-,0,,5,,,-,1,,,-,38,,53,,,-,23,,"FLORIDA
(28.915325, -81.922409)",
ALASKA,2016,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"ALASKA
(64.836661, -147.738891)",
OREGON,2016,1,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,3,,6,,10,,3,,9,,"OREGON
(44.567912, -120.156945)",
NEW MEXICO,2016,1,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,2,,5,,,-,1,,"NEW MEXICO
(34.520396, -106.244402)",
LOUISIANA,2016,1,,-,0,,1,,,-,,-,,-,0,,2,,,-,,-,1,,9,,28,,1,,2,,"LOUISIANA
(31.2931, -92.463284)",
TENNESSEE,2016,1,,-,0,,3,,,-,,-,2,,9,,41,,2,,2,,,-,6,,13,,,-,7,,"TENNESSEE
(35.681402, -85.774444)",
MONTANA,2016,1,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,3,,,-,,-,"MONTANA
(47.062617, -109.430168)",
WISCONSIN,2016,1,,-,0,,0,,,-,,-,,-,0,,2,,,-,,-,1,,1,,4,,1,,,-,"WISCONSIN
(44.395526, -89.834513)",
NEVADA,2016,1,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,-,5,,15,,,-,15,,"NEVADA
(39.491833, -117.070159)",
TEXAS,2016,1,,-,0,,1,,,-,,-,,-,1,,5,,,-,,-,23,,33,,47,,23,,42,,"TEXAS
(31.827233, -99.423022)",
MICHIGAN,2016,1,,-,0,,0,,,-,,-,,-,0,,2,,,-,,-,,-,7,,12,,,-,11,,"MICHIGAN
(44.66399, -84.711206)",
IDAHO,2016,1,,-,0,,0,,,-,,-,,-,0,,2,,,-,,-,,-,0,,8,,,-,,-,"IDAHO
(43.680635, -114.364237)",
OKLAHOMA,2016,1,,-,0,,0,,,-,,-,,-,0,,16,,,-,,-,,-,2,,11,,,-,5,,"OKLAHOMA
(35.468494, -97.521264)",
SOUTH DAKOTA,2016,1,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,1,,3,,,-,3,,"SOUTH DAKOTA
(44.35371, -100.373709)",
UTAH,2016,1,,-,0,,0,,,-,,-,,-,0,,2,,,-,,-,,-,1,,5,,,-,,-,"UTAH
(39.359772, -111.584173)",
IOWA,2016,1,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,1,,5,,,-,1,,"IOWA
(42.46942, -93.815856)",
CONNECTICUT,2016,1,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,1,,7,,,-,,-,"CONNECTICUT
(41.544654, -72.651713)",
OHIO,2016,1,,-,0,,1,,,-,,-,,-,0,,3,,,-,,-,,-,10,,21,,,-,13,,"OHIO
(40.056807, -82.405897)",
WASHINGTON,2016,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,5,,8,,13,,5,,5,,"WASHINGTON
(47.517368, -120.467672)",
MASSACHUSETTS,2016,1,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,1,,7,,15,,1,,4,,"MASSACHUSETTS
(42.268546, -72.085064)",
RHODE ISLAND,2016,1,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,1,,5,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
ARKANSAS,2016,1,,-,0,,1,,,-,,-,,-,10,,71,,,-,1,,,-,2,,9,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
SOUTH CAROLINA,2016,1,,-,0,,1,,,-,,-,,-,1,,3,,,-,1,,2,,5,,15,,2,,7,,"SOUTH CAROLINA
(34.009286, -81.037094)",
MAINE,2016,1,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,0,,5,,,-,,-,"MAINE
(45.252223, -68.986647)",
GEORGIA,2016,1,,-,0,,5,,,-,1,,,-,0,,0,,,-,,-,,-,28,,44,,,-,23,,"GEORGIA
(32.836038, -83.631709)",
ARIZONA,2016,1,,-,0,,2,,,-,1,,,-,0,,1,,,-,,-,,-,10,,19,,,-,5,,"ARIZONA
(34.869712, -111.760902)",
DELAWARE,2016,1,,-,0,,0,,,-,,-,,-,0,,3,,,-,,-,,-,1,,10,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
WYOMING,2016,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,1,,,-,1,,"WYOMING
(43.23558, -108.110518)",
NEW YORK,2016,1,,-,0,,1,,,-,,-,,-,0,,3,,,-,,-,,-,8,,22,,,-,,-,"NEW YORK
(42.826892, -75.544286)",
PENNSYLVANIA,2016,1,,-,0,,2,,,-,,-,,-,0,,4,,,-,,-,10,,11,,22,,10,,8,,"PENNSYLVANIA
(40.789676, -77.858055)",
KENTUCKY,2016,1,,-,0,,0,,,-,,-,1,,1,,10,,1,,1,,,-,2,,8,,,-,,-,"KENTUCKY
(37.64591, -84.774043)",
MINNESOTA,2016,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,5,,11,,,-,2,,"MINNESOTA
(44.943719, -93.094281)",
GUAM,2016,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
NEBRASKA,2016,1,,-,0,,3,,,-,,-,,-,0,,2,,,-,,-,,-,0,,4,,,-,1,,"NEBRASKA
(41.640503, -99.367122)",
HAWAII,2016,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,1,,4,,,-,1,,"HAWAII
(21.30992, -157.858158)",
NEW JERSEY,2016,1,,-,0,,1,,,-,,-,,-,0,,7,,,-,,-,,-,6,,14,,,-,6,,"NEW JERSEY
(40.104655, -74.386686)",
WEST VIRGINIA,2016,1,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,1,,4,,,-,3,,"WEST VIRGINIA
(38.668501, -80.709421)",
VIRGINIA,2016,1,,-,0,,2,,,-,,-,,-,3,,22,,,-,1,,3,,6,,31,,3,,4,,"VIRGINIA
(37.542699, -78.45822)",
CALIFORNIA,2016,1,,-,0,,1,,,-,,-,,-,0,,2,,,-,,-,11,,90,,114,,11,,97,,"CALIFORNIA
(37.640735, -121.002435)",
MISSISSIPPI,2016,1,,-,0,,1,,,-,,-,,-,1,,8,,,-,,-,,-,3,,9,,,-,,-,"MISSISSIPPI
(32.738663, -89.537312)",
NORTH CAROLINA,2016,1,,-,0,,1,,,-,,-,,-,4,,67,,,-,,-,,-,20,,55,,,-,20,,"NORTH CAROLINA
(35.47995, -79.180571)",
COLORADO,2016,1,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,5,,8,,,-,8,,"COLORADO
(38.841772, -106.132562)",
KANSAS,2016,1,,-,0,,1,,,-,,-,,-,2,,13,,,-,,-,1,,1,,5,,1,,3,,"KANSAS
(38.345528, -98.201847)",
PUERTO RICO,2016,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,8,,37,,,-,5,,"PUERTO RICO
(18.215692, -66.414655)",
ALABAMA,2016,1,,-,0,,1,,,-,,-,1,,3,,19,,1,,1,,,-,5,,11,,,-,4,,"ALABAMA
(32.839182, -86.631125)",
NORTH DAKOTA,2016,1,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
MISSOURI,2016,1,,-,0,,2,,,-,,-,,-,4,,18,,,-,,-,2,,5,,13,,2,,3,,"MISSOURI
(38.636168, -92.566292)",
VERMONT,2016,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,2,,,-,1,,"VERMONT
(43.622479, -72.51927)",
MARYLAND,2016,1,,-,0,,0,,,-,,-,,-,0,,3,,,-,,-,,-,8,,19,,,-,,-,"MARYLAND
(39.290443, -76.612333)",
ILLINOIS,2016,1,,-,0,,3,,,-,,-,,-,0,,6,,,-,,-,,-,16,,33,,,-,15,,"ILLINOIS
(40.477092, -88.993221)",
INDIANA,2016,1,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,2,,6,,15,,2,,1,,"INDIANA
(39.76845, -86.156212)",
UNITED STATES,2016,2,,-,1,,10,,,-,2,,2,,50,,213,,7,,19,,99,,437,,526,,230,,720,,,
NEW ENGLAND,2016,2,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,12,,25,,1,,14,,,
MID. ATLANTIC,2016,2,,-,0,,2,,,-,,-,1,,1,,11,,1,,,-,21,,54,,84,,46,,70,,,
NEW YORK CITY,2016,2,,-,0,,0,,,-,,-,1,,0,,3,,1,,,-,4,,28,,45,,18,,39,,"NEW YORK CITY
",
E.N. CENTRAL,2016,2,,-,0,,3,,,-,,-,,-,1,,6,,,-,1,,3,,41,,64,,10,,81,,,
W.N. CENTRAL,2016,2,,-,0,,5,,,-,,-,,-,6,,25,,,-,1,,4,,15,,27,,10,,26,,,
S. ATLANTIC,2016,2,,-,0,,5,,,-,1,,,-,9,,79,,,-,6,,21,,109,,152,,40,,172,,,
DIST. OF COL.,2016,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,1,,5,,,-,7,,"DIST. OF COL.
",
E.S. CENTRAL,2016,2,,-,0,,3,,,-,,-,,-,14,,64,,5,,8,,1,,17,,27,,2,,23,,,
W.S. CENTRAL,2016,2,,-,0,,1,,,-,,-,1,,12,,72,,1,,3,,32,,49,,66,,61,,81,,,
MOUNTAIN,2016,2,,-,0,,2,,,-,1,,,-,0,,3,,,-,,-,,-,25,,41,,3,,37,,,
PACIFIC,2016,2,,-,0,,1,,,-,,-,,-,0,,2,,,-,,-,17,,104,,133,,57,,216,,,
AMER. SAMOA,2016,2,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"AMER. SAMOA
",
C.N.M.I.,2016,2,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"C.N.M.I.
",
VIRGIN ISL.,2016,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISL.
",
ALABAMA,2016,2,,-,0,,1,,,-,,-,,-,3,,19,,1,,3,,,-,5,,11,,1,,9,,"ALABAMA
(32.839182, -86.631125)",
NEW YORK,2016,2,,-,0,,1,,,-,,-,,-,0,,3,,,-,,-,6,,8,,30,,6,,2,,"NEW YORK
(42.826892, -75.544286)",
GEORGIA,2016,2,,-,0,,5,,,-,1,,,-,0,,0,,,-,,-,,-,27,,43,,,-,46,,"GEORGIA
(32.836038, -83.631709)",
NORTH CAROLINA,2016,2,,-,0,,1,,,-,,-,,-,4,,67,,,-,2,,,-,20,,55,,,-,37,,"NORTH CAROLINA
(35.47995, -79.180571)",
NORTH DAKOTA,2016,2,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
NEW MEXICO,2016,2,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,2,,5,,,-,2,,"NEW MEXICO
(34.520396, -106.244402)",
ARIZONA,2016,2,,-,0,,2,,,-,1,,,-,0,,1,,,-,,-,,-,11,,19,,,-,13,,"ARIZONA
(34.869712, -111.760902)",
KANSAS,2016,2,,-,0,,1,,,-,,-,,-,2,,13,,,-,,-,,-,1,,5,,1,,4,,"KANSAS
(38.345528, -98.201847)",
MAINE,2016,2,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,0,,5,,,-,,-,"MAINE
(45.252223, -68.986647)",
OREGON,2016,2,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,2,,6,,10,,5,,13,,"OREGON
(44.567912, -120.156945)",
CONNECTICUT,2016,2,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,1,,7,,,-,2,,"CONNECTICUT
(41.544654, -72.651713)",
MINNESOTA,2016,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,5,,11,,,-,5,,"MINNESOTA
(44.943719, -93.094281)",
TENNESSEE,2016,2,,-,0,,3,,,-,,-,,-,9,,41,,3,,2,,1,,6,,13,,1,,9,,"TENNESSEE
(35.681402, -85.774444)",
OHIO,2016,2,,-,0,,1,,,-,,-,,-,0,,3,,,-,,-,,-,9,,21,,,-,24,,"OHIO
(40.056807, -82.405897)",
COLORADO,2016,2,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,5,,8,,1,,10,,"COLORADO
(38.841772, -106.132562)",
PENNSYLVANIA,2016,2,,-,0,,2,,,-,,-,,-,0,,4,,,-,,-,11,,11,,22,,22,,18,,"PENNSYLVANIA
(40.789676, -77.858055)",
RHODE ISLAND,2016,2,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,1,,5,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
MARYLAND,2016,2,,-,0,,0,,,-,,-,,-,0,,3,,,-,,-,,-,8,,19,,,-,3,,"MARYLAND
(39.290443, -76.612333)",
ALASKA,2016,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,2,,,-,,-,"ALASKA
(64.836661, -147.738891)",
MONTANA,2016,2,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,2,,2,,,-,"MONTANA
(47.062617, -109.430168)",
INDIANA,2016,2,,-,0,,0,,,-,,-,,-,0,,1,,,-,1,,,-,6,,15,,3,,3,,"INDIANA
(39.76845, -86.156212)",
UTAH,2016,2,,-,0,,0,,,-,,-,,-,0,,2,,,-,,-,,-,1,,5,,,-,1,,"UTAH
(39.359772, -111.584173)",
FLORIDA,2016,2,,-,0,,1,,,-,,-,,-,0,,5,,,-,2,,3,,38,,55,,10,,60,,"FLORIDA
(28.915325, -81.922409)",
IDAHO,2016,2,,-,0,,0,,,-,,-,,-,0,,2,,,-,,-,,-,0,,8,,,-,,-,"IDAHO
(43.680635, -114.364237)",
ILLINOIS,2016,2,,-,0,,3,,,-,,-,,-,0,,6,,,-,,-,3,,17,,33,,4,,33,,"ILLINOIS
(40.477092, -88.993221)",
WEST VIRGINIA,2016,2,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,1,,4,,,-,4,,"WEST VIRGINIA
(38.668501, -80.709421)",
VIRGINIA,2016,2,,-,0,,2,,,-,,-,,-,3,,22,,,-,1,,11,,6,,31,,14,,5,,"VIRGINIA
(37.542699, -78.45822)",
LOUISIANA,2016,2,,-,0,,1,,,-,,-,,-,0,,2,,,-,,-,,-,11,,29,,1,,7,,"LOUISIANA
(31.2931, -92.463284)",
ARKANSAS,2016,2,,-,0,,1,,,-,,-,1,,11,,71,,1,,3,,,-,2,,9,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
MASSACHUSETTS,2016,2,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,7,,15,,1,,8,,"MASSACHUSETTS
(42.268546, -72.085064)",
WYOMING,2016,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,1,,,-,1,,"WYOMING
(43.23558, -108.110518)",
GUAM,2016,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
PUERTO RICO,2016,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,8,,37,,,-,7,,"PUERTO RICO
(18.215692, -66.414655)",
NEW JERSEY,2016,2,,-,0,,1,,,-,,-,,-,0,,7,,,-,,-,,-,6,,14,,,-,11,,"NEW JERSEY
(40.104655, -74.386686)",
NEVADA,2016,2,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,-,6,,15,,,-,10,,"NEVADA
(39.491833, -117.070159)",
VERMONT,2016,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,2,,,-,3,,"VERMONT
(43.622479, -72.51927)",
NEBRASKA,2016,2,,-,0,,3,,,-,,-,,-,0,,2,,,-,,-,,-,0,,4,,,-,1,,"NEBRASKA
(41.640503, -99.367122)",
TEXAS,2016,2,,-,0,,1,,,-,,-,,-,1,,5,,,-,,-,32,,33,,47,,60,,69,,"TEXAS
(31.827233, -99.423022)",
MISSOURI,2016,2,,-,0,,2,,,-,,-,,-,4,,18,,,-,1,,4,,6,,13,,9,,9,,"MISSOURI
(38.636168, -92.566292)",
MICHIGAN,2016,2,,-,0,,0,,,-,,-,,-,0,,2,,,-,,-,,-,6,,12,,,-,18,,"MICHIGAN
(44.66399, -84.711206)",
DELAWARE,2016,2,,-,0,,0,,,-,,-,,-,0,,3,,,-,,-,,-,1,,10,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
NEW HAMPSHIRE,2016,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,7,,,-,1,,"NEW HAMPSHIRE
(43.657736, -71.500736)",
IOWA,2016,2,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,1,,5,,,-,2,,"IOWA
(42.46942, -93.815856)",
HAWAII,2016,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,1,,4,,,-,3,,"HAWAII
(21.30992, -157.858158)",
KENTUCKY,2016,2,,-,0,,0,,,-,,-,,-,2,,10,,1,,3,,,-,2,,8,,,-,2,,"KENTUCKY
(37.64591, -84.774043)",
WISCONSIN,2016,2,,-,0,,0,,,-,,-,,-,0,,2,,,-,,-,,-,1,,4,,3,,3,,"WISCONSIN
(44.395526, -89.834513)",
SOUTH DAKOTA,2016,2,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,2,,,-,5,,"SOUTH DAKOTA
(44.35371, -100.373709)",
CALIFORNIA,2016,2,,-,0,,1,,,-,,-,,-,0,,2,,,-,,-,12,,89,,115,,44,,186,,"CALIFORNIA
(37.640735, -121.002435)",
MISSISSIPPI,2016,2,,-,0,,1,,,-,,-,,-,1,,8,,,-,,-,,-,3,,9,,,-,3,,"MISSISSIPPI
(32.738663, -89.537312)",
OKLAHOMA,2016,2,,-,0,,0,,,-,,-,,-,0,,16,,,-,,-,,-,2,,11,,,-,5,,"OKLAHOMA
(35.468494, -97.521264)",
WASHINGTON,2016,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,3,,8,,13,,8,,14,,"WASHINGTON
(47.517368, -120.467672)",
SOUTH CAROLINA,2016,2,,-,0,,1,,,-,,-,,-,1,,3,,,-,1,,7,,5,,15,,16,,10,,"SOUTH CAROLINA
(34.009286, -81.037094)",
UNITED STATES,2016,3,,-,1,,10,,,-,2,,1,,50,,214,,16,,31,,74,,438,,533,,430,,1095,,,
NEW ENGLAND,2016,3,,-,0,,1,,,-,,-,,-,0,,1,,,-,1,,,-,12,,25,,1,,25,,,
MID. ATLANTIC,2016,3,,-,0,,2,,,-,,-,,-,2,,11,,2,,,-,10,,55,,84,,82,,115,,,
NEW YORK CITY,2016,3,,-,0,,0,,,-,,-,,-,0,,3,,1,,,-,3,,28,,45,,40,,64,,"NEW YORK CITY
",
E.N. CENTRAL,2016,3,,-,0,,3,,,-,,-,,-,1,,7,,,-,1,,,-,42,,64,,14,,116,,,
W.N. CENTRAL,2016,3,,-,0,,4,,,-,,-,,-,6,,25,,,-,1,,1,,15,,27,,18,,38,,,
S. ATLANTIC,2016,3,,-,0,,5,,,-,1,,,-,9,,80,,1,,11,,29,,111,,152,,95,,273,,,
DIST. OF COL.,2016,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,1,,5,,,-,8,,"DIST. OF COL.
",
E.S. CENTRAL,2016,3,,-,0,,3,,,-,,-,1,,14,,64,,11,,11,,7,,17,,27,,10,,29,,,
W.S. CENTRAL,2016,3,,-,0,,1,,,-,,-,,-,13,,72,,1,,4,,14,,49,,67,,93,,121,,,
MOUNTAIN,2016,3,,-,0,,2,,,-,1,,,-,0,,3,,,-,1,,1,,26,,41,,8,,62,,,
PACIFIC,2016,3,,-,0,,1,,,-,,-,,-,0,,2,,1,,1,,12,,105,,133,,109,,316,,,
AMER. SAMOA,2016,3,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"AMER. SAMOA
",
C.N.M.I.,2016,3,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"C.N.M.I.
",
VIRGIN ISL.,2016,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISL.
",
NEW MEXICO,2016,3,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,2,,6,,1,,3,,"NEW MEXICO
(34.520396, -106.244402)",
MISSOURI,2016,3,,-,0,,1,,,-,,-,,-,4,,18,,,-,1,,1,,6,,13,,13,,11,,"MISSOURI
(38.636168, -92.566292)",
ILLINOIS,2016,3,,-,0,,3,,,-,,-,,-,0,,6,,,-,,-,,-,17,,33,,6,,45,,"ILLINOIS
(40.477092, -88.993221)",
INDIANA,2016,3,,-,0,,0,,,-,,-,,-,0,,1,,,-,1,,,-,6,,15,,4,,6,,"INDIANA
(39.76845, -86.156212)",
MAINE,2016,3,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,0,,5,,,-,,-,"MAINE
(45.252223, -68.986647)",
ARIZONA,2016,3,,-,0,,2,,,-,1,,,-,0,,1,,,-,1,,,-,11,,19,,,-,24,,"ARIZONA
(34.869712, -111.760902)",
MINNESOTA,2016,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,5,,11,,,-,7,,"MINNESOTA
(44.943719, -93.094281)",
ALABAMA,2016,3,,-,0,,1,,,-,,-,,-,3,,19,,3,,3,,7,,6,,11,,9,,10,,"ALABAMA
(32.839182, -86.631125)",
RHODE ISLAND,2016,3,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,1,,5,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
NORTH DAKOTA,2016,3,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,1,,"NORTH DAKOTA
(47.475879, -100.121011)",
KENTUCKY,2016,3,,-,0,,0,,,-,,-,,-,2,,10,,3,,4,,,-,2,,8,,,-,3,,"KENTUCKY
(37.64591, -84.774043)",
IOWA,2016,3,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,1,,5,,3,,3,,"IOWA
(42.46942, -93.815856)",
LOUISIANA,2016,3,,-,0,,1,,,-,,-,,-,0,,2,,,-,,-,2,,11,,30,,7,,16,,"LOUISIANA
(31.2931, -92.463284)",
OHIO,2016,3,,-,0,,1,,,-,,-,,-,0,,3,,,-,,-,,-,9,,21,,1,,31,,"OHIO
(40.056807, -82.405897)",
MONTANA,2016,3,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,1,,0,,2,,3,,,-,"MONTANA
(47.062617, -109.430168)",
NEBRASKA,2016,3,,-,0,,3,,,-,,-,,-,0,,2,,,-,,-,,-,0,,4,,,-,4,,"NEBRASKA
(41.640503, -99.367122)",
GUAM,2016,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
CONNECTICUT,2016,3,,-,0,,1,,,-,,-,,-,0,,1,,,-,1,,,-,1,,7,,,-,5,,"CONNECTICUT
(41.544654, -72.651713)",
COLORADO,2016,3,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,5,,8,,3,,13,,"COLORADO
(38.841772, -106.132562)",
KANSAS,2016,3,,-,0,,1,,,-,,-,,-,2,,13,,,-,,-,,-,1,,5,,2,,5,,"KANSAS
(38.345528, -98.201847)",
