Reporting Area,MMWR Year,MMWR Week,"Babesiosis, Current week","Babesiosis, Current week, flag","Babesiosis, Previous 52 weeks Med","Babesiosis, Previous 52 weeks Med, flag","Babesiosis, Previous 52 weeks Max","Babesiosis, Previous 52 weeks Max, flag","Babesiosis, Cum 2016","Babesiosis, Cum 2016, flag","Babesiosis, Cum 2015","Babesiosis, Cum 2015, flag","Campylobacteriosis, Current week","Campylobacteriosis, Current week, flag","Campylobacteriosis, Previous 52 weeks Med","Campylobacteriosis, Previous 52 weeks Med, flag","Campylobacteriosis, Previous 52 weeks Max","Campylobacteriosis, Previous 52 weeks Max, flag","Campylobacteriosis, Cum 2016","Campylobacteriosis, Cum 2016, flag","Campylobacteriosis, Cum 2015","Campylobacteriosis, Cum 2015, flag",Location 1,Location 2
CALIFORNIA,2016,11,,-,0,,2,,,-,,-,48,,174,,223,,1184,,1445,,"CALIFORNIA
(37.640735, -121.002435)",
NORTH DAKOTA,2016,11,,-,0,,2,,,-,,-,,-,0,,2,,6,,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
DIST. OF COL.,2016,15,,N,0,,0,,,N,,N,,-,0,,2,,,-,5,,"DIST. OF COL.
",
SOUTH CAROLINA,2016,11,,-,0,,1,,1,,1,,4,,6,,16,,61,,55,,"SOUTH CAROLINA
(34.009286, -81.037094)",
WEST VIRGINIA,2016,11,,-,0,,0,,,-,,-,,-,6,,18,,9,,45,,"WEST VIRGINIA
(38.668501, -80.709421)",
OHIO,2016,11,,-,0,,0,,,-,1,,22,,35,,93,,351,,244,,"OHIO
(40.056807, -82.405897)",
NEW HAMPSHIRE,2016,11,,-,1,,5,,1,,2,,,-,4,,12,,26,,42,,"NEW HAMPSHIRE
(43.657736, -71.500736)",
VERMONT,2016,11,,-,0,,3,,,-,,-,2,,3,,10,,25,,19,,"VERMONT
(43.622479, -72.51927)",
RHODE ISLAND,2016,11,,-,1,,24,,3,,,-,1,,3,,21,,32,,26,,"RHODE ISLAND
(41.707447, -71.522488)",
NEW MEXICO,2016,11,,N,0,,0,,,N,,N,,-,8,,19,,48,,66,,"NEW MEXICO
(34.520396, -106.244402)",
ALABAMA,2016,11,,-,0,,1,,,-,2,,7,,11,,31,,113,,88,,"ALABAMA
(32.839182, -86.631125)",
FLORIDA,2016,11,,N,0,,0,,,N,,N,28,,68,,106,,368,,674,,"FLORIDA
(28.915325, -81.922409)",
MONTANA,2016,11,,-,0,,0,,,-,,-,3,,6,,15,,55,,36,,"MONTANA
(47.062617, -109.430168)",
MICHIGAN,2016,11,,-,0,,1,,,-,1,,4,,22,,53,,163,,207,,"MICHIGAN
(44.66399, -84.711206)",
NEW JERSEY,2016,11,,-,1,,32,,,-,4,,,-,30,,63,,146,,279,,"NEW JERSEY
(40.104655, -74.386686)",
LOUISIANA,2016,11,,-,0,,1,,,-,,-,7,,8,,23,,54,,96,,"LOUISIANA
(31.2931, -92.463284)",
PENNSYLVANIA,2016,11,,N,0,,0,,,N,,N,17,,41,,98,,315,,368,,"PENNSYLVANIA
(40.789676, -77.858055)",
NEBRASKA,2016,11,,-,0,,0,,,-,,-,3,,8,,25,,59,,63,,"NEBRASKA
(41.640503, -99.367122)",
ALASKA,2016,11,,N,0,,0,,,N,,N,1,,2,,5,,11,,11,,"ALASKA
(64.836661, -147.738891)",
NORTH CAROLINA,2016,11,,N,0,,0,,,N,,N,,-,18,,73,,110,,208,,"NORTH CAROLINA
(35.47995, -79.180571)",
TEXAS,2016,11,,-,0,,1,,,-,,-,2,,69,,189,,4,,365,,"TEXAS
(31.827233, -99.423022)",
PUERTO RICO,2016,11,,N,0,,0,,,N,,N,,-,0,,3,,4,,6,,"PUERTO RICO
(18.215692, -66.414655)",
MISSOURI,2016,11,,N,0,,0,,,N,,N,,-,0,,0,,,-,88,,"MISSOURI
(38.636168, -92.566292)",
SOUTH DAKOTA,2016,11,,-,0,,0,,,-,,-,,-,6,,23,,46,,22,,"SOUTH DAKOTA
(44.35371, -100.373709)",
MASSACHUSETTS,2016,11,,-,3,,48,,4,,2,,,-,27,,47,,164,,204,,"MASSACHUSETTS
(42.268546, -72.085064)",
KANSAS,2016,11,,N,0,,0,,,N,,N,,-,5,,15,,25,,43,,"KANSAS
(38.345528, -98.201847)",
MARYLAND,2016,11,,-,0,,0,,,-,,-,10,,13,,32,,125,,118,,"MARYLAND
(39.290443, -76.612333)",
OKLAHOMA,2016,11,,N,0,,0,,,N,,N,14,,18,,59,,140,,57,,"OKLAHOMA
(35.468494, -97.521264)",
TENNESSEE,2016,11,,-,0,,1,,,-,,-,3,,14,,29,,110,,128,,"TENNESSEE
(35.681402, -85.774444)",
CONNECTICUT,2016,11,,-,1,,39,,,-,4,,,-,13,,35,,79,,114,,"CONNECTICUT
(41.544654, -72.651713)",
ARIZONA,2016,11,,-,0,,0,,,-,,-,8,,26,,53,,171,,206,,"ARIZONA
(34.869712, -111.760902)",
MAINE,2016,11,,-,0,,6,,1,,,-,4,,4,,11,,26,,29,,"MAINE
(45.252223, -68.986647)",
UNITED STATES,2016,12,1,,16,,166,,28,,29,,292,,951,,1527,,6583,,8208,,,
NEW ENGLAND,2016,12,1,,9,,98,,13,,8,,3,,53,,112,,413,,478,,,
MID. ATLANTIC,2016,12,,-,7,,109,,14,,15,,58,,138,,250,,1047,,1276,,,
NEW YORK CITY,2016,12,,-,0,,11,,5,,3,,25,,30,,127,,322,,296,,"NEW YORK CITY
",
E.N. CENTRAL,2016,12,,-,0,,7,,,-,2,,31,,94,,220,,871,,859,,,
W.N. CENTRAL,2016,12,,-,0,,2,,,-,,-,14,,34,,92,,296,,319,,,
S. ATLANTIC,2016,12,,-,0,,1,,1,,1,,44,,164,,267,,1070,,1596,,,
DIST. OF COL.,2016,12,,N,0,,0,,,N,,N,,-,0,,2,,,-,5,,"DIST. OF COL.
",
E.S. CENTRAL,2016,12,,-,0,,1,,,-,2,,19,,44,,78,,400,,403,,,
W.S. CENTRAL,2016,12,,-,0,,1,,,-,,-,23,,106,,227,,293,,651,,,
MOUNTAIN,2016,12,,-,0,,0,,,-,,-,12,,77,,136,,439,,628,,,
PACIFIC,2016,12,,-,0,,2,,,-,1,,88,,235,,359,,1754,,1998,,,
AMER. SAMOA,2016,12,,U,0,,0,,,U,,U,,-,0,,0,,,-,,-,"AMER. SAMOA
",
C.N.M.I.,2016,12,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"C.N.M.I.
",
VIRGIN ISL.,2016,12,,N,0,,0,,,N,,N,,-,0,,0,,,-,,-,"VIRGIN ISL.
",
UTAH,2016,12,,-,0,,0,,,-,,-,,-,7,,20,,50,,51,,"UTAH
(39.359772, -111.584173)",
NEW YORK,2016,12,,-,4,,109,,9,,8,,21,,33,,86,,230,,262,,"NEW YORK
(42.826892, -75.544286)",
MISSOURI,2016,12,,N,0,,0,,,N,,N,,-,0,,0,,,-,88,,"MISSOURI
(38.636168, -92.566292)",
MONTANA,2016,12,,-,0,,0,,,-,,-,1,,6,,15,,62,,39,,"MONTANA
(47.062617, -109.430168)",
KENTUCKY,2016,12,,N,0,,0,,,N,,N,6,,15,,34,,118,,135,,"KENTUCKY
(37.64591, -84.774043)",
DELAWARE,2016,12,,-,0,,1,,,-,,-,,-,3,,7,,20,,23,,"DELAWARE
(39.008676, -75.574561)",
GUAM,2016,12,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
PUERTO RICO,2016,12,,N,0,,0,,,N,,N,,-,0,,3,,4,,6,,"PUERTO RICO
(18.215692, -66.414655)",
OKLAHOMA,2016,12,,N,0,,0,,,N,,N,11,,18,,59,,151,,69,,"OKLAHOMA
(35.468494, -97.521264)",
CONNECTICUT,2016,12,,-,1,,39,,1,,4,,,-,13,,35,,85,,127,,"CONNECTICUT
(41.544654, -72.651713)",
ALASKA,2016,12,,N,0,,0,,,N,,N,,-,2,,5,,12,,12,,"ALASKA
(64.836661, -147.738891)",
TEXAS,2016,12,,-,0,,1,,,-,,-,1,,69,,189,,11,,426,,"TEXAS
(31.827233, -99.423022)",
LOUISIANA,2016,12,,-,0,,1,,,-,,-,5,,8,,23,,61,,107,,"LOUISIANA
(31.2931, -92.463284)",
WEST VIRGINIA,2016,12,,-,0,,0,,,-,,-,,-,6,,18,,11,,53,,"WEST VIRGINIA
(38.668501, -80.709421)",
WISCONSIN,2016,12,,-,0,,7,,,-,,-,6,,26,,45,,234,,206,,"WISCONSIN
(44.395526, -89.834513)",
FLORIDA,2016,12,,N,0,,0,,,N,,N,22,,68,,106,,390,,731,,"FLORIDA
(28.915325, -81.922409)",
NORTH CAROLINA,2016,12,,N,0,,0,,,N,,N,,-,18,,73,,114,,231,,"NORTH CAROLINA
(35.47995, -79.180571)",
MASSACHUSETTS,2016,12,,-,3,,48,,6,,2,,,-,27,,47,,215,,228,,"MASSACHUSETTS
(42.268546, -72.085064)",
TENNESSEE,2016,12,,-,0,,1,,,-,,-,7,,14,,29,,119,,140,,"TENNESSEE
(35.681402, -85.774444)",
WASHINGTON,2016,12,,-,0,,0,,,-,,-,23,,25,,185,,238,,176,,"WASHINGTON
(47.517368, -120.467672)",
ARIZONA,2016,12,,-,0,,0,,,-,,-,9,,26,,53,,184,,238,,"ARIZONA
(34.869712, -111.760902)",
MAINE,2016,12,1,,0,,6,,2,,,-,2,,4,,11,,29,,33,,"MAINE
(45.252223, -68.986647)",
CALIFORNIA,2016,12,,-,0,,2,,,-,,-,60,,174,,223,,1319,,1576,,"CALIFORNIA
(37.640735, -121.002435)",
KANSAS,2016,12,,N,0,,0,,,N,,N,,-,5,,15,,30,,49,,"KANSAS
(38.345528, -98.201847)",
OHIO,2016,12,,-,0,,0,,,-,1,,22,,35,,93,,374,,272,,"OHIO
(40.056807, -82.405897)",
NEVADA,2016,12,,N,0,,0,,,N,,N,,-,3,,8,,8,,28,,"NEVADA
(39.491833, -117.070159)",
INDIANA,2016,12,,-,0,,0,,,-,,-,,-,15,,39,,80,,158,,"INDIANA
(39.76845, -86.156212)",
ALABAMA,2016,12,,-,0,,1,,,-,2,,5,,11,,31,,123,,98,,"ALABAMA
(32.839182, -86.631125)",
NEBRASKA,2016,12,,-,0,,0,,,-,,-,4,,8,,25,,64,,71,,"NEBRASKA
(41.640503, -99.367122)",
MICHIGAN,2016,12,,-,0,,1,,,-,1,,3,,22,,53,,183,,223,,"MICHIGAN
(44.66399, -84.711206)",
ILLINOIS,2016,12,,-,0,,1,,,-,,-,,U,0,,0,,,U,,U,"ILLINOIS
(40.477092, -88.993221)",
NEW MEXICO,2016,12,,N,0,,0,,,N,,N,,-,8,,19,,51,,74,,"NEW MEXICO
(34.520396, -106.244402)",
NEW HAMPSHIRE,2016,12,,-,1,,5,,1,,2,,,-,4,,12,,26,,43,,"NEW HAMPSHIRE
(43.657736, -71.500736)",
PENNSYLVANIA,2016,12,,N,0,,0,,,N,,N,12,,42,,98,,348,,405,,"PENNSYLVANIA
(40.789676, -77.858055)",
GEORGIA,2016,12,,N,0,,0,,,N,,N,4,,13,,29,,99,,115,,"GEORGIA
(32.836038, -83.631709)",
IOWA,2016,12,,N,0,,0,,,N,,N,9,,14,,46,,136,,83,,"IOWA
(42.46942, -93.815856)",
SOUTH DAKOTA,2016,12,,-,0,,0,,,-,,-,1,,7,,23,,60,,28,,"SOUTH DAKOTA
(44.35371, -100.373709)",
NEW JERSEY,2016,12,,-,1,,32,,,-,4,,,-,30,,63,,147,,313,,"NEW JERSEY
(40.104655, -74.386686)",
VERMONT,2016,12,,-,0,,3,,,-,,-,1,,3,,10,,26,,21,,"VERMONT
(43.622479, -72.51927)",
IDAHO,2016,12,,N,0,,0,,,N,,N,2,,8,,20,,69,,55,,"IDAHO
(43.680635, -114.364237)",
WYOMING,2016,12,,-,0,,0,,,-,,-,,-,3,,9,,14,,21,,"WYOMING
(43.23558, -108.110518)",
NORTH DAKOTA,2016,12,,-,0,,2,,,-,,-,,-,0,,2,,6,,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
VIRGINIA,2016,12,,N,0,,0,,,N,,N,12,,28,,82,,241,,248,,"VIRGINIA
(37.542699, -78.45822)",
MARYLAND,2016,12,,-,0,,0,,,-,,-,4,,13,,32,,132,,129,,"MARYLAND
(39.290443, -76.612333)",
MINNESOTA,2016,12,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,"MINNESOTA
(44.943719, -93.094281)",
HAWAII,2016,12,,N,0,,0,,,N,,N,,-,10,,28,,56,,68,,"HAWAII
(21.30992, -157.858158)",
ARKANSAS,2016,12,,-,0,,0,,,-,,-,6,,9,,21,,70,,49,,"ARKANSAS
(34.748745, -92.275105)",
RHODE ISLAND,2016,12,,-,1,,24,,3,,,-,,-,3,,21,,32,,26,,"RHODE ISLAND
(41.707447, -71.522488)",
OREGON,2016,12,,-,0,,1,,,-,1,,5,,15,,32,,129,,166,,"OREGON
(44.567912, -120.156945)",
MISSISSIPPI,2016,12,,N,0,,0,,,N,,N,1,,4,,10,,40,,30,,"MISSISSIPPI
(32.738663, -89.537312)",
COLORADO,2016,12,,N,0,,0,,,N,,N,,-,19,,40,,1,,122,,"COLORADO
(38.841772, -106.132562)",
SOUTH CAROLINA,2016,12,,-,0,,1,,1,,1,,2,,6,,16,,63,,61,,"SOUTH CAROLINA
(34.009286, -81.037094)",
MASSACHUSETTS,2016,13,,-,3,,48,,6,,3,,,-,27,,47,,215,,248,,"MASSACHUSETTS
(42.268546, -72.085064)",
UNITED STATES,2016,13,5,,16,,166,,33,,34,,363,,953,,1527,,7244,,9010,,,
NEW ENGLAND,2016,13,1,,9,,98,,14,,10,,6,,53,,112,,427,,511,,,
MID. ATLANTIC,2016,13,4,,7,,109,,18,,17,,54,,138,,250,,1112,,1445,,,
NEW YORK CITY,2016,13,,-,0,,11,,5,,4,,24,,29,,127,,346,,325,,"NEW YORK CITY
",
E.N. CENTRAL,2016,13,,-,0,,7,,,-,3,,39,,94,,220,,950,,953,,,
W.N. CENTRAL,2016,13,,-,0,,2,,,-,,-,9,,34,,92,,310,,339,,,
S. ATLANTIC,2016,13,,-,0,,1,,1,,1,,66,,165,,267,,1182,,1717,,,
DIST. OF COL.,2016,13,,N,0,,0,,,N,,N,,-,0,,2,,,-,5,,"DIST. OF COL.
",
E.S. CENTRAL,2016,13,,-,0,,1,,,-,2,,16,,44,,78,,433,,433,,,
W.S. CENTRAL,2016,13,,-,0,,1,,,-,,-,78,,107,,232,,467,,733,,,
MOUNTAIN,2016,13,,-,0,,0,,,-,,-,14,,77,,136,,467,,700,,,
PACIFIC,2016,13,,-,0,,2,,,-,1,,81,,235,,360,,1896,,2179,,,
AMER. SAMOA,2016,13,,U,0,,0,,,U,,U,,-,0,,0,,,-,,-,"AMER. SAMOA
",
C.N.M.I.,2016,13,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"C.N.M.I.
",
VIRGIN ISL.,2016,13,,N,0,,0,,,N,,N,,-,0,,0,,,-,,-,"VIRGIN ISL.
",
WEST VIRGINIA,2016,13,,-,0,,0,,,-,,-,,-,6,,18,,11,,59,,"WEST VIRGINIA
(38.668501, -80.709421)",
NEW YORK,2016,13,4,,4,,109,,13,,8,,22,,33,,86,,252,,307,,"NEW YORK
(42.826892, -75.544286)",
TEXAS,2016,13,,-,0,,1,,,-,,-,55,,70,,193,,159,,481,,"TEXAS
(31.827233, -99.423022)",
MISSOURI,2016,13,,N,0,,0,,,N,,N,,-,0,,0,,,-,88,,"MISSOURI
(38.636168, -92.566292)",
ARKANSAS,2016,13,,-,0,,0,,,-,,-,3,,8,,21,,74,,56,,"ARKANSAS
(34.748745, -92.275105)",
NORTH DAKOTA,2016,13,,-,0,,2,,,-,,-,,-,0,,2,,6,,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
NEW JERSEY,2016,13,,-,1,,32,,,-,5,,,-,30,,63,,147,,351,,"NEW JERSEY
(40.104655, -74.386686)",
IDAHO,2016,13,,N,0,,0,,,N,,N,4,,8,,20,,74,,61,,"IDAHO
(43.680635, -114.364237)",
ILLINOIS,2016,13,,-,0,,1,,,-,1,,,U,0,,0,,,U,,U,"ILLINOIS
(40.477092, -88.993221)",
OREGON,2016,13,,-,0,,1,,,-,1,,11,,15,,32,,150,,181,,"OREGON
(44.567912, -120.156945)",
FLORIDA,2016,13,,N,0,,0,,,N,,N,40,,68,,106,,432,,783,,"FLORIDA
(28.915325, -81.922409)",
MISSISSIPPI,2016,13,,N,0,,0,,,N,,N,1,,4,,10,,43,,31,,"MISSISSIPPI
(32.738663, -89.537312)",
OHIO,2016,13,,-,0,,0,,,-,1,,34,,35,,93,,409,,308,,"OHIO
(40.056807, -82.405897)",
MICHIGAN,2016,13,,-,0,,1,,,-,1,,,-,22,,53,,183,,241,,"MICHIGAN
(44.66399, -84.711206)",
LOUISIANA,2016,13,,-,0,,1,,,-,,-,4,,8,,23,,67,,119,,"LOUISIANA
(31.2931, -92.463284)",
ALABAMA,2016,13,,-,0,,1,,,-,2,,3,,11,,31,,135,,107,,"ALABAMA
(32.839182, -86.631125)",
HAWAII,2016,13,,N,0,,0,,,N,,N,,-,10,,28,,56,,75,,"HAWAII
(21.30992, -157.858158)",
ALASKA,2016,13,,N,0,,0,,,N,,N,1,,2,,5,,13,,12,,"ALASKA
(64.836661, -147.738891)",
TENNESSEE,2016,13,,-,0,,1,,,-,,-,5,,14,,29,,124,,147,,"TENNESSEE
(35.681402, -85.774444)",
WISCONSIN,2016,13,,-,0,,7,,,-,,-,5,,27,,45,,256,,229,,"WISCONSIN
(44.395526, -89.834513)",
PUERTO RICO,2016,13,,N,0,,0,,,N,,N,,-,0,,3,,4,,6,,"PUERTO RICO
(18.215692, -66.414655)",
VIRGINIA,2016,13,,N,0,,0,,,N,,N,9,,28,,82,,266,,272,,"VIRGINIA
(37.542699, -78.45822)",
INDIANA,2016,13,,-,0,,0,,,-,,-,,-,16,,39,,102,,175,,"INDIANA
(39.76845, -86.156212)",
VERMONT,2016,13,,-,0,,3,,,-,,-,2,,3,,10,,29,,22,,"VERMONT
(43.622479, -72.51927)",
NEW HAMPSHIRE,2016,13,,-,1,,5,,1,,3,,,-,4,,12,,26,,45,,"NEW HAMPSHIRE
(43.657736, -71.500736)",
MAINE,2016,13,,-,1,,6,,2,,,-,3,,4,,11,,33,,35,,"MAINE
(45.252223, -68.986647)",
GUAM,2016,13,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
MINNESOTA,2016,13,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,"MINNESOTA
(44.943719, -93.094281)",
OKLAHOMA,2016,13,,N,0,,0,,,N,,N,16,,18,,59,,167,,77,,"OKLAHOMA
(35.468494, -97.521264)",
MARYLAND,2016,13,,-,0,,0,,,-,,-,13,,13,,32,,147,,141,,"MARYLAND
(39.290443, -76.612333)",
NORTH CAROLINA,2016,13,,N,0,,0,,,N,,N,,-,18,,75,,130,,241,,"NORTH CAROLINA
(35.47995, -79.180571)",
IOWA,2016,13,,N,0,,0,,,N,,N,3,,14,,46,,143,,88,,"IOWA
(42.46942, -93.815856)",
SOUTH CAROLINA,2016,13,,-,0,,1,,1,,1,,,-,6,,16,,65,,64,,"SOUTH CAROLINA
(34.009286, -81.037094)",
KANSAS,2016,13,,N,0,,0,,,N,,N,,-,5,,16,,30,,55,,"KANSAS
(38.345528, -98.201847)",
ARIZONA,2016,13,,-,0,,0,,,-,,-,10,,25,,53,,197,,273,,"ARIZONA
(34.869712, -111.760902)",
MONTANA,2016,13,,-,0,,0,,,-,,-,,-,6,,15,,62,,41,,"MONTANA
(47.062617, -109.430168)",
PENNSYLVANIA,2016,13,,N,0,,0,,,N,,N,8,,42,,98,,367,,462,,"PENNSYLVANIA
(40.789676, -77.858055)",
WYOMING,2016,13,,-,0,,0,,,-,,-,,-,3,,9,,17,,22,,"WYOMING
(43.23558, -108.110518)",
KENTUCKY,2016,13,,N,0,,0,,,N,,N,7,,15,,35,,131,,148,,"KENTUCKY
(37.64591, -84.774043)",
SOUTH DAKOTA,2016,13,,-,0,,0,,,-,,-,,-,7,,23,,60,,29,,"SOUTH DAKOTA
(44.35371, -100.373709)",
GEORGIA,2016,13,,N,0,,0,,,N,,N,3,,13,,29,,108,,125,,"GEORGIA
(32.836038, -83.631709)",
COLORADO,2016,13,,N,0,,0,,,N,,N,,-,19,,40,,1,,132,,"COLORADO
(38.841772, -106.132562)",
DELAWARE,2016,13,,-,0,,1,,,-,,-,1,,3,,7,,23,,27,,"DELAWARE
(39.008676, -75.574561)",
NEW MEXICO,2016,13,,N,0,,0,,,N,,N,,-,8,,19,,57,,84,,"NEW MEXICO
(34.520396, -106.244402)",
NEVADA,2016,13,,N,0,,0,,,N,,N,,-,3,,8,,9,,31,,"NEVADA
(39.491833, -117.070159)",
UTAH,2016,13,,-,0,,0,,,-,,-,,-,7,,20,,50,,56,,"UTAH
(39.359772, -111.584173)",
WASHINGTON,2016,13,,-,0,,0,,,-,,-,15,,25,,185,,253,,197,,"WASHINGTON
(47.517368, -120.467672)",
RHODE ISLAND,2016,13,1,,1,,24,,4,,,-,,-,3,,21,,32,,26,,"RHODE ISLAND
(41.707447, -71.522488)",
CALIFORNIA,2016,13,,-,0,,2,,,-,,-,54,,174,,223,,1424,,1714,,"CALIFORNIA
(37.640735, -121.002435)",
NEBRASKA,2016,13,,-,0,,0,,,-,,-,6,,8,,25,,71,,79,,"NEBRASKA
(41.640503, -99.367122)",
CONNECTICUT,2016,13,,-,1,,39,,1,,4,,1,,13,,35,,92,,135,,"CONNECTICUT
(41.544654, -72.651713)",
UNITED STATES,2016,14,2,,16,,167,,35,,36,,376,,956,,1528,,7971,,9894,,,
NEW ENGLAND,2016,14,,-,9,,99,,14,,12,,9,,54,,113,,485,,565,,,
MID. ATLANTIC,2016,14,2,,7,,109,,20,,17,,66,,135,,250,,1246,,1563,,,
NEW YORK CITY,2016,14,1,,0,,11,,6,,4,,20,,29,,127,,366,,351,,"NEW YORK CITY
",
E.N. CENTRAL,2016,14,,-,0,,7,,,-,3,,33,,93,,219,,1035,,1026,,,
W.N. CENTRAL,2016,14,,-,0,,2,,,-,,-,11,,34,,89,,350,,366,,,
S. ATLANTIC,2016,14,,-,0,,1,,1,,1,,54,,162,,272,,1248,,1887,,,
DIST. OF COL.,2016,14,,N,0,,0,,,N,,N,,-,0,,2,,,-,5,,"DIST. OF COL.
",
E.S. CENTRAL,2016,14,,-,0,,1,,,-,2,,30,,44,,78,,480,,466,,,
W.S. CENTRAL,2016,14,,-,0,,1,,,-,,-,50,,107,,237,,534,,825,,,
MOUNTAIN,2016,14,,-,0,,0,,,-,,-,27,,77,,137,,527,,772,,,
PACIFIC,2016,14,,-,0,,2,,,-,1,,96,,235,,361,,2066,,2424,,,
AMER. SAMOA,2016,14,,U,0,,0,,,U,,U,,-,0,,0,,,-,,-,"AMER. SAMOA
",
C.N.M.I.,2016,14,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"C.N.M.I.
",
VIRGIN ISL.,2016,14,,N,0,,0,,,N,,N,,-,0,,0,,,-,,-,"VIRGIN ISL.
",
MAINE,2016,14,,-,1,,6,,2,,1,,,-,4,,11,,35,,39,,"MAINE
(45.252223, -68.986647)",
ILLINOIS,2016,14,,-,0,,1,,,-,1,,,U,0,,0,,,U,,U,"ILLINOIS
(40.477092, -88.993221)",
GUAM,2016,14,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
UTAH,2016,14,,-,0,,0,,,-,,-,,-,7,,20,,59,,61,,"UTAH
(39.359772, -111.584173)",
GEORGIA,2016,14,,N,0,,0,,,N,,N,3,,13,,29,,113,,140,,"GEORGIA
(32.836038, -83.631709)",
NEW MEXICO,2016,14,,N,0,,0,,,N,,N,,-,8,,19,,63,,90,,"NEW MEXICO
(34.520396, -106.244402)",
HAWAII,2016,14,,N,0,,0,,,N,,N,,-,10,,28,,68,,86,,"HAWAII
(21.30992, -157.858158)",
ARIZONA,2016,14,,-,0,,0,,,-,,-,20,,25,,53,,228,,301,,"ARIZONA
(34.869712, -111.760902)",
VIRGINIA,2016,14,,N,0,,0,,,N,,N,8,,28,,81,,280,,294,,"VIRGINIA
(37.542699, -78.45822)",
RHODE ISLAND,2016,14,,-,1,,25,,4,,,-,5,,3,,21,,37,,30,,"RHODE ISLAND
(41.707447, -71.522488)",
PUERTO RICO,2016,14,,N,0,,0,,,N,,N,,-,0,,3,,4,,6,,"PUERTO RICO
(18.215692, -66.414655)",
CALIFORNIA,2016,14,,-,0,,2,,,-,,-,62,,174,,223,,1541,,1896,,"CALIFORNIA
(37.640735, -121.002435)",
TEXAS,2016,14,,-,0,,1,,,-,,-,37,,70,,198,,210,,539,,"TEXAS
(31.827233, -99.423022)",
MICHIGAN,2016,14,,-,0,,1,,,-,1,,2,,22,,53,,205,,260,,"MICHIGAN
(44.66399, -84.711206)",
IOWA,2016,14,,N,0,,0,,,N,,N,4,,13,,43,,156,,94,,"IOWA
(42.46942, -93.815856)",
SOUTH CAROLINA,2016,14,,-,0,,1,,1,,1,,4,,6,,16,,71,,70,,"SOUTH CAROLINA
(34.009286, -81.037094)",
INDIANA,2016,14,,-,0,,0,,,-,,-,,-,15,,39,,106,,187,,"INDIANA
(39.76845, -86.156212)",
NEW JERSEY,2016,14,,-,1,,32,,,-,5,,,-,29,,63,,202,,379,,"NEW JERSEY
(40.104655, -74.386686)",
PENNSYLVANIA,2016,14,,N,0,,0,,,N,,N,21,,41,,98,,401,,498,,"PENNSYLVANIA
(40.789676, -77.858055)",
CONNECTICUT,2016,14,,-,1,,39,,1,,4,,,-,13,,35,,100,,145,,"CONNECTICUT
(41.544654, -72.651713)",
MISSISSIPPI,2016,14,,N,0,,0,,,N,,N,1,,4,,10,,45,,35,,"MISSISSIPPI
(32.738663, -89.537312)",
NORTH CAROLINA,2016,14,,N,0,,0,,,N,,N,,-,18,,76,,130,,271,,"NORTH CAROLINA
(35.47995, -79.180571)",
NEBRASKA,2016,14,,-,0,,0,,,-,,-,7,,8,,25,,79,,89,,"NEBRASKA
(41.640503, -99.367122)",
KENTUCKY,2016,14,,N,0,,0,,,N,,N,4,,15,,35,,136,,160,,"KENTUCKY
(37.64591, -84.774043)",
NEVADA,2016,14,,N,0,,0,,,N,,N,,-,3,,8,,9,,32,,"NEVADA
(39.491833, -117.070159)",
OREGON,2016,14,,-,0,,1,,,-,1,,11,,15,,32,,170,,202,,"OREGON
(44.567912, -120.156945)",
MARYLAND,2016,14,,-,0,,0,,,-,,-,6,,13,,32,,155,,146,,"MARYLAND
(39.290443, -76.612333)",
ALABAMA,2016,14,,-,0,,1,,,-,2,,8,,11,,31,,152,,117,,"ALABAMA
(32.839182, -86.631125)",
COLORADO,2016,14,,N,0,,0,,,N,,N,,-,19,,40,,1,,145,,"COLORADO
(38.841772, -106.132562)",
WASHINGTON,2016,14,,-,0,,0,,,-,,-,23,,25,,186,,274,,228,,"WASHINGTON
(47.517368, -120.467672)",
NEW HAMPSHIRE,2016,14,,-,1,,5,,1,,3,,1,,4,,12,,30,,51,,"NEW HAMPSHIRE
(43.657736, -71.500736)",
ARKANSAS,2016,14,,-,0,,0,,,-,,-,9,,8,,21,,84,,64,,"ARKANSAS
(34.748745, -92.275105)",
FLORIDA,2016,14,,N,0,,0,,,N,,N,30,,68,,106,,462,,867,,"FLORIDA
(28.915325, -81.922409)",
ALASKA,2016,14,,N,0,,0,,,N,,N,,-,2,,5,,13,,12,,"ALASKA
(64.836661, -147.738891)",
OKLAHOMA,2016,14,,N,0,,0,,,N,,N,,-,18,,59,,167,,93,,"OKLAHOMA
(35.468494, -97.521264)",
