Reporting Area,MMWR Year,MMWR Week,"Lyme disease, Current week","Lyme disease, Current week, flag","Lyme disease, Previous 52 weeks Med","Lyme disease, Previous 52 weeks Med, flag","Lyme disease, Previous 52 weeks Max","Lyme disease, Previous 52 weeks Max, flag","Lyme disease, Cum 2015","Lyme disease, Cum 2015, flag","Lyme disease, Cum 2014","Lyme disease, Cum 2014, flag","Malaria, Current week","Malaria, Current week, flag","Malaria, Previous 52 weeks Med","Malaria, Previous 52 weeks Med, flag","Malaria, Previous 52 weeks Max","Malaria, Previous 52 weeks Max, flag","Malaria, Cum 2015","Malaria, Cum 2015, flag","Malaria, Cum 2014","Malaria, Cum 2014, flag","Meningococcal disease, invasive, All serogroups, Current week","Meningococcal disease, invasive§, All serogroups, Current week, flag","Meningococcal disease, invasive§, All serogroups, Previous 52 weeks Med","Meningococcal disease, invasive§, All serogroups, Previous 52 weeks Med, flag","Meningococcal disease, invasive§, All serogroups, Previous 52 weeks Max","Meningococcal disease, invasive§, All serogroups, Previous 52 weeks Max, flag","Meningococcal disease, invasive§, All serogroups, Cum 2015","Meningococcal disease, invasive§, All serogroups, Cum 2015, flag","Meningococcal disease, invasive§, All serogroups, Cum 2014","Meningococcal disease, invasive§, All serogroups, Cum 2014, flag",Location 1,Location 2
CONNECTICUT,2015,13,,-,31,,178,,19,,162,,,-,0,,2,,,-,3,,,-,0,,1,,,-,,-,"CONNECTICUT
(41.56266070000004, -72.64983977999998)",
ARIZONA,2015,13,,-,0,,6,,5,,1,,,-,0,,3,,1,,8,,,-,0,,1,,,-,5,,"ARIZONA
(34.86597351900008, -111.76380664699997)",
UNITED STATES,2015,14,46,,423,,1919,,1431,,2389,,3,,25,,54,,128,,292,,4,,7,,13,,105,,162,,,
NEW ENGLAND,2015,14,5,,134,,757,,160,,896,,,-,1,,7,,7,,22,,,-,0,,2,,5,,4,,,
MID. ATLANTIC,2015,14,29,,192,,961,,871,,1132,,2,,6,,24,,31,,75,,,-,1,,4,,13,,10,,,
E.N. CENTRAL,2015,14,,-,15,,135,,35,,90,,,-,2,,6,,15,,23,,,-,1,,3,,9,,17,,,
W.N. CENTRAL,2015,14,1,,2,,23,,6,,7,,,-,1,,4,,5,,16,,,-,0,,2,,7,,9,,,
S. ATLANTIC,2015,14,9,,57,,194,,332,,236,,,-,6,,19,,38,,82,,3,,1,,5,,29,,37,,,
DIST. OF COL.,2015,14,,-,1,,4,,9,,8,,,-,0,,2,,1,,,-,1,,0,,1,,3,,,-,"DIST. OF COL.
",
E.S. CENTRAL,2015,14,1,,2,,10,,10,,7,,,-,0,,5,,4,,10,,,-,0,,2,,4,,4,,,
W.S. CENTRAL,2015,14,,-,0,,7,,1,,,-,1,,2,,10,,6,,18,,1,,0,,4,,10,,14,,,
MOUNTAIN,2015,14,,-,1,,8,,6,,8,,,-,1,,6,,3,,14,,,-,0,,2,,2,,16,,,
PACIFIC,2015,14,1,,2,,8,,10,,13,,,-,3,,7,,19,,32,,,-,1,,7,,26,,51,,,
AMER. SAMOA,2015,14,,N,,-,,-,,N,,N,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"AMER. SAMOA
",
C.N.M.I.,2015,14,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"C.N.M.I.
",
VIRGIN ISL.,2015,14,,N,0,,0,,,N,,N,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISL.
",
WISCONSIN,2015,14,,-,10,,102,,15,,66,,,-,0,,2,,,-,,-,,-,0,,1,,,-,2,,"WISCONSIN
(44.39319064600005, -89.81636640199997)",
OHIO,2015,14,,-,1,,10,,10,,7,,,-,1,,3,,6,,7,,,-,0,,2,,5,,5,,"OHIO
(40.060212455000055, -82.40425667899996)",
MICHIGAN,2015,14,,-,1,,11,,3,,7,,,-,0,,2,,1,,6,,,-,0,,1,,2,,2,,"MICHIGAN
(44.66132238800003, -84.71438555599997)",
CONNECTICUT,2015,14,,-,31,,178,,19,,177,,,-,0,,2,,,-,3,,,-,0,,1,,,-,,-,"CONNECTICUT
(41.56266070000004, -72.64983977999998)",
GEORGIA,2015,14,,-,0,,1,,,-,,-,,-,1,,5,,3,,14,,,-,0,,2,,4,,4,,"GEORGIA
(32.839683200000024, -83.62757885599996)",
MISSISSIPPI,2015,14,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"MISSISSIPPI
(32.745513440000025, -89.53802722999995)",
WASHINGTON,2015,14,,-,0,,2,,,-,,-,,-,0,,3,,1,,9,,,-,0,,6,,,-,5,,"WASHINGTON
(47.52228790000004, -120.47002813699999)",
VIRGINIA,2015,14,3,,17,,149,,86,,55,,,-,1,,5,,10,,14,,1,,0,,2,,6,,2,,"VIRGINIA
(37.542680705000066, -78.45788932099998)",
HAWAII,2015,14,,N,0,,0,,,N,,N,,-,0,,1,,,-,,-,,-,0,,1,,1,,1,,"HAWAII
(21.30485232600006, -157.85774798099996)",
MAINE,2015,14,,-,16,,94,,54,,72,,,-,0,,1,,,-,2,,,-,0,,1,,,-,,-,"MAINE
(45.25422910300006, -68.98502586699993)",
NEVADA,2015,14,,-,0,,2,,,-,1,,,-,0,,2,,,-,,-,,-,0,,1,,,-,2,,"NEVADA
(39.49324221300003, -117.07183885899997)",
ALABAMA,2015,14,,-,1,,7,,7,,,-,,-,0,,3,,3,,1,,,-,0,,1,,3,,,-,"ALABAMA
(32.84057234800002, -86.63185738799996)",
SOUTH DAKOTA,2015,14,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,2,,"SOUTH DAKOTA
(44.35313004200003, -100.37352915599996)",
MARYLAND,2015,14,1,,18,,81,,134,,89,,,-,2,,8,,11,,39,,,-,0,,1,,1,,3,,"MARYLAND
(39.290582950000044, -76.60925984299996)",
TENNESSEE,2015,14,,-,0,,3,,,-,,-,,-,0,,2,,1,,7,,,-,0,,2,,1,,3,,"TENNESSEE
(35.68094072700006, -85.77448666899994)",
GUAM,2015,14,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"GUAM
(13.480998894000038, 144.73149801400007)",
ARKANSAS,2015,14,,-,0,,0,,,-,,-,,-,0,,1,,2,,2,,,-,0,,1,,1,,1,,"ARKANSAS
(34.74865032200006, -92.27448966799994)",
VERMONT,2015,14,1,,7,,48,,28,,50,,,-,0,,2,,,-,,-,,-,0,,1,,1,,,-,"VERMONT
(43.62538389600007, -72.51763667599994)",
WEST VIRGINIA,2015,14,,-,1,,15,,18,,10,,,-,0,,1,,,-,1,,,-,0,,1,,,-,,-,"WEST VIRGINIA
(38.66551127300005, -80.71263755899997)",
KENTUCKY,2015,14,1,,0,,5,,3,,7,,,-,0,,2,,,-,2,,,-,0,,1,,,-,1,,"KENTUCKY
(37.64597313300004, -84.77496771599994)",
CALIFORNIA,2015,14,,-,1,,5,,5,,8,,,-,1,,5,,13,,21,,,-,0,,4,,14,,34,,"CALIFORNIA
(37.63864210000003, -120.99999644699994)",
NEW JERSEY,2015,14,,-,37,,191,,173,,432,,,-,1,,5,,4,,7,,,-,0,,1,,2,,2,,"NEW JERSEY
(40.130570807000026, -74.27368796999997)",
DELAWARE,2015,14,1,,6,,25,,33,,48,,,-,0,,1,,,-,1,,,-,0,,0,,,-,1,,"DELAWARE
(39.00883389200004, -75.57773597599999)",
WYOMING,2015,14,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"WYOMING
(43.23554100600006, -108.10982701399996)",
NEW MEXICO,2015,14,,-,0,,0,,,-,,-,,-,0,,1,,,-,1,,,-,0,,1,,1,,1,,"NEW MEXICO
(34.52088149400004, -106.24057817299996)",
ARIZONA,2015,14,,-,0,,6,,5,,1,,,-,0,,3,,1,,8,,,-,0,,1,,,-,6,,"ARIZONA
(34.86597351900008, -111.76380664699997)",
MINNESOTA,2015,14,,-,0,,0,,,-,3,,,-,0,,0,,,-,2,,,-,0,,1,,,-,2,,"MINNESOTA
(46.35564896600005, -94.79419983199995)",
MISSOURI,2015,14,,-,0,,2,,,-,,-,,-,0,,1,,2,,4,,,-,0,,1,,2,,2,,"MISSOURI
(38.63579147100006, -92.56629944499997)",
NEW HAMPSHIRE,2015,14,,-,2,,67,,1,,71,,,-,0,,1,,,-,2,,,-,0,,0,,,-,,-,"NEW HAMPSHIRE
(43.65595283500005, -71.50035697299995)",
OKLAHOMA,2015,14,,-,0,,0,,,-,,-,1,,0,,3,,1,,,-,1,,0,,2,,1,,2,,"OKLAHOMA
(35.472030747000076, -97.52106835299998)",
RHODE ISLAND,2015,14,2,,11,,84,,42,,37,,,-,0,,3,,1,,2,,,-,0,,2,,2,,,-,"RHODE ISLAND
(41.70828106100004, -71.52246566099996)",
NORTH CAROLINA,2015,14,,-,0,,78,,21,,10,,,-,0,,8,,2,,3,,,-,0,,1,,2,,10,,"NORTH CAROLINA
(35.466220159000045, -79.15924997399998)",
MONTANA,2015,14,,-,0,,2,,,-,1,,,-,0,,1,,,-,,-,,-,0,,1,,,-,2,,"MONTANA
(47.06652795700006, -109.42441587999997)",
IDAHO,2015,14,,-,0,,1,,1,,2,,,-,0,,1,,,-,,-,,-,0,,1,,,-,1,,"IDAHO
(43.68263174800006, -114.36372693399994)",
OREGON,2015,14,1,,1,,3,,4,,5,,,-,0,,2,,4,,1,,,-,0,,3,,11,,11,,"OREGON
(44.56745049300008, -120.15502935599994)",
KANSAS,2015,14,,-,0,,2,,1,,2,,,-,0,,1,,,-,4,,,-,0,,1,,2,,1,,"KANSAS
(38.347742794000055, -98.20077822999997)",
PENNSYLVANIA,2015,14,20,,85,,642,,524,,514,,,-,1,,6,,4,,16,,,-,0,,2,,4,,3,,"PENNSYLVANIA
(40.79373362300004, -77.86069690799997)",
NEBRASKA,2015,14,1,,0,,3,,3,,,-,,-,0,,2,,1,,1,,,-,0,,1,,1,,,-,"NEBRASKA
(41.64104362100005, -99.36571888999998)",
MASSACHUSETTS,2015,14,2,,55,,465,,16,,489,,,-,1,,5,,6,,13,,,-,0,,1,,2,,4,,"MASSACHUSETTS
(42.27687400000008, -72.08268726299997)",
INDIANA,2015,14,,-,1,,12,,3,,4,,,-,0,,3,,3,,5,,,-,0,,1,,1,,2,,"INDIANA
(39.766913353000064, -86.14995646699998)",
PUERTO RICO,2015,14,,N,0,,0,,,N,,N,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"PUERTO RICO
(18.24828934900006, -66.49988980099994)",
ALASKA,2015,14,,-,0,,1,,1,,,-,,-,0,,1,,1,,1,,,-,0,,1,,,-,,-,"ALASKA
(64.84507799500005, -147.72205958799998)",
NEW YORK,2015,14,9,,42,,172,,146,,155,,1,,1,,4,,11,,11,,,-,0,,2,,3,,1,,"NEW YORK
(42.82700376100007, -75.54396609999998)",
LOUISIANA,2015,14,,-,0,,1,,,-,,-,,-,0,,1,,1,,3,,,-,0,,1,,1,,3,,"LOUISIANA
(31.312663324000027, -92.44567750499994)",
NORTH DAKOTA,2015,14,,-,0,,2,,,-,,-,,-,0,,1,,,-,1,,,-,0,,1,,,-,1,,"NORTH DAKOTA
(47.475318609000055, -100.11842789099995)",
ILLINOIS,2015,14,,-,1,,18,,4,,6,,,-,1,,4,,5,,5,,,-,0,,1,,1,,6,,"ILLINOIS
(40.48501223300008, -88.99770922699997)",
TEXAS,2015,14,,-,0,,7,,1,,,-,,-,1,,9,,2,,13,,,-,0,,3,,7,,8,,"TEXAS
(31.827240467000024, -99.42676785299994)",
IOWA,2015,14,,-,1,,20,,2,,2,,,-,0,,2,,2,,4,,,-,0,,1,,2,,1,,"IOWA
(42.469401411000035, -93.81648725599996)",
UTAH,2015,14,,-,0,,2,,,-,3,,,-,0,,1,,2,,1,,,-,0,,0,,,-,1,,"UTAH
(39.36070123200005, -111.58712831499997)",
COLORADO,2015,14,,-,0,,0,,,-,,-,,-,0,,3,,,-,4,,,-,0,,1,,1,,3,,"COLORADO
(38.84384342200008, -106.13360911499996)",
FLORIDA,2015,14,4,,2,,12,,28,,14,,,-,1,,4,,10,,8,,1,,1,,4,,13,,16,,"FLORIDA
(28.932042722000062, -81.92895768899996)",
SOUTH CAROLINA,2015,14,,-,1,,3,,3,,2,,,-,0,,1,,1,,2,,,-,0,,3,,,-,1,,"SOUTH CAROLINA
(33.99882216300006, -81.04536596899999)",
NEW YORK CITY,2015,14,,-,3,,441,,28,,31,,1,,3,,16,,12,,41,,,-,0,,2,,4,,4,,"NEW YORK CITY
(40.71426755700003, -74.00596858999995)",
UNITED STATES,2015,15,47,,424,,1922,,1581,,2564,,9,,25,,54,,142,,312,,7,,6,,13,,117,,170,,,
NEW ENGLAND,2015,15,,-,134,,757,,187,,953,,,-,1,,7,,7,,23,,1,,0,,2,,7,,5,,,
MID. ATLANTIC,2015,15,38,,192,,961,,966,,1213,,3,,6,,24,,38,,79,,,-,1,,4,,13,,10,,,
E.N. CENTRAL,2015,15,,-,15,,137,,39,,102,,2,,2,,6,,17,,25,,,-,1,,3,,10,,18,,,
W.N. CENTRAL,2015,15,,-,2,,23,,5,,7,,,-,1,,4,,5,,18,,,-,0,,2,,7,,9,,,
S. ATLANTIC,2015,15,9,,57,,195,,354,,258,,4,,6,,19,,42,,88,,,-,1,,6,,30,,40,,,
DIST. OF COL.,2015,15,,-,1,,4,,9,,8,,,-,0,,2,,1,,,-,,-,0,,1,,3,,,-,"DIST. OF COL.
",
E.S. CENTRAL,2015,15,,-,2,,10,,11,,8,,,-,0,,5,,4,,12,,,-,0,,2,,4,,5,,,
W.S. CENTRAL,2015,15,,-,0,,7,,1,,,-,,-,2,,10,,6,,18,,1,,0,,4,,11,,14,,,
MOUNTAIN,2015,15,,-,1,,8,,7,,8,,,-,1,,6,,3,,17,,,-,0,,2,,2,,16,,,
PACIFIC,2015,15,,-,2,,8,,11,,15,,,-,3,,7,,20,,32,,5,,1,,7,,33,,53,,,
AMER. SAMOA,2015,15,,N,,-,,-,,N,,N,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"AMER. SAMOA
",
C.N.M.I.,2015,15,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"C.N.M.I.
",
PENNSYLVANIA,2015,15,25,,85,,642,,570,,550,,,-,1,,6,,4,,17,,,-,0,,2,,4,,3,,"PENNSYLVANIA
(40.79373362300004, -77.86069690799997)",
WISCONSIN,2015,15,,-,11,,104,,17,,74,,,-,0,,2,,,-,,-,,-,0,,1,,,-,2,,"WISCONSIN
(44.39319064600005, -89.81636640199997)",
VERMONT,2015,15,,-,7,,48,,33,,52,,,-,0,,2,,,-,,-,1,,0,,1,,2,,,-,"VERMONT
(43.62538389600007, -72.51763667599994)",
OREGON,2015,15,,-,1,,3,,4,,6,,,-,0,,2,,4,,1,,,-,0,,3,,11,,11,,"OREGON
(44.56745049300008, -120.15502935599994)",
DELAWARE,2015,15,1,,6,,25,,35,,58,,,-,0,,1,,,-,1,,,-,0,,0,,,-,1,,"DELAWARE
(39.00883389200004, -75.57773597599999)",
TEXAS,2015,15,,-,0,,7,,1,,,-,,-,1,,9,,2,,13,,1,,0,,3,,8,,8,,"TEXAS
(31.827240467000024, -99.42676785299994)",
NEW MEXICO,2015,15,,-,0,,0,,,-,,-,,-,0,,1,,,-,1,,,-,0,,1,,1,,1,,"NEW MEXICO
(34.52088149400004, -106.24057817299996)",
COLORADO,2015,15,,-,0,,0,,,-,,-,,-,0,,3,,,-,6,,,-,0,,2,,1,,3,,"COLORADO
(38.84384342200008, -106.13360911499996)",
IOWA,2015,15,,-,1,,20,,2,,2,,,-,0,,2,,2,,4,,,-,0,,1,,2,,1,,"IOWA
(42.469401411000035, -93.81648725599996)",
CONNECTICUT,2015,15,,-,31,,178,,36,,189,,,-,0,,2,,,-,3,,,-,0,,1,,,-,,-,"CONNECTICUT
(41.56266070000004, -72.64983977999998)",
NEW JERSEY,2015,15,,-,37,,191,,210,,461,,,-,1,,5,,8,,10,,,-,0,,1,,2,,2,,"NEW JERSEY
(40.130570807000026, -74.27368796999997)",
UTAH,2015,15,,-,0,,2,,,-,3,,,-,0,,1,,2,,1,,,-,0,,0,,,-,1,,"UTAH
(39.36070123200005, -111.58712831499997)",
NEBRASKA,2015,15,,-,0,,3,,2,,,-,,-,0,,2,,1,,1,,,-,0,,1,,1,,,-,"NEBRASKA
(41.64104362100005, -99.36571888999998)",
MICHIGAN,2015,15,,-,1,,11,,3,,7,,,-,0,,2,,1,,6,,,-,0,,1,,3,,2,,"MICHIGAN
(44.66132238800003, -84.71438555599997)",
MAINE,2015,15,,-,16,,94,,59,,75,,,-,0,,1,,,-,2,,,-,0,,1,,1,,,-,"MAINE
(45.25422910300006, -68.98502586699993)",
LOUISIANA,2015,15,,-,0,,1,,,-,,-,,-,0,,1,,1,,3,,,-,0,,1,,1,,3,,"LOUISIANA
(31.312663324000027, -92.44567750499994)",
MONTANA,2015,15,,-,0,,2,,,-,1,,,-,0,,1,,,-,,-,,-,0,,1,,,-,2,,"MONTANA
(47.06652795700006, -109.42441587999997)",
VIRGINIA,2015,15,3,,17,,149,,92,,58,,,-,1,,5,,10,,15,,,-,0,,2,,7,,2,,"VIRGINIA
(37.542680705000066, -78.45788932099998)",
HAWAII,2015,15,,N,0,,0,,,N,,N,,-,0,,1,,,-,,-,,-,0,,1,,2,,1,,"HAWAII
(21.30485232600006, -157.85774798099996)",
ARKANSAS,2015,15,,-,0,,0,,,-,,-,,-,0,,1,,2,,2,,,-,0,,1,,1,,1,,"ARKANSAS
(34.74865032200006, -92.27448966799994)",
MARYLAND,2015,15,4,,19,,81,,145,,95,,3,,2,,8,,14,,40,,,-,0,,1,,1,,3,,"MARYLAND
(39.290582950000044, -76.60925984299996)",
ALABAMA,2015,15,,-,1,,7,,8,,,-,,-,0,,3,,3,,2,,,-,0,,1,,3,,1,,"ALABAMA
(32.84057234800002, -86.63185738799996)",
SOUTH DAKOTA,2015,15,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,2,,"SOUTH DAKOTA
(44.35313004200003, -100.37352915599996)",
SOUTH CAROLINA,2015,15,,-,1,,3,,5,,3,,,-,0,,1,,1,,2,,,-,0,,3,,,-,1,,"SOUTH CAROLINA
(33.99882216300006, -81.04536596899999)",
RHODE ISLAND,2015,15,,-,11,,84,,42,,42,,,-,0,,3,,1,,3,,,-,0,,2,,2,,1,,"RHODE ISLAND
(41.70828106100004, -71.52246566099996)",
NEW YORK,2015,15,12,,42,,172,,157,,171,,2,,1,,4,,13,,11,,,-,0,,2,,3,,1,,"NEW YORK
(42.82700376100007, -75.54396609999998)",
NEW HAMPSHIRE,2015,15,,-,2,,67,,1,,76,,,-,0,,1,,,-,2,,,-,0,,0,,,-,,-,"NEW HAMPSHIRE
(43.65595283500005, -71.50035697299995)",
TENNESSEE,2015,15,,-,0,,3,,,-,1,,,-,0,,2,,1,,7,,,-,0,,2,,1,,3,,"TENNESSEE
(35.68094072700006, -85.77448666899994)",
ILLINOIS,2015,15,,-,1,,18,,4,,8,,,-,1,,4,,5,,6,,,-,0,,1,,1,,7,,"ILLINOIS
(40.48501223300008, -88.99770922699997)",
WEST VIRGINIA,2015,15,,-,1,,15,,18,,11,,,-,0,,1,,,-,1,,,-,0,,1,,,-,,-,"WEST VIRGINIA
(38.66551127300005, -80.71263755899997)",
NEVADA,2015,15,,-,0,,2,,,-,1,,,-,0,,2,,,-,,-,,-,0,,1,,,-,2,,"NEVADA
(39.49324221300003, -117.07183885899997)",
INDIANA,2015,15,,-,1,,12,,3,,5,,,-,0,,3,,3,,5,,,-,0,,1,,1,,2,,"INDIANA
(39.766913353000064, -86.14995646699998)",
ALASKA,2015,15,,-,0,,1,,1,,,-,,-,0,,1,,1,,1,,,-,0,,1,,,-,,-,"ALASKA
(64.84507799500005, -147.72205958799998)",
IDAHO,2015,15,,-,0,,1,,1,,2,,,-,0,,1,,,-,,-,,-,0,,1,,,-,1,,"IDAHO
(43.68263174800006, -114.36372693399994)",
NEW YORK CITY,2015,15,1,,3,,441,,29,,31,,1,,3,,16,,13,,41,,,-,0,,2,,4,,4,,"NEW YORK CITY
(40.71426755700003, -74.00596858999995)",
NORTH DAKOTA,2015,15,,-,0,,2,,,-,,-,,-,0,,1,,,-,2,,,-,0,,1,,,-,1,,"NORTH DAKOTA
(47.475318609000055, -100.11842789099995)",
KENTUCKY,2015,15,,-,0,,5,,3,,7,,,-,0,,2,,,-,3,,,-,0,,1,,,-,1,,"KENTUCKY
(37.64597313300004, -84.77496771599994)",
WYOMING,2015,15,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"WYOMING
(43.23554100600006, -108.10982701399996)",
GUAM,2015,15,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"GUAM
(13.480998894000038, 144.73149801400007)",
NORTH CAROLINA,2015,15,,-,0,,78,,21,,10,,,-,0,,8,,2,,3,,,-,0,,1,,2,,11,,"NORTH CAROLINA
(35.466220159000045, -79.15924997399998)",
MISSOURI,2015,15,,-,0,,2,,,-,,-,,-,0,,1,,2,,4,,,-,0,,1,,2,,2,,"MISSOURI
(38.63579147100006, -92.56629944499997)",
ARIZONA,2015,15,,-,0,,6,,6,,1,,,-,0,,3,,1,,9,,,-,0,,1,,,-,6,,"ARIZONA
(34.86597351900008, -111.76380664699997)",
WASHINGTON,2015,15,,-,0,,2,,,-,,-,,-,0,,3,,1,,9,,5,,0,,6,,5,,5,,"WASHINGTON
(47.52228790000004, -120.47002813699999)",
MISSISSIPPI,2015,15,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"MISSISSIPPI
(32.745513440000025, -89.53802722999995)",
GEORGIA,2015,15,,-,0,,1,,,-,,-,,-,1,,5,,3,,17,,,-,0,,3,,4,,6,,"GEORGIA
(32.839683200000024, -83.62757885599996)",
FLORIDA,2015,15,1,,2,,12,,29,,15,,1,,1,,4,,11,,9,,,-,1,,4,,13,,16,,"FLORIDA
(28.932042722000062, -81.92895768899996)",
KANSAS,2015,15,,-,0,,2,,1,,2,,,-,0,,1,,,-,5,,,-,0,,1,,2,,1,,"KANSAS
(38.347742794000055, -98.20077822999997)",
MASSACHUSETTS,2015,15,,-,55,,465,,16,,519,,,-,1,,5,,6,,13,,,-,0,,1,,2,,4,,"MASSACHUSETTS
(42.27687400000008, -72.08268726299997)",
OKLAHOMA,2015,15,,-,0,,0,,,-,,-,,-,0,,3,,1,,,-,,-,0,,2,,1,,2,,"OKLAHOMA
(35.472030747000076, -97.52106835299998)",
CALIFORNIA,2015,15,,-,1,,5,,6,,9,,,-,1,,5,,14,,21,,,-,0,,4,,15,,36,,"CALIFORNIA
(37.63864210000003, -120.99999644699994)",
PUERTO RICO,2015,15,,N,0,,0,,,N,,N,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"PUERTO RICO
(18.24828934900006, -66.49988980099994)",
OHIO,2015,15,,-,2,,10,,12,,8,,2,,0,,3,,8,,8,,,-,0,,2,,5,,5,,"OHIO
(40.060212455000055, -82.40425667899996)",
MINNESOTA,2015,15,,-,0,,0,,,-,3,,,-,0,,0,,,-,2,,,-,0,,1,,,-,2,,"MINNESOTA
(46.35564896600005, -94.79419983199995)",
UNITED STATES,2015,16,59,,428,,1925,,1819,,2830,,7,,26,,55,,155,,340,,5,,7,,14,,127,,175,,,
NEW ENGLAND,2015,16,2,,137,,763,,271,,1064,,,-,1,,8,,10,,28,,,-,0,,3,,9,,6,,,
MID. ATLANTIC,2015,16,36,,192,,961,,1057,,1315,,5,,6,,24,,43,,83,,,-,1,,4,,13,,10,,,
E.N. CENTRAL,2015,16,,-,14,,137,,43,,116,,,-,2,,6,,18,,29,,4,,1,,3,,14,,18,,,
AMER. SAMOA,2015,37,,N,,-,,-,,N,,N,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"AMER. SAMOA
",
W.N. CENTRAL,2015,16,,-,3,,23,,5,,8,,,-,1,,4,,5,,18,,,-,0,,2,,7,,9,,,
S. ATLANTIC,2015,16,21,,57,,195,,412,,293,,1,,6,,19,,44,,93,,,-,1,,6,,30,,40,,,
DIST. OF COL.,2015,16,,-,1,,4,,9,,8,,,-,0,,2,,1,,,-,,-,0,,1,,3,,,-,"DIST. OF COL.
",
E.S. CENTRAL,2015,16,,-,2,,10,,12,,10,,,-,0,,5,,4,,16,,,-,0,,2,,4,,5,,,
W.S. CENTRAL,2015,16,,-,0,,7,,1,,,-,1,,2,,10,,7,,20,,,-,0,,4,,11,,16,,,
MOUNTAIN,2015,16,,-,1,,8,,7,,8,,,-,1,,6,,3,,20,,,-,0,,2,,2,,17,,,
PACIFIC,2015,16,,-,2,,8,,11,,16,,,-,3,,7,,21,,33,,1,,1,,8,,37,,54,,,
AMER. SAMOA,2015,16,,N,,-,,-,,N,,N,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"AMER. SAMOA
",
C.N.M.I.,2015,16,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"C.N.M.I.
",
VIRGIN ISL.,2015,16,,N,0,,0,,,N,,N,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISL.
",
MARYLAND,2015,16,8,,21,,81,,174,,102,,,-,2,,8,,15,,41,,,-,0,,1,,1,,3,,"MARYLAND
(39.290582950000044, -76.60925984299996)",
GEORGIA,2015,16,,-,0,,1,,,-,1,,,-,1,,5,,3,,18,,,-,0,,3,,4,,6,,"GEORGIA
(32.839683200000024, -83.62757885599996)",
WEST VIRGINIA,2015,16,,-,1,,15,,23,,11,,,-,0,,1,,,-,1,,,-,0,,1,,,-,,-,"WEST VIRGINIA
(38.66551127300005, -80.71263755899997)",
IOWA,2015,16,,-,1,,20,,2,,3,,,-,0,,3,,2,,4,,,-,0,,1,,2,,1,,"IOWA
(42.469401411000035, -93.81648725599996)",
NEW HAMPSHIRE,2015,16,,-,1,,67,,1,,87,,,-,0,,1,,,-,2,,,-,0,,0,,,-,,-,"NEW HAMPSHIRE
(43.65595283500005, -71.50035697299995)",
LOUISIANA,2015,16,,-,0,,1,,,-,,-,1,,0,,1,,2,,4,,,-,0,,1,,1,,3,,"LOUISIANA
(31.312663324000027, -92.44567750499994)",
ARKANSAS,2015,16,,-,0,,0,,,-,,-,,-,0,,1,,2,,2,,,-,0,,1,,1,,1,,"ARKANSAS
(34.74865032200006, -92.27448966799994)",
TENNESSEE,2015,16,,-,0,,3,,,-,2,,,-,0,,2,,1,,8,,,-,0,,2,,1,,3,,"TENNESSEE
(35.68094072700006, -85.77448666899994)",
PUERTO RICO,2015,16,,N,0,,0,,,N,,N,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"PUERTO RICO
(18.24828934900006, -66.49988980099994)",
DELAWARE,2015,16,,-,6,,25,,35,,67,,,-,0,,1,,,-,1,,,-,0,,0,,,-,1,,"DELAWARE
(39.00883389200004, -75.57773597599999)",
NORTH CAROLINA,2015,16,4,,0,,78,,25,,10,,,-,0,,8,,2,,3,,,-,0,,1,,2,,11,,"NORTH CAROLINA
(35.466220159000045, -79.15924997399998)",
ALABAMA,2015,16,,-,1,,7,,8,,1,,,-,0,,3,,3,,3,,,-,0,,1,,3,,1,,"ALABAMA
(32.84057234800002, -86.63185738799996)",
ARIZONA,2015,16,,-,0,,6,,6,,1,,,-,0,,3,,1,,10,,,-,0,,1,,,-,7,,"ARIZONA
(34.86597351900008, -111.76380664699997)",
HAWAII,2015,16,,N,0,,0,,,N,,N,,-,0,,1,,,-,,-,1,,0,,1,,3,,1,,"HAWAII
(21.30485232600006, -157.85774798099996)",
