Reporting Area,MMWR Year,MMWR Week,"Spotted Fever Rickettsiosis (including RMSF), Confirmed, Current week","Spotted Fever Rickettsiosis (including RMSF)§, Confirmed, Current week, flag","Spotted Fever Rickettsiosis (including RMSF)§, Confirmed, Previous 52 weeks Med","Spotted Fever Rickettsiosis (including RMSF)§, Confirmed, Previous 52 weeks Med, flag","Spotted Fever Rickettsiosis (including RMSF)§, Confirmed, Previous 52 weeks Max","Spotted Fever Rickettsiosis (including RMSF)§, Confirmed, Previous 52 weeks Max, flag","Spotted Fever Rickettsiosis (including RMSF)§, Confirmed, Cum 2015","Spotted Fever Rickettsiosis (including RMSF)§, Confirmed, Cum 2015, flag","Spotted Fever Rickettsiosis (including RMSF)§, Confirmed, Cum 2014","Spotted Fever Rickettsiosis (including RMSF)§, Confirmed, Cum 2014, flag","Spotted Fever Rickettsiosis (including RMSF)§, Probable, Current week","Spotted Fever Rickettsiosis (including RMSF)§, Probable, Current week, flag","Spotted Fever Rickettsiosis (including RMSF)§, Probable, Previous 52 weeks Med","Spotted Fever Rickettsiosis (including RMSF)§, Probable, Previous 52 weeks Med, flag","Spotted Fever Rickettsiosis (including RMSF)§, Probable, Previous 52 weeks Max","Spotted Fever Rickettsiosis (including RMSF)§, Probable, Previous 52 weeks Max, flag","Spotted Fever Rickettsiosis (including RMSF)§, Probable, Cum 2015","Spotted Fever Rickettsiosis (including RMSF)§, Probable, Cum 2015, flag","Spotted Fever Rickettsiosis (including RMSF)§, Probable, Cum 2014","Spotted Fever Rickettsiosis (including RMSF)§, Probable, Cum 2014, flag","Syphilis, primary and secondary, Current week","Syphilis, primary and secondary, Current week, flag","Syphilis, primary and secondary, Previous 52 weeks Med","Syphilis, primary and secondary, Previous 52 weeks Med, flag","Syphilis, primary and secondary, Previous 52 weeks Max","Syphilis, primary and secondary, Previous 52 weeks Max, flag","Syphilis, primary and secondary, Cum 2015","Syphilis, primary and secondary, Cum 2015, flag","Syphilis, primary and secondary, Cum 2014","Syphilis, primary and secondary, Cum 2014, flag",Location 1,Location 2
NORTH CAROLINA,2015,45,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,2,,20,,46,,931,,575,,"NORTH CAROLINA
(35.47995, -79.180571)",
IOWA,2015,45,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,1,,4,,52,,59,,"IOWA
(42.46942, -93.815856)",
VERMONT,2015,45,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,2,,7,,5,,"VERMONT
(43.622479, -72.51927)",
SOUTH CAROLINA,2015,45,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,5,,11,,220,,208,,"SOUTH CAROLINA
(34.009286, -81.037094)",
HAWAII,2015,45,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,-,1,,4,,60,,58,,"HAWAII
(21.30992, -157.858158)",
GEORGIA,2015,45,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,22,,27,,44,,1295,,1124,,"GEORGIA
(32.836038, -83.631709)",
LOUISIANA,2015,45,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,10,,30,,472,,481,,"LOUISIANA
(31.2931, -92.463284)",
WEST VIRGINIA,2015,45,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,1,,4,,39,,24,,"WEST VIRGINIA
(38.668501, -80.709421)",
CALIFORNIA,2015,45,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,10,,88,,111,,3776,,3263,,"CALIFORNIA
(37.640735, -121.002435)",
COLORADO,2015,45,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,4,,8,,192,,160,,"COLORADO
(38.841772, -106.132562)",
ILLINOIS,2015,45,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,15,,32,,663,,743,,"ILLINOIS
(40.477092, -88.993221)",
OREGON,2015,45,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,1,,6,,10,,276,,242,,"OREGON
(44.567912, -120.156945)",
NEVADA,2015,45,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,5,,15,,255,,330,,"NEVADA
(39.491833, -117.070159)",
ARKANSAS,2015,45,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,5,,1,,11,,109,,105,,"ARKANSAS
(34.748745, -92.275105)",
MISSISSIPPI,2015,45,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,2,,8,,117,,167,,"MISSISSIPPI
(32.738663, -89.537312)",
MASSACHUSETTS,2015,45,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,6,,13,,267,,262,,"MASSACHUSETTS
(42.268546, -72.085064)",
FLORIDA,2015,45,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,37,,51,,1603,,1486,,"FLORIDA
(28.915325, -81.922409)",
KANSAS,2015,45,,-,0,,0,,,-,,-,,-,2,,13,,134,,105,,,-,1,,5,,74,,56,,"KANSAS
(38.345528, -98.201847)",
NEW HAMPSHIRE,2015,45,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,1,,7,,33,,24,,"NEW HAMPSHIRE
(43.657736, -71.500736)",
OHIO,2015,45,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,10,,21,,429,,460,,"OHIO
(40.056807, -82.405897)",
UNITED STATES,2015,46,,-,0,,1,,1,,,-,,-,2,,13,,134,,106,,130,,424,,495,,18559,,17530,,,
NEW ENGLAND,2015,46,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,2,,10,,20,,476,,454,,,
MID. ATLANTIC,2015,46,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,15,,52,,82,,2378,,2239,,,
NEW YORK CITY,2015,46,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,5,,25,,44,,1186,,1162,,"NEW YORK CITY
",
E.N. CENTRAL,2015,46,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,38,,64,,1685,,1823,,,
W.N. CENTRAL,2015,46,,-,0,,1,,1,,,-,,-,2,,13,,134,,106,,1,,14,,25,,644,,768,,,
S. ATLANTIC,2015,46,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,50,,107,,150,,4964,,4260,,,
DIST. OF COL.,2015,46,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,1,,5,,50,,102,,"DIST. OF COL.
",
E.S. CENTRAL,2015,46,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,3,,16,,27,,740,,651,,,
W.S. CENTRAL,2015,46,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,42,,48,,63,,2244,,2185,,,
MOUNTAIN,2015,46,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,2,,23,,40,,1097,,1185,,,
PACIFIC,2015,46,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,15,,97,,125,,4331,,3965,,,
AMER. SAMOA,2015,46,,N,,-,,-,,N,,N,,N,,-,,-,,N,,N,,-,,-,,-,,-,,-,"AMER. SAMOA
",
C.N.M.I.,2015,46,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"C.N.M.I.
",
VIRGIN ISL.,2015,46,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,-,0,,0,,,-,1,,"VIRGIN ISL.
",
IOWA,2015,46,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,1,,4,,54,,62,,"IOWA
(42.46942, -93.815856)",
INDIANA,2015,46,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,5,,12,,262,,151,,"INDIANA
(39.76845, -86.156212)",
NORTH CAROLINA,2015,46,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,6,,20,,46,,936,,585,,"NORTH CAROLINA
(35.47995, -79.180571)",
RHODE ISLAND,2015,46,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,1,,5,,57,,64,,"RHODE ISLAND
(41.707447, -71.522488)",
MAINE,2015,46,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,6,,11,,15,,"MAINE
(45.252223, -68.986647)",
WISCONSIN,2015,46,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,1,,4,,63,,73,,"WISCONSIN
(44.395526, -89.834513)",
NEBRASKA,2015,46,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,3,,35,,49,,"NEBRASKA
(41.640503, -99.367122)",
OREGON,2015,46,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,3,,6,,10,,284,,245,,"OREGON
(44.567912, -120.156945)",
NEW JERSEY,2015,46,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,6,,12,,268,,264,,"NEW JERSEY
(40.104655, -74.386686)",
NEW MEXICO,2015,46,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,1,,5,,87,,117,,"NEW MEXICO
(34.520396, -106.244402)",
NORTH DAKOTA,2015,46,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,1,,8,,11,,"NORTH DAKOTA
(47.475879, -100.121011)",
TEXAS,2015,46,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,35,,33,,44,,1532,,1466,,"TEXAS
(31.827233, -99.423022)",
KANSAS,2015,46,,-,0,,0,,,-,,-,,-,2,,13,,134,,106,,1,,1,,5,,76,,56,,"KANSAS
(38.345528, -98.201847)",
VERMONT,2015,46,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,2,,7,,5,,"VERMONT
(43.622479, -72.51927)",
MASSACHUSETTS,2015,46,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,2,,7,,13,,300,,267,,"MASSACHUSETTS
(42.268546, -72.085064)",
ARKANSAS,2015,46,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,6,,1,,11,,113,,105,,"ARKANSAS
(34.748745, -92.275105)",
KENTUCKY,2015,46,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,1,,2,,8,,119,,138,,"KENTUCKY
(37.64591, -84.774043)",
ILLINOIS,2015,46,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,15,,32,,682,,763,,"ILLINOIS
(40.477092, -88.993221)",
PUERTO RICO,2015,46,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,-,7,,37,,433,,443,,"PUERTO RICO
(18.215692, -66.414655)",
ALASKA,2015,46,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,-,0,,0,,,-,15,,"ALASKA
(64.836661, -147.738891)",
NEW YORK,2015,46,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,7,,8,,24,,393,,337,,"NEW YORK
(42.826892, -75.544286)",
IDAHO,2015,46,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,8,,40,,9,,"IDAHO
(43.680635, -114.364237)",
ALABAMA,2015,46,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,5,,10,,229,,143,,"ALABAMA
(32.839182, -86.631125)",
WEST VIRGINIA,2015,46,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,1,,4,,39,,25,,"WEST VIRGINIA
(38.668501, -80.709421)",
ARIZONA,2015,46,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,2,,11,,19,,465,,507,,"ARIZONA
(34.869712, -111.760902)",
CALIFORNIA,2015,46,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,7,,88,,111,,3816,,3333,,"CALIFORNIA
(37.640735, -121.002435)",
MARYLAND,2015,46,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,9,,20,,371,,380,,"MARYLAND
(39.290443, -76.612333)",
WYOMING,2015,46,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,1,,3,,3,,"WYOMING
(43.23558, -108.110518)",
GUAM,2015,46,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
HAWAII,2015,46,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,1,,1,,4,,64,,60,,"HAWAII
(21.30992, -157.858158)",
MISSISSIPPI,2015,46,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,1,,2,,8,,122,,167,,"MISSISSIPPI
(32.738663, -89.537312)",
VIRGINIA,2015,46,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,8,,5,,31,,298,,260,,"VIRGINIA
(37.542699, -78.45822)",
SOUTH DAKOTA,2015,46,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,3,,23,,52,,"SOUTH DAKOTA
(44.35371, -100.373709)",
TENNESSEE,2015,46,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,1,,6,,13,,270,,203,,"TENNESSEE
(35.681402, -85.774444)",
OHIO,2015,46,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,10,,21,,431,,470,,"OHIO
(40.056807, -82.405897)",
GEORGIA,2015,46,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,32,,27,,44,,1328,,1142,,"GEORGIA
(32.836038, -83.631709)",
MINNESOTA,2015,46,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,5,,11,,203,,227,,"MINNESOTA
(44.943719, -93.094281)",
NEVADA,2015,46,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,5,,15,,255,,335,,"NEVADA
(39.491833, -117.070159)",
UTAH,2015,46,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,1,,5,,46,,46,,"UTAH
(39.359772, -111.584173)",
NEW HAMPSHIRE,2015,46,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,1,,7,,34,,24,,"NEW HAMPSHIRE
(43.657736, -71.500736)",
COLORADO,2015,46,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,4,,8,,192,,161,,"COLORADO
(38.841772, -106.132562)",
DELAWARE,2015,46,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,10,,52,,36,,"DELAWARE
(39.008676, -75.574561)",
CONNECTICUT,2015,46,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,1,,7,,67,,79,,"CONNECTICUT
(41.544654, -72.651713)",
MICHIGAN,2015,46,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,6,,15,,247,,366,,"MICHIGAN
(44.66399, -84.711206)",
FLORIDA,2015,46,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,1,,37,,51,,1652,,1518,,"FLORIDA
(28.915325, -81.922409)",
MISSOURI,2015,46,,-,0,,1,,1,,,-,,-,0,,0,,,-,,-,,-,5,,13,,245,,311,,"MISSOURI
(38.636168, -92.566292)",
PENNSYLVANIA,2015,46,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,3,,11,,22,,531,,476,,"PENNSYLVANIA
(40.789676, -77.858055)",
LOUISIANA,2015,46,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,1,,10,,30,,484,,482,,"LOUISIANA
(31.2931, -92.463284)",
MONTANA,2015,46,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,2,,9,,7,,"MONTANA
(47.062617, -109.430168)",
WASHINGTON,2015,46,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,4,,4,,11,,167,,312,,"WASHINGTON
(47.517368, -120.467672)",
OKLAHOMA,2015,46,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,2,,11,,115,,132,,"OKLAHOMA
(35.468494, -97.521264)",
SOUTH CAROLINA,2015,46,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,3,,5,,11,,238,,212,,"SOUTH CAROLINA
(34.009286, -81.037094)",
UNITED STATES,2015,47,,-,0,,1,,1,,,-,,-,2,,13,,134,,107,,75,,424,,497,,18926,,17908,,,
NEW ENGLAND,2015,47,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,10,,21,,487,,462,,,
MID. ATLANTIC,2015,47,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,18,,53,,82,,2434,,2279,,,
NEW YORK CITY,2015,47,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,2,,26,,44,,1215,,1182,,"NEW YORK CITY
",
E.N. CENTRAL,2015,47,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,2,,38,,64,,1722,,1868,,,
W.N. CENTRAL,2015,47,,-,0,,1,,1,,,-,,-,2,,13,,134,,107,,2,,14,,25,,674,,778,,,
S. ATLANTIC,2015,47,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,15,,108,,151,,5049,,4363,,,
DIST. OF COL.,2015,47,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,1,,5,,54,,105,,"DIST. OF COL.
",
E.S. CENTRAL,2015,47,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,2,,16,,27,,744,,668,,,
W.S. CENTRAL,2015,47,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,24,,48,,63,,2278,,2238,,,
MOUNTAIN,2015,47,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,2,,23,,40,,1118,,1200,,,
PACIFIC,2015,47,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,10,,97,,125,,4420,,4052,,,
AMER. SAMOA,2015,47,,N,,-,,-,,N,,N,,N,,-,,-,,N,,N,,-,,-,,-,,-,,-,"AMER. SAMOA
",
C.N.M.I.,2015,47,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"C.N.M.I.
",
VIRGIN ISL.,2015,47,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,-,0,,0,,,-,1,,"VIRGIN ISL.
",
RHODE ISLAND,2015,47,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,1,,5,,59,,64,,"RHODE ISLAND
(41.707447, -71.522488)",
MISSISSIPPI,2015,47,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,2,,8,,124,,171,,"MISSISSIPPI
(32.738663, -89.537312)",
GEORGIA,2015,47,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,13,,28,,44,,1342,,1157,,"GEORGIA
(32.836038, -83.631709)",
WYOMING,2015,47,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,1,,3,,3,,"WYOMING
(43.23558, -108.110518)",
ARIZONA,2015,47,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,2,,11,,19,,475,,516,,"ARIZONA
(34.869712, -111.760902)",
NEW YORK,2015,47,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,13,,8,,24,,406,,340,,"NEW YORK
(42.826892, -75.544286)",
NORTH DAKOTA,2015,47,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,1,,9,,11,,"NORTH DAKOTA
(47.475879, -100.121011)",
PENNSYLVANIA,2015,47,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,3,,11,,22,,541,,485,,"PENNSYLVANIA
(40.789676, -77.858055)",
CONNECTICUT,2015,47,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,1,,7,,67,,80,,"CONNECTICUT
(41.544654, -72.651713)",
KENTUCKY,2015,47,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,2,,2,,8,,121,,139,,"KENTUCKY
(37.64591, -84.774043)",
SOUTH CAROLINA,2015,47,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,2,,5,,14,,253,,216,,"SOUTH CAROLINA
(34.009286, -81.037094)",
MAINE,2015,47,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,6,,11,,15,,"MAINE
(45.252223, -68.986647)",
WASHINGTON,2015,47,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,3,,4,,11,,170,,315,,"WASHINGTON
(47.517368, -120.467672)",
SOUTH DAKOTA,2015,47,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,3,,27,,52,,"SOUTH DAKOTA
(44.35371, -100.373709)",
NEW JERSEY,2015,47,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,6,,12,,272,,272,,"NEW JERSEY
(40.104655, -74.386686)",
MINNESOTA,2015,47,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,5,,11,,203,,232,,"MINNESOTA
(44.943719, -93.094281)",
FLORIDA,2015,47,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,37,,51,,1694,,1559,,"FLORIDA
(28.915325, -81.922409)",
LOUISIANA,2015,47,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,10,,30,,485,,496,,"LOUISIANA
(31.2931, -92.463284)",
COLORADO,2015,47,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,4,,8,,201,,163,,"COLORADO
(38.841772, -106.132562)",
VERMONT,2015,47,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,2,,7,,5,,"VERMONT
(43.622479, -72.51927)",
VIRGINIA,2015,47,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,5,,31,,298,,268,,"VIRGINIA
(37.542699, -78.45822)",
NORTH CAROLINA,2015,47,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,20,,46,,938,,603,,"NORTH CAROLINA
(35.47995, -79.180571)",
ALABAMA,2015,47,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,5,,10,,229,,150,,"ALABAMA
(32.839182, -86.631125)",
NEW HAMPSHIRE,2015,47,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,1,,7,,35,,26,,"NEW HAMPSHIRE
(43.657736, -71.500736)",
UTAH,2015,47,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,1,,5,,46,,46,,"UTAH
(39.359772, -111.584173)",
NEBRASKA,2015,47,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,3,,35,,49,,"NEBRASKA
(41.640503, -99.367122)",
CALIFORNIA,2015,47,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,6,,89,,111,,3900,,3410,,"CALIFORNIA
(37.640735, -121.002435)",
PUERTO RICO,2015,47,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,-,6,,37,,433,,453,,"PUERTO RICO
(18.215692, -66.414655)",
ILLINOIS,2015,47,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,15,,32,,693,,777,,"ILLINOIS
(40.477092, -88.993221)",
OREGON,2015,47,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,1,,6,,10,,286,,249,,"OREGON
(44.567912, -120.156945)",
ARKANSAS,2015,47,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,4,,1,,11,,115,,105,,"ARKANSAS
(34.748745, -92.275105)",
GUAM,2015,47,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
WEST VIRGINIA,2015,47,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,1,,4,,43,,26,,"WEST VIRGINIA
(38.668501, -80.709421)",
WISCONSIN,2015,47,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,1,,4,,64,,76,,"WISCONSIN
(44.395526, -89.834513)",
OKLAHOMA,2015,47,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,2,,11,,116,,136,,"OKLAHOMA
(35.468494, -97.521264)",
MISSOURI,2015,47,,-,0,,1,,1,,,-,,-,0,,0,,,-,,-,1,,5,,13,,257,,315,,"MISSOURI
(38.636168, -92.566292)",
TEXAS,2015,47,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,20,,33,,44,,1562,,1501,,"TEXAS
(31.827233, -99.423022)",
TENNESSEE,2015,47,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,6,,13,,270,,208,,"TENNESSEE
(35.681402, -85.774444)",
MONTANA,2015,47,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,2,,11,,7,,"MONTANA
(47.062617, -109.430168)",
MARYLAND,2015,47,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,9,,20,,375,,391,,"MARYLAND
(39.290443, -76.612333)",
IOWA,2015,47,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,1,,1,,4,,65,,63,,"IOWA
(42.46942, -93.815856)",
NEW MEXICO,2015,47,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,1,,5,,87,,119,,"NEW MEXICO
(34.520396, -106.244402)",
OHIO,2015,47,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,1,,10,,21,,451,,480,,"OHIO
(40.056807, -82.405897)",
KANSAS,2015,47,,-,0,,0,,,-,,-,,-,2,,13,,134,,107,,,-,1,,5,,78,,56,,"KANSAS
(38.345528, -98.201847)",
MASSACHUSETTS,2015,47,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,7,,13,,308,,272,,"MASSACHUSETTS
(42.268546, -72.085064)",
ALASKA,2015,47,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,-,0,,0,,,-,15,,"ALASKA
(64.836661, -147.738891)",
MICHIGAN,2015,47,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,1,,6,,12,,250,,381,,"MICHIGAN
(44.66399, -84.711206)",
DELAWARE,2015,47,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,10,,52,,38,,"DELAWARE
(39.008676, -75.574561)",
NEVADA,2015,47,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,5,,15,,255,,336,,"NEVADA
(39.491833, -117.070159)",
INDIANA,2015,47,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,5,,12,,264,,154,,"INDIANA
(39.76845, -86.156212)",
HAWAII,2015,47,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,-,1,,4,,64,,63,,"HAWAII
(21.30992, -157.858158)",
IDAHO,2015,47,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,8,,40,,10,,"IDAHO
(43.680635, -114.364237)",
UNITED STATES,2015,48,1,,2,,10,,120,,111,,15,,55,,212,,3421,,3314,,140,,424,,497,,19369,,18150,,,
NEW ENGLAND,2015,48,,-,0,,1,,2,,1,,,-,0,,1,,13,,18,,1,,10,,21,,490,,467,,,
MID. ATLANTIC,2015,48,,-,0,,2,,14,,2,,1,,1,,11,,112,,83,,25,,53,,82,,2502,,2311,,,
NEW YORK CITY,2015,48,,-,0,,0,,,-,,-,,-,0,,3,,25,,1,,1,,26,,44,,1244,,1204,,"NEW YORK CITY
",
E.N. CENTRAL,2015,48,,-,0,,3,,5,,2,,,-,1,,6,,71,,140,,1,,39,,64,,1762,,1899,,,
W.N. CENTRAL,2015,48,,-,0,,4,,16,,8,,,-,5,,25,,403,,286,,4,,14,,26,,694,,785,,,
S. ATLANTIC,2015,48,,-,0,,5,,40,,55,,11,,10,,79,,818,,900,,49,,108,,151,,5147,,4416,,,
DIST. OF COL.,2015,48,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,1,,5,,55,,108,,"DIST. OF COL.
",
E.S. CENTRAL,2015,48,,-,0,,3,,19,,25,,3,,13,,64,,1051,,837,,4,,16,,27,,763,,675,,,
W.S. CENTRAL,2015,48,1,,0,,1,,8,,3,,,-,13,,100,,913,,1017,,31,,49,,63,,2331,,2269,,,
MOUNTAIN,2015,48,,-,0,,2,,15,,9,,,-,0,,3,,21,,24,,2,,23,,40,,1142,,1216,,,
PACIFIC,2015,48,,-,0,,1,,1,,6,,,-,0,,2,,19,,9,,23,,98,,126,,4538,,4112,,,
AMER. SAMOA,2015,48,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"AMER. SAMOA
",
C.N.M.I.,2015,48,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"C.N.M.I.
",
