Reporting Area,MMWR Year,MMWR Week,"Tetanus, Current week","Tetanus, Current week, flag","Tetanus, Previous 52 weeks Med","Tetanus, Previous 52 weeks Med, flag","Tetanus, Previous 52 weeks Max","Tetanus, Previous 52 weeks Max, flag","Tetanus, Cum 2015","Tetanus, Cum 2015, flag","Tetanus, Cum 2014","Tetanus, Cum 2014, flag","Varicella (chickenpox), Current week","Varicella (chickenpox), Current week, flag","Varicella (chickenpox), Previous 52 weeks Med","Varicella (chickenpox), Previous 52 weeks Med, flag","Varicella (chickenpox), Previous 52 weeks Max","Varicella (chickenpox), Previous 52 weeks Max, flag","Varicella (chickenpox), Cum 2015","Varicella (chickenpox), Cum 2015, flag","Varicella (chickenpox), Cum 2014","Varicella (chickenpox), Cum 2014, flag","Vibriosis§, Current week","Vibriosis§, Current week, flag","Vibriosis§, Previous 52 weeks Med","Vibriosis§, Previous 52 weeks Med, flag","Vibriosis§, Previous 52 weeks Max","Vibriosis§, Previous 52 weeks Max, flag","Vibriosis§, Cum 2015","Vibriosis§, Cum 2015, flag","Vibriosis§, Cum 2014","Vibriosis§, Cum 2014, flag",Location 1,Location 2
NEVADA,2015,13,,-,0,,0,,,-,,-,,N,0,,0,,,N,,N,,-,0,,1,,,-,1,,"NEVADA
(39.49324221300003, -117.07183885899997)",
IDAHO,2015,13,,-,0,,0,,,-,,-,,N,0,,0,,,N,,N,,-,0,,0,,,-,,-,"IDAHO
(43.68263174800006, -114.36372693399994)",
INDIANA,2015,13,,-,0,,1,,,-,,-,,-,4,,11,,45,,60,,,-,0,,1,,,-,,-,"INDIANA
(39.766913353000064, -86.14995646699998)",
NEW YORK CITY,2015,13,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,3,,1,,,-,"NEW YORK CITY
(40.71426755700003, -74.00596858999995)",
WEST VIRGINIA,2015,13,,-,0,,0,,,-,,-,,-,2,,9,,14,,36,,,-,0,,1,,,-,,-,"WEST VIRGINIA
(38.66551127300005, -80.71263755899997)",
NEW MEXICO,2015,13,,-,0,,0,,,-,,-,,-,1,,5,,8,,30,,,-,0,,1,,,-,,-,"NEW MEXICO
(34.52088149400004, -106.24057817299996)",
MAINE,2015,13,,-,0,,0,,,-,,-,,-,4,,12,,59,,37,,,-,0,,2,,,-,1,,"MAINE
(45.25422910300006, -68.98502586699993)",
LOUISIANA,2015,13,,-,0,,1,,,-,,-,1,,1,,4,,16,,5,,,-,0,,4,,4,,3,,"LOUISIANA
(31.312663324000027, -92.44567750499994)",
NEBRASKA,2015,13,,-,0,,0,,,-,,-,,-,0,,3,,1,,3,,,-,0,,1,,,-,,-,"NEBRASKA
(41.64104362100005, -99.36571888999998)",
GUAM,2015,13,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"GUAM
(13.480998894000038, 144.73149801400007)",
MASSACHUSETTS,2015,13,,-,0,,0,,,-,,-,,-,7,,21,,74,,91,,,-,0,,6,,2,,3,,"MASSACHUSETTS
(42.27687400000008, -72.08268726299997)",
WYOMING,2015,13,,-,0,,0,,,-,,-,,-,0,,2,,,-,1,,,-,0,,1,,,-,,-,"WYOMING
(43.23554100600006, -108.10982701399996)",
NEW HAMPSHIRE,2015,13,1,,0,,0,,1,,,-,,-,2,,5,,,-,22,,,-,0,,1,,,-,,-,"NEW HAMPSHIRE
(43.65595283500005, -71.50035697299995)",
ALASKA,2015,13,,-,0,,1,,,-,,-,,-,0,,4,,13,,7,,,-,0,,2,,,-,1,,"ALASKA
(64.84507799500005, -147.72205958799998)",
OHIO,2015,13,,-,0,,1,,,-,,-,7,,10,,18,,120,,137,,,-,0,,4,,1,,1,,"OHIO
(40.060212455000055, -82.40425667899996)",
WASHINGTON,2015,13,,-,0,,1,,,-,,-,,N,0,,0,,,N,,N,,-,0,,13,,2,,,-,"WASHINGTON
(47.52228790000004, -120.47002813699999)",
OKLAHOMA,2015,13,,-,0,,1,,,-,,-,,N,0,,0,,,N,,N,,-,0,,1,,,-,,-,"OKLAHOMA
(35.472030747000076, -97.52106835299998)",
IOWA,2015,13,,-,0,,0,,,-,,-,,N,0,,0,,,N,,N,,-,0,,0,,,-,,-,"IOWA
(42.469401411000035, -93.81648725599996)",
OREGON,2015,13,,-,0,,0,,,-,,-,,N,0,,0,,,N,,N,,-,0,,2,,3,,1,,"OREGON
(44.56745049300008, -120.15502935599994)",
UTAH,2015,13,,-,0,,0,,,-,,-,,-,3,,12,,48,,65,,,-,0,,1,,,-,,-,"UTAH
(39.36070123200005, -111.58712831499997)",
NORTH CAROLINA,2015,13,,-,0,,0,,,-,,-,,N,0,,0,,,N,,N,,-,0,,5,,6,,5,,"NORTH CAROLINA
(35.466220159000045, -79.15924997399998)",
ARIZONA,2015,13,,-,0,,0,,,-,,-,1,,4,,15,,68,,96,,,-,0,,3,,2,,2,,"ARIZONA
(34.86597351900008, -111.76380664699997)",
NEW YORK,2015,13,,-,0,,0,,,-,,-,,N,0,,0,,,N,,N,1,,0,,5,,3,,2,,"NEW YORK
(42.82700376100007, -75.54396609999998)",
CONNECTICUT,2015,13,,-,0,,0,,,-,,-,,-,4,,9,,41,,42,,,-,0,,2,,3,,1,,"CONNECTICUT
(41.56266070000004, -72.64983977999998)",
KANSAS,2015,13,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,"KANSAS
(38.347742794000055, -98.20077822999997)",
MARYLAND,2015,13,,-,0,,1,,,-,,-,,N,0,,0,,,N,,N,,-,0,,4,,1,,2,,"MARYLAND
(39.290582950000044, -76.60925984299996)",
FLORIDA,2015,13,,-,0,,1,,1,,2,,13,,10,,28,,201,,148,,2,,3,,9,,21,,16,,"FLORIDA
(28.932042722000062, -81.92895768899996)",
HAWAII,2015,13,,-,0,,0,,,-,,-,,-,1,,7,,15,,9,,,-,0,,4,,5,,4,,"HAWAII
(21.30485232600006, -157.85774798099996)",
CALIFORNIA,2015,13,,-,0,,1,,,-,1,,,-,0,,3,,2,,9,,,-,3,,32,,19,,11,,"CALIFORNIA
(37.63864210000003, -120.99999644699994)",
SOUTH DAKOTA,2015,13,,-,0,,1,,1,,,-,,-,0,,3,,6,,10,,,-,0,,0,,,-,,-,"SOUTH DAKOTA
(44.35313004200003, -100.37352915599996)",
GEORGIA,2015,13,,-,0,,0,,,-,,-,,-,1,,7,,15,,4,,,-,0,,2,,1,,2,,"GEORGIA
(32.839683200000024, -83.62757885599996)",
MINNESOTA,2015,13,,-,0,,1,,,-,,-,,-,4,,13,,57,,64,,,-,0,,0,,,-,,-,"MINNESOTA
(46.35564896600005, -94.79419983199995)",
MISSOURI,2015,13,,-,0,,0,,,-,,-,,-,3,,16,,37,,21,,,-,0,,2,,,-,,-,"MISSOURI
(38.63579147100006, -92.56629944499997)",
TEXAS,2015,13,,-,0,,1,,,-,2,,13,,32,,86,,307,,283,,,-,1,,5,,,-,1,,"TEXAS
(31.827240467000024, -99.42676785299994)",
NORTH DAKOTA,2015,13,,-,0,,0,,,-,,-,,-,0,,3,,4,,5,,,-,0,,1,,,-,,-,"NORTH DAKOTA
(47.475318609000055, -100.11842789099995)",
VIRGINIA,2015,13,,-,0,,0,,,-,,-,1,,6,,21,,67,,55,,,-,0,,8,,2,,3,,"VIRGINIA
(37.542680705000066, -78.45788932099998)",
NEW JERSEY,2015,13,,-,0,,0,,,-,,-,,-,3,,14,,15,,70,,,-,0,,5,,,-,3,,"NEW JERSEY
(40.130570807000026, -74.27368796999997)",
MONTANA,2015,13,,-,0,,0,,,-,,-,1,,1,,16,,40,,21,,,-,0,,1,,,-,,-,"MONTANA
(47.06652795700006, -109.42441587999997)",
WISCONSIN,2015,13,,-,0,,1,,,-,,-,3,,8,,17,,90,,99,,,-,0,,1,,,-,1,,"WISCONSIN
(44.39319064600005, -89.81636640199997)",
MISSISSIPPI,2015,13,,-,0,,1,,,-,,-,,-,0,,3,,8,,,-,,-,0,,2,,,-,,-,"MISSISSIPPI
(32.745513440000025, -89.53802722999995)",
UNITED STATES,2015,14,,-,0,,2,,4,,5,,85,,175,,272,,2064,,2327,,3,,17,,78,,98,,82,,,
NEW ENGLAND,2015,14,,-,0,,1,,1,,,-,8,,21,,41,,224,,242,,,-,1,,7,,7,,5,,,
MID. ATLANTIC,2015,14,,-,0,,1,,,-,,-,12,,18,,37,,189,,304,,,-,1,,10,,5,,7,,,
E.N. CENTRAL,2015,14,,-,0,,1,,,-,,-,12,,42,,71,,459,,652,,,-,1,,6,,3,,4,,,
W.N. CENTRAL,2015,14,,-,0,,1,,1,,,-,1,,10,,23,,111,,113,,,-,0,,3,,,-,,-,,
S. ATLANTIC,2015,14,,-,0,,1,,2,,2,,13,,24,,55,,356,,296,,2,,6,,17,,35,,32,,,
DIST. OF COL.,2015,14,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,"DIST. OF COL.
",
E.S. CENTRAL,2015,14,,-,0,,1,,,-,,-,,-,2,,10,,56,,35,,1,,1,,5,,3,,3,,,
W.S. CENTRAL,2015,14,,-,0,,1,,,-,2,,24,,37,,90,,387,,339,,,-,2,,8,,4,,5,,,
MOUNTAIN,2015,14,,-,0,,0,,,-,,-,14,,18,,54,,248,,319,,,-,1,,5,,5,,5,,,
PACIFIC,2015,14,,-,0,,2,,,-,1,,1,,2,,10,,34,,27,,,-,5,,39,,36,,21,,,
AMER. SAMOA,2015,14,,-,,-,,-,,-,,-,,N,,-,,-,,N,,N,,-,,-,,-,,-,,-,"AMER. SAMOA
",
C.N.M.I.,2015,14,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"C.N.M.I.
",
VIRGIN ISL.,2015,14,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISL.
",
NORTH CAROLINA,2015,14,,-,0,,0,,,-,,-,,N,0,,0,,,N,,N,,-,0,,5,,6,,5,,"NORTH CAROLINA
(35.466220159000045, -79.15924997399998)",
MISSISSIPPI,2015,14,,-,0,,1,,,-,,-,,-,0,,3,,8,,,-,,-,0,,2,,,-,,-,"MISSISSIPPI
(32.745513440000025, -89.53802722999995)",
NEBRASKA,2015,14,,-,0,,0,,,-,,-,1,,0,,3,,2,,3,,,-,0,,1,,,-,,-,"NEBRASKA
(41.64104362100005, -99.36571888999998)",
PENNSYLVANIA,2015,14,,-,0,,1,,,-,,-,12,,15,,29,,163,,229,,,-,0,,3,,1,,1,,"PENNSYLVANIA
(40.79373362300004, -77.86069690799997)",
DELAWARE,2015,14,,-,0,,0,,,-,,-,,-,0,,2,,5,,,-,,-,0,,1,,,-,,-,"DELAWARE
(39.00883389200004, -75.57773597599999)",
IOWA,2015,14,,-,0,,0,,,-,,-,,N,0,,0,,,N,,N,,-,0,,0,,,-,,-,"IOWA
(42.469401411000035, -93.81648725599996)",
MAINE,2015,14,,-,0,,0,,,-,,-,5,,4,,12,,64,,38,,,-,0,,2,,,-,1,,"MAINE
(45.25422910300006, -68.98502586699993)",
NEW YORK CITY,2015,14,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,3,,1,,1,,"NEW YORK CITY
(40.71426755700003, -74.00596858999995)",
CALIFORNIA,2015,14,,-,0,,1,,,-,1,,,-,0,,3,,4,,11,,,-,3,,32,,26,,14,,"CALIFORNIA
(37.63864210000003, -120.99999644699994)",
RHODE ISLAND,2015,14,,-,0,,0,,,-,,-,,-,1,,8,,17,,12,,,-,0,,2,,,-,,-,"RHODE ISLAND
(41.70828106100004, -71.52246566099996)",
COLORADO,2015,14,,-,0,,0,,,-,,-,7,,6,,27,,68,,97,,,-,0,,3,,1,,2,,"COLORADO
(38.84384342200008, -106.13360911499996)",
PUERTO RICO,2015,14,,-,0,,1,,1,,,-,,-,3,,12,,13,,63,,,-,0,,0,,,-,,-,"PUERTO RICO
(18.24828934900006, -66.49988980099994)",
MARYLAND,2015,14,,-,0,,1,,,-,,-,,N,0,,0,,,N,,N,,-,0,,4,,1,,2,,"MARYLAND
(39.290582950000044, -76.60925984299996)",
IDAHO,2015,14,,-,0,,0,,,-,,-,,N,0,,0,,,N,,N,,-,0,,0,,,-,,-,"IDAHO
(43.68263174800006, -114.36372693399994)",
INDIANA,2015,14,,-,0,,1,,,-,,-,,-,4,,11,,48,,61,,,-,0,,1,,,-,,-,"INDIANA
(39.766913353000064, -86.14995646699998)",
NORTH DAKOTA,2015,14,,-,0,,0,,,-,,-,,-,0,,3,,4,,5,,,-,0,,1,,,-,,-,"NORTH DAKOTA
(47.475318609000055, -100.11842789099995)",
ALASKA,2015,14,,-,0,,1,,,-,,-,1,,1,,4,,15,,7,,,-,0,,2,,,-,1,,"ALASKA
(64.84507799500005, -147.72205958799998)",
WEST VIRGINIA,2015,14,,-,0,,0,,,-,,-,,-,2,,9,,16,,38,,,-,0,,1,,1,,,-,"WEST VIRGINIA
(38.66551127300005, -80.71263755899997)",
MINNESOTA,2015,14,,-,0,,1,,,-,,-,,-,5,,13,,62,,68,,,-,0,,0,,,-,,-,"MINNESOTA
(46.35564896600005, -94.79419983199995)",
WISCONSIN,2015,14,,-,0,,1,,,-,,-,5,,8,,17,,97,,102,,,-,0,,1,,,-,1,,"WISCONSIN
(44.39319064600005, -89.81636640199997)",
HAWAII,2015,14,,-,0,,0,,,-,,-,,-,1,,7,,15,,9,,,-,0,,4,,5,,5,,"HAWAII
(21.30485232600006, -157.85774798099996)",
ILLINOIS,2015,14,,-,0,,0,,,-,,-,,-,10,,22,,96,,141,,,-,0,,2,,,-,1,,"ILLINOIS
(40.48501223300008, -88.99770922699997)",
VIRGINIA,2015,14,,-,0,,0,,,-,,-,,-,6,,21,,67,,59,,,-,0,,8,,2,,3,,"VIRGINIA
(37.542680705000066, -78.45788932099998)",
MISSOURI,2015,14,,-,0,,0,,,-,,-,,-,3,,16,,37,,26,,,-,0,,2,,,-,,-,"MISSOURI
(38.63579147100006, -92.56629944499997)",
ARKANSAS,2015,14,,-,0,,0,,,-,,-,3,,3,,29,,40,,23,,,-,0,,0,,,-,,-,"ARKANSAS
(34.74865032200006, -92.27448966799994)",
OREGON,2015,14,,-,0,,0,,,-,,-,,N,0,,0,,,N,,N,,-,0,,2,,3,,1,,"OREGON
(44.56745049300008, -120.15502935599994)",
ALABAMA,2015,14,,-,0,,0,,,-,,-,,-,2,,9,,48,,35,,1,,0,,3,,2,,1,,"ALABAMA
(32.84057234800002, -86.63185738799996)",
OHIO,2015,14,,-,0,,1,,,-,,-,6,,10,,18,,126,,148,,,-,0,,4,,1,,1,,"OHIO
(40.060212455000055, -82.40425667899996)",
MASSACHUSETTS,2015,14,,-,0,,0,,,-,,-,3,,8,,21,,90,,100,,,-,1,,6,,4,,3,,"MASSACHUSETTS
(42.27687400000008, -72.08268726299997)",
NEVADA,2015,14,,-,0,,0,,,-,,-,,N,0,,0,,,N,,N,,-,0,,1,,,-,1,,"NEVADA
(39.49324221300003, -117.07183885899997)",
OKLAHOMA,2015,14,,-,0,,1,,,-,,-,,N,0,,0,,,N,,N,,-,0,,1,,,-,,-,"OKLAHOMA
(35.472030747000076, -97.52106835299998)",
MONTANA,2015,14,,-,0,,0,,,-,,-,2,,1,,16,,42,,22,,,-,0,,1,,,-,,-,"MONTANA
(47.06652795700006, -109.42441587999997)",
VERMONT,2015,14,,-,0,,0,,,-,,-,,-,1,,11,,12,,21,,,-,0,,0,,,-,,-,"VERMONT
(43.62538389600007, -72.51763667599994)",
ARIZONA,2015,14,,-,0,,0,,,-,,-,3,,4,,15,,75,,102,,,-,0,,3,,4,,2,,"ARIZONA
(34.86597351900008, -111.76380664699997)",
SOUTH DAKOTA,2015,14,,-,0,,1,,1,,,-,,-,0,,3,,6,,11,,,-,0,,0,,,-,,-,"SOUTH DAKOTA
(44.35313004200003, -100.37352915599996)",
LOUISIANA,2015,14,,-,0,,1,,,-,,-,,-,1,,4,,16,,6,,,-,0,,4,,4,,4,,"LOUISIANA
(31.312663324000027, -92.44567750499994)",
MICHIGAN,2015,14,,-,0,,0,,,-,,-,1,,11,,33,,92,,200,,,-,0,,1,,2,,1,,"MICHIGAN
(44.66132238800003, -84.71438555599997)",
CONNECTICUT,2015,14,,-,0,,0,,,-,,-,,-,4,,9,,41,,44,,,-,0,,2,,3,,1,,"CONNECTICUT
(41.56266070000004, -72.64983977999998)",
GEORGIA,2015,14,,-,0,,0,,,-,,-,,-,1,,7,,16,,4,,1,,0,,2,,3,,2,,"GEORGIA
(32.839683200000024, -83.62757885599996)",
KENTUCKY,2015,14,,-,0,,0,,,-,,-,,N,0,,0,,,N,,N,,-,0,,1,,,-,,-,"KENTUCKY
(37.64597313300004, -84.77496771599994)",
NEW MEXICO,2015,14,,-,0,,0,,,-,,-,,-,1,,5,,8,,30,,,-,0,,1,,,-,,-,"NEW MEXICO
(34.52088149400004, -106.24057817299996)",
NEW JERSEY,2015,14,,-,0,,0,,,-,,-,,-,3,,14,,26,,75,,,-,0,,5,,,-,3,,"NEW JERSEY
(40.130570807000026, -74.27368796999997)",
KANSAS,2015,14,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,"KANSAS
(38.347742794000055, -98.20077822999997)",
WASHINGTON,2015,14,,-,0,,1,,,-,,-,,N,0,,0,,,N,,N,,-,0,,13,,2,,,-,"WASHINGTON
(47.52228790000004, -120.47002813699999)",
TENNESSEE,2015,14,,-,0,,0,,,-,,-,,N,0,,0,,,N,,N,,-,0,,2,,1,,2,,"TENNESSEE
(35.68094072700006, -85.77448666899994)",
NEW YORK,2015,14,,-,0,,0,,,-,,-,,N,0,,0,,,N,,N,,-,1,,5,,3,,2,,"NEW YORK
(42.82700376100007, -75.54396609999998)",
SOUTH CAROLINA,2015,14,,-,0,,1,,1,,,-,2,,3,,11,,39,,27,,,-,0,,2,,,-,3,,"SOUTH CAROLINA
(33.99882216300006, -81.04536596899999)",
UTAH,2015,14,,-,0,,0,,,-,,-,2,,3,,12,,55,,67,,,-,0,,1,,,-,,-,"UTAH
(39.36070123200005, -111.58712831499997)",
NEW HAMPSHIRE,2015,14,,-,0,,1,,1,,,-,,-,1,,5,,,-,27,,,-,0,,1,,,-,,-,"NEW HAMPSHIRE
(43.65595283500005, -71.50035697299995)",
FLORIDA,2015,14,,-,0,,1,,1,,2,,11,,10,,28,,213,,168,,1,,3,,9,,22,,17,,"FLORIDA
(28.932042722000062, -81.92895768899996)",
TEXAS,2015,14,,-,0,,1,,,-,2,,21,,32,,87,,331,,310,,,-,1,,5,,,-,1,,"TEXAS
(31.827240467000024, -99.42676785299994)",
WYOMING,2015,14,,-,0,,0,,,-,,-,,-,0,,2,,,-,1,,,-,0,,1,,,-,,-,"WYOMING
(43.23554100600006, -108.10982701399996)",
GUAM,2015,14,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"GUAM
(13.480998894000038, 144.73149801400007)",
UNITED STATES,2015,15,,-,0,,2,,4,,6,,136,,175,,272,,2281,,2532,,6,,17,,81,,109,,87,,,
NEW ENGLAND,2015,15,,-,0,,1,,1,,,-,4,,21,,41,,233,,262,,,-,1,,7,,7,,5,,,
MID. ATLANTIC,2015,15,,-,0,,1,,,-,,-,9,,18,,37,,202,,324,,,-,1,,10,,5,,8,,,
E.N. CENTRAL,2015,15,,-,0,,1,,,-,,-,16,,42,,71,,490,,704,,,-,1,,7,,5,,4,,,
W.N. CENTRAL,2015,15,,-,0,,1,,1,,1,,2,,11,,23,,135,,124,,,-,0,,3,,,-,,-,,
S. ATLANTIC,2015,15,,-,0,,1,,2,,2,,16,,24,,55,,389,,319,,5,,6,,17,,40,,33,,,
DIST. OF COL.,2015,15,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,"DIST. OF COL.
",
E.S. CENTRAL,2015,15,,-,0,,1,,,-,,-,,-,2,,10,,57,,36,,1,,1,,5,,4,,3,,,
PUERTO RICO,2015,15,,-,0,,1,,1,,,-,,-,4,,12,,21,,65,,,-,0,,0,,,-,,-,"PUERTO RICO
(18.24828934900006, -66.49988980099994)",
W.S. CENTRAL,2015,15,,-,0,,1,,,-,2,,67,,36,,90,,459,,382,,,-,2,,8,,4,,6,,,
MOUNTAIN,2015,15,,-,0,,0,,,-,,-,22,,18,,54,,274,,355,,,-,1,,5,,7,,5,,,
PACIFIC,2015,15,,-,0,,2,,,-,1,,,-,3,,9,,42,,26,,,-,5,,39,,37,,23,,,
AMER. SAMOA,2015,15,,-,,-,,-,,-,,-,,N,,-,,-,,N,,N,,-,,-,,-,,-,,-,"AMER. SAMOA
",
C.N.M.I.,2015,15,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"C.N.M.I.
",
VIRGIN ISL.,2015,15,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISL.
",
MINNESOTA,2015,15,,-,0,,1,,,-,1,,,-,5,,13,,83,,75,,,-,0,,0,,,-,,-,"MINNESOTA
(46.35564896600005, -94.79419983199995)",
UTAH,2015,15,,-,0,,0,,,-,,-,,-,3,,12,,55,,73,,,-,0,,1,,,-,,-,"UTAH
(39.36070123200005, -111.58712831499997)",
RHODE ISLAND,2015,15,,-,0,,0,,,-,,-,,-,0,,8,,17,,13,,,-,0,,2,,,-,,-,"RHODE ISLAND
(41.70828106100004, -71.52246566099996)",
OKLAHOMA,2015,15,,-,0,,1,,,-,,-,,N,0,,0,,,N,,N,,-,0,,1,,,-,,-,"OKLAHOMA
(35.472030747000076, -97.52106835299998)",
DELAWARE,2015,15,,-,0,,0,,,-,,-,,-,0,,2,,6,,,-,,-,0,,1,,,-,,-,"DELAWARE
(39.00883389200004, -75.57773597599999)",
MAINE,2015,15,,-,0,,0,,,-,,-,3,,4,,12,,67,,43,,,-,0,,2,,,-,1,,"MAINE
(45.25422910300006, -68.98502586699993)",
ALABAMA,2015,15,,-,0,,0,,,-,,-,,-,2,,9,,49,,36,,,-,0,,3,,2,,1,,"ALABAMA
(32.84057234800002, -86.63185738799996)",
CALIFORNIA,2015,15,,-,0,,1,,,-,1,,,-,0,,3,,6,,11,,,-,3,,32,,27,,14,,"CALIFORNIA
(37.63864210000003, -120.99999644699994)",
NEW HAMPSHIRE,2015,15,,-,0,,1,,1,,,-,,-,1,,5,,,-,27,,,-,0,,1,,,-,,-,"NEW HAMPSHIRE
(43.65595283500005, -71.50035697299995)",
WEST VIRGINIA,2015,15,,-,0,,0,,,-,,-,,-,2,,9,,16,,40,,,-,0,,1,,1,,,-,"WEST VIRGINIA
(38.66551127300005, -80.71263755899997)",
WYOMING,2015,15,,-,0,,0,,,-,,-,,-,0,,2,,,-,1,,,-,0,,1,,,-,,-,"WYOMING
(43.23554100600006, -108.10982701399996)",
WASHINGTON,2015,15,,-,0,,1,,,-,,-,,N,0,,0,,,N,,N,,-,0,,13,,2,,,-,"WASHINGTON
(47.52228790000004, -120.47002813699999)",
SOUTH CAROLINA,2015,15,,-,0,,1,,1,,,-,4,,3,,11,,45,,29,,,-,0,,2,,,-,3,,"SOUTH CAROLINA
(33.99882216300006, -81.04536596899999)",
PENNSYLVANIA,2015,15,,-,0,,1,,,-,,-,9,,15,,29,,176,,235,,,-,0,,3,,1,,1,,"PENNSYLVANIA
(40.79373362300004, -77.86069690799997)",
TENNESSEE,2015,15,,-,0,,0,,,-,,-,,N,0,,0,,,N,,N,,-,0,,2,,1,,2,,"TENNESSEE
(35.68094072700006, -85.77448666899994)",
MICHIGAN,2015,15,,-,0,,0,,,-,,-,2,,11,,33,,98,,205,,,-,0,,1,,2,,1,,"MICHIGAN
(44.66132238800003, -84.71438555599997)",
MISSOURI,2015,15,,-,0,,0,,,-,,-,2,,3,,16,,40,,29,,,-,0,,2,,,-,,-,"MISSOURI
(38.63579147100006, -92.56629944499997)",
INDIANA,2015,15,,-,0,,1,,,-,,-,,-,4,,11,,48,,66,,,-,0,,1,,,-,,-,"INDIANA
(39.766913353000064, -86.14995646699998)",
ARKANSAS,2015,15,,-,0,,0,,,-,,-,,-,3,,29,,40,,25,,,-,0,,0,,,-,,-,"ARKANSAS
(34.74865032200006, -92.27448966799994)",
IOWA,2015,15,,-,0,,0,,,-,,-,,N,0,,0,,,N,,N,,-,0,,0,,,-,,-,"IOWA
(42.469401411000035, -93.81648725599996)",
SOUTH DAKOTA,2015,15,,-,0,,1,,1,,,-,,-,0,,3,,6,,11,,,-,0,,0,,,-,,-,"SOUTH DAKOTA
(44.35313004200003, -100.37352915599996)",
LOUISIANA,2015,15,,-,0,,1,,,-,,-,,-,1,,4,,17,,6,,,-,0,,4,,4,,5,,"LOUISIANA
(31.312663324000027, -92.44567750499994)",
WISCONSIN,2015,15,,-,0,,1,,,-,,-,5,,8,,17,,106,,113,,,-,0,,1,,,-,1,,"WISCONSIN
(44.39319064600005, -89.81636640199997)",
ALASKA,2015,15,,-,0,,1,,,-,,-,,-,1,,4,,15,,6,,,-,0,,2,,,-,1,,"ALASKA
(64.84507799500005, -147.72205958799998)",
ILLINOIS,2015,15,,-,0,,0,,,-,,-,,-,10,,22,,104,,159,,,-,0,,3,,2,,1,,"ILLINOIS
(40.48501223300008, -88.99770922699997)",
OHIO,2015,15,,-,0,,1,,,-,,-,9,,10,,18,,134,,161,,,-,0,,4,,1,,1,,"OHIO
(40.060212455000055, -82.40425667899996)",
MONTANA,2015,15,,-,0,,0,,,-,,-,12,,1,,16,,54,,23,,,-,0,,1,,,-,,-,"MONTANA
(47.06652795700006, -109.42441587999997)",
TEXAS,2015,15,,-,0,,1,,,-,2,,67,,32,,87,,402,,351,,,-,1,,5,,,-,1,,"TEXAS
(31.827240467000024, -99.42676785299994)",
IDAHO,2015,15,,-,0,,0,,,-,,-,,N,0,,0,,,N,,N,,-,0,,0,,,-,,-,"IDAHO
(43.68263174800006, -114.36372693399994)",
NEW MEXICO,2015,15,,-,0,,0,,,-,,-,,-,1,,5,,10,,32,,,-,0,,1,,,-,,-,"NEW MEXICO
(34.52088149400004, -106.24057817299996)",
MARYLAND,2015,15,,-,0,,1,,,-,,-,,N,0,,0,,,N,,N,,-,0,,4,,1,,2,,"MARYLAND
(39.290582950000044, -76.60925984299996)",
HAWAII,2015,15,,-,0,,0,,,-,,-,,-,1,,7,,21,,9,,,-,0,,4,,5,,7,,"HAWAII
(21.30485232600006, -157.85774798099996)",
MISSISSIPPI,2015,15,,-,0,,1,,,-,,-,,-,0,,3,,8,,,-,1,,0,,2,,1,,,-,"MISSISSIPPI
(32.745513440000025, -89.53802722999995)",
KENTUCKY,2015,15,,-,0,,0,,,-,,-,,N,0,,0,,,N,,N,,-,0,,1,,,-,,-,"KENTUCKY
(37.64597313300004, -84.77496771599994)",
COLORADO,2015,15,,-,0,,0,,,-,,-,8,,6,,27,,76,,111,,,-,0,,3,,1,,2,,"COLORADO
(38.84384342200008, -106.13360911499996)",
NEVADA,2015,15,,-,0,,0,,,-,,-,,N,0,,0,,,N,,N,,-,0,,1,,,-,1,,"NEVADA
(39.49324221300003, -117.07183885899997)",
NEW YORK,2015,15,,-,0,,0,,,-,,-,,N,0,,0,,,N,,N,,-,1,,5,,3,,2,,"NEW YORK
(42.82700376100007, -75.54396609999998)",
VIRGINIA,2015,15,,-,0,,0,,,-,,-,,-,6,,21,,81,,65,,,-,0,,8,,2,,3,,"VIRGINIA
(37.542680705000066, -78.45788932099998)",
KANSAS,2015,15,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,"KANSAS
(38.347742794000055, -98.20077822999997)",
