Reporting Area,MMWR Year,MMWR Week,"Spotted Fever Rickettsiosis (including RMSF)†, Confirmed, Current week","Spotted Fever Rickettsiosis (including RMSF)†, Confirmed, Current week, flag","Spotted Fever Rickettsiosis (including RMSF)†, Confirmed, Previous 52 weeks Med","Spotted Fever Rickettsiosis (including RMSF)†, Confirmed, Previous 52 weeks Med, flag","Spotted Fever Rickettsiosis (including RMSF)†, Confirmed, Previous 52 weeks Max","Spotted Fever Rickettsiosis (including RMSF)†, Confirmed, Previous 52 weeks Max, flag","Spotted Fever Rickettsiosis (including RMSF)†, Confirmed, Cum 2014","Spotted Fever Rickettsiosis (including RMSF)†, Confirmed, Cum 2014, flag","Spotted Fever Rickettsiosis (including RMSF)†, Confirmed, Cum 2013","Spotted Fever Rickettsiosis (including RMSF)†, Confirmed, Cum 2013, flag","Spotted Fever Rickettsiosis (including RMSF)†, Probable, Current week","Spotted Fever Rickettsiosis (including RMSF)†, Probable, Current week, flag","Spotted Fever Rickettsiosis (including RMSF)†, Probable, Previous 52 weeks Med","Spotted Fever Rickettsiosis (including RMSF)†, Probable, Previous 52 weeks Med, flag","Spotted Fever Rickettsiosis (including RMSF)†, Probable, Previous 52 weeks Max","Spotted Fever Rickettsiosis (including RMSF)†, Probable, Previous 52 weeks Max, flag","Spotted Fever Rickettsiosis (including RMSF)†, Probable, Cum 2014","Spotted Fever Rickettsiosis (including RMSF)†, Probable, Cum 2014, flag","Spotted Fever Rickettsiosis (including RMSF)†, Probable, Cum 2013","Spotted Fever Rickettsiosis (including RMSF)†, Probable, Cum 2013, flag","Syphilis, primary and secondary, Current week","Syphilis, primary and secondary, Current week, flag","Syphilis, primary and secondary, Previous 52 weeks Med","Syphilis, primary and secondary, Previous 52 weeks Med, flag","Syphilis, primary and secondary, Previous 52 weeks Max","Syphilis, primary and secondary, Previous 52 weeks Max, flag","Syphilis, primary and secondary, Cum 2014","Syphilis, primary and secondary, Cum 2014, flag","Syphilis, primary and secondary, Cum 2013","Syphilis, primary and secondary, Cum 2013, flag",Location 1,Location 2
UNITED STATES,2014,1,,-,0,,0,,,-,,-,,-,1,,13,,,-,,-,55,,316,,453,,55,,218,,,
NEW ENGLAND,2014,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,8,,19,,,-,7,,,
MID. ATLANTIC,2014,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,2,,40,,57,,2,,17,,,
E.N. CENTRAL,2014,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,36,,56,,,-,16,,,
W.N. CENTRAL,2014,1,,-,0,,0,,,-,,-,,-,1,,13,,,-,,-,,-,12,,25,,,-,9,,,
S. ATLANTIC,2014,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,17,,74,,148,,17,,42,,,
E.S. CENTRAL,2014,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,1,,11,,18,,1,,11,,,
W.S. CENTRAL,2014,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,9,,41,,64,,9,,35,,,
MOUNTAIN,2014,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,8,,14,,26,,8,,11,,,
PACIFIC,2014,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,18,,76,,111,,18,,70,,,
TENNESSEE,2014,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,1,,3,,8,,1,,3,,"TENNESSEE
(35.680943063000484, -85.77448642199965)",
NORTH CAROLINA,2014,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,7,,31,,,-,2,,"NORTH CAROLINA
(35.46622388600048, -79.15924924699965)",
NORTH DAKOTA,2014,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,2,,,-,,-,"NORTH DAKOTA
(47.47531738700047, -100.11842599699969)",
SOUTH CAROLINA,2014,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,3,,5,,13,,3,,3,,"SOUTH CAROLINA
(33.99882060100049, -81.04536765699964)",
LOUISIANA,2014,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,7,,18,,,-,3,,"LOUISIANA
(31.312662564000448, -92.44567554599968)",
ALASKA,2014,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,3,,,-,,-,"ALASKA
(64.84507923900048, -147.72205669099972)",
IDAHO,2014,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,2,,,-,,-,"IDAHO
(43.682630058000484, -114.3637261449997)",
PENNSYLVANIA,2014,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,2,,8,,16,,2,,4,,"PENNSYLVANIA
(40.79373106100047, -77.86069775999965)",
MARYLAND,2014,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,8,,16,,,-,1,,"MARYLAND
(39.2905806980005, -76.60925970899967)",
COLORADO,2014,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,3,,9,,,-,3,,"COLORADO
(38.84384047000049, -106.13360888799969)",
MISSISSIPPI,2014,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,1,,8,,,-,6,,"MISSISSIPPI
(32.74551123200047, -89.53802764499966)",
GUAM,2014,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(34.91997872200045, -120.52155783099971)",
ARKANSAS,2014,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,2,,3,,10,,2,,3,,"ARKANSAS
(34.748651751000466, -92.27448794899965)",
MICHIGAN,2014,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,8,,17,,,-,1,,"MICHIGAN
(44.66131575600048, -84.71438724399968)",
DELAWARE,2014,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,9,,,-,,-,"DELAWARE
(39.00883351400046, -75.57773943699965)",
HAWAII,2014,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,1,,3,,,-,1,,"HAWAII
(21.30485166200043, -157.85774691599974)",
NEBRASKA,2014,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,3,,,-,,-,"NEBRASKA
(41.64104043900045, -99.36571864599966)",
MONTANA,2014,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,"MONTANA
(47.066526051000494, -109.42441687999968)",
RHODE ISLAND,2014,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,3,,,-,,-,"RHODE ISLAND
(41.70828281900049, -71.52246918099962)",
IOWA,2014,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,1,,6,,,-,1,,"IOWA
(42.469404401000475, -93.81648936699969)",
OHIO,2014,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,8,,14,,,-,3,,"OHIO
(40.06021029700048, -82.40425685299965)",
GEORGIA,2014,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,8,,14,,47,,8,,14,,"GEORGIA
(32.83968004200045, -83.62757601199968)",
KENTUCKY,2014,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,2,,8,,,-,,-,"KENTUCKY
(37.645973909000475, -84.77496612599964)",
VIRGIN ISL.,2014,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,"VIRGIN ISL.
(39.52368635500045, -99.11415045099966)",
KANSAS,2014,1,,-,0,,0,,,-,,-,,-,1,,13,,,-,,-,,-,1,,4,,,-,2,,"KANSAS
(38.34774033400049, -98.20077655499966)",
VIRGINIA,2014,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,3,,5,,17,,3,,,-,"VIRGINIA
(37.54268075100049, -78.45788924199968)",
CALIFORNIA,2014,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,15,,64,,94,,15,,60,,"CALIFORNIA
(37.638640488000476, -120.99999889499969)",
OKLAHOMA,2014,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,2,,8,,,-,,-,"OKLAHOMA
(35.472034350000456, -97.52106845499969)",
C.N.M.I.,2014,1,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"C.N.M.I.
(39.52368635500045, -99.11415045099966)",
FLORIDA,2014,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,3,,26,,43,,3,,21,,"FLORIDA
(28.932042899000464, -81.92895558499964)",
WASHINGTON,2014,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,2,,5,,14,,2,,2,,"WASHINGTON
(47.522287905000496, -120.47002746299972)",
TEXAS,2014,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,7,,29,,40,,7,,29,,"TEXAS
(31.827243635000457, -99.4267664729997)",
ARIZONA,2014,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,5,,12,,,-,5,,"ARIZONA
(34.865973091000455, -111.76380949799972)",
NEVADA,2014,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,8,,3,,14,,8,,2,,"NEVADA
(39.49324126500045, -117.07183978499972)",
MAINE,2014,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,"MAINE
(45.254228663000504, -68.98502952999962)",
OREGON,2014,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,1,,5,,11,,1,,7,,"OREGON
(44.567446178000466, -120.15502977999972)",
AMER. SAMOA,2014,1,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"AMER. SAMOA
(39.52368635500045, -99.11415045099966)",
ILLINOIS,2014,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,12,,28,,,-,6,,"ILLINOIS
(40.48501278700047, -88.99770813999965)",
WISCONSIN,2014,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,1,,5,,,-,2,,"WISCONSIN
(44.3931903350005, -89.81636715299965)",
MASSACHUSETTS,2014,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,7,,18,,,-,3,,"MASSACHUSETTS
(42.27687306500047, -72.08268985899963)",
CONNECTICUT,2014,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,1,,6,,,-,4,,"CONNECTICUT
(41.56266394200048, -72.64983753699966)",
WEST VIRGINIA,2014,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,"WEST VIRGINIA
(38.665511497000466, -80.71263935099967)",
MINNESOTA,2014,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,3,,8,,,-,4,,"MINNESOTA
(46.35564867700049, -94.79419697699967)",
WYOMING,2014,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,"WYOMING
(43.23554147100049, -108.10982744299969)",
DIST. OF COL.,2014,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,3,,8,,,-,1,,"DIST. OF COL.
(39.52368635500045, -99.11415045099966)",
VERMONT,2014,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,2,,,-,,-,"VERMONT
(43.62538292400046, -72.51763944499965)",
NEW HAMPSHIRE,2014,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,3,,,-,,-,"NEW HAMPSHIRE
(43.6559537330005, -71.50035726399966)",
MISSOURI,2014,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,5,,10,,,-,2,,"MISSOURI
(38.63579372300046, -92.56629737199967)",
NEW MEXICO,2014,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,1,,4,,,-,,-,"NEW MEXICO
(34.52088247800049, -106.24057768899968)",
ALABAMA,2014,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,4,,8,,,-,2,,"ALABAMA
(32.84057327200048, -86.63185803899967)",
UTAH,2014,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,1,,4,,,-,1,,"UTAH
(39.36070374600047, -111.5871285339997)",
PUERTO RICO,2014,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,6,,30,,,-,,-,"PUERTO RICO
(26.649497232000442, -98.34556876399967)",
NEW YORK CITY,2014,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,21,,35,,,-,11,,"NEW YORK CITY
(40.71426755700048, -74.00596858999967)",
NEW YORK,2014,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,5,,14,,,-,1,,"NEW YORK
(42.82700023900048, -75.54396639699968)",
INDIANA,2014,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,4,,10,,,-,4,,"INDIANA
(39.76691364600049, -86.14995579899966)",
SOUTH DAKOTA,2014,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,3,,,-,,-,"SOUTH DAKOTA
(44.35313342000046, -100.37352811899967)",
NEW JERSEY,2014,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,4,,9,,,-,1,,"NEW JERSEY
(40.1305700530005, -74.27368565099965)",
UNITED STATES,2014,2,,-,2,,9,,,-,3,,4,,34,,172,,8,,16,,102,,317,,456,,209,,511,,,
NEW ENGLAND,2014,2,,-,0,,1,,,-,,-,,-,0,,2,,,-,,-,1,,9,,19,,3,,14,,,
MID. ATLANTIC,2014,2,,-,0,,1,,,-,1,,,-,1,,6,,,-,3,,10,,40,,57,,26,,57,,,
E.N. CENTRAL,2014,2,,-,0,,2,,,-,,-,1,,2,,14,,1,,4,,1,,36,,56,,6,,56,,,
W.N. CENTRAL,2014,2,,-,0,,1,,,-,,-,,-,3,,26,,,-,,-,1,,12,,25,,2,,20,,,
S. ATLANTIC,2014,2,,-,2,,5,,,-,2,,1,,5,,55,,2,,2,,49,,75,,149,,79,,84,,,
E.S. CENTRAL,2014,2,,-,0,,3,,,-,,-,2,,11,,49,,5,,6,,4,,10,,18,,7,,17,,,
W.S. CENTRAL,2014,2,,-,0,,4,,,-,,-,,-,6,,104,,,-,,-,14,,41,,64,,31,,91,,,
MOUNTAIN,2014,2,,-,0,,3,,,-,,-,,-,1,,4,,,-,1,,8,,15,,26,,19,,22,,,
PACIFIC,2014,2,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,14,,76,,110,,36,,150,,,
HAWAII,2014,2,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,-,1,,3,,,-,1,,"HAWAII
(21.30485166200043, -157.85774691599974)",
NEW JERSEY,2014,2,,-,0,,1,,,-,,-,,-,0,,4,,,-,2,,,-,4,,9,,,-,9,,"NEW JERSEY
(40.1305700530005, -74.27368565099965)",
MARYLAND,2014,2,,-,0,,1,,,-,,-,,-,0,,4,,,-,,-,8,,8,,16,,10,,4,,"MARYLAND
(39.2905806980005, -76.60925970899967)",
NORTH CAROLINA,2014,2,,-,0,,2,,,-,,-,,-,1,,47,,,-,,-,13,,7,,31,,13,,2,,"NORTH CAROLINA
(35.46622388600048, -79.15924924699965)",
MAINE,2014,2,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"MAINE
(45.254228663000504, -68.98502952999962)",
TENNESSEE,2014,2,,-,0,,2,,,-,,-,,-,7,,30,,,-,4,,1,,3,,8,,2,,6,,"TENNESSEE
(35.680943063000484, -85.77448642199965)",
FLORIDA,2014,2,,-,0,,2,,,-,,-,1,,0,,4,,2,,,-,9,,27,,43,,23,,42,,"FLORIDA
(28.932042899000464, -81.92895558499964)",
MINNESOTA,2014,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,3,,8,,,-,7,,"MINNESOTA
(46.35564867700049, -94.79419697699967)",
WISCONSIN,2014,2,,-,0,,1,,,-,,-,,-,0,,2,,,-,,-,,-,1,,5,,1,,5,,"WISCONSIN
(44.3931903350005, -89.81636715299965)",
OKLAHOMA,2014,2,,-,0,,4,,,-,,-,,-,0,,88,,,-,,-,,-,2,,8,,1,,3,,"OKLAHOMA
(35.472034350000456, -97.52106845499969)",
AMER. SAMOA,2014,33,,N,,-,,-,,N,,N,,N,,-,,-,,N,,N,,-,,-,,-,,-,,-,"AMER. SAMOA
",
OHIO,2014,2,,-,0,,1,,,-,,-,1,,0,,2,,1,,1,,,-,8,,14,,1,,9,,"OHIO
(40.06021029700048, -82.40425685299965)",
VIRGINIA,2014,2,,-,0,,1,,,-,,-,,-,1,,11,,,-,,-,2,,5,,17,,5,,5,,"VIRGINIA
(37.54268075100049, -78.45788924199968)",
CONNECTICUT,2014,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,1,,6,,,-,5,,"CONNECTICUT
(41.56266394200048, -72.64983753699966)",
NEW YORK,2014,2,,-,0,,1,,,-,,-,,-,0,,3,,,-,,-,4,,5,,19,,4,,3,,"NEW YORK
(42.82700023900048, -75.54396639699968)",
AMER. SAMOA,2014,2,,N,,-,,-,,N,,N,,N,,-,,-,,N,,N,,-,,-,,-,,-,,-,"AMER. SAMOA
(39.52368635500045, -99.11415045099966)",
WYOMING,2014,2,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"WYOMING
(43.23554147100049, -108.10982744299969)",
COLORADO,2014,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,3,,9,,,-,10,,"COLORADO
(38.84384047000049, -106.13360888799969)",
MISSOURI,2014,2,,-,0,,1,,,-,,-,,-,3,,25,,,-,,-,1,,5,,10,,2,,6,,"MISSOURI
(38.63579372300046, -92.56629737199967)",
MICHIGAN,2014,2,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,8,,17,,,-,10,,"MICHIGAN
(44.66131575600048, -84.71438724399968)",
WEST VIRGINIA,2014,2,,-,0,,1,,,-,,-,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,"WEST VIRGINIA
(38.665511497000466, -80.71263935099967)",
NEBRASKA,2014,2,,-,0,,1,,,-,,-,,-,0,,2,,,-,,-,,-,0,,3,,,-,,-,"NEBRASKA
(41.64104043900045, -99.36571864599966)",
NORTH DAKOTA,2014,2,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,0,,2,,,-,,-,"NORTH DAKOTA
(47.47531738700047, -100.11842599699969)",
IDAHO,2014,2,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,-,0,,2,,,-,,-,"IDAHO
(43.682630058000484, -114.3637261449997)",
MASSACHUSETTS,2014,2,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,1,,7,,18,,3,,8,,"MASSACHUSETTS
(42.27687306500047, -72.08268985899963)",
TEXAS,2014,2,,-,0,,1,,,-,,-,,-,1,,4,,,-,,-,11,,29,,40,,25,,66,,"TEXAS
(31.827243635000457, -99.4267664729997)",
CALIFORNIA,2014,2,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,10,,65,,94,,29,,123,,"CALIFORNIA
(37.638640488000476, -120.99999889499969)",
MONTANA,2014,2,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"MONTANA
(47.066526051000494, -109.42441687999968)",
ARKANSAS,2014,2,,-,0,,2,,,-,,-,,-,4,,28,,,-,,-,3,,3,,10,,5,,10,,"ARKANSAS
(34.748651751000466, -92.27448794899965)",
ARIZONA,2014,2,,-,0,,3,,,-,,-,,-,0,,4,,,-,1,,,-,5,,12,,1,,5,,"ARIZONA
(34.865973091000455, -111.76380949799972)",
NEVADA,2014,2,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,8,,4,,14,,17,,4,,"NEVADA
(39.49324126500045, -117.07183978499972)",
RHODE ISLAND,2014,2,,-,0,,0,,,-,,-,,-,0,,2,,,-,,-,,-,0,,3,,,-,,-,"RHODE ISLAND
(41.70828281900049, -71.52246918099962)",
NEW YORK CITY,2014,2,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,1,,22,,35,,12,,33,,"NEW YORK CITY
(40.71426755700048, -74.00596858999967)",
OREGON,2014,2,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,5,,11,,1,,14,,"OREGON
(44.567446178000466, -120.15502977999972)",
MISSISSIPPI,2014,2,,-,0,,1,,,-,,-,,-,0,,4,,,-,,-,,-,1,,8,,,-,7,,"MISSISSIPPI
(32.74551123200047, -89.53802764499966)",
ALABAMA,2014,2,,-,0,,1,,,-,,-,1,,3,,17,,3,,,-,1,,4,,8,,3,,4,,"ALABAMA
(32.84057327200048, -86.63185803899967)",
DELAWARE,2014,2,,-,0,,0,,,-,,-,,-,0,,2,,,-,,-,1,,0,,9,,1,,1,,"DELAWARE
(39.00883351400046, -75.57773943699965)",
LOUISIANA,2014,2,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,7,,18,,,-,12,,"LOUISIANA
(31.312662564000448, -92.44567554599968)",
KENTUCKY,2014,2,,-,0,,1,,,-,,-,1,,1,,6,,2,,2,,2,,2,,8,,2,,,-,"KENTUCKY
(37.645973909000475, -84.77496612599964)",
NEW HAMPSHIRE,2014,2,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,3,,,-,1,,"NEW HAMPSHIRE
(43.6559537330005, -71.50035726399966)",
NEW MEXICO,2014,2,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,1,,4,,1,,,-,"NEW MEXICO
(34.52088247800049, -106.24057768899968)",
PUERTO RICO,2014,2,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,-,6,,30,,,-,11,,"PUERTO RICO
(26.649497232000442, -98.34556876399967)",
GUAM,2014,2,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,-,0,,0,,,-,,-,"GUAM
(13.355173397000442, 144.70297250000056)",
GEORGIA,2014,2,,-,1,,5,,,-,2,,,-,0,,0,,,-,,-,16,,14,,47,,24,,18,,"GEORGIA
(32.83968004200045, -83.62757601199968)",
SOUTH CAROLINA,2014,2,,-,0,,1,,,-,,-,,-,1,,2,,,-,2,,,-,5,,13,,3,,4,,"SOUTH CAROLINA
(33.99882060100049, -81.04536765699964)",
WASHINGTON,2014,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,4,,5,,14,,6,,11,,"WASHINGTON
(47.522287905000496, -120.47002746299972)",
SOUTH DAKOTA,2014,2,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,3,,,-,,-,"SOUTH DAKOTA
(44.35313342000046, -100.37352811899967)",
UTAH,2014,2,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,1,,4,,,-,3,,"UTAH
(39.36070374600047, -111.5871285339997)",
ALASKA,2014,2,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,-,0,,3,,,-,1,,"ALASKA
(64.84507923900048, -147.72205669099972)",
VIRGIN ISL.,2014,2,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,-,0,,1,,,-,,-,"VIRGIN ISL.
(39.52368635500045, -99.11415045099966)",
PENNSYLVANIA,2014,2,,-,0,,1,,,-,1,,,-,0,,3,,,-,1,,5,,8,,16,,10,,12,,"PENNSYLVANIA
(40.79373106100047, -77.86069775999965)",
C.N.M.I.,2014,2,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"C.N.M.I.
(39.52368635500045, -99.11415045099966)",
KANSAS,2014,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,1,,4,,,-,2,,"KANSAS
(38.34774033400049, -98.20077655499966)",
ILLINOIS,2014,2,,-,0,,1,,,-,,-,,-,1,,8,,,-,1,,,-,12,,28,,3,,26,,"ILLINOIS
(40.48501278700047, -88.99770813999965)",
DIST. OF COL.,2014,2,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,-,3,,8,,,-,8,,"DIST. OF COL.
(39.52368635500045, -99.11415045099966)",
INDIANA,2014,2,,-,0,,1,,,-,,-,,-,1,,4,,,-,2,,1,,4,,10,,1,,6,,"INDIANA
(39.76691364600049, -86.14995579899966)",
VERMONT,2014,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,2,,,-,,-,"VERMONT
(43.62538292400046, -72.51763944499965)",
IOWA,2014,2,,-,0,,0,,,-,,-,,-,0,,2,,,-,,-,,-,1,,6,,,-,5,,"IOWA
(42.469404401000475, -93.81648936699969)",
UNITED STATES,2014,3,1,,2,,10,,1,,4,,2,,35,,172,,12,,22,,86,,319,,459,,389,,794,,,
NEW ENGLAND,2014,3,,-,0,,1,,,-,,-,,-,0,,2,,,-,,-,,-,9,,19,,7,,27,,,
MID. ATLANTIC,2014,3,1,,0,,1,,1,,1,,,-,1,,6,,,-,4,,10,,40,,58,,53,,99,,,
E.N. CENTRAL,2014,3,,-,0,,2,,,-,,-,1,,2,,14,,2,,5,,,-,36,,56,,13,,93,,,
W.N. CENTRAL,2014,3,,-,0,,1,,,-,,-,,-,3,,26,,,-,,-,,-,12,,25,,9,,32,,,
S. ATLANTIC,2014,3,,-,2,,5,,,-,3,,,-,5,,55,,4,,4,,34,,75,,149,,132,,147,,,
E.S. CENTRAL,2014,3,,-,0,,3,,,-,,-,1,,11,,49,,6,,8,,6,,11,,18,,25,,25,,,
W.S. CENTRAL,2014,3,,-,0,,4,,,-,,-,,-,6,,104,,,-,,-,2,,40,,64,,36,,129,,,
MOUNTAIN,2014,3,,-,0,,3,,,-,,-,,-,1,,4,,,-,1,,9,,15,,26,,29,,29,,,
PACIFIC,2014,3,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,25,,77,,110,,85,,213,,,
ALASKA,2014,3,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,-,0,,3,,,-,1,,"ALASKA
(64.84507923900048, -147.72205669099972)",
HAWAII,2014,3,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,-,1,,3,,,-,2,,"HAWAII
(21.30485166200043, -157.85774691599974)",
MICHIGAN,2014,3,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,8,,17,,1,,16,,"MICHIGAN
(44.66131575600048, -84.71438724399968)",
KENTUCKY,2014,3,,-,0,,1,,,-,,-,,-,1,,6,,2,,2,,5,,2,,8,,7,,1,,"KENTUCKY
(37.645973909000475, -84.77496612599964)",
GUAM,2014,3,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,-,0,,0,,,-,,-,"GUAM
(13.355173397000442, 144.70297250000056)",
MONTANA,2014,3,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"MONTANA
(47.066526051000494, -109.42441687999968)",
WASHINGTON,2014,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,6,,5,,14,,12,,17,,"WASHINGTON
(47.522287905000496, -120.47002746299972)",
NEVADA,2014,3,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,7,,4,,14,,24,,5,,"NEVADA
(39.49324126500045, -117.07183978499972)",
ILLINOIS,2014,3,,-,0,,1,,,-,,-,,-,1,,8,,,-,1,,,-,12,,28,,3,,46,,"ILLINOIS
(40.48501278700047, -88.99770813999965)",
OREGON,2014,3,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,1,,5,,11,,4,,21,,"OREGON
(44.567446178000466, -120.15502977999972)",
FLORIDA,2014,3,,-,0,,2,,,-,,-,,-,0,,4,,2,,,-,4,,27,,43,,44,,71,,"FLORIDA
(28.932042899000464, -81.92895558499964)",
VIRGINIA,2014,3,,-,0,,1,,,-,,-,,-,1,,12,,,-,,-,,-,5,,17,,5,,6,,"VIRGINIA
(37.54268075100049, -78.45788924199968)",
RHODE ISLAND,2014,3,,-,0,,0,,,-,,-,,-,0,,2,,,-,,-,,-,0,,4,,,-,,-,"RHODE ISLAND
(41.70828281900049, -71.52246918099962)",
