Reporting Area,MMWR Year,MMWR Week,"Invasive Pneumococcal disease, All ages, Current week","Invasive Pneumococcal disease§, All ages, Current week, flag","Invasive Pneumococcal disease§, All ages, Previous 52 weeks Med","Invasive Pneumococcal disease§, All ages, Previous 52 weeks Med, flag","Invasive Pneumococcal disease§, All ages, Previous 52 weeks Max","Invasive Pneumococcal disease§, All ages, Previous 52 weeks Max, flag","Invasive Pneumococcal disease§, All ages, Cum 2015","Invasive Pneumococcal disease§, All ages, Cum 2015, flag","Invasive Pneumococcal disease§, All ages, Cum 2014","Invasive Pneumococcal disease§, All ages, Cum 2014, flag","Invasive Pneumococcal disease§, Age LT 5, Current week","Invasive Pneumococcal disease§, Age LT 5, Current week, flag","Invasive Pneumococcal disease§, Age LT 5, Previous 52 weeks Med","Invasive Pneumococcal disease§, Age LT 5, Previous 52 weeks Med, flag","Invasive Pneumococcal disease§, Age LT 5, Previous 52 weeks Max","Invasive Pneumococcal disease§, Age LT 5, Previous 52 weeks Max, flag","Invasive Pneumococcal disease§, Age LT 5, Cum 2015","Invasive Pneumococcal disease§, Age LT 5, Cum 2015, flag","Invasive Pneumococcal disease§, Age LT 5, Cum 2014","Invasive Pneumococcal disease§, Age LT 5, Cum 2014, flag","Legionellosis, Current week","Legionellosis, Current week, flag","Legionellosis, Previous 52 weeks Med","Legionellosis, Previous 52 weeks Med, flag","Legionellosis, Previous 52 weeks Max","Legionellosis, Previous 52 weeks Max, flag","Legionellosis, Cum 2015","Legionellosis, Cum 2015, flag","Legionellosis, Cum 2014","Legionellosis, Cum 2014, flag",Location 1,Location 2
SOUTH DAKOTA,2015,28,1,,2,,11,,65,,55,,,N,0,,0,,,N,,N,,-,0,,2,,4,,4,,"SOUTH DAKOTA
(44.35313004200003, -100.37352915599996)",
MICHIGAN,2015,28,1,,13,,37,,439,,357,,,-,1,,3,,28,,18,,3,,3,,19,,67,,88,,"MICHIGAN
(44.66132238800003, -84.71438555599997)",
ALABAMA,2015,28,,-,4,,16,,160,,126,,,-,0,,2,,18,,10,,,-,1,,6,,36,,32,,"ALABAMA
(32.84057234800002, -86.63185738799996)",
UTAH,2015,28,,-,4,,13,,90,,106,,,-,0,,3,,8,,13,,,-,0,,2,,16,,17,,"UTAH
(39.36070123200005, -111.58712831499997)",
ALASKA,2015,28,1,,2,,7,,64,,53,,,-,0,,1,,6,,7,,,-,0,,0,,,-,2,,"ALASKA
(64.84508688700004, -147.72202846799996)",
CALIFORNIA,2015,28,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,-,7,,16,,186,,167,,"CALIFORNIA
(37.63864210000003, -120.99999644699994)",
KANSAS,2015,28,,-,3,,7,,105,,91,,,-,0,,2,,11,,,N,,-,0,,2,,11,,8,,"KANSAS
(38.347742794000055, -98.20077822999997)",
PENNSYLVANIA,2015,28,,-,10,,23,,287,,,N,,-,0,,2,,14,,,N,7,,6,,15,,125,,152,,"PENNSYLVANIA
(40.79373362300004, -77.86069690799997)",
CONNECTICUT,2015,28,,-,4,,11,,129,,146,,,-,0,,1,,4,,5,,,-,1,,3,,10,,31,,"CONNECTICUT
(41.56266070000004, -72.64983977999998)",
NEBRASKA,2015,28,2,,2,,8,,84,,83,,,-,0,,4,,4,,6,,,-,0,,3,,9,,7,,"NEBRASKA
(41.64104362100005, -99.36571888999998)",
NEW YORK,2015,28,3,,16,,63,,488,,469,,,-,1,,9,,23,,17,,10,,7,,23,,172,,152,,"NEW YORK
(42.82700376100007, -75.54396609999998)",
NEW MEXICO,2015,28,,-,4,,15,,179,,214,,,-,0,,4,,12,,11,,,-,0,,1,,5,,2,,"NEW MEXICO
(34.52088149400004, -106.24057817299996)",
VERMONT,2015,28,,-,1,,4,,38,,34,,,-,0,,1,,3,,,-,2,,0,,2,,10,,2,,"VERMONT
(43.62538389600007, -72.51763667599994)",
PUERTO RICO,2015,28,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,2,,7,,3,,"PUERTO RICO
(18.248289714000066, -66.49988663099998)",
NORTH DAKOTA,2015,28,,-,1,,6,,52,,47,,,-,0,,1,,3,,2,,,-,0,,1,,1,,3,,"NORTH DAKOTA
(47.475318609000055, -100.11842789099995)",
DELAWARE,2015,28,,-,1,,5,,45,,24,,,-,0,,1,,2,,1,,,-,0,,2,,10,,10,,"DELAWARE
(39.00883389200004, -75.57773597599999)",
WEST VIRGINIA,2015,28,,-,4,,14,,135,,169,,,-,0,,2,,8,,9,,,-,1,,4,,15,,15,,"WEST VIRGINIA
(38.66551127300005, -80.71263755899997)",
NEW HAMPSHIRE,2015,28,,-,2,,7,,53,,55,,,-,0,,2,,5,,3,,,-,0,,4,,11,,6,,"NEW HAMPSHIRE
(43.65595283500005, -71.50035697299995)",
MONTANA,2015,28,,-,1,,5,,39,,21,,,-,0,,1,,,-,,-,,-,0,,1,,3,,2,,"MONTANA
(47.06652795700006, -109.42441587999997)",
MISSOURI,2015,28,,N,0,,0,,,N,,N,,-,0,,3,,2,,13,,3,,2,,12,,66,,49,,"MISSOURI
(38.63579147100006, -92.56629944499997)",
ARKANSAS,2015,28,2,,5,,37,,185,,145,,,-,0,,3,,13,,8,,,-,0,,3,,20,,21,,"ARKANSAS
(34.74865032200006, -92.27448966799994)",
HAWAII,2015,28,,-,1,,4,,33,,65,,,-,0,,1,,2,,7,,,-,0,,1,,5,,3,,"HAWAII
(21.30485232600006, -157.85774798099996)",
OHIO,2015,28,13,,18,,54,,614,,595,,,-,1,,4,,29,,26,,52,,7,,74,,272,,166,,"OHIO
(40.060212455000055, -82.40425667899996)",
MAINE,2015,28,2,,2,,7,,87,,93,,,-,0,,1,,3,,4,,,-,0,,4,,7,,6,,"MAINE
(45.25422910300006, -68.98502586699993)",
NEW JERSEY,2015,28,,-,7,,27,,228,,316,,,-,0,,2,,6,,23,,,-,3,,9,,38,,87,,"NEW JERSEY
(40.130570807000026, -74.27368796999997)",
MASSACHUSETTS,2015,28,6,,9,,29,,312,,334,,,-,0,,3,,15,,17,,4,,3,,8,,54,,53,,"MASSACHUSETTS
(42.27687400000008, -72.08268726299997)",
ARIZONA,2015,28,7,,10,,40,,447,,530,,1,,1,,5,,31,,28,,1,,1,,4,,50,,28,,"ARIZONA
(34.86597351900008, -111.76380664699997)",
NORTH CAROLINA,2015,28,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,2,,3,,21,,82,,65,,"NORTH CAROLINA
(35.466220159000045, -79.15924997399998)",
WASHINGTON,2015,28,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,1,,0,,11,,22,,16,,"WASHINGTON
(47.52228790000004, -120.47002813699999)",
WISCONSIN,2015,28,,-,8,,19,,229,,239,,,-,0,,2,,14,,7,,,-,1,,8,,10,,41,,"WISCONSIN
(44.39319064600005, -89.81636640199997)",
FLORIDA,2015,28,6,,8,,17,,260,,624,,,-,1,,6,,35,,52,,7,,6,,11,,147,,128,,"FLORIDA
(28.932571766000024, -81.92832639299996)",
GEORGIA,2015,28,,-,15,,44,,477,,536,,,-,1,,4,,27,,30,,,-,2,,4,,38,,49,,"GEORGIA
(32.839683200000024, -83.62757885599996)",
OREGON,2015,28,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,1,,1,,3,,20,,15,,"OREGON
(44.56745049300008, -120.15502935599994)",
IDAHO,2015,28,,N,0,,0,,,N,,N,,-,0,,1,,6,,2,,,-,0,,2,,7,,7,,"IDAHO
(43.68263174800006, -114.36372693399994)",
VIRGINIA,2015,28,,-,0,,2,,10,,14,,,-,0,,2,,10,,14,,2,,2,,9,,49,,40,,"VIRGINIA
(37.542680705000066, -78.45788932099998)",
TEXAS,2015,28,10,,26,,183,,888,,893,,1,,2,,12,,81,,75,,5,,5,,26,,129,,102,,"TEXAS
(31.827240467000024, -99.42676785299994)",
MARYLAND,2015,28,2,,7,,24,,281,,287,,,-,0,,3,,14,,17,,6,,2,,9,,64,,59,,"MARYLAND
(39.290582950000044, -76.60925984299996)",
WYOMING,2015,28,,-,0,,4,,15,,13,,,-,0,,1,,1,,2,,,-,0,,1,,,-,1,,"WYOMING
(43.23554100600006, -108.10982701399996)",
KENTUCKY,2015,28,,-,4,,10,,119,,118,,,-,0,,1,,2,,8,,,-,2,,5,,31,,36,,"KENTUCKY
(37.64597313300004, -84.77496771599994)",
GUAM,2015,28,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.480999164000025, 144.7314964090001)",
RHODE ISLAND,2015,28,,-,1,,8,,38,,43,,,-,0,,2,,1,,1,,1,,0,,4,,7,,11,,"RHODE ISLAND
(41.70828106100004, -71.52246566099996)",
MINNESOTA,2015,28,,-,9,,19,,257,,279,,,-,1,,4,,18,,15,,,-,1,,7,,15,,22,,"MINNESOTA
(46.35564896600005, -94.79419983199995)",
IOWA,2015,28,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,-,0,,3,,16,,13,,"IOWA
(42.469401411000035, -93.81648725599996)",
MISSISSIPPI,2015,28,2,,5,,16,,127,,139,,,-,0,,3,,13,,14,,,-,1,,3,,17,,17,,"MISSISSIPPI
(32.745513440000025, -89.53802722999995)",
NEVADA,2015,28,,-,2,,10,,84,,83,,,-,0,,2,,7,,5,,,-,0,,3,,9,,7,,"NEVADA
(39.49324221300003, -117.07183885899997)",
LOUISIANA,2015,28,,-,4,,16,,183,,265,,,-,0,,4,,10,,14,,,-,1,,4,,23,,26,,"LOUISIANA
(31.312663324000027, -92.44567750499994)",
NEW YORK CITY,2015,28,5,,12,,28,,413,,411,,,-,1,,3,,20,,17,,7,,5,,11,,119,,84,,"NEW YORK CITY
(40.71426837200005, -74.00596557099993)",
UNITED STATES,2015,29,94,,284,,761,,9275,,9633,,10,,22,,41,,633,,613,,129,,95,,180,,2472,,2270,,,
NEW ENGLAND,2015,29,,-,21,,55,,672,,714,,,-,1,,5,,31,,32,,1,,4,,14,,114,,112,,,
MID. ATLANTIC,2015,29,24,,41,,118,,1472,,1220,,2,,2,,11,,66,,61,,44,,19,,46,,513,,509,,,
E.N. CENTRAL,2015,29,17,,52,,123,,1658,,1575,,1,,3,,11,,110,,73,,40,,18,,84,,551,,458,,,
W.N. CENTRAL,2015,29,2,,20,,34,,573,,567,,,-,2,,6,,39,,37,,12,,4,,16,,144,,118,,,
S. ATLANTIC,2015,29,14,,44,,129,,1564,,1997,,3,,4,,10,,118,,145,,20,,19,,37,,461,,416,,,
DIST. OF COL.,2015,29,1,,1,,5,,43,,41,,,-,0,,2,,4,,1,,,-,0,,2,,,-,4,,"DIST. OF COL.
",
E.S. CENTRAL,2015,29,13,,29,,75,,983,,867,,,-,2,,4,,65,,62,,5,,6,,14,,157,,178,,,
W.S. CENTRAL,2015,29,16,,39,,229,,1280,,1323,,4,,3,,15,,120,,114,,4,,8,,35,,189,,165,,,
MOUNTAIN,2015,29,8,,30,,66,,976,,1251,,,-,2,,9,,76,,75,,2,,4,,13,,107,,99,,,
PACIFIC,2015,29,,-,3,,8,,97,,119,,,-,0,,2,,8,,14,,1,,9,,22,,236,,215,,,
AMER. SAMOA,2015,29,,N,,-,,-,,N,,N,,-,,-,,-,,-,,-,,N,,-,,-,,N,,N,"AMER. SAMOA
",
C.N.M.I.,2015,29,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"C.N.M.I.
",
VIRGIN ISL.,2015,29,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISL.
",
ARIZONA,2015,29,8,,10,,40,,456,,534,,,-,1,,5,,31,,28,,2,,1,,4,,51,,29,,"ARIZONA
(34.86597351900008, -111.76380664699997)",
MINNESOTA,2015,29,,-,9,,19,,258,,284,,,-,1,,4,,18,,15,,,-,1,,7,,19,,24,,"MINNESOTA
(46.35564896600005, -94.79419983199995)",
LOUISIANA,2015,29,3,,4,,16,,188,,267,,,-,0,,4,,11,,14,,,-,1,,4,,23,,27,,"LOUISIANA
(31.312663324000027, -92.44567750499994)",
MARYLAND,2015,29,5,,7,,24,,289,,292,,2,,0,,3,,16,,18,,5,,2,,9,,71,,63,,"MARYLAND
(39.290582950000044, -76.60925984299996)",
WASHINGTON,2015,29,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,1,,0,,11,,23,,18,,"WASHINGTON
(47.52228790000004, -120.47002813699999)",
MISSISSIPPI,2015,29,,-,5,,16,,127,,143,,,-,0,,3,,13,,14,,,-,0,,3,,17,,18,,"MISSISSIPPI
(32.745513440000025, -89.53802722999995)",
NEVADA,2015,29,,-,3,,10,,102,,84,,,-,0,,2,,8,,5,,,-,1,,2,,15,,10,,"NEVADA
(39.49324221300003, -117.07183885899997)",
KENTUCKY,2015,29,4,,4,,10,,133,,119,,,-,0,,1,,3,,9,,1,,2,,5,,38,,39,,"KENTUCKY
(37.64597313300004, -84.77496771599994)",
MONTANA,2015,29,,-,1,,5,,39,,23,,,-,0,,1,,,-,,-,,-,0,,1,,3,,2,,"MONTANA
(47.06652795700006, -109.42441587999997)",
MISSOURI,2015,29,,N,0,,0,,,N,,N,,-,0,,3,,2,,13,,12,,2,,12,,82,,53,,"MISSOURI
(38.63579147100006, -92.56629944499997)",
OREGON,2015,29,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,-,1,,3,,21,,15,,"OREGON
(44.56745049300008, -120.15502935599994)",
KANSAS,2015,29,,-,3,,7,,107,,93,,,-,0,,2,,11,,,N,,-,0,,2,,11,,10,,"KANSAS
(38.347742794000055, -98.20077822999997)",
NEW YORK,2015,29,7,,16,,63,,500,,480,,,-,1,,9,,23,,19,,18,,7,,23,,196,,167,,"NEW YORK
(42.82700376100007, -75.54396609999998)",
COLORADO,2015,29,,-,3,,24,,82,,274,,,-,0,,3,,8,,14,,,-,0,,7,,9,,31,,"COLORADO
(38.84384342200008, -106.13360911499996)",
SOUTH CAROLINA,2015,29,3,,7,,32,,293,,284,,,-,0,,3,,13,,19,,,-,1,,3,,28,,24,,"SOUTH CAROLINA
(33.99882216300006, -81.04536596899999)",
IOWA,2015,29,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,-,1,,3,,18,,16,,"IOWA
(42.469401411000035, -93.81648725599996)",
RHODE ISLAND,2015,29,,-,1,,8,,39,,43,,,-,0,,2,,1,,1,,,-,0,,4,,8,,11,,"RHODE ISLAND
(41.70828106100004, -71.52246566099996)",
UTAH,2015,29,,-,4,,13,,99,,107,,,-,0,,3,,10,,13,,,-,0,,2,,17,,17,,"UTAH
(39.36070123200005, -111.58712831499997)",
GEORGIA,2015,29,1,,15,,44,,483,,542,,1,,1,,4,,30,,30,,1,,2,,5,,42,,53,,"GEORGIA
(32.839683200000024, -83.62757885599996)",
PENNSYLVANIA,2015,29,6,,10,,23,,294,,,N,2,,0,,2,,16,,,N,7,,5,,17,,137,,159,,"PENNSYLVANIA
(40.79373362300004, -77.86069690799997)",
PUERTO RICO,2015,29,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,2,,7,,3,,"PUERTO RICO
(18.24828934900006, -66.49988980099994)",
WEST VIRGINIA,2015,29,2,,4,,14,,139,,170,,,-,0,,2,,8,,9,,,-,1,,4,,15,,15,,"WEST VIRGINIA
(38.66551127300005, -80.71263755899997)",
ARKANSAS,2015,29,3,,5,,37,,191,,147,,1,,0,,3,,14,,8,,1,,0,,3,,21,,23,,"ARKANSAS
(34.74865032200006, -92.27448966799994)",
OKLAHOMA,2015,29,,N,0,,0,,,N,,N,,-,0,,2,,10,,17,,3,,0,,10,,16,,9,,"OKLAHOMA
(35.472030747000076, -97.52106835299998)",
FLORIDA,2015,29,2,,8,,17,,262,,629,,,-,1,,6,,35,,53,,3,,6,,11,,150,,135,,"FLORIDA
(28.932042722000062, -81.92895768899996)",
INDIANA,2015,29,,-,12,,33,,343,,366,,,-,0,,3,,20,,20,,,-,2,,14,,53,,36,,"INDIANA
(39.766913353000064, -86.14995646699998)",
WYOMING,2015,29,,-,0,,4,,15,,14,,,-,0,,1,,1,,2,,,-,0,,1,,,-,1,,"WYOMING
(43.23554100600006, -108.10982701399996)",
CONNECTICUT,2015,29,,-,4,,11,,143,,149,,,-,0,,1,,4,,5,,,-,1,,4,,21,,31,,"CONNECTICUT
(41.56266070000004, -72.64983977999998)",
IDAHO,2015,29,,N,0,,0,,,N,,N,,-,0,,1,,6,,2,,,-,0,,2,,7,,7,,"IDAHO
(43.68263174800006, -114.36372693399994)",
CALIFORNIA,2015,29,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,-,7,,16,,187,,177,,"CALIFORNIA
(37.63864210000003, -120.99999644699994)",
NORTH DAKOTA,2015,29,,-,2,,6,,56,,48,,,-,0,,1,,4,,2,,,-,0,,1,,1,,3,,"NORTH DAKOTA
(47.475318609000055, -100.11842789099995)",
VERMONT,2015,29,,-,1,,4,,38,,35,,,-,0,,1,,3,,,-,1,,0,,2,,12,,2,,"VERMONT
(43.62538389600007, -72.51763667599994)",
ALABAMA,2015,29,1,,4,,16,,168,,130,,,-,0,,2,,18,,10,,3,,1,,6,,39,,35,,"ALABAMA
(32.84057234800002, -86.63185738799996)",
TEXAS,2015,29,10,,26,,183,,901,,909,,3,,2,,12,,85,,75,,,-,5,,26,,129,,106,,"TEXAS
(31.827240467000024, -99.42676785299994)",
VIRGINIA,2015,29,,-,0,,2,,10,,14,,,-,0,,2,,10,,14,,7,,2,,9,,58,,41,,"VIRGINIA
(37.542680705000066, -78.45788932099998)",
NEW YORK CITY,2015,29,11,,12,,28,,424,,416,,,-,1,,3,,20,,17,,19,,5,,11,,138,,90,,"NEW YORK CITY
(40.71426755700003, -74.00596858999995)",
NEBRASKA,2015,29,,-,2,,8,,85,,85,,,-,0,,4,,4,,7,,,-,0,,3,,9,,8,,"NEBRASKA
(41.64104362100005, -99.36571888999998)",
SOUTH DAKOTA,2015,29,2,,2,,11,,67,,57,,,N,0,,0,,,N,,N,,-,0,,2,,4,,4,,"SOUTH DAKOTA
(44.35313004200003, -100.37352915599996)",
WISCONSIN,2015,29,,-,8,,19,,232,,245,,,-,0,,2,,15,,7,,,-,1,,8,,29,,42,,"WISCONSIN
(44.39319064600005, -89.81636640199997)",
TENNESSEE,2015,29,8,,14,,51,,555,,475,,,-,1,,4,,31,,29,,1,,2,,10,,63,,86,,"TENNESSEE
(35.68094072700006, -85.77448666899994)",
GUAM,2015,29,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.480998894000038, 144.73149801400007)",
NORTH CAROLINA,2015,29,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,4,,3,,21,,86,,70,,"NORTH CAROLINA
(35.466220159000045, -79.15924997399998)",
OHIO,2015,29,15,,18,,54,,629,,603,,1,,1,,4,,30,,27,,38,,7,,74,,310,,169,,"OHIO
(40.060212455000055, -82.40425667899996)",
ILLINOIS,2015,29,,N,0,,0,,,N,,N,,-,0,,3,,17,,,-,,-,3,,16,,79,,116,,"ILLINOIS
(40.48501223300008, -88.99770922699997)",
NEW MEXICO,2015,29,,-,4,,15,,183,,215,,,-,0,,4,,12,,11,,,-,0,,1,,5,,2,,"NEW MEXICO
(34.52088149400004, -106.24057817299996)",
NEW JERSEY,2015,29,,-,8,,27,,254,,324,,,-,0,,2,,7,,25,,,-,2,,9,,42,,93,,"NEW JERSEY
(40.130570807000026, -74.27368796999997)",
ALASKA,2015,29,,-,2,,7,,64,,54,,,-,0,,1,,6,,7,,,-,0,,0,,,-,2,,"ALASKA
(64.84507799500005, -147.72205958799998)",
NEW HAMPSHIRE,2015,29,,-,2,,7,,53,,55,,,-,0,,2,,5,,3,,,-,0,,4,,12,,6,,"NEW HAMPSHIRE
(43.65595283500005, -71.50035697299995)",
MASSACHUSETTS,2015,29,,-,9,,29,,312,,338,,,-,0,,3,,15,,18,,,-,3,,8,,54,,56,,"MASSACHUSETTS
(42.27687400000008, -72.08268726299997)",
MICHIGAN,2015,29,2,,13,,37,,454,,361,,,-,1,,3,,28,,19,,2,,4,,19,,80,,95,,"MICHIGAN
(44.66132238800003, -84.71438555599997)",
HAWAII,2015,29,,-,1,,4,,33,,65,,,-,0,,1,,2,,7,,,-,0,,1,,5,,3,,"HAWAII
(21.30485232600006, -157.85774798099996)",
MAINE,2015,29,,-,2,,7,,87,,94,,,-,0,,1,,3,,5,,,-,0,,4,,7,,6,,"MAINE
(45.25422910300006, -68.98502586699993)",
DELAWARE,2015,29,,-,1,,5,,45,,25,,,-,0,,1,,2,,1,,,-,0,,2,,11,,11,,"DELAWARE
(39.00883389200004, -75.57773597599999)",
UNITED STATES,2015,30,70,,285,,761,,9394,,9776,,7,,22,,41,,646,,622,,112,,95,,189,,2658,,2420,,,
NEW ENGLAND,2015,30,5,,21,,55,,683,,721,,,-,1,,5,,31,,32,,3,,5,,14,,126,,120,,,
MID. ATLANTIC,2015,30,9,,41,,118,,1482,,1243,,1,,2,,11,,68,,63,,23,,19,,48,,546,,545,,,
E.N. CENTRAL,2015,30,10,,52,,123,,1673,,1601,,,-,3,,11,,111,,75,,47,,19,,88,,616,,494,,,
W.N. CENTRAL,2015,30,,-,20,,34,,590,,576,,,-,2,,6,,40,,37,,3,,4,,16,,159,,127,,,
S. ATLANTIC,2015,30,16,,44,,129,,1595,,2025,,1,,4,,10,,122,,146,,14,,19,,37,,480,,440,,,
DIST. OF COL.,2015,30,4,,1,,5,,47,,44,,,-,0,,2,,4,,1,,,-,0,,2,,,-,4,,"DIST. OF COL.
",
E.S. CENTRAL,2015,30,4,,29,,75,,989,,882,,,-,2,,4,,65,,63,,3,,6,,14,,165,,188,,,
W.S. CENTRAL,2015,30,24,,39,,229,,1306,,1342,,5,,3,,15,,125,,116,,14,,8,,35,,212,,177,,,
MOUNTAIN,2015,30,2,,30,,66,,976,,1267,,,-,2,,9,,76,,76,,3,,4,,13,,110,,103,,,
PACIFIC,2015,30,,-,3,,8,,100,,119,,,-,0,,2,,8,,14,,2,,9,,22,,244,,226,,,
AMER. SAMOA,2015,30,,N,,-,,-,,N,,N,,-,,-,,-,,-,,-,,N,,-,,-,,N,,N,"AMER. SAMOA
",
C.N.M.I.,2015,30,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"C.N.M.I.
",
VIRGIN ISL.,2015,30,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISL.
",
NEW YORK CITY,2015,30,,-,12,,28,,425,,425,,,-,1,,3,,21,,17,,,-,5,,19,,138,,100,,"NEW YORK CITY
(40.71426755700003, -74.00596858999995)",
CONNECTICUT,2015,30,,-,4,,11,,143,,151,,,-,0,,1,,4,,5,,,-,1,,4,,21,,34,,"CONNECTICUT
(41.56266070000004, -72.64983977999998)",
ARKANSAS,2015,30,2,,5,,37,,190,,151,,,-,0,,3,,14,,8,,,-,0,,3,,21,,23,,"ARKANSAS
(34.74865032200006, -92.27448966799994)",
WISCONSIN,2015,30,,-,8,,19,,232,,248,,,-,0,,2,,15,,8,,,-,1,,8,,29,,43,,"WISCONSIN
(44.39319064600005, -89.81636640199997)",
WYOMING,2015,30,,-,0,,4,,15,,15,,,-,0,,1,,1,,2,,,-,0,,1,,,-,1,,"WYOMING
(43.23554100600006, -108.10982701399996)",
TEXAS,2015,30,16,,26,,183,,920,,922,,2,,2,,12,,87,,77,,5,,5,,26,,142,,117,,"TEXAS
(31.827240467000024, -99.42676785299994)",
INDIANA,2015,30,,-,12,,33,,347,,374,,,-,0,,3,,21,,20,,,-,2,,14,,58,,39,,"INDIANA
(39.766913353000064, -86.14995646699998)",
WEST VIRGINIA,2015,30,,-,4,,14,,139,,174,,,-,0,,2,,8,,10,,,-,1,,4,,15,,16,,"WEST VIRGINIA
(38.66551127300005, -80.71263755899997)",
SOUTH CAROLINA,2015,30,2,,7,,32,,295,,290,,,-,0,,3,,13,,19,,,-,1,,3,,29,,25,,"SOUTH CAROLINA
(33.99882216300006, -81.04536596899999)",
NORTH DAKOTA,2015,30,,-,2,,6,,57,,49,,,-,0,,1,,5,,2,,,-,0,,1,,1,,3,,"NORTH DAKOTA
(47.475318609000055, -100.11842789099995)",
ALABAMA,2015,30,,-,4,,16,,168,,131,,,-,0,,2,,18,,10,,,-,1,,6,,40,,37,,"ALABAMA
(32.84057234800002, -86.63185738799996)",
RHODE ISLAND,2015,30,1,,1,,8,,41,,43,,,-,0,,2,,1,,1,,,-,0,,4,,8,,11,,"RHODE ISLAND
(41.70828106100004, -71.52246566099996)",
NORTH CAROLINA,2015,30,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,5,,3,,21,,91,,78,,"NORTH CAROLINA
(35.466220159000045, -79.15924997399998)",
LOUISIANA,2015,30,6,,5,,16,,196,,269,,2,,0,,4,,13,,14,,,-,1,,4,,24,,28,,"LOUISIANA
(31.312663324000027, -92.44567750499994)",
HAWAII,2015,30,,-,1,,4,,36,,65,,,-,0,,1,,2,,7,,,-,0,,1,,5,,3,,"HAWAII
(21.30485232600006, -157.85774798099996)",
ILLINOIS,2015,30,,N,0,,0,,,N,,N,,-,0,,3,,17,,,-,,-,3,,16,,86,,122,,"ILLINOIS
(40.48501223300008, -88.99770922699997)",
MISSISSIPPI,2015,30,,-,5,,16,,127,,144,,,-,0,,3,,13,,14,,,-,0,,3,,17,,18,,"MISSISSIPPI
(32.745513440000025, -89.53802722999995)",
FLORIDA,2015,30,3,,8,,17,,265,,633,,1,,1,,6,,36,,53,,5,,6,,11,,155,,141,,"FLORIDA
(28.932042722000062, -81.92895768899996)",
OKLAHOMA,2015,30,,N,0,,0,,,N,,N,1,,0,,2,,11,,17,,9,,0,,10,,25,,9,,"OKLAHOMA
(35.472030747000076, -97.52106835299998)",
MARYLAND,2015,30,5,,7,,24,,293,,293,,,-,0,,3,,16,,18,,3,,2,,9,,76,,66,,"MARYLAND
(39.290582950000044, -76.60925984299996)",
NEBRASKA,2015,30,,-,2,,8,,85,,87,,,-,0,,4,,4,,7,,1,,0,,3,,10,,8,,"NEBRASKA
(41.64104362100005, -99.36571888999998)",
NEW JERSEY,2015,30,,-,8,,27,,254,,329,,,-,0,,2,,7,,26,,,-,2,,9,,45,,100,,"NEW JERSEY
(40.130570807000026, -74.27368796999997)",
GEORGIA,2015,30,2,,15,,44,,500,,552,,,-,1,,4,,32,,30,,,-,1,,5,,43,,57,,"GEORGIA
(32.839683200000024, -83.62757885599996)",
MAINE,2015,30,3,,2,,7,,90,,95,,,-,0,,1,,3,,5,,,-,0,,4,,7,,6,,"MAINE
(45.25422910300006, -68.98502586699993)",
GUAM,2015,30,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.480998894000038, 144.73149801400007)",
PENNSYLVANIA,2015,30,3,,10,,23,,296,,,N,,-,0,,2,,16,,,N,7,,5,,17,,149,,166,,"PENNSYLVANIA
(40.79373362300004, -77.86069690799997)",
WASHINGTON,2015,30,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,2,,0,,11,,25,,21,,"WASHINGTON
(47.52228790000004, -120.47002813699999)",
MONTANA,2015,30,,-,1,,5,,39,,24,,,-,0,,1,,,-,,-,1,,0,,1,,4,,2,,"MONTANA
(47.06652795700006, -109.42441587999997)",
IOWA,2015,30,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,-,1,,3,,18,,16,,"IOWA
(42.469401411000035, -93.81648725599996)",
KENTUCKY,2015,30,,-,4,,10,,133,,121,,,-,0,,1,,3,,9,,2,,2,,6,,43,,41,,"KENTUCKY
(37.64597313300004, -84.77496771599994)",
