Reporting Area,MMWR Year,MMWR Week,"Hepatitis (viral, acute), type A, Current week","Hepatitis (viral, acute), type A, Current week, flag ","Hepatitis (viral, acute), type A, Previous 52 weeks Med","Hepatitis (viral, acute), type A, Previous 52 weeks Med, flag","Hepatitis (viral, acute), type A, Previous 52 weeks Max","Hepatitis (viral, acute), type A, Previous 52 weeks Max, flag","Hepatitis (viral, acute), type A, Cum 2014","Hepatitis (viral, acute), type A, Cum 2014, flag","Hepatitis (viral, acute), type A, Cum 2013","Hepatitis (viral, acute), type A, Cum 2013, flag","Hepatitis (viral, acute), type B, Current week","Hepatitis (viral, acute), type B, Current week, flag","Hepatitis (viral, acute), type B, Previous 52 weeks Med","Hepatitis (viral, acute), type B, Previous 52 weeks Med, flag","Hepatitis (viral, acute), type B, Previous 52 weeks Max","Hepatitis (viral, acute), type B, Previous 52 weeks Max, flag","Hepatitis (viral, acute), type B, Cum 2014","Hepatitis (viral, acute), type B, Cum 2014, flag","Hepatitis (viral, acute), type B, Cum 2013","Hepatitis (viral, acute), type B, Cum 2013, flag","Hepatitis (viral, acute), type C, Current week","Hepatitis (viral, acute), type C, Current week, flag","Hepatitis (viral, acute), type C, Previous 52 weeks Med","Hepatitis (viral, acute), type C, Previous 52 weeks Med, flag","Hepatitis (viral, acute), type C, Previous 52 weeks Max","Hepatitis (viral, acute), type C, Previous 52 weeks Max, flag","Hepatitis (viral, acute), type C, Cum 2014","Hepatitis (viral, acute), type C, Cum 2014, flag","Hepatitis (viral, acute), type C, Cum 2013","Hepatitis (viral, acute), type C, Cum 2013, flag",Location 1,Location 2
PACIFIC,2014,11,1,,6,,18,,27,,43,,2,,3,,12,,19,,38,,4,,3,,8,,23,,26,,,
OHIO,2014,11,,-,1,,4,,6,,18,,2,,4,,11,,56,,34,,,-,1,,24,,35,,7,,"OHIO
(40.06021029700048, -82.40425685299965)",
NEW YORK,2014,11,1,,1,,5,,3,,9,,,-,1,,3,,6,,7,,,-,2,,10,,14,,18,,"NEW YORK
(42.82700023900048, -75.54396639699968)",
DELAWARE,2014,11,,-,0,,1,,,-,1,,,-,0,,1,,,-,3,,,U,0,,0,,,U,,U,"DELAWARE
(39.00883351400046, -75.57773943699965)",
CALIFORNIA,2014,11,,-,4,,17,,22,,31,,,-,2,,6,,9,,27,,,-,1,,5,,4,,19,,"CALIFORNIA
(37.638640488000476, -120.99999889499969)",
ILLINOIS,2014,11,,-,1,,5,,6,,11,,,-,1,,6,,6,,22,,,-,0,,4,,2,,9,,"ILLINOIS
(40.48501278700047, -88.99770813999965)",
C.N.M.I.,2014,11,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"C.N.M.I.
(39.52368635500045, -99.11415045099966)",
IOWA,2014,11,,-,0,,3,,1,,1,,,-,0,,2,,,-,3,,,-,0,,0,,,-,,-,"IOWA
(42.469404401000475, -93.81648936699969)",
WEST VIRGINIA,2014,11,,-,0,,1,,1,,1,,,-,4,,8,,37,,35,,,-,0,,6,,2,,12,,"WEST VIRGINIA
(38.665511497000466, -80.71263935099967)",
UTAH,2014,11,,-,0,,2,,1,,1,,,-,0,,1,,1,,1,,,-,0,,1,,,-,2,,"UTAH
(39.36070374600047, -111.5871285339997)",
NORTH CAROLINA,2014,11,,-,0,,4,,3,,16,,2,,0,,16,,14,,11,,,-,1,,15,,15,,6,,"NORTH CAROLINA
(35.46622388600048, -79.15924924699965)",
HAWAII,2014,11,,-,0,,4,,,-,2,,,-,0,,1,,1,,2,,,-,0,,0,,,-,,-,"HAWAII
(21.30485166200043, -157.85774691599974)",
OKLAHOMA,2014,11,,-,0,,4,,1,,,-,,-,0,,4,,2,,3,,,-,0,,5,,6,,3,,"OKLAHOMA
(35.472034350000456, -97.52106845499969)",
AMER. SAMOA,2014,11,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"AMER. SAMOA
(39.52368635500045, -99.11415045099966)",
VERMONT,2014,11,,-,0,,2,,2,,1,,,-,0,,1,,1,,,-,,-,0,,1,,,-,1,,"VERMONT
(43.62538292400046, -72.51763944499965)",
MISSOURI,2014,11,,-,0,,2,,5,,2,,,-,1,,4,,6,,11,,,-,0,,4,,2,,4,,"MISSOURI
(38.63579372300046, -92.56629737199967)",
PENNSYLVANIA,2014,11,,-,1,,3,,6,,12,,,-,1,,4,,15,,13,,,-,1,,6,,16,,18,,"PENNSYLVANIA
(40.79373106100047, -77.86069775999965)",
LOUISIANA,2014,11,,-,0,,1,,1,,5,,,-,1,,8,,6,,10,,,-,0,,2,,1,,4,,"LOUISIANA
(31.312662564000448, -92.44567554599968)",
NEW JERSEY,2014,11,,-,0,,2,,2,,6,,,-,0,,3,,1,,13,,,-,0,,3,,2,,9,,"NEW JERSEY
(40.1305700530005, -74.27368565099965)",
MICHIGAN,2014,11,,-,1,,5,,8,,28,,,-,1,,3,,9,,15,,,-,1,,5,,10,,14,,"MICHIGAN
(44.66131575600048, -84.71438724399968)",
GEORGIA,2014,11,,-,1,,3,,8,,16,,,-,2,,6,,22,,28,,,-,0,,3,,1,,10,,"GEORGIA
(32.83968004200045, -83.62757601199968)",
MISSISSIPPI,2014,11,,-,0,,1,,2,,1,,,-,0,,4,,3,,13,,,U,0,,0,,,U,,U,"MISSISSIPPI
(32.74551123200047, -89.53802764499966)",
MAINE,2014,11,,-,0,,2,,,-,3,,,-,0,,1,,1,,4,,,-,0,,2,,5,,2,,"MAINE
(45.254228663000504, -68.98502952999962)",
MARYLAND,2014,11,,-,0,,4,,1,,4,,,-,1,,3,,4,,11,,1,,0,,3,,4,,16,,"MARYLAND
(39.2905806980005, -76.60925970899967)",
NEW MEXICO,2014,11,,-,0,,2,,1,,1,,,-,0,,1,,,-,1,,,-,0,,1,,,-,1,,"NEW MEXICO
(34.52088247800049, -106.24057768899968)",
WYOMING,2014,11,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"WYOMING
(43.23554147100049, -108.10982744299969)",
NEW HAMPSHIRE,2014,11,,-,0,,1,,1,,,-,,-,0,,2,,,-,,-,,N,0,,0,,,N,,N,"NEW HAMPSHIRE
(43.6559537330005, -71.50035726399966)",
NORTH DAKOTA,2014,11,,-,0,,2,,1,,2,,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,"NORTH DAKOTA
(47.47531738700047, -100.11842599699969)",
TENNESSEE,2014,11,,-,0,,2,,3,,5,,4,,5,,11,,44,,60,,2,,2,,7,,15,,21,,"TENNESSEE
(35.680943063000484, -85.77448642199965)",
COLORADO,2014,11,,-,0,,8,,1,,5,,,-,0,,3,,,-,3,,,-,0,,2,,3,,2,,"COLORADO
(38.84384047000049, -106.13360888799969)",
FLORIDA,2014,11,3,,2,,7,,21,,8,,4,,6,,13,,58,,57,,4,,2,,7,,13,,22,,"FLORIDA
(28.932042899000464, -81.92895558499964)",
RHODE ISLAND,2014,11,,-,0,,1,,2,,,-,,U,0,,0,,,U,,U,,U,0,,0,,,U,,U,"RHODE ISLAND
(41.70828281900049, -71.52246918099962)",
IDAHO,2014,11,,-,0,,2,,,-,2,,,-,0,,2,,,-,2,,,-,0,,1,,1,,3,,"IDAHO
(43.682630058000484, -114.3637261449997)",
ALABAMA,2014,11,,-,0,,2,,2,,,-,,-,1,,5,,17,,19,,,-,0,,5,,3,,2,,"ALABAMA
(32.84057327200048, -86.63185803899967)",
CONNECTICUT,2014,11,,-,0,,3,,6,,3,,,-,0,,2,,3,,,-,,-,0,,1,,1,,,-,"CONNECTICUT
(41.56266394200048, -72.64983753699966)",
WASHINGTON,2014,11,1,,0,,5,,2,,4,,2,,0,,9,,4,,,-,4,,1,,7,,15,,5,,"WASHINGTON
(47.522287905000496, -120.47002746299972)",
KENTUCKY,2014,11,,-,0,,2,,2,,9,,,-,4,,8,,19,,32,,1,,4,,10,,34,,57,,"KENTUCKY
(37.645973909000475, -84.77496612599964)",
OREGON,2014,11,,-,0,,3,,3,,5,,,-,0,,4,,5,,8,,,-,0,,2,,4,,2,,"OREGON
(44.567446178000466, -120.15502977999972)",
ALASKA,2014,11,,-,0,,0,,,-,1,,,-,0,,0,,,-,1,,,-,0,,0,,,-,,-,"ALASKA
(64.84507923900048, -147.72205669099972)",
KANSAS,2014,11,,-,0,,3,,2,,1,,,-,0,,1,,1,,5,,,-,0,,3,,4,,5,,"KANSAS
(38.34774033400049, -98.20077655499966)",
ARIZONA,2014,11,,-,1,,6,,3,,7,,,-,0,,2,,3,,7,,,U,0,,0,,,U,,U,"ARIZONA
(34.865973091000455, -111.76380949799972)",
VIRGIN ISL.,2014,11,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISL.
(39.52368635500045, -99.11415045099966)",
SOUTH CAROLINA,2014,11,,-,0,,1,,1,,2,,,-,1,,5,,4,,7,,,-,0,,0,,,-,,-,"SOUTH CAROLINA
(33.99882060100049, -81.04536765699964)",
ARKANSAS,2014,11,,-,0,,2,,,-,,-,,-,0,,3,,3,,12,,1,,0,,5,,2,,2,,"ARKANSAS
(34.748651751000466, -92.27448794899965)",
TEXAS,2014,11,2,,2,,8,,17,,13,,4,,2,,10,,13,,23,,,-,0,,4,,,-,6,,"TEXAS
(31.827243635000457, -99.4267664729997)",
WISCONSIN,2014,11,,-,0,,3,,,-,5,,,-,0,,2,,3,,3,,,-,1,,3,,4,,8,,"WISCONSIN
(44.3931903350005, -89.81636715299965)",
GUAM,2014,11,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.355173397000442, 144.70297250000056)",
SOUTH DAKOTA,2014,11,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"SOUTH DAKOTA
(44.35313342000046, -100.37352811899967)",
INDIANA,2014,11,,-,0,,2,,1,,4,,,-,2,,6,,15,,17,,,-,3,,8,,6,,14,,"INDIANA
(39.76691364600049, -86.14995579899966)",
VIRGINIA,2014,11,1,,0,,3,,6,,11,,2,,1,,5,,7,,15,,,-,0,,5,,5,,4,,"VIRGINIA
(37.54268075100049, -78.45788924199968)",
NEBRASKA,2014,11,,-,0,,2,,1,,5,,,-,0,,2,,2,,,-,,-,0,,1,,,-,,-,"NEBRASKA
(41.64104043900045, -99.36571864599966)",
MINNESOTA,2014,11,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MINNESOTA
(46.35564867700049, -94.79419697699967)",
NEW YORK CITY,2014,11,,-,1,,7,,13,,12,,2,,1,,4,,12,,15,,,-,0,,1,,2,,1,,"NEW YORK CITY
(40.71426755700048, -74.00596858999967)",
NEVADA,2014,11,,-,0,,3,,1,,1,,,-,0,,3,,3,,4,,,-,0,,2,,1,,2,,"NEVADA
(39.49324126500045, -117.07183978499972)",
MASSACHUSETTS,2014,11,,-,0,,3,,5,,10,,,-,1,,5,,3,,13,,,-,3,,7,,11,,38,,"MASSACHUSETTS
(42.27687306500047, -72.08268985899963)",
DIST. OF COL.,2014,11,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"DIST. OF COL.
(39.52368635500045, -99.11415045099966)",
MONTANA,2014,11,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,2,,,-,1,,"MONTANA
(47.066526051000494, -109.42441687999968)",
PUERTO RICO,2014,11,,-,0,,2,,1,,3,,,-,0,,6,,,-,10,,,N,0,,0,,,N,,N,"PUERTO RICO
(26.649497232000442, -98.34556876399967)",
UNITED STATES,2014,12,9,,30,,56,,193,,306,,18,,55,,76,,472,,608,,14,,34,,56,,275,,376,,,
NEW ENGLAND,2014,12,,-,1,,6,,16,,19,,,-,1,,5,,8,,17,,,-,3,,8,,21,,43,,,
MID. ATLANTIC,2014,12,3,,3,,12,,28,,43,,,-,3,,10,,35,,53,,2,,4,,11,,38,,51,,,
E.N. CENTRAL,2014,12,,-,5,,12,,23,,73,,3,,9,,16,,100,,95,,1,,7,,30,,59,,61,,,
W.N. CENTRAL,2014,12,,-,1,,6,,11,,11,,,-,2,,5,,9,,20,,,-,0,,5,,6,,9,,,
S. ATLANTIC,2014,12,4,,5,,15,,46,,59,,11,,17,,26,,165,,179,,8,,6,,21,,55,,71,,,
E.S. CENTRAL,2014,12,1,,1,,4,,10,,15,,3,,12,,17,,102,,131,,1,,6,,14,,56,,84,,,
W.S. CENTRAL,2014,12,,-,3,,9,,20,,19,,,-,5,,13,,26,,53,,1,,1,,9,,10,,17,,,
MOUNTAIN,2014,12,1,,2,,16,,11,,20,,,-,1,,4,,7,,20,,,-,1,,5,,5,,13,,,
PACIFIC,2014,12,,-,6,,19,,28,,47,,1,,4,,15,,20,,40,,1,,3,,8,,25,,27,,,
GUAM,2014,12,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.355173397000442, 144.70297250000056)",
TEXAS,2014,12,,-,2,,8,,18,,14,,,-,2,,10,,13,,26,,,-,0,,4,,,-,7,,"TEXAS
(31.827243635000457, -99.4267664729997)",
INDIANA,2014,12,,-,0,,2,,1,,4,,,-,2,,6,,21,,19,,,-,3,,8,,6,,22,,"INDIANA
(39.76691364600049, -86.14995579899966)",
COLORADO,2014,12,,-,0,,8,,1,,7,,,-,0,,3,,,-,3,,,-,0,,2,,3,,3,,"COLORADO
(38.84384047000049, -106.13360888799969)",
DELAWARE,2014,12,,-,0,,1,,,-,1,,,-,0,,1,,,-,4,,,U,0,,0,,,U,,U,"DELAWARE
(39.00883351400046, -75.57773943699965)",
KENTUCKY,2014,12,,-,0,,2,,2,,9,,,-,4,,8,,26,,35,,,-,4,,10,,37,,60,,"KENTUCKY
(37.645973909000475, -84.77496612599964)",
MISSOURI,2014,12,,-,0,,2,,5,,2,,,-,1,,4,,6,,12,,,-,0,,4,,2,,4,,"MISSOURI
(38.63579372300046, -92.56629737199967)",
DIST. OF COL.,2014,12,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"DIST. OF COL.
(39.52368635500045, -99.11415045099966)",
NEW JERSEY,2014,12,,-,0,,2,,3,,8,,,-,0,,3,,1,,14,,,-,0,,3,,3,,10,,"NEW JERSEY
(40.1305700530005, -74.27368565099965)",
ALASKA,2014,12,,-,0,,0,,,-,1,,,-,0,,0,,,-,1,,,-,0,,0,,,-,,-,"ALASKA
(64.84507923900048, -147.72205669099972)",
UTAH,2014,12,1,,0,,2,,3,,1,,,-,0,,1,,1,,1,,,-,0,,1,,,-,3,,"UTAH
(39.36070374600047, -111.5871285339997)",
MICHIGAN,2014,12,,-,1,,5,,8,,31,,,-,1,,3,,11,,15,,1,,1,,5,,12,,14,,"MICHIGAN
(44.66131575600048, -84.71438724399968)",
WYOMING,2014,12,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"WYOMING
(43.23554147100049, -108.10982744299969)",
NEW YORK CITY,2014,12,,-,1,,7,,13,,12,,,-,1,,4,,12,,16,,,-,0,,1,,2,,1,,"NEW YORK CITY
(40.71426755700048, -74.00596858999967)",
MINNESOTA,2014,12,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MINNESOTA
(46.35564867700049, -94.79419697699967)",
NORTH CAROLINA,2014,12,,-,0,,4,,3,,16,,5,,0,,16,,20,,13,,,-,1,,15,,15,,7,,"NORTH CAROLINA
(35.46622388600048, -79.15924924699965)",
PENNSYLVANIA,2014,12,1,,1,,3,,7,,13,,,-,1,,4,,16,,14,,,-,1,,6,,16,,19,,"PENNSYLVANIA
(40.79373106100047, -77.86069775999965)",
VIRGIN ISL.,2014,12,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISL.
(39.52368635500045, -99.11415045099966)",
SOUTH DAKOTA,2014,12,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"SOUTH DAKOTA
(44.35313342000046, -100.37352811899967)",
MASSACHUSETTS,2014,12,,-,0,,3,,5,,10,,,-,1,,5,,3,,13,,,-,3,,7,,14,,40,,"MASSACHUSETTS
(42.27687306500047, -72.08268985899963)",
C.N.M.I.,2014,12,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"C.N.M.I.
(39.52368635500045, -99.11415045099966)",
NEVADA,2014,12,,-,0,,3,,1,,1,,,-,0,,3,,3,,6,,,-,0,,2,,1,,2,,"NEVADA
(39.49324126500045, -117.07183978499972)",
FLORIDA,2014,12,4,,2,,7,,25,,8,,6,,6,,13,,65,,60,,6,,2,,7,,20,,22,,"FLORIDA
(28.932042899000464, -81.92895558499964)",
ILLINOIS,2014,12,,-,1,,5,,8,,12,,,-,1,,6,,6,,24,,,-,0,,4,,3,,9,,"ILLINOIS
(40.48501278700047, -88.99770813999965)",
OKLAHOMA,2014,12,,-,0,,4,,1,,,-,,-,0,,4,,2,,3,,,-,0,,5,,6,,3,,"OKLAHOMA
(35.472034350000456, -97.52106845499969)",
MAINE,2014,12,,-,0,,2,,,-,3,,,-,0,,1,,1,,4,,,-,0,,2,,7,,2,,"MAINE
(45.254228663000504, -68.98502952999962)",
MISSISSIPPI,2014,12,,-,0,,1,,2,,1,,,-,0,,4,,4,,13,,,U,0,,0,,,U,,U,"MISSISSIPPI
(32.74551123200047, -89.53802764499966)",
MARYLAND,2014,12,,-,0,,4,,2,,4,,,-,1,,3,,5,,12,,,-,1,,3,,4,,16,,"MARYLAND
(39.2905806980005, -76.60925970899967)",
AMER. SAMOA,2014,12,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"AMER. SAMOA
(39.52368635500045, -99.11415045099966)",
TENNESSEE,2014,12,1,,0,,2,,4,,5,,3,,5,,11,,50,,62,,1,,2,,7,,16,,21,,"TENNESSEE
(35.680943063000484, -85.77448642199965)",
PUERTO RICO,2014,12,,-,0,,2,,1,,4,,,-,0,,6,,,-,16,,,N,0,,0,,,N,,N,"PUERTO RICO
(26.649497232000442, -98.34556876399967)",
IDAHO,2014,12,,-,0,,1,,,-,2,,,-,0,,2,,,-,2,,,-,0,,1,,1,,3,,"IDAHO
(43.682630058000484, -114.3637261449997)",
NEW MEXICO,2014,12,,-,0,,2,,3,,1,,,-,0,,1,,,-,1,,,-,0,,1,,,-,1,,"NEW MEXICO
(34.52088247800049, -106.24057768899968)",
GEORGIA,2014,12,,-,1,,3,,8,,16,,,-,2,,6,,22,,30,,,-,0,,3,,1,,10,,"GEORGIA
(32.83968004200045, -83.62757601199968)",
VERMONT,2014,12,,-,0,,2,,2,,1,,,-,0,,1,,1,,,-,,-,0,,1,,,-,1,,"VERMONT
(43.62538292400046, -72.51763944499965)",
HAWAII,2014,12,,-,0,,4,,,-,2,,,-,0,,1,,1,,2,,,-,0,,0,,,-,,-,"HAWAII
(21.30485166200043, -157.85774691599974)",
WEST VIRGINIA,2014,12,,-,0,,1,,1,,1,,,-,4,,8,,41,,36,,1,,0,,6,,9,,12,,"WEST VIRGINIA
(38.665511497000466, -80.71263935099967)",
NEBRASKA,2014,12,,-,0,,2,,1,,5,,,-,0,,2,,2,,,-,,-,0,,1,,,-,,-,"NEBRASKA
(41.64104043900045, -99.36571864599966)",
OREGON,2014,12,,-,0,,3,,3,,5,,1,,0,,4,,6,,8,,,-,0,,2,,5,,3,,"OREGON
(44.567446178000466, -120.15502977999972)",
NEW YORK,2014,12,2,,1,,5,,5,,10,,,-,1,,3,,6,,9,,2,,2,,10,,17,,21,,"NEW YORK
(42.82700023900048, -75.54396639699968)",
WISCONSIN,2014,12,,-,0,,3,,,-,8,,1,,0,,2,,4,,3,,,-,1,,3,,5,,9,,"WISCONSIN
(44.3931903350005, -89.81636715299965)",
MONTANA,2014,12,,-,0,,1,,,-,1,,,-,0,,1,,,-,,-,,-,0,,2,,,-,1,,"MONTANA
(47.066526051000494, -109.42441687999968)",
OHIO,2014,12,,-,1,,4,,6,,18,,2,,4,,11,,58,,34,,,-,1,,24,,33,,7,,"OHIO
(40.06021029700048, -82.40425685299965)",
CONNECTICUT,2014,12,,-,0,,3,,6,,4,,,-,0,,2,,3,,,-,,-,0,,0,,,-,,-,"CONNECTICUT
(41.56266394200048, -72.64983753699966)",
SOUTH CAROLINA,2014,12,,-,0,,1,,1,,2,,,-,1,,5,,4,,8,,,-,0,,0,,,-,,-,"SOUTH CAROLINA
(33.99882060100049, -81.04536765699964)",
LOUISIANA,2014,12,,-,0,,1,,1,,5,,,-,1,,8,,8,,10,,,-,0,,2,,1,,4,,"LOUISIANA
(31.312662564000448, -92.44567554599968)",
IOWA,2014,12,,-,0,,3,,1,,1,,,-,0,,2,,,-,3,,,-,0,,0,,,-,,-,"IOWA
(42.469404401000475, -93.81648936699969)",
KANSAS,2014,12,,-,0,,3,,2,,1,,,-,0,,1,,1,,5,,,-,0,,3,,4,,5,,"KANSAS
(38.34774033400049, -98.20077655499966)",
NORTH DAKOTA,2014,12,,-,0,,2,,2,,2,,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,"NORTH DAKOTA
(47.47531738700047, -100.11842599699969)",
VIRGINIA,2014,12,,-,0,,3,,6,,11,,,-,1,,5,,8,,16,,1,,0,,5,,6,,4,,"VIRGINIA
(37.54268075100049, -78.45788924199968)",
CALIFORNIA,2014,12,,-,4,,18,,23,,33,,,-,2,,6,,9,,28,,,-,1,,5,,4,,19,,"CALIFORNIA
(37.638640488000476, -120.99999889499969)",
ARKANSAS,2014,12,,-,0,,2,,,-,,-,,-,1,,3,,3,,14,,1,,0,,5,,3,,3,,"ARKANSAS
(34.748651751000466, -92.27448794899965)",
ALABAMA,2014,12,,-,0,,2,,2,,,-,,-,1,,5,,22,,21,,,-,0,,5,,3,,3,,"ALABAMA
(32.84057327200048, -86.63185803899967)",
RHODE ISLAND,2014,12,,-,0,,1,,2,,,-,,U,0,,0,,,U,,U,,U,0,,0,,,U,,U,"RHODE ISLAND
(41.70828281900049, -71.52246918099962)",
NEW HAMPSHIRE,2014,12,,-,0,,1,,1,,1,,,-,0,,2,,,-,,-,,N,0,,0,,,N,,N,"NEW HAMPSHIRE
(43.6559537330005, -71.50035726399966)",
WASHINGTON,2014,12,,-,0,,5,,2,,6,,,-,0,,10,,4,,1,,1,,1,,7,,16,,5,,"WASHINGTON
(47.522287905000496, -120.47002746299972)",
ARIZONA,2014,12,,-,1,,6,,3,,7,,,-,0,,2,,3,,7,,,U,0,,0,,,U,,U,"ARIZONA
(34.865973091000455, -111.76380949799972)",
UNITED STATES,2014,13,10,,30,,56,,211,,329,,33,,55,,75,,534,,658,,20,,35,,60,,321,,428,,,
NEW ENGLAND,2014,13,,-,1,,6,,17,,19,,,-,1,,7,,11,,17,,,-,3,,8,,23,,46,,,
MID. ATLANTIC,2014,13,2,,3,,12,,32,,49,,1,,3,,10,,37,,53,,5,,4,,11,,51,,55,,,
E.N. CENTRAL,2014,13,,-,5,,12,,25,,77,,7,,9,,16,,109,,103,,5,,7,,35,,68,,73,,,
W.N. CENTRAL,2014,13,,-,1,,6,,11,,11,,1,,2,,5,,11,,20,,,-,0,,5,,6,,9,,,
S. ATLANTIC,2014,13,5,,5,,15,,52,,66,,14,,17,,26,,185,,205,,5,,7,,21,,63,,86,,,
E.S. CENTRAL,2014,13,,-,1,,4,,11,,16,,2,,12,,17,,118,,142,,2,,6,,13,,60,,92,,,
W.S. CENTRAL,2014,13,2,,3,,9,,22,,22,,5,,5,,14,,31,,56,,1,,1,,9,,13,,22,,,
MOUNTAIN,2014,13,,-,2,,16,,11,,21,,,-,1,,4,,8,,21,,,-,1,,5,,8,,13,,,
PACIFIC,2014,13,1,,6,,19,,30,,48,,3,,3,,15,,24,,41,,2,,3,,8,,29,,32,,,
ALABAMA,2014,13,,-,0,,2,,2,,,-,,-,2,,5,,29,,24,,,-,0,,5,,3,,4,,"ALABAMA
(32.84057327200048, -86.63185803899967)",
AMER. SAMOA,2014,13,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"AMER. SAMOA
(39.52368635500045, -99.11415045099966)",
HAWAII,2014,13,,-,0,,4,,,-,2,,,-,0,,1,,1,,2,,,-,0,,0,,,-,,-,"HAWAII
(21.30485166200043, -157.85774691599974)",
ILLINOIS,2014,13,,-,1,,5,,8,,13,,,-,1,,6,,6,,25,,,-,0,,4,,3,,9,,"ILLINOIS
(40.48501278700047, -88.99770813999965)",
MISSISSIPPI,2014,13,,-,0,,1,,2,,1,,,-,0,,4,,6,,14,,,U,0,,0,,,U,,U,"MISSISSIPPI
(32.74551123200047, -89.53802764499966)",
WASHINGTON,2014,13,1,,0,,5,,3,,6,,3,,0,,10,,7,,1,,2,,1,,7,,18,,9,,"WASHINGTON
(47.522287905000496, -120.47002746299972)",
WEST VIRGINIA,2014,13,,-,0,,1,,1,,1,,,-,4,,8,,44,,41,,,-,1,,6,,9,,13,,"WEST VIRGINIA
(38.665511497000466, -80.71263935099967)",
NEW JERSEY,2014,13,,-,0,,2,,3,,8,,,-,0,,3,,1,,14,,,-,0,,3,,6,,10,,"NEW JERSEY
(40.1305700530005, -74.27368565099965)",
MINNESOTA,2014,13,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MINNESOTA
(46.35564867700049, -94.79419697699967)",
GEORGIA,2014,13,2,,1,,3,,11,,16,,2,,2,,6,,27,,34,,,-,0,,3,,3,,11,,"GEORGIA
(32.83968004200045, -83.62757601199968)",
COLORADO,2014,13,,-,0,,8,,1,,7,,,-,0,,3,,,-,3,,,-,0,,2,,3,,3,,"COLORADO
(38.84384047000049, -106.13360888799969)",
VIRGIN ISL.,2014,13,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISL.
(39.52368635500045, -99.11415045099966)",
MONTANA,2014,13,,-,0,,1,,,-,1,,,-,0,,1,,,-,,-,,-,0,,2,,,-,1,,"MONTANA
(47.066526051000494, -109.42441687999968)",
DIST. OF COL.,2014,13,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"DIST. OF COL.
(39.52368635500045, -99.11415045099966)",
GUAM,2014,13,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.355173397000442, 144.70297250000056)",
VERMONT,2014,13,,-,0,,2,,2,,1,,,-,0,,1,,1,,,-,,-,0,,1,,,-,2,,"VERMONT
(43.62538292400046, -72.51763944499965)",
PENNSYLVANIA,2014,13,,-,1,,3,,8,,15,,,-,1,,4,,16,,14,,3,,1,,6,,20,,21,,"PENNSYLVANIA
(40.79373106100047, -77.86069775999965)",
IDAHO,2014,13,,-,0,,1,,,-,2,,,-,0,,2,,,-,2,,,-,0,,1,,1,,3,,"IDAHO
(43.682630058000484, -114.3637261449997)",
WISCONSIN,2014,13,,-,0,,3,,,-,8,,,-,0,,2,,4,,3,,,-,1,,3,,5,,12,,"WISCONSIN
(44.3931903350005, -89.81636715299965)",
WYOMING,2014,13,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"WYOMING
(43.23554147100049, -108.10982744299969)",
NEVADA,2014,13,,-,0,,3,,1,,1,,,-,0,,3,,4,,7,,,-,0,,2,,1,,2,,"NEVADA
(39.49324126500045, -117.07183978499972)",
TENNESSEE,2014,13,,-,0,,2,,5,,5,,2,,5,,10,,57,,68,,2,,2,,7,,20,,24,,"TENNESSEE
(35.680943063000484, -85.77448642199965)",
