Reporting Area,MMWR Year,MMWR Week,"Salmonellosis, Current week","Salmonellosis, Current week, flag","Salmonellosis, Previous 52 weeks Med","Salmonellosis, Previous 52 weeks Med, flag","Salmonellosis, Previous 52 weeks Max","Salmonellosis, Previous 52 weeks Max, flag","Salmonellosis, Cum 2014","Salmonellosis, Cum 2014, flag","Salmonellosis, Cum 2013","Salmonellosis, Cum 2013, flag","Shiga toxin-producing E. coli (STEC)†, Current week","Shiga toxin-producing E. coli (STEC)†, Current week, flag","Shiga toxin-producing E. coli (STEC)†, Previous 52 weeks Med","Shiga toxin-producing E. coli (STEC)†, Previous 52 weeks Med, flag","Shiga toxin-producing E. coli (STEC)†, Previous 52 weeks Max","Shiga toxin-producing E. coli (STEC)†, Previous 52 weeks Max, flag","Shiga toxin-producing E. coli (STEC)†, Cum 2014","Shiga toxin-producing E. coli (STEC)†, Cum 2014, flag","Shiga toxin-producing E. coli (STEC)†, Cum 2013","Shiga toxin-producing E. coli (STEC)†, Cum 2013, flag","Shigellosis, Current week","Shigellosis, Current week, flag","Shigellosis, Previous 52 weeks Med","Shigellosis, Previous 52 weeks Med, flag","Shigellosis, Previous 52 weeks Max","Shigellosis, Previous 52 weeks Max, flag","Shigellosis, Cum 2014","Shigellosis, Cum 2014, flag","Shigellosis, Cum 2013","Shigellosis, Cum 2013, flag",Location 1,Location 2
WISCONSIN,2014,8,,-,13,,29,,10,,88,,,-,2,,12,,1,,28,,,-,0,,3,,3,,8,,"WISCONSIN
(44.3931903350005, -89.81636715299965)",
NEW YORK CITY,2014,8,18,,20,,52,,105,,111,,1,,2,,8,,5,,10,,7,,5,,14,,35,,51,,"NEW YORK CITY
(40.71426755700048, -74.00596858999967)",
OHIO,2014,8,10,,23,,42,,129,,93,,3,,4,,15,,13,,16,,2,,9,,28,,68,,243,,"OHIO
(40.06021029700048, -82.40425685299965)",
MINNESOTA,2014,8,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MINNESOTA
(46.35564867700049, -94.79419697699967)",
HAWAII,2014,8,1,,7,,13,,41,,22,,,-,0,,5,,2,,6,,,-,0,,6,,3,,13,,"HAWAII
(21.30485166200043, -157.85774691599974)",
IOWA,2014,8,1,,10,,36,,37,,48,,,-,2,,14,,4,,11,,2,,3,,43,,41,,9,,"IOWA
(42.469404401000475, -93.81648936699969)",
FLORIDA,2014,8,50,,105,,226,,566,,470,,4,,3,,7,,26,,13,,35,,20,,46,,195,,53,,"FLORIDA
(28.932042899000464, -81.92895558499964)",
ARIZONA,2014,8,,-,19,,33,,53,,77,,,-,2,,45,,,-,13,,2,,7,,28,,32,,33,,"ARIZONA
(34.865973091000455, -111.76380949799972)",
DIST. OF COL.,2014,8,,-,0,,3,,,-,6,,,-,0,,1,,,-,1,,,-,0,,2,,,-,3,,"DIST. OF COL.
(39.52368635500045, -99.11415045099966)",
WYOMING,2014,8,,-,1,,4,,2,,3,,,-,0,,7,,,-,,-,,-,0,,2,,2,,1,,"WYOMING
(43.23554147100049, -108.10982744299969)",
MISSISSIPPI,2014,8,,-,13,,41,,40,,52,,,-,0,,4,,1,,4,,,-,4,,13,,22,,26,,"MISSISSIPPI
(32.74551123200047, -89.53802764499966)",
MONTANA,2014,8,1,,2,,9,,13,,10,,,-,1,,5,,1,,1,,,-,1,,10,,3,,,-,"MONTANA
(47.066526051000494, -109.42441687999968)",
TEXAS,2014,8,17,,72,,372,,144,,208,,10,,10,,29,,71,,29,,21,,28,,232,,130,,119,,"TEXAS
(31.827243635000457, -99.4267664729997)",
WASHINGTON,2014,8,13,,10,,67,,24,,37,,,-,3,,43,,3,,5,,4,,1,,12,,13,,9,,"WASHINGTON
(47.522287905000496, -120.47002746299972)",
MARYLAND,2014,8,11,,16,,37,,97,,89,,,-,1,,8,,8,,9,,3,,2,,6,,25,,8,,"MARYLAND
(39.2905806980005, -76.60925970899967)",
IDAHO,2014,8,1,,2,,9,,12,,8,,,-,2,,6,,8,,6,,,-,0,,3,,3,,,-,"IDAHO
(43.682630058000484, -114.3637261449997)",
ALASKA,2014,8,1,,2,,5,,11,,,-,,-,0,,0,,,-,,-,,-,0,,1,,1,,,-,"ALASKA
(64.84507923900048, -147.72205669099972)",
NEW JERSEY,2014,8,,-,18,,46,,8,,91,,,-,2,,8,,1,,13,,,-,1,,7,,6,,14,,"NEW JERSEY
(40.1305700530005, -74.27368565099965)",
CONNECTICUT,2014,8,1,,7,,21,,30,,36,,,-,1,,7,,3,,4,,,-,1,,5,,5,,3,,"CONNECTICUT
(41.56266394200048, -72.64983753699966)",
NEVADA,2014,8,,-,4,,205,,6,,27,,,-,1,,3,,2,,6,,,-,0,,7,,5,,7,,"NEVADA
(39.49324126500045, -117.07183978499972)",
NORTH CAROLINA,2014,8,43,,37,,136,,271,,97,,,-,1,,8,,9,,5,,3,,2,,119,,163,,12,,"NORTH CAROLINA
(35.46622388600048, -79.15924924699965)",
OKLAHOMA,2014,8,9,,12,,49,,53,,41,,,-,1,,10,,3,,2,,,-,3,,13,,10,,26,,"OKLAHOMA
(35.472034350000456, -97.52106845499969)",
KANSAS,2014,8,,-,7,,18,,15,,31,,,-,1,,6,,2,,8,,,-,0,,4,,2,,5,,"KANSAS
(38.34774033400049, -98.20077655499966)",
MAINE,2014,8,,-,2,,11,,7,,9,,,-,0,,4,,,-,,-,,-,0,,1,,2,,,-,"MAINE
(45.254228663000504, -68.98502952999962)",
KENTUCKY,2014,8,,-,9,,21,,43,,52,,,-,2,,9,,8,,9,,,-,1,,6,,8,,14,,"KENTUCKY
(37.645973909000475, -84.77496612599964)",
COLORADO,2014,8,,-,6,,27,,45,,43,,,-,0,,11,,1,,11,,,-,1,,5,,10,,7,,"COLORADO
(38.84384047000049, -106.13360888799969)",
GEORGIA,2014,8,10,,34,,101,,136,,165,,,-,2,,10,,6,,15,,5,,16,,36,,92,,68,,"GEORGIA
(32.83968004200045, -83.62757601199968)",
WEST VIRGINIA,2014,8,1,,3,,9,,12,,16,,,-,0,,3,,1,,5,,,-,0,,2,,,-,1,,"WEST VIRGINIA
(38.665511497000466, -80.71263935099967)",
RHODE ISLAND,2014,8,,-,2,,13,,5,,8,,,-,0,,2,,,-,,-,,-,0,,86,,,-,,-,"RHODE ISLAND
(41.70828281900049, -71.52246918099962)",
NEW MEXICO,2014,8,,-,6,,14,,18,,32,,,-,0,,3,,4,,,-,,-,1,,5,,3,,7,,"NEW MEXICO
(34.52088247800049, -106.24057768899968)",
VERMONT,2014,8,,-,1,,6,,16,,10,,,-,0,,3,,2,,,-,,-,0,,1,,,-,2,,"VERMONT
(43.62538292400046, -72.51763944499965)",
OREGON,2014,8,1,,6,,25,,25,,21,,1,,3,,14,,6,,6,,,-,1,,4,,4,,9,,"OREGON
(44.567446178000466, -120.15502977999972)",
NEBRASKA,2014,8,3,,5,,20,,15,,18,,2,,1,,7,,6,,5,,1,,1,,4,,3,,9,,"NEBRASKA
(41.64104043900045, -99.36571864599966)",
UTAH,2014,8,1,,6,,14,,28,,23,,,-,1,,9,,2,,3,,,-,0,,2,,6,,4,,"UTAH
(39.36070374600047, -111.5871285339997)",
MASSACHUSETTS,2014,8,,-,21,,55,,85,,67,,,-,2,,8,,4,,10,,,-,2,,11,,22,,17,,"MASSACHUSETTS
(42.27687306500047, -72.08268985899963)",
ILLINOIS,2014,8,,-,31,,65,,60,,180,,,-,4,,32,,10,,19,,,-,5,,16,,3,,19,,"ILLINOIS
(40.48501278700047, -88.99770813999965)",
SOUTH CAROLINA,2014,8,1,,20,,52,,72,,84,,,-,0,,2,,1,,2,,1,,3,,6,,11,,11,,"SOUTH CAROLINA
(33.99882060100049, -81.04536765699964)",
UNITED STATES,2014,9,272,,927,,1579,,3661,,4327,,17,,119,,279,,337,,508,,125,,234,,582,,1656,,1257,,,
NEW ENGLAND,2014,9,2,,39,,78,,178,,166,,,-,4,,13,,12,,17,,1,,4,,94,,32,,26,,,
MID. ATLANTIC,2014,9,42,,96,,198,,325,,470,,4,,14,,38,,32,,64,,6,,14,,28,,91,,149,,,
E.N. CENTRAL,2014,9,19,,101,,171,,327,,586,,1,,15,,47,,34,,100,,10,,22,,39,,117,,346,,,
W.N. CENTRAL,2014,9,9,,46,,93,,164,,244,,,-,10,,38,,27,,58,,2,,9,,74,,210,,34,,,
S. ATLANTIC,2014,9,128,,242,,445,,1389,,1139,,2,,11,,20,,59,,61,,62,,50,,160,,576,,187,,,
E.S. CENTRAL,2014,9,9,,58,,138,,255,,281,,1,,5,,18,,19,,35,,16,,20,,66,,221,,80,,,
W.S. CENTRAL,2014,9,33,,123,,465,,330,,424,,7,,14,,34,,95,,45,,24,,47,,390,,216,,209,,,
MOUNTAIN,2014,9,2,,56,,278,,189,,258,,,-,10,,67,,21,,48,,,-,13,,40,,64,,64,,,
PACIFIC,2014,9,28,,117,,220,,504,,759,,2,,20,,61,,38,,80,,4,,22,,47,,129,,162,,,
HAWAII,2014,9,2,,7,,13,,43,,28,,,-,0,,2,,2,,8,,,-,0,,6,,3,,19,,"HAWAII
(21.30485166200043, -157.85774691599974)",
NEW JERSEY,2014,9,,-,18,,46,,9,,103,,,-,2,,8,,2,,14,,,-,1,,7,,6,,19,,"NEW JERSEY
(40.1305700530005, -74.27368565099965)",
RHODE ISLAND,2014,9,1,,2,,13,,6,,8,,,-,0,,2,,,-,,-,1,,0,,86,,1,,,-,"RHODE ISLAND
(41.70828281900049, -71.52246918099962)",
DELAWARE,2014,9,,-,1,,7,,5,,10,,,-,0,,2,,,-,,-,,-,0,,2,,5,,2,,"DELAWARE
(39.00883351400046, -75.57773943699965)",
KENTUCKY,2014,9,1,,9,,21,,51,,59,,1,,2,,9,,9,,9,,,-,1,,6,,9,,14,,"KENTUCKY
(37.645973909000475, -84.77496612599964)",
VIRGINIA,2014,9,11,,19,,42,,88,,54,,,-,2,,7,,4,,6,,2,,2,,8,,15,,10,,"VIRGINIA
(37.54268075100049, -78.45788924199968)",
WYOMING,2014,9,,-,1,,4,,2,,4,,,-,0,,7,,,-,,-,,-,0,,2,,2,,1,,"WYOMING
(43.23554147100049, -108.10982744299969)",
WISCONSIN,2014,9,,-,13,,29,,10,,96,,,-,2,,12,,1,,29,,,-,0,,3,,6,,9,,"WISCONSIN
(44.3931903350005, -89.81636715299965)",
LOUISIANA,2014,9,4,,19,,43,,59,,96,,,-,0,,2,,1,,3,,1,,5,,21,,23,,25,,"LOUISIANA
(31.312662564000448, -92.44567554599968)",
MARYLAND,2014,9,9,,16,,37,,105,,101,,1,,1,,8,,9,,9,,1,,2,,6,,26,,12,,"MARYLAND
(39.2905806980005, -76.60925970899967)",
MISSOURI,2014,9,6,,18,,38,,59,,100,,,-,4,,18,,10,,27,,1,,2,,9,,21,,4,,"MISSOURI
(38.63579372300046, -92.56629737199967)",
NORTH CAROLINA,2014,9,23,,38,,136,,294,,133,,,-,1,,8,,9,,7,,4,,3,,119,,167,,16,,"NORTH CAROLINA
(35.46622388600048, -79.15924924699965)",
IDAHO,2014,9,1,,2,,9,,14,,10,,,-,2,,6,,8,,7,,,-,0,,3,,3,,,-,"IDAHO
(43.682630058000484, -114.3637261449997)",
MONTANA,2014,9,1,,2,,9,,14,,11,,,-,1,,5,,2,,2,,,-,1,,10,,3,,,-,"MONTANA
(47.066526051000494, -109.42441687999968)",
NORTH DAKOTA,2014,9,,-,2,,7,,9,,13,,,-,1,,3,,2,,,-,,-,0,,2,,4,,3,,"NORTH DAKOTA
(47.47531738700047, -100.11842599699969)",
TEXAS,2014,9,22,,72,,449,,187,,243,,4,,10,,29,,79,,36,,11,,28,,362,,145,,141,,"TEXAS
(31.827243635000457, -99.4267664729997)",
CALIFORNIA,2014,9,14,,87,,174,,388,,655,,,-,11,,36,,26,,59,,3,,18,,47,,106,,123,,"CALIFORNIA
(37.638640488000476, -120.99999889499969)",
SOUTH DAKOTA,2014,9,,-,3,,10,,14,,23,,,-,0,,5,,1,,4,,,-,1,,30,,132,,1,,"SOUTH DAKOTA
(44.35313342000046, -100.37352811899967)",
ALABAMA,2014,9,5,,17,,69,,78,,88,,,-,1,,3,,1,,9,,2,,5,,14,,46,,26,,"ALABAMA
(32.84057327200048, -86.63185803899967)",
ILLINOIS,2014,9,,-,31,,65,,96,,202,,,-,4,,32,,10,,19,,,-,6,,16,,16,,25,,"ILLINOIS
(40.48501278700047, -88.99770813999965)",
NEW HAMPSHIRE,2014,9,,-,3,,11,,17,,15,,,-,0,,2,,2,,3,,,-,0,,1,,1,,2,,"NEW HAMPSHIRE
(43.6559537330005, -71.50035726399966)",
KANSAS,2014,9,,-,7,,18,,22,,35,,,-,1,,6,,4,,10,,,-,0,,4,,5,,5,,"KANSAS
(38.34774033400049, -98.20077655499966)",
TENNESSEE,2014,9,3,,15,,36,,75,,74,,,-,2,,6,,8,,12,,14,,10,,50,,139,,12,,"TENNESSEE
(35.680943063000484, -85.77448642199965)",
ARIZONA,2014,9,,-,19,,33,,53,,89,,,-,2,,45,,,-,14,,,-,7,,28,,32,,35,,"ARIZONA
(34.865973091000455, -111.76380949799972)",
AMER. SAMOA,2014,9,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"AMER. SAMOA
(39.52368635500045, -99.11415045099966)",
CONNECTICUT,2014,9,,-,7,,21,,39,,42,,,-,1,,7,,3,,4,,,-,1,,5,,6,,5,,"CONNECTICUT
(41.56266394200048, -72.64983753699966)",
ARKANSAS,2014,9,5,,13,,35,,30,,36,,2,,1,,6,,11,,4,,11,,5,,23,,39,,14,,"ARKANSAS
(34.748651751000466, -92.27448794899965)",
DIST. OF COL.,2014,9,,-,0,,3,,,-,6,,,-,0,,1,,,-,1,,,-,0,,2,,,-,4,,"DIST. OF COL.
(39.52368635500045, -99.11415045099966)",
WASHINGTON,2014,9,9,,10,,73,,31,,43,,2,,3,,46,,5,,7,,1,,1,,12,,14,,9,,"WASHINGTON
(47.522287905000496, -120.47002746299972)",
MISSISSIPPI,2014,9,,-,13,,41,,51,,60,,,-,0,,4,,1,,5,,,-,4,,13,,27,,28,,"MISSISSIPPI
(32.74551123200047, -89.53802764499966)",
NEW YORK CITY,2014,9,17,,20,,52,,122,,127,,1,,1,,8,,6,,14,,2,,6,,14,,37,,54,,"NEW YORK CITY
(40.71426755700048, -74.00596858999967)",
INDIANA,2014,9,,-,14,,27,,15,,70,,,-,2,,7,,2,,17,,,-,2,,8,,7,,8,,"INDIANA
(39.76691364600049, -86.14995579899966)",
SOUTH CAROLINA,2014,9,,-,20,,52,,72,,98,,,-,0,,1,,1,,2,,,-,3,,6,,11,,12,,"SOUTH CAROLINA
(33.99882060100049, -81.04536765699964)",
NEW YORK,2014,9,18,,25,,50,,111,,94,,3,,4,,10,,13,,16,,4,,4,,14,,39,,57,,"NEW YORK
(42.82700023900048, -75.54396639699968)",
GEORGIA,2014,9,15,,34,,101,,177,,182,,,-,2,,10,,8,,15,,11,,16,,36,,113,,71,,"GEORGIA
(32.83968004200045, -83.62757601199968)",
NEBRASKA,2014,9,1,,5,,20,,16,,20,,,-,1,,7,,6,,5,,,-,1,,4,,3,,11,,"NEBRASKA
(41.64104043900045, -99.36571864599966)",
COLORADO,2014,9,,-,12,,35,,49,,49,,,-,3,,11,,2,,15,,,-,1,,12,,10,,7,,"COLORADO
(38.84384047000049, -106.13360888799969)",
IOWA,2014,9,2,,10,,36,,44,,53,,,-,2,,14,,4,,12,,1,,3,,43,,45,,10,,"IOWA
(42.469404401000475, -93.81648936699969)",
NEW MEXICO,2014,9,,-,6,,14,,23,,37,,,-,0,,3,,5,,,-,,-,1,,5,,3,,7,,"NEW MEXICO
(34.52088247800049, -106.24057768899968)",
ALASKA,2014,9,,-,2,,5,,11,,2,,,-,0,,0,,,-,,-,,-,0,,1,,1,,,-,"ALASKA
(64.84507923900048, -147.72205669099972)",
VERMONT,2014,9,,-,1,,6,,17,,11,,,-,0,,3,,2,,,-,,-,0,,1,,,-,2,,"VERMONT
(43.62538292400046, -72.51763944499965)",
OREGON,2014,9,3,,6,,25,,31,,31,,,-,3,,14,,5,,6,,,-,1,,4,,5,,11,,"OREGON
(44.567446178000466, -120.15502977999972)",
WEST VIRGINIA,2014,9,,-,3,,9,,12,,18,,,-,0,,3,,1,,5,,,-,0,,2,,,-,1,,"WEST VIRGINIA
(38.665511497000466, -80.71263935099967)",
MINNESOTA,2014,9,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MINNESOTA
(46.35564867700049, -94.79419697699967)",
FLORIDA,2014,9,70,,105,,226,,636,,537,,1,,3,,7,,27,,16,,44,,21,,46,,239,,59,,"FLORIDA
(28.932042899000464, -81.92895558499964)",
MAINE,2014,9,,-,2,,11,,7,,9,,,-,0,,4,,,-,,-,,-,0,,1,,2,,,-,"MAINE
(45.254228663000504, -68.98502952999962)",
OHIO,2014,9,16,,23,,42,,144,,110,,1,,4,,15,,14,,16,,10,,9,,25,,78,,268,,"OHIO
(40.06021029700048, -82.40425685299965)",
PENNSYLVANIA,2014,9,7,,28,,64,,83,,146,,,-,5,,19,,11,,20,,,-,2,,9,,9,,19,,"PENNSYLVANIA
(40.79373106100047, -77.86069775999965)",
OKLAHOMA,2014,9,2,,12,,49,,54,,49,,1,,1,,10,,4,,2,,1,,3,,13,,9,,29,,"OKLAHOMA
(35.472034350000456, -97.52106845499969)",
MASSACHUSETTS,2014,9,1,,21,,56,,92,,81,,,-,2,,8,,5,,10,,,-,2,,11,,22,,17,,"MASSACHUSETTS
(42.27687306500047, -72.08268985899963)",
NEVADA,2014,9,,-,4,,205,,6,,29,,,-,1,,3,,2,,6,,,-,0,,7,,5,,10,,"NEVADA
(39.49324126500045, -117.07183978499972)",
UTAH,2014,9,,-,6,,14,,28,,29,,,-,1,,9,,2,,4,,,-,0,,2,,6,,4,,"UTAH
(39.36070374600047, -111.5871285339997)",
MICHIGAN,2014,9,3,,18,,42,,62,,108,,,-,3,,14,,7,,19,,,-,3,,8,,10,,36,,"MICHIGAN
(44.66131575600048, -84.71438724399968)",
UNITED STATES,2014,10,232,,927,,1580,,4129,,4849,,30,,119,,282,,388,,574,,142,,234,,617,,1881,,1388,,,
NEW ENGLAND,2014,10,7,,39,,78,,194,,189,,,-,4,,13,,13,,21,,,-,4,,94,,36,,28,,,
MID. ATLANTIC,2014,10,30,,97,,197,,367,,524,,1,,13,,36,,39,,70,,10,,15,,32,,109,,162,,,
E.N. CENTRAL,2014,10,11,,101,,171,,367,,657,,2,,15,,47,,37,,111,,10,,22,,39,,131,,375,,,
W.N. CENTRAL,2014,10,5,,46,,93,,175,,272,,,-,10,,38,,29,,64,,6,,9,,74,,246,,41,,,
S. ATLANTIC,2014,10,98,,242,,446,,1529,,1262,,9,,11,,20,,68,,70,,68,,52,,161,,657,,220,,,
E.S. CENTRAL,2014,10,6,,58,,148,,295,,301,,,-,5,,18,,20,,35,,10,,20,,66,,232,,93,,,
W.S. CENTRAL,2014,10,26,,123,,533,,367,,489,,8,,14,,34,,106,,51,,24,,47,,406,,245,,229,,,
MOUNTAIN,2014,10,4,,57,,279,,233,,290,,,-,10,,66,,25,,52,,1,,13,,40,,66,,63,,,
PACIFIC,2014,10,45,,117,,220,,602,,865,,10,,20,,62,,51,,100,,13,,22,,49,,159,,177,,,
DELAWARE,2014,10,,-,2,,7,,8,,10,,,-,0,,2,,,-,,-,,-,0,,2,,7,,2,,"DELAWARE
(39.00883351400046, -75.57773943699965)",
TEXAS,2014,10,16,,72,,517,,206,,283,,6,,10,,29,,88,,40,,16,,28,,378,,162,,149,,"TEXAS
(31.827243635000457, -99.4267664729997)",
MISSOURI,2014,10,5,,18,,38,,64,,104,,,-,4,,18,,11,,27,,1,,2,,9,,22,,6,,"MISSOURI
(38.63579372300046, -92.56629737199967)",
DIST. OF COL.,2014,10,,-,0,,3,,1,,9,,,-,0,,1,,,-,1,,,-,0,,2,,,-,4,,"DIST. OF COL.
(39.52368635500045, -99.11415045099966)",
IDAHO,2014,10,1,,2,,9,,15,,10,,,-,2,,6,,8,,8,,,-,0,,3,,3,,,-,"IDAHO
(43.682630058000484, -114.3637261449997)",
WEST VIRGINIA,2014,10,,-,3,,9,,13,,20,,,-,0,,3,,1,,5,,,-,0,,2,,,-,1,,"WEST VIRGINIA
(38.665511497000466, -80.71263935099967)",
INDIANA,2014,10,,-,14,,27,,24,,77,,,-,2,,7,,2,,19,,,-,2,,8,,8,,8,,"INDIANA
(39.76691364600049, -86.14995579899966)",
TENNESSEE,2014,10,2,,15,,36,,77,,76,,,-,2,,6,,9,,12,,9,,10,,50,,145,,16,,"TENNESSEE
(35.680943063000484, -85.77448642199965)",
MISSISSIPPI,2014,10,1,,13,,41,,56,,67,,,-,0,,4,,1,,5,,,-,4,,13,,28,,29,,"MISSISSIPPI
(32.74551123200047, -89.53802764499966)",
NEW YORK CITY,2014,10,14,,20,,52,,136,,140,,1,,1,,8,,7,,14,,7,,6,,14,,44,,61,,"NEW YORK CITY
(40.71426755700048, -74.00596858999967)",
SOUTH CAROLINA,2014,10,5,,20,,52,,103,,102,,,-,0,,1,,1,,2,,1,,3,,6,,14,,16,,"SOUTH CAROLINA
(33.99882060100049, -81.04536765699964)",
UTAH,2014,10,,-,6,,14,,34,,32,,,-,1,,9,,2,,6,,,-,0,,2,,7,,4,,"UTAH
(39.36070374600047, -111.5871285339997)",
CALIFORNIA,2014,10,37,,87,,174,,474,,742,,8,,12,,39,,36,,68,,12,,18,,49,,133,,136,,"CALIFORNIA
(37.638640488000476, -120.99999889499969)",
MARYLAND,2014,10,11,,16,,37,,116,,116,,1,,1,,8,,9,,11,,2,,2,,6,,28,,14,,"MARYLAND
(39.2905806980005, -76.60925970899967)",
COLORADO,2014,10,,-,12,,35,,58,,54,,,-,3,,11,,2,,17,,,-,1,,12,,10,,7,,"COLORADO
(38.84384047000049, -106.13360888799969)",
AMER. SAMOA,2014,10,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"AMER. SAMOA
(39.52368635500045, -99.11415045099966)",
FLORIDA,2014,10,50,,105,,226,,686,,582,,4,,3,,7,,30,,18,,53,,21,,46,,292,,72,,"FLORIDA
(28.932042899000464, -81.92895558499964)",
GEORGIA,2014,10,12,,34,,102,,195,,200,,3,,2,,10,,12,,16,,6,,16,,36,,127,,82,,"GEORGIA
(32.83968004200045, -83.62757601199968)",
MINNESOTA,2014,10,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"MINNESOTA
(46.35564867700049, -94.79419697699967)",
OREGON,2014,10,1,,6,,25,,35,,35,,2,,3,,14,,8,,11,,,-,1,,4,,6,,12,,"OREGON
(44.567446178000466, -120.15502977999972)",
NORTH CAROLINA,2014,10,14,,38,,136,,308,,162,,,-,1,,8,,9,,11,,6,,3,,119,,173,,18,,"NORTH CAROLINA
(35.46622388600048, -79.15924924699965)",
MONTANA,2014,10,1,,2,,9,,16,,11,,,-,1,,5,,2,,2,,,-,1,,10,,3,,,-,"MONTANA
(47.066526051000494, -109.42441687999968)",
NEW MEXICO,2014,10,,-,6,,14,,25,,40,,,-,0,,3,,5,,,-,,-,1,,5,,3,,7,,"NEW MEXICO
(34.52088247800049, -106.24057768899968)",
CONNECTICUT,2014,10,,-,7,,21,,40,,46,,,-,1,,7,,4,,4,,,-,1,,5,,6,,6,,"CONNECTICUT
(41.56266394200048, -72.64983753699966)",
ALABAMA,2014,10,3,,18,,79,,104,,93,,,-,0,,3,,1,,9,,1,,5,,14,,49,,34,,"ALABAMA
(32.84057327200048, -86.63185803899967)",
LOUISIANA,2014,10,4,,19,,43,,70,,110,,,-,0,,2,,1,,3,,1,,5,,21,,28,,31,,"LOUISIANA
(31.312662564000448, -92.44567554599968)",
ALASKA,2014,10,3,,2,,6,,14,,3,,,-,0,,0,,,-,,-,1,,0,,1,,2,,,-,"ALASKA
(64.84507923900048, -147.72205669099972)",
ARKANSAS,2014,10,6,,13,,35,,37,,42,,2,,1,,6,,13,,4,,7,,5,,23,,46,,15,,"ARKANSAS
(34.748651751000466, -92.27448794899965)",
KANSAS,2014,10,,-,7,,18,,24,,39,,,-,1,,6,,4,,10,,,-,1,,4,,6,,6,,"KANSAS
(38.34774033400049, -98.20077655499966)",
WISCONSIN,2014,10,,-,13,,29,,10,,107,,,-,2,,13,,1,,30,,,-,0,,3,,8,,10,,"WISCONSIN
(44.3931903350005, -89.81636715299965)",
PENNSYLVANIA,2014,10,2,,28,,64,,95,,167,,,-,5,,17,,14,,23,,1,,2,,9,,11,,21,,"PENNSYLVANIA
(40.79373106100047, -77.86069775999965)",
NEW YORK,2014,10,14,,25,,72,,125,,102,,,-,4,,10,,13,,17,,2,,4,,26,,41,,61,,"NEW YORK
(42.82700023900048, -75.54396639699968)",
WYOMING,2014,10,,-,1,,4,,2,,6,,,-,0,,7,,,-,,-,,-,0,,2,,2,,1,,"WYOMING
(43.23554147100049, -108.10982744299969)",
VERMONT,2014,10,,-,1,,6,,17,,12,,,-,0,,3,,2,,1,,,-,0,,1,,,-,2,,"VERMONT
(43.62538292400046, -72.51763944499965)",
MAINE,2014,10,,-,2,,11,,10,,11,,,-,0,,4,,,-,1,,,-,0,,1,,2,,,-,"MAINE
(45.254228663000504, -68.98502952999962)",
RHODE ISLAND,2014,10,6,,2,,13,,12,,9,,,-,0,,2,,,-,,-,,-,0,,86,,1,,,-,"RHODE ISLAND
(41.70828281900049, -71.52246918099962)",
NEBRASKA,2014,10,,-,5,,20,,16,,28,,,-,1,,7,,6,,6,,,-,1,,4,,3,,11,,"NEBRASKA
(41.64104043900045, -99.36571864599966)",
NEW JERSEY,2014,10,,-,18,,46,,11,,115,,,-,2,,8,,5,,16,,,-,2,,7,,13,,19,,"NEW JERSEY
(40.1305700530005, -74.27368565099965)",
ARIZONA,2014,10,2,,19,,35,,71,,104,,,-,2,,44,,4,,13,,1,,7,,28,,33,,34,,"ARIZONA
(34.865973091000455, -111.76380949799972)",
ILLINOIS,2014,10,,-,31,,65,,105,,217,,,-,4,,32,,11,,21,,,-,5,,16,,16,,30,,"ILLINOIS
(40.48501278700047, -88.99770813999965)",
NORTH DAKOTA,2014,10,,-,2,,7,,10,,14,,,-,1,,3,,2,,3,,,-,0,,2,,4,,3,,"NORTH DAKOTA
(47.47531738700047, -100.11842599699969)",
MASSACHUSETTS,2014,10,1,,21,,56,,96,,93,,,-,2,,8,,5,,11,,,-,2,,11,,25,,18,,"MASSACHUSETTS
(42.27687306500047, -72.08268985899963)",
KENTUCKY,2014,10,,-,9,,21,,58,,65,,,-,2,,9,,9,,9,,,-,1,,6,,10,,14,,"KENTUCKY
(37.645973909000475, -84.77496612599964)",
VIRGINIA,2014,10,6,,19,,41,,99,,61,,1,,2,,7,,6,,6,,,-,2,,8,,16,,11,,"VIRGINIA
(37.54268075100049, -78.45788924199968)",
NEW HAMPSHIRE,2014,10,,-,3,,11,,19,,18,,,-,0,,2,,2,,4,,,-,0,,1,,2,,2,,"NEW HAMPSHIRE
(43.6559537330005, -71.50035726399966)",
IOWA,2014,10,,-,10,,36,,47,,62,,,-,2,,14,,4,,14,,,-,3,,43,,53,,13,,"IOWA
(42.469404401000475, -93.81648936699969)",
NEVADA,2014,10,,-,4,,205,,12,,33,,,-,1,,3,,2,,6,,,-,0,,7,,5,,10,,"NEVADA
(39.49324126500045, -117.07183978499972)",
OKLAHOMA,2014,10,,-,12,,49,,54,,54,,,-,1,,10,,4,,4,,,-,2,,13,,9,,34,,"OKLAHOMA
(35.472034350000456, -97.52106845499969)",
MICHIGAN,2014,10,1,,18,,42,,74,,134,,,-,3,,14,,7,,20,,,-,3,,8,,11,,39,,"MICHIGAN
(44.66131575600048, -84.71438724399968)",
