Reporting Area,MMWR Year,MMWR Week,"Invasive Pneumococcal disease, All ages, Current week","Invasive Pneumococcal disease, All ages, Current week, flag","Invasive Pneumococcal disease, All ages, Previous 52 weeks Med","Invasive Pneumococcal disease, All ages, Previous 52 weeks Med, flag","Invasive Pneumococcal disease, All ages, Previous 52 weeks Max","Invasive Pneumococcal disease, All ages, Previous 52 weeks Max, flag","Invasive Pneumococcal disease, All ages, Cum 2014","Invasive Pneumococcal disease, All ages, Cum 2014, flag","Invasive Pneumococcal disease, All ages, Cum 2013","Invasive Pneumococcal disease, All ages, Cum 2013, flag","Invasive Pneumococcal disease, Age LT 5, Current week","Invasive Pneumococcal disease, Age LT 5, Current week, flag","Invasive Pneumococcal disease, Age LT 5, Previous 52 weeks Med","Invasive Pneumococcal disease, Age LT 5, Previous 52 weeks Med, flag","Invasive Pneumococcal disease, Age LT 5, Previous 52 weeks Max","Invasive Pneumococcal disease, Age LT 5, Previous 52 weeks Max, flag","Invasive Pneumococcal disease, Age LT 5, Cum 2014","Invasive Pneumococcal disease, Age LT 5, Cum 2014, flag","Invasive Pneumococcal disease, Age LT 5, Cum 2013","Invasive Pneumococcal disease, Age LT 5, Cum 2013, flag","Legionellosis, Current week","Legionellosis, Current week, flag","Legionellosis, Previous 52 weeks Med","Legionellosis, Previous 52 weeks Med, flag","Legionellosis, Previous 52 weeks Max","Legionellosis, Previous 52 weeks Max, flag","Legionellosis, Cum 2014","Legionellosis, Cum 2014, flag","Legionellosis, Cum 2013","Legionellosis, Cum 2013, flag",Location 1,Location 2
PENNSYLVANIA,2014,13,,N,,-,,-,,N,,N,,N,0,,0,,,N,,N,1,,6,,26,,38,,47,,"PENNSYLVANIA
(40.79373106100047, -77.86069775999965)",
UTAH,2014,13,,-,3,,11,,19,,65,,,-,0,,2,,2,,5,,,-,0,,3,,8,,5,,"UTAH
(39.36070374600047, -111.5871285339997)",
ILLINOIS,2014,13,,N,0,,0,,,N,,N,,-,0,,3,,4,,13,,,-,4,,32,,18,,22,,"ILLINOIS
(40.48501278700047, -88.99770813999965)",
OHIO,2014,13,24,,20,,47,,307,,466,,2,,1,,4,,10,,11,,9,,6,,66,,55,,44,,"OHIO
(40.06021029700048, -82.40425685299965)",
ALASKA,2014,13,1,,2,,6,,18,,28,,,-,0,,2,,3,,6,,,-,0,,1,,1,,,-,"ALASKA
(64.84507923900048, -147.72205669099972)",
KENTUCKY,2014,13,3,,4,,11,,61,,99,,,-,0,,1,,2,,2,,,-,1,,4,,9,,4,,"KENTUCKY
(37.645973909000475, -84.77496612599964)",
COLORADO,2014,13,,-,9,,24,,130,,182,,,-,0,,2,,5,,7,,1,,0,,7,,1,,6,,"COLORADO
(38.84384047000049, -106.13360888799969)",
C.N.M.I.,2014,13,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"C.N.M.I.
(39.52368635500045, -99.11415045099966)",
VIRGIN ISL.,2014,13,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISL.
(39.52368635500045, -99.11415045099966)",
WISCONSIN,2014,13,7,,7,,16,,109,,175,,,-,0,,3,,1,,5,,,-,2,,12,,4,,7,,"WISCONSIN
(44.3931903350005, -89.81636715299965)",
WEST VIRGINIA,2014,13,,-,4,,14,,59,,144,,,-,0,,2,,2,,8,,,-,0,,4,,2,,1,,"WEST VIRGINIA
(38.665511497000466, -80.71263935099967)",
LOUISIANA,2014,13,,-,5,,21,,122,,103,,,-,0,,2,,9,,7,,,-,0,,3,,5,,10,,"LOUISIANA
(31.312662564000448, -92.44567554599968)",
DELAWARE,2014,13,,-,0,,4,,9,,9,,,-,0,,1,,,-,,-,,-,0,,4,,,-,,-,"DELAWARE
(39.00883351400046, -75.57773943699965)",
SOUTH DAKOTA,2014,13,2,,2,,5,,30,,40,,,N,0,,0,,,N,,N,,-,0,,1,,2,,2,,"SOUTH DAKOTA
(44.35313342000046, -100.37352811899967)",
SOUTH CAROLINA,2014,13,1,,7,,27,,140,,168,,,-,0,,2,,7,,5,,,-,0,,3,,6,,4,,"SOUTH CAROLINA
(33.99882060100049, -81.04536765699964)",
RHODE ISLAND,2014,13,2,,1,,18,,11,,,-,,-,0,,1,,1,,,-,,-,0,,10,,2,,3,,"RHODE ISLAND
(41.70828281900049, -71.52246918099962)",
MASSACHUSETTS,2014,13,,-,0,,2,,4,,5,,,-,0,,2,,2,,4,,,-,3,,20,,25,,15,,"MASSACHUSETTS
(42.27687306500047, -72.08268985899963)",
NEBRASKA,2014,13,,-,2,,8,,36,,53,,,-,0,,2,,4,,5,,,-,0,,3,,1,,6,,"NEBRASKA
(41.64104043900045, -99.36571864599966)",
VERMONT,2014,13,2,,1,,4,,18,,23,,,-,0,,0,,,-,,-,,-,0,,2,,1,,2,,"VERMONT
(43.62538292400046, -72.51763944499965)",
KANSAS,2014,13,,-,2,,7,,34,,62,,,N,0,,0,,,N,,N,,-,0,,3,,,-,2,,"KANSAS
(38.34774033400049, -98.20077655499966)",
WYOMING,2014,13,,-,0,,2,,5,,9,,,-,0,,1,,1,,,-,,-,0,,0,,,-,,-,"WYOMING
(43.23554147100049, -108.10982744299969)",
HAWAII,2014,13,2,,1,,6,,31,,23,,,-,0,,2,,3,,2,,,-,0,,1,,1,,2,,"HAWAII
(21.30485166200043, -157.85774691599974)",
NORTH DAKOTA,2014,13,,-,1,,5,,11,,36,,,-,0,,1,,1,,4,,,-,0,,1,,2,,,-,"NORTH DAKOTA
(47.47531738700047, -100.11842599699969)",
NEW YORK,2014,13,14,,17,,66,,219,,321,,1,,1,,6,,8,,19,,11,,7,,40,,50,,29,,"NEW YORK
(42.82700023900048, -75.54396639699968)",
NEW YORK CITY,2014,13,20,,11,,25,,191,,272,,,-,0,,4,,5,,11,,1,,3,,47,,22,,24,,"NEW YORK CITY
(40.71426755700048, -74.00596858999967)",
CALIFORNIA,2014,13,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,1,,3,,11,,28,,59,,"CALIFORNIA
(37.638640488000476, -120.99999889499969)",
NEW MEXICO,2014,13,1,,5,,12,,103,,128,,,-,0,,2,,5,,6,,,-,0,,2,,,-,4,,"NEW MEXICO
(34.52088247800049, -106.24057768899968)",
MISSISSIPPI,2014,13,2,,4,,13,,89,,87,,1,,0,,2,,8,,6,,,-,0,,2,,1,,4,,"MISSISSIPPI
(32.74551123200047, -89.53802764499966)",
MINNESOTA,2014,13,,-,4,,16,,,-,132,,,-,0,,2,,,-,10,,,-,0,,2,,,-,6,,"MINNESOTA
(46.35564867700049, -94.79419697699967)",
IOWA,2014,13,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,-,0,,2,,,-,3,,"IOWA
(42.469404401000475, -93.81648936699969)",
MARYLAND,2014,13,12,,8,,26,,152,,169,,1,,0,,4,,10,,9,,3,,3,,14,,19,,15,,"MARYLAND
(39.2905806980005, -76.60925970899967)",
VIRGINIA,2014,13,,-,0,,3,,4,,10,,,-,0,,3,,4,,10,,1,,2,,9,,12,,14,,"VIRGINIA
(37.54268075100049, -78.45788924199968)",
MAINE,2014,13,2,,2,,6,,43,,38,,,-,0,,1,,,-,2,,,-,0,,3,,2,,4,,"MAINE
(45.254228663000504, -68.98502952999962)",
INDIANA,2014,13,,-,11,,23,,112,,243,,,-,1,,3,,6,,6,,,-,3,,11,,25,,35,,"INDIANA
(39.76691364600049, -86.14995579899966)",
CONNECTICUT,2014,13,,-,4,,14,,38,,128,,,-,0,,2,,2,,5,,,-,1,,10,,9,,3,,"CONNECTICUT
(41.56266394200048, -72.64983753699966)",
UNITED STATES,2014,14,189,,276,,642,,4461,,6531,,13,,19,,48,,267,,385,,26,,73,,273,,536,,624,,,
NEW ENGLAND,2014,14,7,,10,,34,,142,,241,,,-,1,,3,,6,,12,,,-,5,,25,,41,,31,,,
MID. ATLANTIC,2014,14,43,,32,,85,,459,,883,,1,,2,,10,,16,,44,,13,,18,,122,,123,,139,,,
E.N. CENTRAL,2014,14,23,,49,,107,,719,,1233,,4,,3,,9,,36,,56,,1,,17,,104,,114,,130,,,
W.N. CENTRAL,2014,14,6,,13,,29,,118,,343,,,-,1,,4,,9,,35,,,-,2,,13,,12,,32,,,
S. ATLANTIC,2014,14,42,,56,,126,,1093,,1529,,3,,5,,14,,70,,104,,9,,13,,44,,129,,105,,,
E.S. CENTRAL,2014,14,23,,27,,50,,505,,594,,1,,2,,6,,30,,30,,,-,3,,13,,27,,24,,,
W.S. CENTRAL,2014,14,24,,36,,294,,708,,803,,3,,4,,18,,63,,53,,2,,3,,23,,34,,45,,,
MOUNTAIN,2014,14,19,,34,,81,,666,,849,,1,,2,,7,,31,,43,,1,,3,,9,,17,,43,,,
PACIFIC,2014,14,2,,3,,8,,51,,56,,,-,0,,3,,6,,8,,,-,4,,13,,39,,75,,,
ALABAMA,2014,14,3,,3,,10,,76,,73,,,-,0,,2,,4,,8,,,-,0,,10,,5,,3,,"ALABAMA
(32.84057327200048, -86.63185803899967)",
AMER. SAMOA,2014,14,,N,,-,,-,,N,,N,,-,,-,,-,,-,,-,,N,,-,,-,,N,,N,"AMER. SAMOA
(39.52368635500045, -99.11415045099966)",
VIRGIN ISL.,2014,14,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISL.
(39.52368635500045, -99.11415045099966)",
WISCONSIN,2014,14,3,,7,,16,,121,,190,,2,,0,,3,,4,,6,,,-,2,,12,,4,,8,,"WISCONSIN
(44.3931903350005, -89.81636715299965)",
NEW HAMPSHIRE,2014,14,,-,1,,5,,21,,31,,,-,0,,1,,1,,1,,,-,0,,3,,2,,1,,"NEW HAMPSHIRE
(43.6559537330005, -71.50035726399966)",
NORTH CAROLINA,2014,14,,-,0,,0,,,-,,-,,N,0,,0,,,N,,N,3,,1,,9,,19,,16,,"NORTH CAROLINA
(35.46622388600048, -79.15924924699965)",
MASSACHUSETTS,2014,14,,-,0,,2,,4,,5,,,-,0,,2,,2,,4,,,-,3,,20,,25,,17,,"MASSACHUSETTS
(42.27687306500047, -72.08268985899963)",
MAINE,2014,14,3,,2,,6,,46,,40,,,-,0,,1,,,-,2,,,-,0,,3,,2,,4,,"MAINE
(45.254228663000504, -68.98502952999962)",
NEVADA,2014,14,,-,3,,7,,43,,49,,,-,0,,1,,,-,1,,,-,0,,3,,1,,4,,"NEVADA
(39.49324126500045, -117.07183978499972)",
MARYLAND,2014,14,4,,8,,26,,157,,195,,,-,0,,4,,10,,13,,2,,3,,14,,21,,15,,"MARYLAND
(39.2905806980005, -76.60925970899967)",
ARKANSAS,2014,14,,-,3,,30,,58,,85,,,-,0,,2,,2,,2,,,-,0,,3,,4,,2,,"ARKANSAS
(34.748651751000466, -92.27448794899965)",
WASHINGTON,2014,14,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,-,0,,10,,3,,7,,"WASHINGTON
(47.522287905000496, -120.47002746299972)",
ARIZONA,2014,14,13,,14,,40,,344,,375,,1,,0,,4,,16,,16,,,-,1,,5,,2,,18,,"ARIZONA
(34.865973091000455, -111.76380949799972)",
INDIANA,2014,14,,-,11,,23,,115,,264,,,-,0,,3,,6,,7,,,-,3,,11,,25,,37,,"INDIANA
(39.76691364600049, -86.14995579899966)",
NEW YORK CITY,2014,14,16,,11,,25,,208,,290,,,-,0,,4,,6,,12,,2,,3,,47,,24,,25,,"NEW YORK CITY
(40.71426755700048, -74.00596858999967)",
KENTUCKY,2014,14,3,,4,,11,,67,,109,,,-,0,,1,,2,,2,,,-,1,,4,,9,,4,,"KENTUCKY
(37.645973909000475, -84.77496612599964)",
KANSAS,2014,14,5,,2,,7,,39,,63,,,N,0,,0,,,N,,N,,-,0,,3,,,-,2,,"KANSAS
(38.34774033400049, -98.20077655499966)",
HAWAII,2014,14,,-,1,,6,,31,,26,,,-,0,,2,,3,,2,,,-,0,,1,,1,,2,,"HAWAII
(21.30485166200043, -157.85774691599974)",
OHIO,2014,14,18,,20,,47,,325,,497,,2,,1,,4,,12,,13,,,-,6,,66,,55,,49,,"OHIO
(40.06021029700048, -82.40425685299965)",
WEST VIRGINIA,2014,14,,-,4,,13,,59,,147,,,-,0,,2,,2,,8,,,-,0,,4,,2,,1,,"WEST VIRGINIA
(38.665511497000466, -80.71263935099967)",
CONNECTICUT,2014,14,,-,4,,14,,38,,139,,,-,0,,2,,2,,5,,,-,1,,10,,9,,3,,"CONNECTICUT
(41.56266394200048, -72.64983753699966)",
FLORIDA,2014,14,32,,18,,45,,434,,464,,2,,1,,5,,29,,36,,4,,4,,16,,63,,40,,"FLORIDA
(28.932042899000464, -81.92895558499964)",
GEORGIA,2014,14,,-,15,,42,,243,,487,,,-,1,,5,,13,,30,,,-,1,,5,,4,,13,,"GEORGIA
(32.83968004200045, -83.62757601199968)",
VIRGINIA,2014,14,,-,0,,3,,4,,11,,,-,0,,3,,4,,11,,,-,2,,9,,14,,16,,"VIRGINIA
(37.54268075100049, -78.45788924199968)",
OREGON,2014,14,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,-,0,,2,,5,,7,,"OREGON
(44.567446178000466, -120.15502977999972)",
TENNESSEE,2014,14,17,,15,,33,,270,,321,,1,,1,,5,,16,,13,,,-,1,,7,,12,,12,,"TENNESSEE
(35.680943063000484, -85.77448642199965)",
MISSOURI,2014,14,,N,0,,0,,,N,,N,,-,0,,3,,4,,15,,,-,1,,11,,7,,9,,"MISSOURI
(38.63579372300046, -92.56629737199967)",
UTAH,2014,14,,-,2,,11,,19,,70,,,-,0,,2,,2,,6,,,-,0,,3,,8,,5,,"UTAH
(39.36070374600047, -111.5871285339997)",
C.N.M.I.,2014,14,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"C.N.M.I.
(39.52368635500045, -99.11415045099966)",
COLORADO,2014,14,,-,9,,24,,130,,196,,,-,0,,2,,5,,9,,1,,0,,7,,2,,7,,"COLORADO
(38.84384047000049, -106.13360888799969)",
LOUISIANA,2014,14,2,,6,,23,,150,,108,,1,,0,,2,,12,,7,,,-,0,,3,,6,,10,,"LOUISIANA
(31.312662564000448, -92.44567554599968)",
CALIFORNIA,2014,14,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,-,3,,11,,29,,59,,"CALIFORNIA
(37.638640488000476, -120.99999889499969)",
DELAWARE,2014,14,,-,0,,4,,10,,12,,,-,0,,1,,,-,,-,,-,0,,4,,,-,,-,"DELAWARE
(39.00883351400046, -75.57773943699965)",
GUAM,2014,14,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.355173397000442, 144.70297250000056)",
PUERTO RICO,2014,14,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,2,,,-,6,,"PUERTO RICO
(26.649497232000442, -98.34556876399967)",
DIST. OF COL.,2014,14,2,,1,,6,,19,,28,,,-,0,,1,,,-,,-,,N,0,,0,,,N,,N,"DIST. OF COL.
(39.52368635500045, -99.11415045099966)",
VERMONT,2014,14,1,,1,,4,,19,,25,,,-,0,,0,,,-,,-,,-,0,,2,,1,,3,,"VERMONT
(43.62538292400046, -72.51763944499965)",
SOUTH CAROLINA,2014,14,4,,7,,27,,167,,185,,1,,0,,2,,12,,6,,,-,0,,3,,6,,4,,"SOUTH CAROLINA
(33.99882060100049, -81.04536765699964)",
TEXAS,2014,14,22,,26,,262,,496,,604,,2,,2,,18,,45,,38,,2,,3,,23,,24,,33,,"TEXAS
(31.827243635000457, -99.4267664729997)",
NEW MEXICO,2014,14,6,,5,,12,,111,,141,,,-,0,,2,,6,,7,,,-,0,,2,,,-,4,,"NEW MEXICO
(34.52088247800049, -106.24057768899968)",
NEW YORK,2014,14,27,,16,,66,,246,,348,,1,,1,,6,,9,,20,,5,,8,,40,,56,,35,,"NEW YORK
(42.82700023900048, -75.54396639699968)",
WYOMING,2014,14,,-,0,,2,,5,,9,,,-,0,,1,,1,,,-,,-,0,,0,,,-,,-,"WYOMING
(43.23554147100049, -108.10982744299969)",
NEBRASKA,2014,14,,-,2,,8,,36,,53,,,-,0,,2,,4,,5,,,-,0,,3,,1,,9,,"NEBRASKA
(41.64104043900045, -99.36571864599966)",
IDAHO,2014,14,,N,0,,0,,,N,,N,,-,0,,1,,1,,3,,,-,0,,1,,2,,3,,"IDAHO
(43.682630058000484, -114.3637261449997)",
NORTH DAKOTA,2014,14,,-,1,,5,,11,,38,,,-,0,,1,,1,,5,,,-,0,,1,,2,,,-,"NORTH DAKOTA
(47.47531738700047, -100.11842599699969)",
OKLAHOMA,2014,14,,-,0,,1,,4,,6,,,-,0,,1,,4,,6,,,-,0,,3,,,-,,-,"OKLAHOMA
(35.472034350000456, -97.52106845499969)",
MINNESOTA,2014,14,,-,4,,16,,,-,146,,,-,0,,2,,,-,10,,,-,0,,2,,,-,7,,"MINNESOTA
(46.35564867700049, -94.79419697699967)",
NEW JERSEY,2014,14,,-,4,,14,,5,,245,,,-,0,,2,,1,,12,,,-,1,,20,,,-,29,,"NEW JERSEY
(40.1305700530005, -74.27368565099965)",
PENNSYLVANIA,2014,14,,N,,-,,-,,N,,N,,N,0,,0,,,N,,N,6,,6,,26,,43,,50,,"PENNSYLVANIA
(40.79373106100047, -77.86069775999965)",
ILLINOIS,2014,14,,N,0,,0,,,N,,N,,-,0,,3,,4,,14,,,-,4,,32,,21,,22,,"ILLINOIS
(40.48501278700047, -88.99770813999965)",
ALASKA,2014,14,2,,2,,6,,20,,30,,,-,0,,2,,3,,6,,,-,0,,1,,1,,,-,"ALASKA
(64.84507923900048, -147.72205669099972)",
RHODE ISLAND,2014,14,3,,1,,18,,14,,1,,,-,0,,1,,1,,,-,,-,0,,10,,2,,3,,"RHODE ISLAND
(41.70828281900049, -71.52246918099962)",
IOWA,2014,14,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,-,0,,1,,,-,3,,"IOWA
(42.469404401000475, -93.81648936699969)",
MICHIGAN,2014,14,2,,12,,28,,158,,282,,,-,1,,4,,10,,16,,1,,3,,21,,9,,14,,"MICHIGAN
(44.66131575600048, -84.71438724399968)",
MISSISSIPPI,2014,14,,-,4,,13,,92,,91,,,-,0,,2,,8,,7,,,-,0,,2,,1,,5,,"MISSISSIPPI
(32.74551123200047, -89.53802764499966)",
MONTANA,2014,14,,-,0,,4,,14,,9,,,-,0,,0,,,-,1,,,-,0,,2,,2,,2,,"MONTANA
(47.066526051000494, -109.42441687999968)",
SOUTH DAKOTA,2014,14,1,,2,,5,,32,,43,,,N,0,,0,,,N,,N,,-,0,,1,,2,,2,,"SOUTH DAKOTA
(44.35313342000046, -100.37352811899967)",
UNITED STATES,2014,15,151,,273,,629,,4820,,6963,,7,,19,,48,,286,,411,,29,,70,,271,,587,,648,,,
NEW ENGLAND,2014,15,5,,10,,34,,153,,263,,1,,1,,3,,7,,13,,1,,5,,25,,43,,33,,,
CONNECTICUT,2014,15,,-,4,,14,,38,,151,,,-,0,,2,,2,,5,,,-,1,,10,,9,,4,,,
MAINE,2014,15,4,,2,,6,,50,,45,,1,,0,,1,,1,,3,,,-,0,,3,,3,,5,,,
MASSACHUSETTS,2014,15,,-,0,,2,,4,,5,,,-,0,,2,,2,,4,,,-,3,,20,,24,,17,,,
NEW HAMPSHIRE,2014,15,,-,1,,5,,22,,35,,,-,0,,1,,1,,1,,,-,0,,3,,2,,1,,,
RHODE ISLAND,2014,15,1,,1,,18,,18,,1,,,-,0,,1,,1,,,-,1,,0,,10,,4,,3,,,
VERMONT,2014,15,,-,1,,4,,21,,26,,,-,0,,0,,,-,,-,,-,0,,2,,1,,3,,,
MID. ATLANTIC,2014,15,14,,32,,85,,473,,937,,,-,1,,10,,16,,45,,4,,18,,122,,129,,150,,,
NEW JERSEY,2014,15,,-,4,,14,,5,,257,,,-,0,,2,,1,,13,,,-,1,,20,,1,,30,,,
NEW YORK,2014,15,14,,16,,66,,260,,370,,,-,1,,6,,9,,20,,4,,8,,40,,60,,43,,,
NEW YORK CITY,2014,15,,-,11,,25,,208,,310,,,-,0,,4,,6,,12,,,-,3,,47,,24,,26,,,
PENNSYLVANIA,2014,15,,N,,-,,-,,N,,N,,N,0,,0,,,N,,N,,-,6,,26,,44,,51,,,
E.N. CENTRAL,2014,15,24,,50,,107,,761,,1321,,2,,3,,9,,40,,57,,15,,15,,102,,121,,121,,,
ILLINOIS,2014,15,,N,0,,0,,,N,,N,,-,0,,3,,5,,14,,,-,4,,32,,24,,24,,,
INDIANA,2014,15,,-,11,,23,,133,,292,,,-,0,,3,,7,,8,,2,,1,,6,,15,,22,,,
MICHIGAN,2014,15,,-,12,,28,,158,,310,,,-,0,,4,,10,,16,,,-,3,,21,,10,,15,,,
OHIO,2014,15,24,,19,,47,,349,,518,,2,,1,,4,,14,,13,,13,,6,,66,,68,,51,,,
WISCONSIN,2014,15,,-,6,,16,,121,,201,,,-,0,,3,,4,,6,,,-,2,,12,,4,,9,,,
W.N. CENTRAL,2014,15,2,,14,,35,,213,,371,,1,,1,,4,,16,,39,,,-,2,,13,,25,,34,,,
IOWA,2014,15,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,-,0,,1,,,-,3,,,
KANSAS,2014,15,,-,2,,7,,39,,68,,,N,0,,0,,,N,,N,,-,0,,3,,,-,2,,,
MINNESOTA,2014,15,,-,5,,18,,81,,159,,,-,0,,3,,5,,11,,,-,1,,3,,12,,8,,,
MISSOURI,2014,15,,N,0,,0,,,N,,N,1,,0,,3,,6,,18,,,-,1,,11,,8,,9,,,
NEBRASKA,2014,15,,-,2,,8,,47,,55,,,-,0,,2,,4,,5,,,-,0,,2,,1,,10,,,
NORTH DAKOTA,2014,15,,-,1,,5,,11,,43,,,-,0,,1,,1,,5,,,-,0,,1,,2,,,-,,
SOUTH DAKOTA,2014,15,2,,2,,5,,35,,46,,,N,0,,0,,,N,,N,,-,0,,1,,2,,2,,,
S. ATLANTIC,2014,15,34,,58,,125,,1163,,1624,,2,,5,,12,,74,,112,,3,,13,,44,,138,,111,,,
DELAWARE,2014,15,,-,0,,4,,11,,15,,,-,0,,1,,,-,,-,,-,0,,4,,2,,,-,,
DIST. OF COL.,2014,15,3,,1,,6,,22,,33,,,-,0,,1,,,-,,-,,N,0,,0,,,N,,N,,
FLORIDA,2014,15,,-,18,,45,,434,,486,,,-,1,,5,,29,,36,,,-,4,,15,,63,,43,,,
GEORGIA,2014,15,9,,15,,41,,274,,512,,,-,1,,5,,15,,34,,,-,1,,5,,5,,14,,,
MARYLAND,2014,15,1,,8,,20,,168,,211,,,-,0,,4,,10,,14,,1,,3,,14,,22,,16,,,
NORTH CAROLINA,2014,15,,-,0,,0,,,-,,-,,N,0,,0,,,N,,N,2,,1,,9,,23,,16,,,
SOUTH CAROLINA,2014,15,19,,7,,27,,189,,196,,1,,0,,2,,13,,7,,,-,0,,3,,6,,4,,,
VIRGINIA,2014,15,1,,0,,3,,5,,12,,1,,0,,3,,5,,12,,,-,2,,9,,15,,16,,,
WEST VIRGINIA,2014,15,1,,4,,13,,60,,159,,,-,0,,2,,2,,9,,,-,0,,4,,2,,2,,"WEST, VIRGINIA
",
E.S. CENTRAL,2014,15,19,,27,,50,,538,,625,,1,,2,,6,,32,,31,,1,,3,,13,,31,,25,,,
ALABAMA,2014,15,2,,3,,10,,80,,74,,,-,0,,2,,4,,8,,,-,0,,10,,5,,4,,,
KENTUCKY,2014,15,5,,4,,11,,72,,116,,1,,0,,1,,3,,3,,1,,1,,4,,12,,4,,,
MISSISSIPPI,2014,15,1,,4,,13,,97,,97,,,-,0,,2,,8,,7,,,-,0,,2,,1,,5,,,
TENNESSEE,2014,15,11,,15,,31,,289,,338,,,-,1,,5,,17,,13,,,-,1,,7,,13,,12,,,
W.S. CENTRAL,2014,15,26,,35,,294,,749,,865,,,-,4,,18,,65,,58,,2,,3,,23,,38,,50,,,
ARKANSAS,2014,15,2,,4,,30,,68,,90,,,-,0,,2,,2,,2,,,-,0,,3,,4,,4,,,
LOUISIANA,2014,15,,-,6,,23,,150,,118,,,-,0,,2,,12,,7,,,-,0,,3,,6,,10,,,
OKLAHOMA,2014,15,,-,0,,1,,4,,7,,,-,0,,1,,4,,7,,,-,0,,3,,,-,,-,,
TEXAS,2014,15,24,,26,,262,,527,,650,,,-,2,,18,,47,,42,,2,,3,,23,,28,,36,,,
MOUNTAIN,2014,15,25,,33,,81,,717,,898,,,-,2,,7,,30,,48,,3,,3,,9,,21,,43,,,
ARIZONA,2014,15,22,,14,,40,,372,,386,,,-,1,,4,,15,,19,,1,,1,,5,,4,,18,,,
COLORADO,2014,15,,-,9,,24,,145,,216,,,-,0,,2,,5,,9,,,-,0,,7,,2,,7,,,
IDAHO,2014,15,,N,0,,0,,,N,,N,,-,0,,1,,1,,3,,2,,0,,1,,4,,3,,,
MONTANA,2014,15,,-,0,,4,,15,,10,,,-,0,,0,,,-,1,,,-,0,,2,,2,,2,,,
NEVADA,2014,15,,-,3,,7,,44,,51,,,-,0,,1,,,-,2,,,-,0,,3,,1,,4,,,
NEW MEXICO,2014,15,3,,5,,12,,117,,150,,,-,0,,2,,6,,7,,,-,0,,2,,,-,4,,,
UTAH,2014,15,,-,2,,11,,19,,75,,,-,0,,2,,2,,7,,,-,0,,3,,8,,5,,,
WYOMING,2014,15,,-,0,,2,,5,,10,,,-,0,,1,,1,,,-,,-,0,,0,,,-,,-,,
PACIFIC,2014,15,2,,3,,8,,53,,59,,,-,0,,3,,6,,8,,,-,4,,13,,41,,81,,,
ALASKA,2014,15,2,,2,,6,,22,,32,,,-,0,,2,,3,,6,,,-,0,,1,,1,,,-,,
CALIFORNIA,2014,15,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,-,3,,11,,31,,65,,,
HAWAII,2014,15,,-,1,,6,,31,,27,,,-,0,,2,,3,,2,,,-,0,,1,,1,,2,,,
OREGON,2014,15,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,-,0,,2,,5,,7,,,
WASHINGTON,2014,15,,N,0,,0,,,N,,N,,N,0,,0,,,N,,N,,-,0,,10,,3,,7,,,
AMER. SAMOA,2014,15,,N,,-,,-,,N,,N,,-,,-,,-,,-,,-,,N,,-,,-,,N,,N,,
C.N.M.I.,2014,15,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
GUAM,2014,15,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,
PUERTO RICO,2014,15,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,2,,,-,6,,,
VIRGIN ISL.,2014,15,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,
UNITED STATES,2014,16,149,,269,,629,,5121,,7456,,9,,19,,48,,314,,440,,37,,70,,275,,649,,673,,,
NEW ENGLAND,2014,16,3,,11,,34,,176,,285,,,-,1,,3,,10,,13,,,-,5,,25,,45,,38,,,
MID. ATLANTIC,2014,16,42,,31,,85,,516,,1005,,3,,1,,10,,19,,46,,14,,18,,122,,143,,153,,,
E.N. CENTRAL,2014,16,27,,48,,107,,813,,1390,,1,,3,,9,,47,,65,,9,,16,,102,,134,,122,,,
W.N. CENTRAL,2014,16,2,,16,,35,,222,,459,,,-,2,,4,,17,,44,,,-,3,,15,,28,,35,,,
S. ATLANTIC,2014,16,33,,55,,128,,1238,,1714,,3,,5,,12,,82,,115,,10,,13,,44,,153,,113,,,
E.S. CENTRAL,2014,16,12,,26,,51,,571,,664,,2,,2,,6,,36,,35,,1,,3,,13,,35,,28,,,
W.S. CENTRAL,2014,16,19,,35,,294,,784,,924,,,-,3,,18,,66,,62,,,-,3,,23,,39,,53,,,
