Reporting Area,MMWR Year,MMWR Week,"Hepatitis (viral, acute), type A, Current week","Hepatitis (viral, acute), type A, Current week, flag ","Hepatitis (viral, acute), type A, Previous 52 weeks Med","Hepatitis (viral, acute), type A, Previous 52 weeks Med, flag","Hepatitis (viral, acute), type A, Previous 52 weeks Max","Hepatitis (viral, acute), type A, Previous 52 weeks Max, flag","Hepatitis (viral, acute), type A, Cum 2015","Hepatitis (viral, acute), type A, Cum 2015, flag","Hepatitis (viral, acute), type A, Cum 2014","Hepatitis (viral, acute), type A, Cum 2014, flag","Hepatitis (viral, acute), type B, Current week","Hepatitis (viral, acute), type B, Current week, flag","Hepatitis (viral, acute), type B, Previous 52 weeks Med","Hepatitis (viral, acute), type B, Previous 52 weeks Med, flag","Hepatitis (viral, acute), type B, Previous 52 weeks Max","Hepatitis (viral, acute), type B, Previous 52 weeks Max, flag","Hepatitis (viral, acute), type B, Cum 2015","Hepatitis (viral, acute), type B, Cum 2015, flag","Hepatitis (viral, acute), type B, Cum 2014","Hepatitis (viral, acute), type B, Cum 2014, flag","Hepatitis (viral, acute), type C, Current week, flag","Hepatitis (viral, acute), type C, Current week","Hepatitis (viral, acute), type C, Previous 52 weeks Med","Hepatitis (viral, acute), type C, Previous 52 weeks Med, flag","Hepatitis (viral, acute), type C, Previous 52 weeks Max","Hepatitis (viral, acute), type C, Previous 52 weeks Max, flag","Hepatitis (viral, acute), type C, Cum 2015","Hepatitis (viral, acute), type C, Cum 2015, flag","Hepatitis (viral, acute), type C, Cum 2014","Hepatitis (viral, acute), type C, Cum 2014, flag",Location 1,Location 2
VERMONT,2015,25,,-,0,,1,,1,,1,,,-,0,,0,,,-,4,,,,0,,1,,,-,,-,"VERMONT
(43.62538389600007, -72.51763667599994)",
MINNESOTA,2015,25,,-,0,,2,,12,,10,,,-,0,,2,,4,,6,,,,1,,3,,11,,16,,"MINNESOTA
(46.35564896600005, -94.79419983199995)",
TEXAS,2015,25,2,,2,,7,,54,,51,,4,,2,,17,,51,,46,,2,,1,,6,,14,,15,,"TEXAS
(31.827240467000024, -99.42676785299994)",
MARYLAND,2015,25,,-,0,,3,,7,,12,,2,,1,,3,,18,,18,,,,0,,3,,16,,27,,"MARYLAND
(39.290582950000044, -76.60925984299996)",
OREGON,2015,25,,-,0,,2,,14,,6,,1,,0,,3,,10,,18,,,,0,,2,,9,,11,,"OREGON
(44.56745049300008, -120.15502935599994)",
WYOMING,2015,25,,-,0,,1,,2,,,-,,-,0,,0,,,-,,-,,,0,,0,,,-,,-,"WYOMING
(43.23554100600006, -108.10982701399996)",
NEW YORK CITY,2015,25,2,,1,,5,,38,,21,,1,,1,,4,,25,,24,,,,0,,1,,3,,11,,"NEW YORK CITY
(40.71426755700003, -74.00596858999995)",
CONNECTICUT,2015,25,,-,0,,2,,5,,11,,,-,0,,1,,3,,5,,,,0,,2,,8,,3,,"CONNECTICUT
(41.56266070000004, -72.64983977999998)",
ARKANSAS,2015,25,,-,0,,1,,5,,1,,,-,0,,2,,6,,12,,,,0,,1,,1,,9,,"ARKANSAS
(34.74865032200006, -92.27448966799994)",
CALIFORNIA,2015,25,,-,2,,10,,60,,75,,,-,2,,5,,55,,52,,,,1,,6,,20,,35,,"CALIFORNIA
(37.63864210000003, -120.99999644699994)",
KENTUCKY,2015,25,,-,0,,2,,6,,5,,1,,3,,7,,45,,73,,,,2,,6,,21,,92,,"KENTUCKY
(37.64597313300004, -84.77496771599994)",
WASHINGTON,2015,25,,-,0,,5,,9,,7,,,-,0,,7,,12,,12,,1,,1,,14,,19,,33,,"WASHINGTON
(47.52228790000004, -120.47002813699999)",
TENNESSEE,2015,25,,-,0,,2,,6,,6,,2,,4,,10,,108,,121,,2,,3,,9,,71,,46,,"TENNESSEE
(35.68094072700006, -85.77448666899994)",
NEBRASKA,2015,25,,-,0,,2,,2,,7,,,-,0,,1,,,-,5,,,,0,,1,,1,,1,,"NEBRASKA
(41.64104362100005, -99.36571888999998)",
UTAH,2015,25,,-,0,,1,,3,,6,,,-,0,,2,,4,,4,,,,0,,3,,5,,23,,"UTAH
(39.36070123200005, -111.58712831499997)",
MAINE,2015,25,,-,0,,2,,2,,2,,,-,0,,1,,,-,5,,,,0,,2,,14,,18,,"MAINE
(45.25422910300006, -68.98502586699993)",
ILLINOIS,2015,25,,-,1,,9,,18,,32,,,-,1,,4,,22,,29,,,,0,,2,,7,,15,,"ILLINOIS
(40.48501223300008, -88.99770922699997)",
MONTANA,2015,25,,-,0,,1,,1,,4,,,-,0,,0,,,-,,-,,,0,,2,,3,,6,,"MONTANA
(47.06652795700006, -109.42441587999997)",
KANSAS,2015,25,,-,0,,2,,4,,3,,,-,0,,2,,2,,5,,,,0,,4,,10,,19,,"KANSAS
(38.347742794000055, -98.20077822999997)",
WEST VIRGINIA,2015,25,,-,0,,1,,2,,5,,,-,3,,8,,89,,99,,,,1,,4,,31,,33,,"WEST VIRGINIA
(38.66551127300005, -80.71263755899997)",
VIRGINIA,2015,25,,-,0,,3,,16,,13,,,-,1,,4,,23,,29,,1,,1,,3,,17,,28,,"VIRGINIA
(37.542680705000066, -78.45788932099998)",
NORTH DAKOTA,2015,25,,-,0,,3,,5,,3,,,-,0,,0,,,-,,-,,,0,,0,,,-,,-,"NORTH DAKOTA
(47.475318609000055, -100.11842789099995)",
NEW YORK,2015,25,2,,1,,4,,18,,14,,,-,0,,3,,10,,15,,1,,2,,11,,36,,51,,"NEW YORK
(42.82700376100007, -75.54396609999998)",
OKLAHOMA,2015,25,,-,0,,3,,3,,7,,,-,0,,22,,7,,10,,,,0,,19,,6,,13,,"OKLAHOMA
(35.472030747000076, -97.52106835299998)",
ALABAMA,2015,25,,-,0,,3,,9,,5,,,-,2,,6,,45,,53,,1,,1,,6,,40,,13,,"ALABAMA
(32.84057234800002, -86.63185738799996)",
NORTH CAROLINA,2015,25,,-,0,,7,,22,,16,,2,,1,,19,,80,,55,,,,0,,26,,51,,40,,"NORTH CAROLINA
(35.466220159000045, -79.15924997399998)",
MISSISSIPPI,2015,25,,-,0,,1,,1,,1,,,-,1,,5,,32,,21,,,,0,,0,,,U,,U,"MISSISSIPPI
(32.745513440000025, -89.53802722999995)",
MASSACHUSETTS,2015,25,,-,1,,3,,15,,18,,,-,0,,2,,4,,18,,,,3,,10,,53,,120,,"MASSACHUSETTS
(42.27687400000008, -72.08268726299997)",
SOUTH DAKOTA,2015,25,,-,0,,1,,,-,,-,,-,0,,1,,1,,1,,,,0,,0,,,-,,-,"SOUTH DAKOTA
(44.35313004200003, -100.37352915599996)",
PENNSYLVANIA,2015,25,1,,1,,3,,23,,20,,1,,1,,4,,21,,39,,1,,1,,4,,35,,39,,"PENNSYLVANIA
(40.79373362300004, -77.86069690799997)",
IDAHO,2015,25,,-,0,,2,,6,,1,,,-,0,,1,,4,,2,,,,0,,2,,1,,2,,"IDAHO
(43.68263174800006, -114.36372693399994)",
INDIANA,2015,25,,-,0,,2,,7,,12,,,-,2,,5,,51,,71,,,,1,,7,,13,,53,,"INDIANA
(39.766913353000064, -86.14995646699998)",
NEVADA,2015,25,,-,0,,2,,3,,3,,,-,0,,3,,5,,11,,,,0,,2,,5,,2,,"NEVADA
(39.49324221300003, -117.07183885899997)",
UNITED STATES,2015,26,13,,24,,39,,579,,575,,21,,51,,132,,1324,,1396,,23,,34,,76,,757,,1088,,,
NEW ENGLAND,2015,26,,-,1,,7,,27,,39,,,-,0,,3,,8,,33,,,,4,,11,,78,,146,,,
MID. ATLANTIC,2015,26,1,,4,,10,,105,,74,,,-,3,,9,,57,,125,,3,,4,,16,,86,,170,,,
E.N. CENTRAL,2015,26,2,,3,,9,,67,,86,,3,,9,,81,,339,,248,,,,6,,14,,145,,175,,,
W.N. CENTRAL,2015,26,,-,1,,4,,26,,41,,1,,1,,4,,22,,37,,,,1,,6,,27,,42,,,
S. ATLANTIC,2015,26,4,,4,,11,,122,,108,,9,,16,,34,,461,,429,,17,,6,,32,,188,,214,,,
DIST. OF COL.,2015,26,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,,0,,0,,,-,,-,"DIST. OF COL.
",
E.S. CENTRAL,2015,26,1,,1,,5,,22,,18,,4,,10,,17,,237,,281,,2,,6,,12,,134,,155,,,
W.S. CENTRAL,2015,26,4,,3,,8,,68,,68,,3,,5,,39,,83,,106,,,,1,,24,,27,,46,,,
MOUNTAIN,2015,26,,-,1,,5,,50,,49,,,-,1,,5,,24,,49,,,,1,,6,,18,,59,,,
PACIFIC,2015,26,1,,4,,10,,92,,92,,1,,4,,9,,93,,88,,1,,2,,14,,54,,81,,,
AMER. SAMOA,2015,26,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,,,-,,-,,-,,-,"AMER. SAMOA
",
C.N.M.I.,2015,26,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,,,-,,-,,-,,-,"C.N.M.I.
",
VIRGIN ISL.,2015,26,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,,0,,0,,,-,,-,"VIRGIN ISL.
",
WASHINGTON,2015,28,1,,0,,5,,15,,8,,,-,0,,7,,13,,13,,1,,1,,14,,23,,40,,"WASHINGTON
(47.52228790000004, -120.47002813699999)",
COLORADO,2015,26,,-,0,,2,,10,,15,,,-,0,,2,,2,,14,,,,0,,2,,4,,16,,"COLORADO
(38.84384342200008, -106.13360911499996)",
FLORIDA,2015,26,1,,2,,4,,43,,45,,3,,7,,12,,181,,149,,,,2,,4,,43,,50,,"FLORIDA
(28.932042722000062, -81.92895768899996)",
MAINE,2015,26,,-,0,,2,,2,,2,,,-,0,,1,,,-,6,,,,0,,2,,14,,18,,"MAINE
(45.25422910300006, -68.98502586699993)",
PUERTO RICO,2015,26,,-,0,,1,,2,,3,,,-,0,,4,,11,,11,,,,0,,0,,,N,,N,"PUERTO RICO
(18.24828934900006, -66.49988980099994)",
NEVADA,2015,26,,-,0,,2,,3,,3,,,-,0,,3,,5,,14,,,,0,,2,,5,,2,,"NEVADA
(39.49324221300003, -117.07183885899997)",
NEW MEXICO,2015,26,,-,0,,1,,4,,7,,,-,0,,0,,,-,1,,,,0,,2,,,-,10,,"NEW MEXICO
(34.52088149400004, -106.24057817299996)",
OHIO,2015,26,,-,0,,5,,18,,14,,2,,4,,77,,239,,115,,,,2,,5,,51,,50,,"OHIO
(40.060212455000055, -82.40425667899996)",
VIRGINIA,2015,26,,-,0,,3,,18,,13,,,-,1,,4,,25,,30,,2,,1,,3,,20,,29,,"VIRGINIA
(37.542680705000066, -78.45788932099998)",
ALASKA,2015,26,1,,0,,1,,3,,1,,,-,0,,1,,1,,2,,,,0,,0,,,N,,N,"ALASKA
(64.84507799500005, -147.72205958799998)",
IDAHO,2015,26,,-,0,,2,,7,,1,,,-,0,,1,,5,,2,,,,0,,2,,1,,2,,"IDAHO
(43.68263174800006, -114.36372693399994)",
DELAWARE,2015,26,,-,0,,1,,2,,,-,,-,0,,2,,5,,4,,,,0,,0,,,U,,U,"DELAWARE
(39.00883389200004, -75.57773597599999)",
ARKANSAS,2015,26,,-,0,,1,,5,,1,,,-,0,,2,,6,,12,,,,0,,1,,1,,9,,"ARKANSAS
(34.74865032200006, -92.27448966799994)",
MICHIGAN,2015,26,2,,1,,3,,19,,22,,1,,1,,3,,18,,23,,,,2,,7,,62,,30,,"MICHIGAN
(44.66132238800003, -84.71438555599997)",
WASHINGTON,2015,26,,-,0,,5,,9,,8,,,-,0,,7,,12,,12,,1,,1,,14,,20,,34,,"WASHINGTON
(47.52228790000004, -120.47002813699999)",
ALABAMA,2015,26,1,,0,,3,,10,,5,,1,,2,,6,,47,,56,,,,1,,6,,40,,14,,"ALABAMA
(32.84057234800002, -86.63185738799996)",
GUAM,2015,26,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,,,-,,-,,-,,-,"GUAM
(13.480998894000038, 144.73149801400007)",
SOUTH DAKOTA,2015,26,,-,0,,1,,,-,,-,,-,0,,1,,1,,1,,,,0,,0,,,-,,-,"SOUTH DAKOTA
(44.35313004200003, -100.37352915599996)",
NORTH DAKOTA,2015,26,,-,0,,3,,5,,3,,,-,0,,0,,,-,,-,,,0,,0,,,-,,-,"NORTH DAKOTA
(47.475318609000055, -100.11842789099995)",
CONNECTICUT,2015,26,,-,0,,2,,5,,12,,,-,0,,1,,3,,5,,,,0,,2,,8,,3,,"CONNECTICUT
(41.56266070000004, -72.64983977999998)",
RHODE ISLAND,2015,26,,-,0,,2,,4,,3,,,U,0,,0,,,U,,U,,,0,,0,,,U,,U,"RHODE ISLAND
(41.70828106100004, -71.52246566099996)",
WYOMING,2015,26,,-,0,,1,,2,,,-,,-,0,,0,,,-,,-,,,0,,0,,,-,,-,"WYOMING
(43.23554100600006, -108.10982701399996)",
MINNESOTA,2015,26,,-,0,,2,,12,,10,,,-,0,,2,,5,,7,,,,1,,3,,12,,18,,"MINNESOTA
(46.35564896600005, -94.79419983199995)",
HAWAII,2015,26,,-,0,,2,,3,,,-,,-,0,,2,,7,,2,,,,0,,1,,,-,,-,"HAWAII
(21.30485232600006, -157.85774798099996)",
INDIANA,2015,26,,-,0,,2,,7,,12,,,-,2,,5,,53,,73,,,,1,,7,,13,,56,,"INDIANA
(39.766913353000064, -86.14995646699998)",
NEW YORK,2015,26,,-,1,,4,,18,,14,,,-,0,,3,,10,,17,,3,,2,,11,,39,,53,,"NEW YORK
(42.82700376100007, -75.54396609999998)",
IOWA,2015,26,,-,0,,2,,2,,5,,,-,0,,2,,9,,6,,,,0,,0,,,-,,-,"IOWA
(42.469401411000035, -93.81648725599996)",
MISSISSIPPI,2015,26,,-,0,,1,,,-,1,,,-,1,,4,,30,,22,,,,0,,0,,,U,,U,"MISSISSIPPI
(32.745513440000025, -89.53802722999995)",
TENNESSEE,2015,26,,-,0,,2,,6,,7,,3,,4,,10,,115,,126,,2,,3,,9,,73,,48,,"TENNESSEE
(35.68094072700006, -85.77448666899994)",
VERMONT,2015,26,,-,0,,1,,1,,1,,,-,0,,0,,,-,4,,,,0,,1,,,-,,-,"VERMONT
(43.62538389600007, -72.51763667599994)",
MONTANA,2015,26,,-,0,,1,,1,,4,,,-,0,,0,,,-,,-,,,0,,2,,3,,6,,"MONTANA
(47.06652795700006, -109.42441587999997)",
LOUISIANA,2015,26,,-,0,,1,,2,,4,,1,,1,,5,,15,,36,,,,0,,2,,6,,9,,"LOUISIANA
(31.312663324000027, -92.44567750499994)",
WISCONSIN,2015,26,,-,0,,1,,4,,5,,,-,0,,57,,8,,7,,,,0,,4,,9,,23,,"WISCONSIN
(44.39319064600005, -89.81636640199997)",
CALIFORNIA,2015,26,,-,2,,10,,62,,77,,,-,2,,5,,60,,54,,,,1,,6,,23,,36,,"CALIFORNIA
(37.63864210000003, -120.99999644699994)",
ILLINOIS,2015,26,,-,1,,9,,19,,33,,,-,1,,4,,21,,30,,,,0,,2,,10,,16,,"ILLINOIS
(40.48501223300008, -88.99770922699997)",
WEST VIRGINIA,2015,26,,-,0,,1,,2,,5,,,-,3,,8,,94,,101,,,,1,,4,,33,,37,,"WEST VIRGINIA
(38.66551127300005, -80.71263755899997)",
PENNSYLVANIA,2015,26,,-,1,,3,,22,,20,,,-,1,,4,,21,,40,,,,1,,4,,35,,39,,"PENNSYLVANIA
(40.79373362300004, -77.86069690799997)",
MISSOURI,2015,26,,-,0,,2,,1,,13,,,-,0,,2,,4,,13,,,,0,,2,,3,,4,,"MISSOURI
(38.63579147100006, -92.56629944499997)",
GEORGIA,2015,26,1,,0,,6,,22,,13,,3,,2,,6,,40,,54,,,,0,,3,,8,,28,,"GEORGIA
(32.839683200000024, -83.62757885599996)",
KANSAS,2015,26,,-,0,,2,,4,,3,,,-,0,,2,,2,,5,,,,0,,4,,11,,19,,"KANSAS
(38.347742794000055, -98.20077822999997)",
NEBRASKA,2015,26,,-,0,,2,,2,,7,,1,,0,,1,,1,,5,,,,0,,1,,1,,1,,"NEBRASKA
(41.64104362100005, -99.36571888999998)",
NORTH CAROLINA,2015,26,,-,0,,7,,22,,16,,3,,1,,19,,83,,55,,15,,0,,26,,66,,40,,"NORTH CAROLINA
(35.466220159000045, -79.15924997399998)",
SOUTH CAROLINA,2015,26,1,,0,,1,,5,,4,,,-,0,,4,,15,,17,,,,0,,1,,2,,2,,"SOUTH CAROLINA
(33.99882216300006, -81.04536596899999)",
MARYLAND,2015,26,1,,0,,3,,8,,12,,,-,1,,3,,18,,19,,,,0,,3,,16,,28,,"MARYLAND
(39.290582950000044, -76.60925984299996)",
KENTUCKY,2015,26,,-,0,,2,,6,,5,,,-,3,,7,,45,,77,,,,2,,6,,21,,93,,"KENTUCKY
(37.64597313300004, -84.77496771599994)",
ARIZONA,2015,26,,-,1,,4,,20,,13,,,-,0,,3,,8,,14,,,,0,,0,,,U,,U,"ARIZONA
(34.86597351900008, -111.76380664699997)",
MASSACHUSETTS,2015,26,,-,1,,3,,15,,19,,,-,0,,2,,5,,18,,,,3,,10,,56,,125,,"MASSACHUSETTS
(42.27687400000008, -72.08268726299997)",
NEW JERSEY,2015,26,,-,1,,4,,26,,18,,,-,0,,4,,1,,42,,,,1,,5,,9,,67,,"NEW JERSEY
(40.130570807000026, -74.27368796999997)",
NEW YORK CITY,2015,26,1,,1,,5,,39,,22,,,-,1,,4,,25,,26,,,,0,,1,,3,,11,,"NEW YORK CITY
(40.71426755700003, -74.00596858999995)",
TEXAS,2015,26,2,,2,,7,,56,,56,,2,,2,,17,,55,,48,,,,1,,6,,14,,15,,"TEXAS
(31.827240467000024, -99.42676785299994)",
NEW HAMPSHIRE,2015,26,,-,0,,2,,,-,2,,,-,0,,1,,,-,,-,,,0,,0,,,N,,N,"NEW HAMPSHIRE
(43.65595283500005, -71.50035697299995)",
OREGON,2015,26,,-,0,,2,,15,,6,,1,,0,,3,,13,,18,,,,0,,2,,11,,11,,"OREGON
(44.56745049300008, -120.15502935599994)",
UTAH,2015,26,,-,0,,1,,3,,6,,,-,0,,2,,4,,4,,,,0,,3,,5,,23,,"UTAH
(39.36070123200005, -111.58712831499997)",
OKLAHOMA,2015,26,2,,0,,3,,5,,7,,,-,0,,22,,7,,10,,,,0,,19,,6,,13,,"OKLAHOMA
(35.472030747000076, -97.52106835299998)",
UNITED STATES,2015,27,21,,23,,39,,608,,599,,23,,51,,133,,1392,,1447,,15,,34,,76,,784,,1128,,,
NEW ENGLAND,2015,27,,-,1,,7,,28,,42,,,-,0,,3,,8,,34,,,,4,,11,,78,,147,,,
MID. ATLANTIC,2015,27,4,,4,,10,,110,,77,,3,,3,,9,,60,,132,,7,,4,,16,,96,,179,,,
E.N. CENTRAL,2015,27,2,,3,,9,,69,,90,,4,,9,,81,,360,,258,,2,,6,,14,,154,,182,,,
W.N. CENTRAL,2015,27,1,,1,,4,,27,,43,,,-,1,,4,,24,,38,,,,1,,6,,28,,43,,,
OHIO,2015,27,2,,0,,5,,20,,15,,4,,4,,77,,249,,119,,2,,2,,5,,59,,51,,"OHIO
(40.060212455000055, -82.40425667899996)",
S. ATLANTIC,2015,27,5,,4,,11,,128,,114,,9,,16,,35,,487,,442,,,,6,,32,,188,,217,,,
DIST. OF COL.,2015,27,,-,0,,1,,1,,,-,,-,0,,0,,,-,,-,,,0,,0,,,-,,-,"DIST. OF COL.
",
E.S. CENTRAL,2015,27,,-,1,,5,,22,,18,,3,,10,,17,,243,,287,,2,,6,,12,,138,,165,,,
W.S. CENTRAL,2015,27,1,,3,,8,,70,,71,,2,,5,,39,,88,,113,,,,1,,24,,27,,47,,,
MOUNTAIN,2015,27,2,,1,,5,,53,,50,,,-,1,,5,,27,,50,,1,,1,,5,,22,,65,,,
PACIFIC,2015,27,6,,4,,10,,101,,94,,2,,4,,9,,95,,93,,3,,2,,14,,53,,83,,,
AMER. SAMOA,2015,27,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,,,-,,-,,-,,-,"AMER. SAMOA
",
C.N.M.I.,2015,27,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,,,-,,-,,-,,-,"C.N.M.I.
",
VIRGIN ISL.,2015,27,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,,0,,0,,,-,,-,"VIRGIN ISL.
",
KANSAS,2015,27,,-,0,,2,,4,,3,,,-,0,,2,,2,,6,,,,0,,4,,12,,19,,"KANSAS
(38.347742794000055, -98.20077822999997)",
CALIFORNIA,2015,27,,-,2,,10,,64,,79,,,-,2,,5,,59,,57,,,,1,,6,,22,,37,,"CALIFORNIA
(37.63864210000003, -120.99999644699994)",
FLORIDA,2015,27,2,,2,,4,,45,,48,,7,,7,,12,,195,,153,,,,1,,4,,43,,52,,"FLORIDA
(28.932571766000024, -81.92832639299996)",
HAWAII,2015,27,,-,0,,2,,3,,,-,,-,0,,2,,7,,2,,,,0,,1,,,-,,-,"HAWAII
(21.30485232600006, -157.85774798099996)",
ARKANSAS,2015,27,,-,0,,1,,5,,1,,,-,0,,2,,7,,12,,,,0,,1,,1,,9,,"ARKANSAS
(34.74865032200006, -92.27448966799994)",
MISSOURI,2015,27,,-,0,,2,,1,,13,,,-,0,,2,,4,,13,,,,0,,2,,3,,4,,"MISSOURI
(38.63579147100006, -92.56629944499997)",
RHODE ISLAND,2015,27,,-,0,,2,,4,,3,,,U,0,,0,,,U,,U,,,0,,0,,,U,,U,"RHODE ISLAND
(41.70828106100004, -71.52246566099996)",
MISSISSIPPI,2015,27,,-,0,,1,,,-,1,,1,,1,,4,,33,,22,,,,0,,0,,,U,,U,"MISSISSIPPI
(32.745513440000025, -89.53802722999995)",
PUERTO RICO,2015,27,,-,0,,1,,2,,3,,,-,0,,4,,11,,12,,,,0,,0,,,N,,N,"PUERTO RICO
(18.248289714000066, -66.49988663099998)",
MAINE,2015,27,,-,0,,2,,2,,2,,,-,0,,1,,,-,6,,,,0,,2,,14,,19,,"MAINE
(45.25422910300006, -68.98502586699993)",
GUAM,2015,27,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,,,-,,-,,-,,-,"GUAM
(13.480999164000025, 144.7314964090001)",
NEW MEXICO,2015,27,,-,0,,1,,4,,7,,,-,0,,1,,1,,1,,,,0,,2,,1,,11,,"NEW MEXICO
(34.52088149400004, -106.24057817299996)",
WISCONSIN,2015,27,,-,0,,1,,4,,5,,,-,0,,57,,6,,7,,,,0,,4,,9,,25,,"WISCONSIN
(44.39319064600005, -89.81636640199997)",
INDIANA,2015,27,,-,0,,2,,8,,13,,,-,2,,5,,58,,76,,,,1,,7,,14,,58,,"INDIANA
(39.766913353000064, -86.14995646699998)",
MONTANA,2015,27,,-,0,,1,,1,,4,,,-,0,,0,,,-,,-,1,,0,,2,,5,,7,,"MONTANA
(47.06652795700006, -109.42441587999997)",
NORTH CAROLINA,2015,27,3,,0,,7,,25,,16,,1,,1,,19,,86,,56,,,,0,,26,,66,,40,,"NORTH CAROLINA
(35.466220159000045, -79.15924997399998)",
ARIZONA,2015,27,1,,1,,4,,21,,13,,,-,0,,3,,9,,14,,,,0,,0,,,U,,U,"ARIZONA
(34.86597351900008, -111.76380664699997)",
NEW YORK CITY,2015,27,3,,1,,5,,42,,22,,1,,1,,4,,26,,29,,5,,0,,1,,8,,11,,"NEW YORK CITY
(40.71426837200005, -74.00596557099993)",
MARYLAND,2015,27,,-,0,,2,,8,,15,,,-,1,,3,,18,,20,,,,0,,3,,16,,28,,"MARYLAND
(39.290582950000044, -76.60925984299996)",
MICHIGAN,2015,27,,-,1,,3,,18,,23,,,-,1,,3,,19,,25,,,,2,,7,,62,,32,,"MICHIGAN
(44.66132238800003, -84.71438555599997)",
NEW JERSEY,2015,27,,-,1,,4,,26,,20,,,-,0,,4,,1,,44,,,,0,,5,,9,,68,,"NEW JERSEY
(40.130570807000026, -74.27368796999997)",
LOUISIANA,2015,27,,-,0,,1,,2,,4,,1,,1,,5,,20,,38,,,,0,,2,,6,,9,,"LOUISIANA
(31.312663324000027, -92.44567750499994)",
ALABAMA,2015,27,,-,0,,3,,10,,5,,,-,2,,6,,47,,57,,,,1,,6,,40,,15,,"ALABAMA
(32.84057234800002, -86.63185738799996)",
TENNESSEE,2015,27,,-,0,,2,,6,,7,,2,,4,,10,,118,,129,,2,,3,,9,,77,,52,,"TENNESSEE
(35.68094072700006, -85.77448666899994)",
WYOMING,2015,27,1,,0,,1,,3,,,-,,-,0,,0,,,-,,-,,,0,,0,,,-,,-,"WYOMING
(43.23554100600006, -108.10982701399996)",
TEXAS,2015,27,1,,2,,7,,58,,56,,1,,2,,17,,54,,49,,,,0,,6,,14,,16,,"TEXAS
(31.827240467000024, -99.42676785299994)",
CONNECTICUT,2015,27,,-,0,,2,,5,,14,,,-,0,,1,,3,,6,,,,0,,2,,8,,3,,"CONNECTICUT
(41.56266070000004, -72.64983977999998)",
SOUTH CAROLINA,2015,27,,-,0,,1,,5,,4,,,-,0,,4,,15,,18,,,,0,,1,,2,,2,,"SOUTH CAROLINA
(33.99882216300006, -81.04536596899999)",
WASHINGTON,2015,27,6,,0,,5,,15,,8,,1,,0,,7,,13,,13,,3,,1,,14,,22,,35,,"WASHINGTON
(47.52228790000004, -120.47002813699999)",
KENTUCKY,2015,27,,-,0,,2,,6,,5,,,-,3,,7,,45,,79,,,,2,,6,,21,,98,,"KENTUCKY
(37.64597313300004, -84.77496771599994)",
MINNESOTA,2015,27,,-,0,,2,,12,,12,,,-,0,,2,,6,,7,,,,0,,3,,12,,19,,"MINNESOTA
(46.35564896600005, -94.79419983199995)",
WEST VIRGINIA,2015,27,,-,0,,1,,2,,5,,,-,3,,8,,100,,104,,,,1,,4,,33,,37,,"WEST VIRGINIA
(38.66551127300005, -80.71263755899997)",
ALASKA,2015,27,,-,0,,1,,3,,1,,,-,0,,1,,1,,2,,,,0,,0,,,N,,N,"ALASKA
(64.84508688700004, -147.72202846799996)",
DELAWARE,2015,27,,-,0,,1,,2,,,-,,-,0,,2,,5,,4,,,,0,,0,,,U,,U,"DELAWARE
(39.00883389200004, -75.57773597599999)",
SOUTH DAKOTA,2015,27,,-,0,,1,,,-,,-,,-,0,,1,,1,,1,,,,0,,0,,,-,,-,"SOUTH DAKOTA
(44.35313004200003, -100.37352915599996)",
COLORADO,2015,27,,-,0,,2,,10,,15,,,-,0,,2,,2,,14,,,,0,,2,,4,,17,,"COLORADO
(38.84384342200008, -106.13360911499996)",
GEORGIA,2015,27,,-,0,,6,,22,,13,,,-,2,,6,,41,,57,,,,0,,3,,8,,28,,"GEORGIA
(32.839683200000024, -83.62757885599996)",
PENNSYLVANIA,2015,27,,-,1,,3,,23,,21,,1,,1,,4,,22,,41,,,,1,,5,,38,,43,,"PENNSYLVANIA
(40.79373362300004, -77.86069690799997)",
NEVADA,2015,27,,-,0,,2,,3,,4,,,-,0,,3,,5,,14,,,,0,,2,,5,,2,,"NEVADA
(39.49324221300003, -117.07183885899997)",
MASSACHUSETTS,2015,27,,-,1,,3,,15,,20,,,-,0,,2,,5,,18,,,,3,,10,,56,,125,,"MASSACHUSETTS
(42.27687400000008, -72.08268726299997)",
IDAHO,2015,27,,-,0,,2,,7,,1,,,-,0,,1,,5,,3,,,,0,,2,,1,,3,,"IDAHO
(43.68263174800006, -114.36372693399994)",
VERMONT,2015,27,,-,0,,1,,2,,1,,,-,0,,0,,,-,4,,,,0,,1,,,-,,-,"VERMONT
(43.62538389600007, -72.51763667599994)",
IOWA,2015,27,,-,0,,2,,2,,5,,,-,0,,2,,10,,6,,,,0,,0,,,-,,-,"IOWA
(42.469401411000035, -93.81648725599996)",
NEBRASKA,2015,27,1,,0,,2,,3,,7,,,-,0,,1,,1,,5,,,,0,,1,,1,,1,,"NEBRASKA
(41.64104362100005, -99.36571888999998)",
