Reporting Area,MMWR Year,MMWR Week,"Hepatitis (viral, acute), type A, Current week","Hepatitis (viral, acute), type A, Current week, flag ","Hepatitis (viral, acute), type A, Previous 52 weeks Med","Hepatitis (viral, acute), type A, Previous 52 weeks Med, flag","Hepatitis (viral, acute), type A, Previous 52 weeks Max","Hepatitis (viral, acute), type A, Previous 52 weeks Max, flag","Hepatitis (viral, acute), type A, Cum 2016","Hepatitis (viral, acute), type A, Cum 2016, flag","Hepatitis (viral, acute), type A, Cum 2015","Hepatitis (viral, acute), type A, Cum 2015, flag","Hepatitis (viral, acute), type B, Current week","Hepatitis (viral, acute), type B, Current week, flag","Hepatitis (viral, acute), type B, Previous 52 weeks Med","Hepatitis (viral, acute), type B, Previous 52 weeks Med, flag","Hepatitis (viral, acute), type B, Previous 52 weeks Max","Hepatitis (viral, acute), type B, Previous 52 weeks Max, flag","Hepatitis (viral, acute), type B, Cum 2016","Hepatitis (viral, acute), type B, Cum 2016, flag","Hepatitis (viral, acute), type B, Cum 2015","Hepatitis (viral, acute), type B, Cum 2015, flag","Hepatitis (viral, acute), type C, Current week","Hepatitis (viral, acute), type C, Current week, flag","Hepatitis (viral, acute), type C, Previous 52 weeks Med","Hepatitis (viral, acute), type C, Previous 52 weeks Med, flag","Hepatitis (viral, acute), type C, Previous 52 weeks Max","Hepatitis (viral, acute), type C, Previous 52 weeks Max, flag","Hepatitis (viral, acute), type C, Cum 2016","Hepatitis (viral, acute), type C, Cum 2016, flag","Hepatitis (viral, acute), type C, Cum 2015","Hepatitis (viral, acute), type C, Cum 2015, flag",Location 1,Location 2
SOUTH DAKOTA,2016,9,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,2,,,-,"SOUTH DAKOTA
(44.35371, -100.373709)",
OKLAHOMA,2016,9,,-,0,,3,,1,,,-,,-,0,,10,,,-,,-,,-,0,,3,,1,,2,,"OKLAHOMA
(35.468494, -97.521264)",
ILLINOIS,2016,9,,-,1,,9,,8,,13,,,-,1,,3,,2,,15,,,-,0,,3,,2,,6,,"ILLINOIS
(40.477092, -88.993221)",
MARYLAND,2016,9,,-,0,,2,,2,,2,,1,,1,,4,,7,,7,,2,,0,,4,,4,,5,,"MARYLAND
(39.290443, -76.612333)",
WYOMING,2016,9,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"WYOMING
(43.23558, -108.110518)",
PENNSYLVANIA,2016,9,1,,1,,4,,8,,9,,,-,1,,4,,3,,5,,,-,2,,6,,12,,19,,"PENNSYLVANIA
(40.789676, -77.858055)",
WISCONSIN,2016,9,,-,0,,1,,,-,,-,,-,0,,2,,4,,1,,,-,0,,3,,1,,2,,"WISCONSIN
(44.395526, -89.834513)",
CONNECTICUT,2016,9,,-,0,,2,,2,,2,,,-,0,,1,,,-,2,,,-,0,,2,,3,,4,,"CONNECTICUT
(41.544654, -72.651713)",
ALASKA,2016,9,,-,0,,1,,,-,1,,,-,0,,2,,2,,,-,,N,0,,0,,,N,,N,"ALASKA
(64.836661, -147.738891)",
COLORADO,2016,9,,-,0,,3,,2,,4,,,-,0,,4,,,-,5,,,-,0,,3,,,-,7,,"COLORADO
(38.841772, -106.132562)",
NEVADA,2016,9,,-,0,,1,,,-,3,,,-,0,,2,,1,,3,,,-,0,,2,,,-,2,,"NEVADA
(39.491833, -117.070159)",
VIRGINIA,2016,9,,-,1,,5,,10,,7,,,-,1,,10,,11,,9,,,-,1,,4,,7,,4,,"VIRGINIA
(37.542699, -78.45822)",
MAINE,2016,9,,-,0,,1,,2,,1,,,-,0,,2,,6,,,-,,-,0,,3,,3,,7,,"MAINE
(45.252223, -68.986647)",
NEW YORK,2016,9,1,,1,,6,,10,,6,,1,,0,,3,,4,,5,,,-,2,,8,,19,,17,,"NEW YORK
(42.826892, -75.544286)",
WASHINGTON,2016,9,1,,0,,5,,1,,1,,,-,1,,3,,4,,2,,1,,1,,10,,4,,4,,"WASHINGTON
(47.517368, -120.467672)",
MICHIGAN,2016,9,,-,1,,4,,8,,5,,,-,1,,4,,6,,7,,1,,2,,7,,36,,19,,"MICHIGAN
(44.66399, -84.711206)",
SOUTH CAROLINA,2016,9,1,,0,,3,,3,,2,,,-,0,,2,,8,,5,,,-,0,,2,,2,,,-,"SOUTH CAROLINA
(34.009286, -81.037094)",
OHIO,2016,9,1,,0,,5,,1,,4,,6,,6,,11,,48,,132,,,-,2,,7,,6,,18,,"OHIO
(40.056807, -82.405897)",
TEXAS,2016,9,2,,3,,11,,27,,12,,,-,2,,9,,6,,15,,,-,0,,4,,,-,6,,"TEXAS
(31.827233, -99.423022)",
NEBRASKA,2016,9,,-,0,,2,,3,,,-,,-,0,,1,,1,,,-,,-,0,,1,,2,,1,,"NEBRASKA
(41.640503, -99.367122)",
CALIFORNIA,2016,9,,-,3,,10,,13,,35,,,-,3,,8,,9,,23,,,-,1,,4,,4,,10,,"CALIFORNIA
(37.640735, -121.002435)",
HAWAII,2016,9,,-,0,,3,,1,,,-,,-,0,,1,,,-,5,,,-,0,,0,,,-,,-,"HAWAII
(21.30992, -157.858158)",
LOUISIANA,2016,9,1,,0,,2,,4,,,-,1,,2,,7,,5,,19,,,-,0,,4,,,-,8,,"LOUISIANA
(31.2931, -92.463284)",
ARIZONA,2016,9,2,,1,,4,,8,,7,,1,,0,,3,,4,,3,,,U,0,,0,,,U,,U,"ARIZONA
(34.869712, -111.760902)",
GUAM,2016,9,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
WEST VIRGINIA,2016,9,,-,0,,2,,,-,,-,,-,4,,12,,11,,34,,,-,1,,4,,7,,12,,"WEST VIRGINIA
(38.668501, -80.709421)",
NEW MEXICO,2016,9,,-,0,,1,,,-,2,,,-,0,,1,,,-,,-,,-,0,,3,,,-,3,,"NEW MEXICO
(34.520396, -106.244402)",
IOWA,2016,9,,-,0,,3,,2,,2,,,-,0,,2,,2,,4,,,-,0,,0,,,-,,-,"IOWA
(42.46942, -93.815856)",
NEW HAMPSHIRE,2016,9,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,N,0,,0,,,N,,N,"NEW HAMPSHIRE
(43.657736, -71.500736)",
NEW JERSEY,2016,9,,-,1,,3,,1,,11,,,-,1,,5,,2,,13,,,-,1,,6,,1,,19,,"NEW JERSEY
(40.104655, -74.386686)",
MASSACHUSETTS,2016,9,,-,1,,3,,4,,7,,,-,0,,2,,3,,5,,,-,4,,8,,3,,48,,"MASSACHUSETTS
(42.268546, -72.085064)",
NORTH CAROLINA,2016,9,,-,0,,3,,3,,9,,,-,2,,20,,5,,18,,,-,1,,25,,2,,33,,"NORTH CAROLINA
(35.47995, -79.180571)",
GEORGIA,2016,9,,-,1,,6,,11,,6,,,-,2,,5,,12,,15,,,-,1,,3,,4,,12,,"GEORGIA
(32.836038, -83.631709)",
PUERTO RICO,2016,9,,-,0,,1,,,-,1,,,-,0,,2,,,-,9,,,N,0,,0,,,N,,N,"PUERTO RICO
(18.215692, -66.414655)",
RHODE ISLAND,2016,9,,-,0,,2,,,-,1,,,U,0,,0,,,U,,U,,U,0,,0,,,U,,U,"RHODE ISLAND
(41.707447, -71.522488)",
VERMONT,2016,9,,-,0,,1,,1,,,-,,-,0,,1,,,-,,-,,-,0,,1,,2,,,-,"VERMONT
(43.622479, -72.51927)",
ALABAMA,2016,9,,-,0,,3,,6,,4,,,-,2,,6,,15,,17,,1,,1,,6,,7,,12,,"ALABAMA
(32.839182, -86.631125)",
ARKANSAS,2016,9,,-,0,,1,,,-,1,,,-,0,,4,,5,,1,,,-,0,,1,,,-,1,,"ARKANSAS
(34.748745, -92.275105)",
IDAHO,2016,9,,-,0,,2,,1,,2,,,-,0,,1,,3,,2,,,-,0,,1,,1,,1,,"IDAHO
(43.680635, -114.364237)",
KANSAS,2016,9,,-,0,,1,,,-,3,,,-,0,,2,,4,,,-,,-,0,,2,,1,,7,,"KANSAS
(38.345528, -98.201847)",
TENNESSEE,2016,9,,-,0,,2,,,-,3,,2,,5,,10,,37,,46,,,-,3,,9,,20,,24,,"TENNESSEE
(35.681402, -85.774444)",
OREGON,2016,9,,-,0,,3,,2,,7,,,-,0,,3,,1,,2,,,-,0,,1,,2,,1,,"OREGON
(44.567912, -120.156945)",
MINNESOTA,2016,9,,-,0,,2,,,-,6,,,-,0,,2,,,-,3,,,-,0,,3,,1,,5,,"MINNESOTA
(44.943719, -93.094281)",
MONTANA,2016,9,,-,0,,1,,1,,,-,,-,0,,2,,,-,,-,,-,0,,3,,4,,1,,"MONTANA
(47.062617, -109.430168)",
DELAWARE,2016,9,,-,0,,1,,,-,,-,,-,0,,1,,,-,1,,,U,0,,0,,,U,,U,"DELAWARE
(39.008676, -75.574561)",
FLORIDA,2016,9,2,,2,,8,,18,,11,,8,,9,,15,,78,,63,,4,,2,,7,,39,,12,,"FLORIDA
(28.915325, -81.922409)",
INDIANA,2016,9,,-,0,,3,,4,,1,,,-,2,,7,,4,,23,,,-,2,,6,,3,,22,,"INDIANA
(39.76845, -86.156212)",
UTAH,2016,9,,-,0,,1,,2,,,-,,-,0,,1,,,-,2,,,-,0,,4,,,-,2,,"UTAH
(39.359772, -111.584173)",
NORTH DAKOTA,2016,9,,-,0,,1,,,-,4,,,-,0,,1,,1,,,-,,-,0,,0,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
UNITED STATES,2016,10,12,,27,,44,,207,,232,,16,,61,,86,,378,,638,,13,,40,,56,,231,,429,,,
NEW ENGLAND,2016,10,,-,1,,3,,9,,11,,1,,1,,3,,11,,10,,,-,4,,9,,12,,66,,,
MID. ATLANTIC,2016,10,2,,4,,9,,30,,37,,1,,4,,10,,18,,37,,8,,5,,17,,43,,66,,,
NEW YORK CITY,2016,10,2,,1,,5,,10,,6,,1,,1,,3,,8,,11,,,-,0,,5,,3,,2,,"NEW YORK CITY
",
E.N. CENTRAL,2016,10,1,,3,,12,,25,,28,,5,,10,,22,,75,,192,,2,,6,,13,,53,,73,,,
W.N. CENTRAL,2016,10,2,,1,,3,,7,,16,,,-,1,,4,,8,,14,,,-,1,,3,,7,,17,,,
S. ATLANTIC,2016,10,3,,5,,13,,54,,44,,4,,21,,37,,152,,176,,2,,9,,21,,68,,88,,,
DIST. OF COL.,2016,10,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"DIST. OF COL.
",
E.S. CENTRAL,2016,10,,-,1,,5,,7,,12,,2,,10,,21,,67,,114,,,-,6,,14,,29,,64,,,
W.S. CENTRAL,2016,10,3,,3,,13,,39,,15,,2,,6,,18,,19,,40,,1,,1,,6,,2,,19,,,
MOUNTAIN,2016,10,1,,2,,6,,15,,19,,,-,2,,8,,8,,17,,,-,1,,8,,7,,21,,,
PACIFIC,2016,10,,-,4,,10,,21,,50,,1,,4,,10,,20,,38,,,-,2,,12,,10,,15,,,
AMER. SAMOA,2016,10,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"AMER. SAMOA
",
C.N.M.I.,2016,10,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"C.N.M.I.
",
VIRGIN ISL.,2016,10,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISL.
",
MICHIGAN,2016,10,,-,1,,4,,9,,8,,,-,1,,4,,6,,7,,2,,2,,6,,36,,20,,"MICHIGAN
(44.66399, -84.711206)",
SOUTH DAKOTA,2016,10,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,2,,3,,,-,"SOUTH DAKOTA
(44.35371, -100.373709)",
PENNSYLVANIA,2016,10,,-,1,,4,,9,,12,,,-,1,,4,,3,,8,,1,,2,,6,,14,,23,,"PENNSYLVANIA
(40.789676, -77.858055)",
WASHINGTON,2016,10,,-,0,,5,,1,,1,,1,,1,,3,,5,,4,,,-,1,,10,,4,,4,,"WASHINGTON
(47.517368, -120.467672)",
OHIO,2016,10,1,,0,,5,,2,,5,,5,,6,,11,,57,,141,,,-,2,,7,,6,,21,,"OHIO
(40.056807, -82.405897)",
NEW YORK,2016,10,,-,1,,6,,10,,7,,,-,0,,3,,4,,5,,7,,2,,8,,25,,19,,"NEW YORK
(42.826892, -75.544286)",
MAINE,2016,10,,-,0,,1,,2,,1,,1,,0,,2,,7,,,-,,-,0,,3,,4,,8,,"MAINE
(45.252223, -68.986647)",
NEW MEXICO,2016,10,,-,0,,1,,,-,2,,,-,0,,1,,,-,,-,,-,0,,3,,,-,4,,"NEW MEXICO
(34.520396, -106.244402)",
ALABAMA,2016,10,,-,0,,3,,6,,4,,,-,2,,6,,15,,19,,,-,1,,6,,7,,13,,"ALABAMA
(32.839182, -86.631125)",
UTAH,2016,10,,-,0,,1,,2,,,-,,-,0,,1,,,-,2,,,-,0,,4,,1,,2,,"UTAH
(39.359772, -111.584173)",
CALIFORNIA,2016,10,,-,3,,10,,16,,40,,,-,3,,8,,12,,26,,,-,1,,4,,4,,10,,"CALIFORNIA
(37.640735, -121.002435)",
ALASKA,2016,10,,-,0,,1,,,-,2,,,-,0,,2,,2,,,-,,N,0,,0,,,N,,N,"ALASKA
(64.836661, -147.738891)",
MASSACHUSETTS,2016,10,,-,1,,3,,4,,7,,,-,0,,2,,3,,7,,,-,3,,8,,3,,54,,"MASSACHUSETTS
(42.268546, -72.085064)",
TENNESSEE,2016,10,,-,0,,2,,,-,3,,1,,5,,10,,40,,46,,,-,3,,9,,22,,28,,"TENNESSEE
(35.681402, -85.774444)",
WISCONSIN,2016,10,,-,0,,1,,,-,,-,,-,0,,2,,4,,1,,,-,0,,3,,2,,2,,"WISCONSIN
(44.395526, -89.834513)",
MISSOURI,2016,10,,-,0,,0,,,-,1,,,-,0,,0,,,-,4,,,-,0,,0,,,-,3,,"MISSOURI
(38.636168, -92.566292)",
HAWAII,2016,10,,-,0,,3,,2,,,-,,-,0,,1,,,-,5,,,-,0,,0,,,-,,-,"HAWAII
(21.30992, -157.858158)",
MARYLAND,2016,10,,-,0,,2,,4,,2,,,-,1,,4,,7,,8,,1,,0,,3,,5,,7,,"MARYLAND
(39.290443, -76.612333)",
NEBRASKA,2016,10,2,,0,,2,,5,,,-,,-,0,,1,,1,,,-,,-,0,,1,,2,,1,,"NEBRASKA
(41.640503, -99.367122)",
INDIANA,2016,10,,-,0,,3,,5,,2,,,-,2,,7,,5,,27,,,-,2,,6,,7,,24,,"INDIANA
(39.76845, -86.156212)",
CONNECTICUT,2016,10,,-,0,,2,,2,,2,,,-,0,,1,,,-,3,,,-,0,,2,,3,,4,,"CONNECTICUT
(41.544654, -72.651713)",
ARKANSAS,2016,10,,-,0,,1,,,-,1,,,-,0,,4,,6,,1,,,-,0,,1,,,-,1,,"ARKANSAS
(34.748745, -92.275105)",
NORTH DAKOTA,2016,10,,-,0,,1,,,-,4,,,-,0,,1,,1,,,-,,-,0,,0,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
KENTUCKY,2016,10,,-,0,,2,,,-,5,,,-,2,,9,,8,,36,,,-,2,,6,,,-,23,,"KENTUCKY
(37.64591, -84.774043)",
WEST VIRGINIA,2016,10,,-,0,,2,,,-,,-,,-,5,,12,,22,,38,,,-,1,,4,,7,,13,,"WEST VIRGINIA
(38.668501, -80.709421)",
NEW HAMPSHIRE,2016,10,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,N,0,,0,,,N,,N,"NEW HAMPSHIRE
(43.657736, -71.500736)",
NEW JERSEY,2016,10,,-,1,,3,,1,,12,,,-,1,,5,,3,,13,,,-,1,,6,,1,,22,,"NEW JERSEY
(40.104655, -74.386686)",
RHODE ISLAND,2016,10,,-,0,,2,,,-,1,,,U,0,,0,,,U,,U,,U,0,,0,,,U,,U,"RHODE ISLAND
(41.707447, -71.522488)",
VIRGINIA,2016,10,1,,1,,5,,11,,7,,1,,1,,11,,13,,9,,1,,1,,4,,9,,5,,"VIRGINIA
(37.542699, -78.45822)",
VERMONT,2016,10,,-,0,,1,,1,,,-,,-,0,,1,,1,,,-,,-,0,,1,,2,,,-,"VERMONT
(43.622479, -72.51927)",
SOUTH CAROLINA,2016,10,1,,0,,3,,4,,2,,,-,0,,2,,8,,7,,,-,0,,2,,2,,,-,"SOUTH CAROLINA
(34.009286, -81.037094)",
OKLAHOMA,2016,10,,-,0,,3,,1,,,-,2,,0,,10,,2,,,-,1,,0,,3,,2,,3,,"OKLAHOMA
(35.468494, -97.521264)",
FLORIDA,2016,10,1,,2,,8,,19,,14,,3,,9,,15,,84,,69,,,-,2,,7,,39,,16,,"FLORIDA
(28.915325, -81.922409)",
ARIZONA,2016,10,,-,1,,4,,8,,7,,,-,0,,3,,4,,3,,,U,0,,0,,,U,,U,"ARIZONA
(34.869712, -111.760902)",
NORTH CAROLINA,2016,10,,-,1,,3,,5,,11,,,-,2,,20,,6,,27,,,-,1,,17,,2,,34,,"NORTH CAROLINA
(35.47995, -79.180571)",
ILLINOIS,2016,10,,-,1,,9,,9,,13,,,-,1,,3,,3,,16,,,-,0,,3,,2,,6,,"ILLINOIS
(40.477092, -88.993221)",
GUAM,2016,10,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
MISSISSIPPI,2016,10,,-,0,,1,,1,,,-,1,,0,,4,,4,,13,,,U,0,,0,,,U,,U,"MISSISSIPPI
(32.738663, -89.537312)",
MINNESOTA,2016,10,,-,0,,2,,,-,6,,,-,0,,2,,,-,4,,,-,0,,3,,1,,6,,"MINNESOTA
(44.943719, -93.094281)",
OREGON,2016,10,,-,0,,3,,2,,7,,,-,0,,3,,1,,3,,,-,0,,1,,2,,1,,"OREGON
(44.567912, -120.156945)",
MONTANA,2016,10,,-,0,,1,,1,,,-,,-,0,,2,,,-,,-,,-,0,,2,,5,,3,,"MONTANA
(47.062617, -109.430168)",
KANSAS,2016,10,,-,0,,1,,,-,3,,,-,0,,2,,4,,1,,,-,0,,2,,1,,7,,"KANSAS
(38.345528, -98.201847)",
PUERTO RICO,2016,10,,-,0,,1,,,-,1,,,-,0,,2,,2,,10,,,N,0,,0,,,N,,N,"PUERTO RICO
(18.215692, -66.414655)",
IOWA,2016,10,,-,0,,3,,2,,2,,,-,0,,2,,2,,5,,,-,0,,0,,,-,,-,"IOWA
(42.46942, -93.815856)",
LOUISIANA,2016,10,,-,0,,2,,4,,,-,,-,2,,7,,5,,22,,,-,0,,4,,,-,9,,"LOUISIANA
(31.2931, -92.463284)",
COLORADO,2016,10,1,,0,,2,,3,,5,,,-,0,,4,,,-,6,,,-,0,,3,,,-,9,,"COLORADO
(38.841772, -106.132562)",
DELAWARE,2016,10,,-,0,,1,,,-,1,,,-,0,,1,,,-,1,,,U,0,,0,,,U,,U,"DELAWARE
(39.008676, -75.574561)",
TEXAS,2016,10,3,,3,,11,,34,,14,,,-,2,,9,,6,,17,,,-,0,,4,,,-,6,,"TEXAS
(31.827233, -99.423022)",
GEORGIA,2016,10,,-,1,,6,,11,,7,,,-,2,,5,,12,,17,,,-,1,,3,,4,,13,,"GEORGIA
(32.836038, -83.631709)",
IDAHO,2016,10,,-,0,,1,,1,,2,,,-,0,,1,,3,,2,,,-,0,,1,,1,,1,,"IDAHO
(43.680635, -114.364237)",
NEVADA,2016,10,,-,0,,1,,,-,3,,,-,0,,2,,1,,4,,,-,0,,2,,,-,2,,"NEVADA
(39.491833, -117.070159)",
WYOMING,2016,10,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"WYOMING
(43.23558, -108.110518)",
UNITED STATES,2016,11,7,,26,,45,,223,,256,,20,,60,,87,,411,,706,,4,,39,,56,,256,,486,,,
NEW ENGLAND,2016,11,,-,1,,3,,9,,12,,1,,1,,2,,12,,10,,1,,4,,9,,14,,71,,,
MID. ATLANTIC,2016,11,,-,4,,9,,31,,40,,4,,3,,10,,24,,47,,2,,5,,17,,47,,74,,,
NEW YORK CITY,2016,11,,-,1,,5,,10,,6,,1,,1,,3,,9,,13,,,-,0,,5,,3,,2,,"NEW YORK CITY
",
E.N. CENTRAL,2016,11,,-,3,,12,,27,,29,,4,,10,,22,,80,,206,,,-,6,,13,,56,,84,,,
W.N. CENTRAL,2016,11,1,,1,,3,,8,,17,,,-,1,,4,,8,,15,,,-,1,,3,,9,,19,,,
S. ATLANTIC,2016,11,5,,5,,13,,60,,51,,6,,21,,37,,160,,206,,1,,9,,21,,72,,97,,,
DIST. OF COL.,2016,11,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"DIST. OF COL.
",
E.S. CENTRAL,2016,11,,-,1,,5,,8,,13,,3,,10,,21,,72,,119,,,-,6,,14,,36,,78,,,
W.S. CENTRAL,2016,11,,-,3,,13,,38,,21,,,-,6,,18,,21,,43,,,-,1,,6,,2,,21,,,
MOUNTAIN,2016,11,1,,2,,6,,16,,19,,,-,2,,8,,9,,16,,,-,1,,8,,8,,25,,,
PACIFIC,2016,11,,-,4,,10,,26,,54,,2,,4,,10,,25,,44,,,-,2,,12,,12,,17,,,
AMER. SAMOA,2016,11,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"AMER. SAMOA
",
C.N.M.I.,2016,11,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"C.N.M.I.
",
VIRGIN ISL.,2016,11,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISL.
",
MARYLAND,2016,11,,-,0,,2,,4,,3,,1,,1,,4,,9,,8,,1,,0,,3,,6,,10,,"MARYLAND
(39.290443, -76.612333)",
INDIANA,2016,11,,-,0,,3,,6,,3,,,-,2,,7,,8,,28,,,-,2,,7,,7,,26,,"INDIANA
(39.76845, -86.156212)",
MINNESOTA,2016,11,,-,0,,2,,,-,7,,,-,0,,2,,,-,4,,,-,0,,3,,1,,6,,"MINNESOTA
(44.943719, -93.094281)",
NEW YORK,2016,11,,-,1,,6,,10,,8,,,-,0,,3,,4,,6,,2,,2,,8,,27,,21,,"NEW YORK
(42.826892, -75.544286)",
SOUTH CAROLINA,2016,11,,-,0,,3,,4,,3,,,-,0,,2,,8,,9,,,-,0,,2,,2,,,-,"SOUTH CAROLINA
(34.009286, -81.037094)",
ALASKA,2016,11,,-,0,,1,,,-,2,,,-,0,,1,,2,,,-,,N,0,,0,,,N,,N,"ALASKA
(64.836661, -147.738891)",
WYOMING,2016,11,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"WYOMING
(43.23558, -108.110518)",
MAINE,2016,11,,-,0,,1,,2,,1,,1,,0,,2,,8,,,-,1,,0,,3,,6,,8,,"MAINE
(45.252223, -68.986647)",
HAWAII,2016,11,,-,0,,3,,2,,,-,,-,0,,1,,,-,6,,,-,0,,0,,,-,,-,"HAWAII
(21.30992, -157.858158)",
RHODE ISLAND,2016,11,,-,0,,2,,,-,1,,,U,0,,0,,,U,,U,,U,0,,0,,,U,,U,"RHODE ISLAND
(41.707447, -71.522488)",
OKLAHOMA,2016,11,,-,0,,3,,1,,2,,,-,0,,10,,2,,,-,,-,0,,3,,2,,3,,"OKLAHOMA
(35.468494, -97.521264)",
TENNESSEE,2016,11,,-,0,,2,,,-,4,,2,,5,,10,,42,,51,,,-,3,,9,,25,,37,,"TENNESSEE
(35.681402, -85.774444)",
GUAM,2016,11,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
VIRGINIA,2016,11,3,,1,,5,,15,,8,,,-,1,,11,,13,,11,,,-,1,,4,,9,,6,,"VIRGINIA
(37.542699, -78.45822)",
IDAHO,2016,11,,-,0,,1,,1,,2,,,-,0,,1,,4,,2,,,-,0,,1,,1,,1,,"IDAHO
(43.680635, -114.364237)",
NEW HAMPSHIRE,2016,11,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,N,0,,0,,,N,,N,"NEW HAMPSHIRE
(43.657736, -71.500736)",
MISSOURI,2016,11,,-,0,,0,,,-,1,,,-,0,,0,,,-,4,,,-,0,,0,,,-,3,,"MISSOURI
(38.636168, -92.566292)",
CONNECTICUT,2016,11,,-,0,,2,,2,,1,,,-,0,,1,,,-,3,,,-,0,,2,,3,,4,,"CONNECTICUT
(41.544654, -72.651713)",
MICHIGAN,2016,11,,-,1,,4,,9,,8,,,-,1,,4,,5,,7,,,-,2,,8,,35,,22,,"MICHIGAN
(44.66399, -84.711206)",
NORTH DAKOTA,2016,11,,-,0,,1,,,-,4,,,-,0,,1,,1,,,-,,-,0,,0,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
ALABAMA,2016,11,,-,0,,3,,7,,4,,,-,2,,6,,16,,20,,,-,1,,6,,7,,14,,"ALABAMA
(32.839182, -86.631125)",
MASSACHUSETTS,2016,11,,-,1,,3,,4,,9,,,-,0,,2,,3,,7,,,-,3,,8,,3,,59,,"MASSACHUSETTS
(42.268546, -72.085064)",
NEVADA,2016,11,,-,0,,1,,,-,3,,,-,0,,2,,1,,4,,,-,0,,2,,,-,3,,"NEVADA
(39.491833, -117.070159)",
ARIZONA,2016,11,,-,1,,4,,8,,7,,,-,0,,3,,4,,2,,,U,0,,0,,,U,,U,"ARIZONA
(34.869712, -111.760902)",
LOUISIANA,2016,11,,-,0,,2,,4,,,-,,-,2,,7,,5,,25,,,-,0,,4,,,-,9,,"LOUISIANA
(31.2931, -92.463284)",
GEORGIA,2016,11,1,,1,,6,,12,,8,,2,,2,,5,,14,,19,,,-,1,,3,,4,,14,,"GEORGIA
(32.836038, -83.631709)",
VERMONT,2016,11,,-,0,,1,,1,,,-,,-,0,,1,,1,,,-,,-,0,,1,,2,,,-,"VERMONT
(43.622479, -72.51927)",
OREGON,2016,11,,-,0,,3,,3,,7,,1,,0,,3,,3,,4,,,-,0,,1,,2,,1,,"OREGON
(44.567912, -120.156945)",
NEW JERSEY,2016,11,,-,0,,3,,1,,14,,,-,1,,5,,4,,16,,,-,1,,6,,1,,25,,"NEW JERSEY
(40.104655, -74.386686)",
PENNSYLVANIA,2016,11,,-,1,,4,,10,,12,,3,,1,,4,,7,,12,,,-,2,,6,,16,,26,,"PENNSYLVANIA
(40.789676, -77.858055)",
DELAWARE,2016,11,,-,0,,1,,,-,2,,,-,0,,1,,,-,2,,,U,0,,0,,,U,,U,"DELAWARE
(39.008676, -75.574561)",
WISCONSIN,2016,11,,-,0,,1,,,-,,-,,-,0,,1,,4,,1,,,-,0,,3,,2,,4,,"WISCONSIN
(44.395526, -89.834513)",
NEBRASKA,2016,11,1,,0,,2,,6,,,-,,-,0,,1,,1,,,-,,-,0,,1,,3,,1,,"NEBRASKA
(41.640503, -99.367122)",
IOWA,2016,11,,-,0,,3,,2,,2,,,-,0,,2,,2,,6,,,-,0,,0,,,-,,-,"IOWA
(42.46942, -93.815856)",
OHIO,2016,11,,-,0,,5,,2,,5,,4,,6,,11,,60,,153,,,-,2,,7,,10,,25,,"OHIO
(40.056807, -82.405897)",
MISSISSIPPI,2016,11,,-,0,,1,,1,,,-,,-,0,,4,,4,,11,,,U,0,,0,,,U,,U,"MISSISSIPPI
(32.738663, -89.537312)",
WASHINGTON,2016,11,,-,0,,5,,1,,3,,1,,1,,3,,6,,4,,,-,1,,10,,4,,6,,"WASHINGTON
(47.517368, -120.467672)",
ARKANSAS,2016,11,,-,0,,1,,,-,1,,,-,1,,4,,8,,1,,,-,0,,1,,,-,1,,"ARKANSAS
(34.748745, -92.275105)",
