Reporting Area,MMWR Year,MMWR Week,"Salmonellosis, Current week","Salmonellosis, Current week, flag","Salmonellosis, Previous 52 weeks Med","Salmonellosis, Previous 52 weeks Med, flag","Salmonellosis, Previous 52 weeks Max","Salmonellosis, Previous 52 weeks Max, flag","Salmonellosis, Cum 2014","Salmonellosis, Cum 2014, flag","Salmonellosis, Cum 2013","Salmonellosis, Cum 2013, flag",Location 1,Location 2
CONNECTICUT,2014,14,,-,7,,21,,49,,66,,"CONNECTICUT
(41.56266394200048, -72.64983753699966)",
NEW YORK,2014,14,15,,25,,72,,182,,176,,"NEW YORK
(42.82700023900048, -75.54396639699968)",
ALABAMA,2014,14,2,,18,,79,,154,,123,,"ALABAMA
(32.84057327200048, -86.63185803899967)",
INDIANA,2014,14,,-,14,,27,,51,,112,,"INDIANA
(39.76691364600049, -86.14995579899966)",
LOUISIANA,2014,14,3,,19,,43,,116,,161,,"LOUISIANA
(31.312662564000448, -92.44567554599968)",
PENNSYLVANIA,2014,14,12,,28,,63,,154,,243,,"PENNSYLVANIA
(40.79373106100047, -77.86069775999965)",
MISSOURI,2014,14,11,,18,,38,,91,,147,,"MISSOURI
(38.63579372300046, -92.56629737199967)",
CALIFORNIA,2014,14,22,,85,,174,,740,,1022,,"CALIFORNIA
(37.638640488000476, -120.99999889499969)",
GUAM,2014,14,,-,0,,0,,,-,,-,"GUAM
(13.355173397000442, 144.70297250000056)",
NEVADA,2014,14,,-,4,,205,,17,,46,,"NEVADA
(39.49324126500045, -117.07183978499972)",
MARYLAND,2014,14,3,,16,,37,,149,,155,,"MARYLAND
(39.2905806980005, -76.60925970899967)",
VERMONT,2014,14,,-,1,,6,,20,,13,,"VERMONT
(43.62538292400046, -72.51763944499965)",
NEW YORK CITY,2014,14,14,,20,,52,,189,,190,,"NEW YORK CITY
(40.71426755700048, -74.00596858999967)",
ARIZONA,2014,14,1,,19,,35,,110,,169,,"ARIZONA
(34.865973091000455, -111.76380949799972)",
HAWAII,2014,14,,-,7,,13,,56,,48,,"HAWAII
(21.30485166200043, -157.85774691599974)",
WASHINGTON,2014,14,9,,10,,84,,78,,88,,"WASHINGTON
(47.522287905000496, -120.47002746299972)",
IDAHO,2014,14,4,,2,,9,,27,,24,,"IDAHO
(43.682630058000484, -114.3637261449997)",
PUERTO RICO,2014,14,,-,6,,43,,38,,104,,"PUERTO RICO
(26.649497232000442, -98.34556876399967)",
FLORIDA,2014,14,78,,105,,226,,925,,830,,"FLORIDA
(28.932042899000464, -81.92895558499964)",
C.N.M.I.,2014,14,,-,,-,,-,,-,,-,"C.N.M.I.
(39.52368635500045, -99.11415045099966)",
MONTANA,2014,14,,-,2,,9,,26,,17,,"MONTANA
(47.066526051000494, -109.42441687999968)",
DIST. OF COL.,2014,14,,-,1,,3,,3,,13,,"DIST. OF COL.
(39.52368635500045, -99.11415045099966)",
AMER. SAMOA,2014,14,,-,,-,,-,,-,,-,"AMER. SAMOA
(39.52368635500045, -99.11415045099966)",
SOUTH CAROLINA,2014,14,,-,20,,52,,126,,136,,"SOUTH CAROLINA
(33.99882060100049, -81.04536765699964)",
KANSAS,2014,14,2,,7,,18,,46,,64,,"KANSAS
(38.34774033400049, -98.20077655499966)",
ARKANSAS,2014,14,9,,13,,35,,58,,58,,"ARKANSAS
(34.748651751000466, -92.27448794899965)",
WISCONSIN,2014,14,,-,15,,41,,20,,153,,"WISCONSIN
(44.3931903350005, -89.81636715299965)",
UTAH,2014,14,3,,6,,17,,73,,58,,"UTAH
(39.36070374600047, -111.5871285339997)",
WEST VIRGINIA,2014,14,,-,3,,9,,20,,27,,"WEST VIRGINIA
(38.665511497000466, -80.71263935099967)",
ILLINOIS,2014,14,,-,31,,65,,170,,313,,"ILLINOIS
(40.48501278700047, -88.99770813999965)",
VIRGINIA,2014,14,5,,19,,41,,136,,117,,"VIRGINIA
(37.54268075100049, -78.45788924199968)",
OHIO,2014,14,20,,23,,42,,213,,176,,"OHIO
(40.06021029700048, -82.40425685299965)",
IOWA,2014,14,1,,9,,36,,64,,101,,"IOWA
(42.469404401000475, -93.81648936699969)",
NORTH DAKOTA,2014,14,,-,2,,7,,15,,23,,"NORTH DAKOTA
(47.47531738700047, -100.11842599699969)",
DELAWARE,2014,14,,-,2,,8,,14,,13,,"DELAWARE
(39.00883351400046, -75.57773943699965)",
OREGON,2014,14,3,,6,,25,,58,,67,,"OREGON
(44.567446178000466, -120.15502977999972)",
NORTH CAROLINA,2014,14,8,,35,,136,,364,,272,,"NORTH CAROLINA
(35.46622388600048, -79.15924924699965)",
ALASKA,2014,14,,-,1,,6,,16,,13,,"ALASKA
(64.84507923900048, -147.72205669099972)",
MAINE,2014,14,2,,2,,11,,21,,19,,"MAINE
(45.254228663000504, -68.98502952999962)",
MISSISSIPPI,2014,14,,-,14,,41,,81,,92,,"MISSISSIPPI
(32.74551123200047, -89.53802764499966)",
NEW JERSEY,2014,14,,-,18,,46,,25,,165,,"NEW JERSEY
(40.1305700530005, -74.27368565099965)",
MASSACHUSETTS,2014,14,,-,19,,56,,132,,164,,"MASSACHUSETTS
(42.27687306500047, -72.08268985899963)",
TENNESSEE,2014,14,5,,16,,36,,116,,111,,"TENNESSEE
(35.680943063000484, -85.77448642199965)",
WYOMING,2014,14,,-,1,,4,,2,,6,,"WYOMING
(43.23554147100049, -108.10982744299969)",
COLORADO,2014,14,,-,11,,35,,72,,93,,"COLORADO
(38.84384047000049, -106.13360888799969)",
SOUTH DAKOTA,2014,14,,-,3,,10,,27,,42,,"SOUTH DAKOTA
(44.35313342000046, -100.37352811899967)",
KENTUCKY,2014,14,,-,9,,21,,80,,91,,"KENTUCKY
(37.645973909000475, -84.77496612599964)",
MICHIGAN,2014,14,5,,17,,42,,124,,195,,"MICHIGAN
(44.66131575600048, -84.71438724399968)",
MINNESOTA,2014,14,,-,0,,0,,,-,,-,"MINNESOTA
(46.35564867700049, -94.79419697699967)",
RHODE ISLAND,2014,14,,-,2,,13,,15,,13,,"RHODE ISLAND
(41.70828281900049, -71.52246918099962)",
NEW HAMPSHIRE,2014,14,,-,4,,11,,29,,27,,"NEW HAMPSHIRE
(43.6559537330005, -71.50035726399966)",
OKLAHOMA,2014,14,,-,12,,49,,79,,96,,"OKLAHOMA
(35.472034350000456, -97.52106845499969)",
TEXAS,2014,14,24,,80,,534,,387,,508,,"TEXAS
(31.827243635000457, -99.4267664729997)",
UNITED STATES,2014,15,157,,951,,1603,,6379,,8026,,,
NEW ENGLAND,2014,15,1,,36,,78,,278,,335,,,
CONNECTICUT,2014,15,,-,7,,21,,49,,73,,,
MAINE,2014,15,1,,2,,11,,22,,23,,,
MASSACHUSETTS,2014,15,,-,19,,56,,143,,180,,,
NEW HAMPSHIRE,2014,15,,-,3,,11,,29,,28,,,
RHODE ISLAND,2014,15,,-,2,,13,,15,,14,,,
VERMONT,2014,15,,-,1,,6,,20,,17,,,
MID. ATLANTIC,2014,15,19,,97,,198,,580,,847,,,
NEW JERSEY,2014,15,,-,18,,46,,33,,176,,,
NEW YORK,2014,15,19,,25,,72,,201,,192,,,
NEW YORK CITY,2014,15,,-,20,,52,,189,,209,,,
PENNSYLVANIA,2014,15,,-,28,,63,,157,,270,,,
E.N. CENTRAL,2014,15,13,,102,,173,,626,,1048,,,
ILLINOIS,2014,15,,-,31,,65,,202,,345,,,
INDIANA,2014,15,,-,14,,27,,54,,130,,,
MICHIGAN,2014,15,,-,17,,42,,124,,205,,,
OHIO,2014,15,13,,23,,42,,226,,204,,,
WISCONSIN,2014,15,,-,15,,41,,20,,164,,,
W.N. CENTRAL,2014,15,9,,60,,119,,281,,634,,,
IOWA,2014,15,,-,9,,36,,64,,111,,,
KANSAS,2014,15,,-,7,,18,,46,,75,,,
MINNESOTA,2014,15,,-,13,,54,,,-,163,,,
MISSOURI,2014,15,9,,18,,38,,100,,158,,,
NEBRASKA,2014,15,,-,5,,20,,28,,56,,,
NORTH DAKOTA,2014,15,,-,2,,7,,15,,24,,,
SOUTH DAKOTA,2014,15,,-,3,,10,,28,,47,,,
S. ATLANTIC,2014,15,40,,248,,459,,2003,,1956,,,
DELAWARE,2014,15,,-,2,,8,,14,,13,,,
DIST. OF COL.,2014,15,,-,1,,3,,3,,16,,,
FLORIDA,2014,15,,-,111,,228,,925,,894,,,
GEORGIA,2014,15,7,,34,,102,,232,,284,,,
MARYLAND,2014,15,8,,16,,37,,157,,161,,,
NORTH CAROLINA,2014,15,17,,35,,136,,381,,276,,,
SOUTH CAROLINA,2014,15,,-,20,,52,,125,,143,,,
VIRGINIA,2014,15,8,,19,,41,,146,,133,,,
C.N.M.I.,2014,34,,-,,-,,-,,-,,-,"C.N.M.I.
",
WEST VIRGINIA,2014,15,,-,3,,9,,20,,36,,"WEST, VIRGINIA
",
E.S. CENTRAL,2014,15,11,,58,,148,,475,,452,,,
ALABAMA,2014,15,4,,18,,79,,166,,133,,,
KENTUCKY,2014,15,3,,9,,21,,95,,98,,,
MISSISSIPPI,2014,15,,-,14,,41,,86,,99,,,
TENNESSEE,2014,15,4,,16,,36,,128,,122,,,
W.S. CENTRAL,2014,15,16,,129,,552,,661,,902,,,
ARKANSAS,2014,15,2,,13,,37,,59,,62,,,
LOUISIANA,2014,15,,-,19,,43,,116,,172,,,
OKLAHOMA,2014,15,,-,12,,49,,79,,114,,,
TEXAS,2014,15,14,,80,,535,,407,,554,,,
MOUNTAIN,2014,15,8,,56,,260,,419,,525,,,
ARIZONA,2014,15,1,,19,,35,,122,,185,,,
COLORADO,2014,15,,-,12,,35,,90,,95,,,
IDAHO,2014,15,2,,2,,9,,29,,28,,,
MONTANA,2014,15,4,,2,,9,,30,,18,,,
NEVADA,2014,15,,-,4,,205,,21,,47,,,
NEW MEXICO,2014,15,,-,6,,19,,47,,82,,,
UTAH,2014,15,1,,6,,17,,78,,63,,,
WYOMING,2014,15,,-,1,,4,,2,,7,,,
PACIFIC,2014,15,40,,118,,220,,1056,,1327,,,
ALASKA,2014,15,1,,1,,6,,17,,17,,,
CALIFORNIA,2014,15,33,,85,,174,,838,,1086,,,
HAWAII,2014,15,,-,7,,13,,56,,54,,,
OREGON,2014,15,6,,6,,25,,67,,75,,,
WASHINGTON,2014,15,,-,10,,84,,78,,95,,,
AMER. SAMOA,2014,15,,-,,-,,-,,-,,-,,
C.N.M.I.,2014,15,,-,,-,,-,,-,,-,,
GUAM,2014,15,,-,0,,0,,,-,,-,,
PUERTO RICO,2014,15,1,,6,,43,,56,,109,,,
VIRGIN ISL.,2014,15,,-,0,,0,,,-,,-,,
UNITED STATES,2014,16,295,,951,,1608,,6998,,8761,,,
NEW ENGLAND,2014,16,5,,36,,78,,313,,374,,,
MID. ATLANTIC,2014,16,39,,97,,198,,633,,930,,,
E.N. CENTRAL,2014,16,26,,101,,173,,702,,1128,,,
W.N. CENTRAL,2014,16,2,,58,,119,,303,,702,,,
S. ATLANTIC,2014,16,104,,248,,461,,2175,,2109,,,
E.S. CENTRAL,2014,16,12,,59,,148,,516,,485,,,
W.S. CENTRAL,2014,16,31,,129,,552,,728,,1015,,,
MOUNTAIN,2014,16,22,,56,,260,,452,,587,,,
PACIFIC,2014,16,54,,118,,220,,1176,,1431,,,
MASSACHUSETTS,2014,16,,-,19,,56,,143,,202,,"MASSACHUSETTS
(42.27687306500047, -72.08268985899963)",
WASHINGTON,2014,16,10,,10,,84,,88,,103,,"WASHINGTON
(47.522287905000496, -120.47002746299972)",
OKLAHOMA,2014,16,,-,12,,49,,79,,129,,"OKLAHOMA
(35.472034350000456, -97.52106845499969)",
KENTUCKY,2014,16,1,,9,,21,,101,,106,,"KENTUCKY
(37.645973909000475, -84.77496612599964)",
NEVADA,2014,16,,-,4,,205,,20,,51,,"NEVADA
(39.49324126500045, -117.07183978499972)",
FLORIDA,2014,16,70,,111,,228,,1022,,962,,"FLORIDA
(28.932042899000464, -81.92895558499964)",
MAINE,2014,16,2,,2,,11,,26,,25,,"MAINE
(45.254228663000504, -68.98502952999962)",
VIRGIN ISL.,2014,16,,-,0,,0,,,-,,-,"VIRGIN ISL.
(39.52368635500045, -99.11415045099966)",
NEW HAMPSHIRE,2014,16,,-,3,,11,,29,,32,,"NEW HAMPSHIRE
(43.6559537330005, -71.50035726399966)",
ALASKA,2014,16,7,,1,,6,,24,,17,,"ALASKA
(64.84507923900048, -147.72205669099972)",
VERMONT,2014,16,,-,1,,6,,21,,17,,"VERMONT
(43.62538292400046, -72.51763944499965)",
HAWAII,2014,16,,-,7,,13,,61,,66,,"HAWAII
(21.30485166200043, -157.85774691599974)",
CONNECTICUT,2014,16,1,,7,,21,,76,,80,,"CONNECTICUT
(41.56266394200048, -72.64983753699966)",
NEW YORK CITY,2014,16,14,,20,,52,,203,,228,,"NEW YORK CITY
(40.71426755700048, -74.00596858999967)",
ARKANSAS,2014,16,4,,13,,37,,62,,68,,"ARKANSAS
(34.748651751000466, -92.27448794899965)",
C.N.M.I.,2014,16,,-,,-,,-,,-,,-,"C.N.M.I.
(39.52368635500045, -99.11415045099966)",
NEW MEXICO,2014,16,,-,6,,19,,49,,93,,"NEW MEXICO
(34.52088247800049, -106.24057768899968)",
WEST VIRGINIA,2014,16,,-,3,,9,,23,,36,,"WEST VIRGINIA
(38.665511497000466, -80.71263935099967)",
NEBRASKA,2014,16,,-,5,,20,,32,,61,,"NEBRASKA
(41.64104043900045, -99.36571864599966)",
PUERTO RICO,2014,16,,-,6,,43,,56,,115,,"PUERTO RICO
(26.649497232000442, -98.34556876399967)",
NEW JERSEY,2014,16,,-,18,,46,,34,,187,,"NEW JERSEY
(40.1305700530005, -74.27368565099965)",
MICHIGAN,2014,16,4,,17,,42,,140,,222,,"MICHIGAN
(44.66131575600048, -84.71438724399968)",
SOUTH DAKOTA,2014,16,,-,3,,10,,28,,51,,"SOUTH DAKOTA
(44.35313342000046, -100.37352811899967)",
NORTH DAKOTA,2014,16,,-,2,,7,,17,,26,,"NORTH DAKOTA
(47.47531738700047, -100.11842599699969)",
WISCONSIN,2014,16,,-,15,,41,,21,,172,,"WISCONSIN
(44.3931903350005, -89.81636715299965)",
IDAHO,2014,16,3,,2,,9,,34,,28,,"IDAHO
(43.682630058000484, -114.3637261449997)",
NEW YORK,2014,16,15,,25,,72,,216,,210,,"NEW YORK
(42.82700023900048, -75.54396639699968)",
TENNESSEE,2014,16,10,,15,,36,,142,,133,,"TENNESSEE
(35.680943063000484, -85.77448642199965)",
GUAM,2014,16,,-,,-,,-,,-,,-,"GUAM
(13.355173397000442, 144.70297250000056)",
DIST. OF COL.,2014,16,,-,1,,3,,3,,17,,"DIST. OF COL.
(39.52368635500045, -99.11415045099966)",
COLORADO,2014,16,13,,12,,35,,103,,112,,"COLORADO
(38.84384047000049, -106.13360888799969)",
MARYLAND,2014,16,8,,16,,37,,165,,171,,"MARYLAND
(39.2905806980005, -76.60925970899967)",
RHODE ISLAND,2014,16,2,,2,,13,,18,,18,,"RHODE ISLAND
(41.70828281900049, -71.52246918099962)",
OHIO,2014,16,22,,22,,42,,248,,226,,"OHIO
(40.06021029700048, -82.40425685299965)",
VIRGINIA,2014,16,6,,19,,41,,158,,165,,"VIRGINIA
(37.54268075100049, -78.45788924199968)",
OREGON,2014,16,1,,6,,25,,69,,87,,"OREGON
(44.567446178000466, -120.15502977999972)",
MINNESOTA,2014,16,,-,13,,54,,,-,185,,"MINNESOTA
(46.35564867700049, -94.79419697699967)",
DELAWARE,2014,16,,-,2,,8,,16,,16,,"DELAWARE
(39.00883351400046, -75.57773943699965)",
UTAH,2014,16,5,,6,,17,,89,,74,,"UTAH
(39.36070374600047, -111.5871285339997)",
MISSISSIPPI,2014,16,,-,14,,41,,97,,107,,"MISSISSIPPI
(32.74551123200047, -89.53802764499966)",
NORTH CAROLINA,2014,16,16,,35,,136,,397,,283,,"NORTH CAROLINA
(35.46622388600048, -79.15924924699965)",
MONTANA,2014,16,1,,2,,9,,33,,18,,"MONTANA
(47.066526051000494, -109.42441687999968)",
MISSOURI,2014,16,,-,18,,38,,100,,173,,"MISSOURI
(38.63579372300046, -92.56629737199967)",
IOWA,2014,16,2,,8,,36,,80,,120,,"IOWA
(42.469404401000475, -93.81648936699969)",
AMER. SAMOA,2014,16,,-,,-,,-,,-,,-,"AMER. SAMOA
(39.52368635500045, -99.11415045099966)",
INDIANA,2014,16,,-,13,,27,,57,,140,,"INDIANA
(39.76691364600049, -86.14995579899966)",
LOUISIANA,2014,16,5,,19,,43,,129,,189,,"LOUISIANA
(31.312662564000448, -92.44567554599968)",
PENNSYLVANIA,2014,16,10,,28,,63,,180,,305,,"PENNSYLVANIA
(40.79373106100047, -77.86069775999965)",
WYOMING,2014,16,,-,1,,4,,2,,9,,"WYOMING
(43.23554147100049, -108.10982744299969)",
ILLINOIS,2014,16,,-,30,,65,,236,,368,,"ILLINOIS
(40.48501278700047, -88.99770813999965)",
ALABAMA,2014,16,1,,18,,80,,176,,139,,"ALABAMA
(32.84057327200048, -86.63185803899967)",
KANSAS,2014,16,,-,7,,18,,46,,86,,"KANSAS
(38.34774033400049, -98.20077655499966)",
TEXAS,2014,16,22,,80,,535,,458,,629,,"TEXAS
(31.827243635000457, -99.4267664729997)",
GEORGIA,2014,16,3,,34,,102,,244,,301,,"GEORGIA
(32.83968004200045, -83.62757601199968)",
CALIFORNIA,2014,16,36,,85,,174,,934,,1158,,"CALIFORNIA
(37.638640488000476, -120.99999889499969)",
SOUTH CAROLINA,2014,16,1,,20,,63,,147,,158,,"SOUTH CAROLINA
(33.99882060100049, -81.04536765699964)",
ARIZONA,2014,16,,-,19,,35,,122,,202,,"ARIZONA
(34.865973091000455, -111.76380949799972)",
UNITED STATES,2014,17,266,,951,,1608,,7523,,9625,,,
NEW ENGLAND,2014,17,2,,33,,78,,349,,439,,,
MID. ATLANTIC,2014,17,39,,97,,198,,674,,1038,,,
E.N. CENTRAL,2014,17,31,,101,,173,,806,,1242,,,
W.N. CENTRAL,2014,17,3,,57,,119,,330,,763,,,
S. ATLANTIC,2014,17,111,,248,,461,,2335,,2275,,,
E.S. CENTRAL,2014,17,23,,59,,148,,555,,527,,,
W.S. CENTRAL,2014,17,29,,129,,552,,783,,1139,,,
MOUNTAIN,2014,17,17,,56,,260,,501,,656,,,
PACIFIC,2014,17,11,,118,,220,,1190,,1546,,,
TEXAS,2014,17,23,,80,,535,,506,,705,,"TEXAS
(31.827243635000457, -99.4267664729997)",
UTAH,2014,17,,-,6,,17,,89,,83,,"UTAH
(39.36070374600047, -111.5871285339997)",
ALABAMA,2014,17,2,,18,,80,,184,,146,,"ALABAMA
(32.84057327200048, -86.63185803899967)",
NEW YORK,2014,17,26,,25,,72,,244,,234,,"NEW YORK
(42.82700023900048, -75.54396639699968)",
OREGON,2014,17,,-,5,,25,,69,,96,,"OREGON
(44.567446178000466, -120.15502977999972)",
ARIZONA,2014,17,,-,19,,35,,154,,224,,"ARIZONA
(34.865973091000455, -111.76380949799972)",
NEW HAMPSHIRE,2014,17,,-,3,,11,,29,,38,,"NEW HAMPSHIRE
(43.6559537330005, -71.50035726399966)",
COLORADO,2014,17,17,,12,,35,,120,,131,,"COLORADO
(38.84384047000049, -106.13360888799969)",
WEST VIRGINIA,2014,17,1,,3,,9,,26,,45,,"WEST VIRGINIA
(38.665511497000466, -80.71263935099967)",
SOUTH CAROLINA,2014,17,3,,20,,63,,156,,173,,"SOUTH CAROLINA
(33.99882060100049, -81.04536765699964)",
NORTH DAKOTA,2014,17,,-,2,,7,,17,,30,,"NORTH DAKOTA
(47.47531738700047, -100.11842599699969)",
NEW JERSEY,2014,17,,-,18,,46,,34,,205,,"NEW JERSEY
(40.1305700530005, -74.27368565099965)",
NEVADA,2014,17,,-,4,,205,,20,,55,,"NEVADA
(39.49324126500045, -117.07183978499972)",
RHODE ISLAND,2014,17,2,,2,,13,,22,,23,,"RHODE ISLAND
(41.70828281900049, -71.52246918099962)",
HAWAII,2014,17,,-,6,,13,,64,,72,,"HAWAII
(21.30485166200043, -157.85774691599974)",
CONNECTICUT,2014,17,,-,7,,21,,76,,89,,"CONNECTICUT
(41.56266394200048, -72.64983753699966)",
MISSOURI,2014,17,,-,18,,38,,100,,191,,"MISSOURI
(38.63579372300046, -92.56629737199967)",
KANSAS,2014,17,1,,7,,18,,62,,93,,"KANSAS
(38.34774033400049, -98.20077655499966)",
MARYLAND,2014,17,7,,16,,37,,174,,180,,"MARYLAND
(39.2905806980005, -76.60925970899967)",
MICHIGAN,2014,17,4,,17,,42,,169,,245,,"MICHIGAN
(44.66131575600048, -84.71438724399968)",
VIRGINIA,2014,17,8,,19,,41,,170,,187,,"VIRGINIA
(37.54268075100049, -78.45788924199968)",
PUERTO RICO,2014,17,,-,6,,43,,60,,122,,"PUERTO RICO
(26.649497232000442, -98.34556876399967)",
VIRGIN ISL.,2014,17,,-,0,,0,,,-,,-,"VIRGIN ISL.
(39.52368635500045, -99.11415045099966)",
TENNESSEE,2014,17,18,,15,,36,,164,,151,,"TENNESSEE
(35.680943063000484, -85.77448642199965)",
FLORIDA,2014,17,59,,111,,228,,1085,,1039,,"FLORIDA
(28.932042899000464, -81.92895558499964)",
MONTANA,2014,17,,-,2,,9,,33,,20,,"MONTANA
(47.066526051000494, -109.42441687999968)",
MINNESOTA,2014,17,,-,13,,54,,,-,200,,"MINNESOTA
(46.35564867700049, -94.79419697699967)",
GUAM,2014,17,,-,,-,,-,,-,,-,"GUAM
(13.355173397000442, 144.70297250000056)",
NEW YORK CITY,2014,17,13,,20,,52,,216,,249,,"NEW YORK CITY
(40.71426755700048, -74.00596858999967)",
DIST. OF COL.,2014,17,,-,1,,3,,3,,19,,"DIST. OF COL.
(39.52368635500045, -99.11415045099966)",
NEW MEXICO,2014,17,,-,6,,19,,49,,103,,"NEW MEXICO
(34.52088247800049, -106.24057768899968)",
ILLINOIS,2014,17,,-,30,,65,,256,,401,,"ILLINOIS
(40.48501278700047, -88.99770813999965)",
IOWA,2014,17,2,,9,,36,,91,,128,,"IOWA
(42.469404401000475, -93.81648936699969)",
OKLAHOMA,2014,17,,-,12,,49,,79,,146,,"OKLAHOMA
(35.472034350000456, -97.52106845499969)",
KENTUCKY,2014,17,3,,9,,21,,107,,113,,"KENTUCKY
(37.645973909000475, -84.77496612599964)",
MISSISSIPPI,2014,17,,-,14,,41,,100,,117,,"MISSISSIPPI
(32.74551123200047, -89.53802764499966)",
NORTH CAROLINA,2014,17,20,,35,,136,,420,,295,,"NORTH CAROLINA
(35.46622388600048, -79.15924924699965)",
ARKANSAS,2014,17,6,,13,,37,,69,,76,,"ARKANSAS
(34.748651751000466, -92.27448794899965)",
ALASKA,2014,17,,-,1,,7,,24,,18,,"ALASKA
(64.84507923900048, -147.72205669099972)",
MASSACHUSETTS,2014,17,,-,18,,56,,174,,246,,"MASSACHUSETTS
(42.27687306500047, -72.08268985899963)",
C.N.M.I.,2014,17,,-,,-,,-,,-,,-,"C.N.M.I.
(39.52368635500045, -99.11415045099966)",
INDIANA,2014,17,,-,13,,27,,84,,162,,"INDIANA
(39.76691364600049, -86.14995579899966)",
VERMONT,2014,17,,-,1,,6,,21,,17,,"VERMONT
(43.62538292400046, -72.51763944499965)",
WISCONSIN,2014,17,,-,15,,41,,22,,189,,"WISCONSIN
(44.3931903350005, -89.81636715299965)",
AMER. SAMOA,2014,17,,-,,-,,-,,-,,-,"AMER. SAMOA
(39.52368635500045, -99.11415045099966)",
MAINE,2014,17,,-,2,,11,,27,,26,,"MAINE
(45.254228663000504, -68.98502952999962)",
WYOMING,2014,17,,-,1,,4,,2,,11,,"WYOMING
(43.23554147100049, -108.10982744299969)",
GEORGIA,2014,17,13,,34,,102,,284,,321,,"GEORGIA
(32.83968004200045, -83.62757601199968)",
NEBRASKA,2014,17,,-,4,,20,,32,,67,,"NEBRASKA
(41.64104043900045, -99.36571864599966)",
PENNSYLVANIA,2014,17,,-,27,,63,,180,,350,,"PENNSYLVANIA
(40.79373106100047, -77.86069775999965)",
DELAWARE,2014,17,,-,2,,8,,17,,16,,"DELAWARE
(39.00883351400046, -75.57773943699965)",
CALIFORNIA,2014,17,,-,85,,174,,934,,1239,,"CALIFORNIA
(37.638640488000476, -120.99999889499969)",
WASHINGTON,2014,17,11,,10,,84,,99,,121,,"WASHINGTON
(47.522287905000496, -120.47002746299972)",
IDAHO,2014,17,,-,2,,9,,34,,29,,"IDAHO
(43.682630058000484, -114.3637261449997)",
SOUTH DAKOTA,2014,17,,-,3,,10,,28,,54,,"SOUTH DAKOTA
(44.35313342000046, -100.37352811899967)",
OHIO,2014,17,27,,22,,42,,275,,245,,"OHIO
(40.06021029700048, -82.40425685299965)",
LOUISIANA,2014,17,,-,19,,43,,129,,212,,"LOUISIANA
(31.312662564000448, -92.44567554599968)",
UNITED STATES,2014,18,386,,951,,1610,,8463,,10415,,,
NEW ENGLAND,2014,18,8,,33,,78,,403,,494,,,
MID. ATLANTIC,2014,18,56,,97,,198,,842,,1140,,,
E.N. CENTRAL,2014,18,33,,95,,173,,870,,1354,,,
W.N. CENTRAL,2014,18,11,,55,,119,,376,,817,,,
S. ATLANTIC,2014,18,125,,248,,461,,2480,,2427,,,
E.S. CENTRAL,2014,18,28,,59,,149,,618,,584,,,
W.S. CENTRAL,2014,18,42,,128,,699,,871,,1224,,,
MOUNTAIN,2014,18,20,,56,,260,,569,,717,,,
PACIFIC,2014,18,63,,118,,221,,1434,,1658,,,
AMER. SAMOA,2014,18,,-,,-,,-,,-,,-,"AMER. SAMOA
(39.52368635500045, -99.11415045099966)",
NEVADA,2014,18,,-,4,,205,,25,,59,,"NEVADA
(39.49324126500045, -117.07183978499972)",
C.N.M.I.,2014,18,,-,,-,,-,,-,,-,"C.N.M.I.
(39.52368635500045, -99.11415045099966)",
KANSAS,2014,18,,-,7,,18,,62,,105,,"KANSAS
(38.34774033400049, -98.20077655499966)",
GUAM,2014,18,,-,,-,,-,,-,,-,"GUAM
(13.355173397000442, 144.70297250000056)",
SOUTH DAKOTA,2014,18,,-,3,,10,,33,,57,,"SOUTH DAKOTA
(44.35313342000046, -100.37352811899967)",
MONTANA,2014,18,2,,2,,9,,36,,21,,"MONTANA
(47.066526051000494, -109.42441687999968)",
WISCONSIN,2014,18,,-,15,,41,,23,,208,,"WISCONSIN
(44.3931903350005, -89.81636715299965)",
MISSISSIPPI,2014,18,,-,14,,41,,102,,129,,"MISSISSIPPI
(32.74551123200047, -89.53802764499966)",
MAINE,2014,18,2,,2,,11,,30,,30,,"MAINE
(45.254228663000504, -68.98502952999962)",
NEW MEXICO,2014,18,,-,6,,19,,49,,107,,"NEW MEXICO
(34.52088247800049, -106.24057768899968)",
UTAH,2014,18,7,,6,,17,,114,,91,,"UTAH
(39.36070374600047, -111.5871285339997)",
ARIZONA,2014,18,3,,19,,34,,179,,248,,"ARIZONA
(34.865973091000455, -111.76380949799972)",
PENNSYLVANIA,2014,18,14,,27,,63,,228,,387,,"PENNSYLVANIA
(40.79373106100047, -77.86069775999965)",
HAWAII,2014,18,4,,6,,13,,78,,80,,"HAWAII
(21.30485166200043, -157.85774691599974)",
INDIANA,2014,18,,-,12,,27,,85,,174,,"INDIANA
(39.76691364600049, -86.14995579899966)",
ALABAMA,2014,18,6,,18,,80,,215,,159,,"ALABAMA
(32.84057327200048, -86.63185803899967)",
MICHIGAN,2014,18,3,,17,,42,,184,,265,,"MICHIGAN
(44.66131575600048, -84.71438724399968)",
ALASKA,2014,18,1,,1,,7,,26,,19,,"ALASKA
(64.84507923900048, -147.72205669099972)",
MINNESOTA,2014,18,,-,12,,54,,,-,208,,"MINNESOTA
(46.35564867700049, -94.79419697699967)",
TEXAS,2014,18,31,,80,,535,,562,,759,,"TEXAS
(31.827243635000457, -99.4267664729997)",
