 Reporting Area,MMWR Year,MMWR Week,"Giardiasis, Current week","Giardiasis, Current week, flag","Giardiasis, Previous 52 weeks Med","Giardiasis, Previous 52 weeks Max","Giardiasis, Previous 52 weeks Med, flag","Giardiasis, Previous 52 weeks Max, flag","Giardiasis, Cum 2015","Giardiasis, Cum 2015, flag","Giardiasis, Cum 2014","Giardiasis, Cum 2014, flag","Gonorrhea,Current week","Gonorrhea,Current week, flag","Gonorrhea,Previous 52 weeks Med","Gonorrhea,Previous 52 weeks Med, flag","Gonorrhea, Previous 52 weeks Max","Gonorrhea, Previous 52 weeks Max, flag","Gonorrhea, Cum 2015","Gonorrhea, Cum 2015, flag","Gonorrhea, Cum 2014","Gonorrhea, Cum 2014, flag","Haemophilus influenzae, invasive§, All ages, all serotypes,Current week","Haemophilus influenzae, invasive§, All ages, all serotypes,Current week, flag","Haemophilus influenzae, invasive§, All ages, all serotypes, Previous 52 weeks Med","Haemophilus influenzae, invasive§, All ages, all serotypes, Previous 52 weeks Med, flag","Haemophilus influenzae, invasive§, All ages, all serotypes, Previous 52 weeks Max","Haemophilus influenzae, invasive§, All ages, all serotypes, Previous 52 weeks Max, flag","Haemophilus influenzae, invasive§, All ages, all serotypes, Cum 2015","Haemophilus influenzae, invasive§, All ages, all serotypes, Cum 2015, flag","Haemophilus influenzae, invasive§, All ages, all serotypes, Cum 2014","Haemophilus influenzae, invasive§, All ages, all serotypes, Cum 2014, flag",Location 1,Location 2
MISSISSIPPI,2015,8,,N,0,,0,,,N,,N,18,,107,,249,,381,,1673,,,-,1,,2,,7,,4,,"MISSISSIPPI
(32.745513440000025, -89.53802722999995)",
PENNSYLVANIA,2015,8,9,,13,,23,,73,,110,,233,,238,,327,,1915,,1937,,1,,3,,9,,33,,33,,"PENNSYLVANIA
(40.79373362300004, -77.86069690799997)",
HAWAII,2015,8,1,,1,,3,,3,,3,,,-,19,,38,,144,,111,,,-,0,,2,,,-,6,,"HAWAII
(21.30485232600006, -157.85774798099996)",
ILLINOIS,2015,8,,-,0,,1,,,-,41,,13,,256,,335,,848,,2103,,,-,3,,7,,11,,18,,"ILLINOIS
(40.48501223300008, -88.99770922699997)",
NEW YORK,2015,8,16,,17,,30,,96,,105,,139,,124,,254,,1079,,712,,1,,3,,15,,26,,16,,"NEW YORK
(42.82700376100007, -75.54396609999998)",
NORTH DAKOTA,2015,8,,-,1,,2,,3,,2,,2,,11,,23,,55,,122,,,-,0,,2,,2,,1,,"NORTH DAKOTA
(47.475318609000055, -100.11842789099995)",
NEW YORK CITY,2015,8,14,,14,,31,,123,,98,,162,,272,,375,,2168,,1962,,3,,1,,6,,18,,18,,"NEW YORK CITY
(40.71426755700003, -74.00596858999995)",
MICHIGAN,2015,8,,-,10,,17,,44,,68,,80,,186,,267,,1351,,1509,,1,,2,,7,,18,,15,,"MICHIGAN
(44.66132238800003, -84.71438555599997)",
WYOMING,2015,8,,-,0,,2,,,-,4,,,-,1,,8,,11,,19,,,-,0,,1,,,-,,-,"WYOMING
(43.23554100600006, -108.10982701399996)",
NEW HAMPSHIRE,2015,8,,-,1,,6,,3,,7,,1,,4,,10,,20,,26,,,-,0,,2,,3,,3,,"NEW HAMPSHIRE
(43.65595283500005, -71.50035697299995)",
WISCONSIN,2015,8,2,,7,,22,,25,,57,,43,,72,,107,,528,,661,,,-,0,,4,,5,,16,,"WISCONSIN
(44.39319064600005, -89.81636640199997)",
ALABAMA,2015,8,2,,3,,10,,20,,26,,137,,136,,182,,1134,,1058,,,-,1,,5,,16,,18,,"ALABAMA
(32.84057234800002, -86.63185738799996)",
TEXAS,2015,8,,N,0,,0,,,N,,N,,-,662,,981,,4424,,4984,,,-,0,,2,,4,,1,,"TEXAS
(31.827240467000024, -99.42676785299994)",
OHIO,2015,8,10,,7,,21,,68,,57,,93,,308,,371,,1972,,2511,,3,,2,,11,,37,,27,,"OHIO
(40.060212455000055, -82.40425667899996)",
KENTUCKY,2015,8,,N,0,,0,,,N,,N,99,,76,,166,,485,,554,,,-,0,,3,,2,,8,,"KENTUCKY
(37.64597313300004, -84.77496771599994)",
IDAHO,2015,8,1,,3,,9,,15,,13,,,-,8,,21,,21,,58,,2,,0,,3,,3,,3,,"IDAHO
(43.68263174800006, -114.36372693399994)",
NORTH CAROLINA,2015,8,,N,0,,0,,,N,,N,427,,245,,901,,3642,,2368,,4,,2,,22,,29,,27,,"NORTH CAROLINA
(35.466220159000045, -79.15924997399998)",
COLORADO,2015,8,,-,7,,16,,37,,48,,31,,60,,87,,530,,469,,,-,1,,5,,16,,16,,"COLORADO
(38.84384342200008, -106.13360911499996)",
WEST VIRGINIA,2015,8,,-,1,,6,,3,,5,,10,,16,,30,,120,,116,,,-,1,,5,,7,,10,,"WEST VIRGINIA
(38.66551127300005, -80.71263755899997)",
MINNESOTA,2015,8,,-,0,,0,,,-,,-,,-,78,,104,,301,,573,,,-,2,,7,,,-,24,,"MINNESOTA
(46.35564896600005, -94.79419983199995)",
UTAH,2015,8,,-,4,,11,,16,,37,,17,,27,,48,,209,,206,,,-,1,,6,,3,,9,,"UTAH
(39.36070123200005, -111.58712831499997)",
ARKANSAS,2015,8,2,,2,,6,,8,,8,,58,,161,,285,,674,,1352,,,-,1,,5,,8,,9,,"ARKANSAS
(34.74865032200006, -92.27448966799994)",
IOWA,2015,8,,-,3,,11,,2,,29,,4,,30,,54,,204,,199,,,-,0,,2,,,-,,-,"IOWA
(42.469401411000035, -93.81648725599996)",
NEW JERSEY,2015,8,,-,0,,9,,,-,54,,51,,126,,170,,947,,1053,,,-,3,,5,,12,,21,,"NEW JERSEY
(40.130570807000026, -74.27368796999997)",
UNITED STATES,2015,9,117,,239,,388,,1491,,1732,,3665,,6603,,7410,,52716,,53618,,24,,63,,116,,582,,655,,,
NEW ENGLAND,2015,9,3,,25,,49,,51,,170,,9,,124,,191,,420,,1308,,1,,4,,10,,23,,35,,,
MID. ATLANTIC,2015,9,24,,45,,75,,319,,411,,523,,775,,953,,6913,,6359,,5,,11,,23,,95,,94,,,
E.N. CENTRAL,2015,9,7,,26,,52,,160,,262,,283,,949,,1237,,6526,,8910,,2,,10,,27,,87,,95,,,
W.N. CENTRAL,2015,9,3,,15,,38,,71,,101,,149,,360,,428,,2894,,2890,,1,,4,,11,,21,,60,,,
S. ATLANTIC,2015,9,37,,46,,89,,373,,372,,1543,,1399,,1986,,13063,,11396,,6,,14,,30,,155,,181,,,
DIST. OF COL.,2015,9,,-,0,,3,,,-,10,,,-,0,,0,,,-,,-,,-,0,,1,,,-,2,,"DIST. OF COL.
",
E.S. CENTRAL,2015,9,1,,3,,10,,22,,29,,129,,446,,640,,3215,,4925,,1,,5,,12,,56,,49,,,
W.S. CENTRAL,2015,9,3,,7,,19,,32,,43,,514,,1062,,1365,,7845,,9186,,3,,4,,15,,45,,38,,,
MOUNTAIN,2015,9,8,,20,,43,,118,,156,,111,,330,,426,,2368,,3192,,,-,6,,14,,66,,73,,,
PACIFIC,2015,9,31,,54,,103,,345,,188,,404,,1112,,1313,,9472,,5452,,5,,3,,7,,34,,30,,,
AMER. SAMOA,2015,9,,-,,,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"AMER. SAMOA
",
C.N.M.I.,2015,9,,-,,,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"C.N.M.I.
",
VIRGIN ISL.,2015,9,,-,0,,0,,,-,,-,,-,1,,6,,9,,16,,,-,0,,0,,,-,,-,"VIRGIN ISL.
",
WEST VIRGINIA,2015,9,,-,1,,6,,3,,7,,9,,16,,30,,131,,133,,,-,1,,5,,9,,11,,"WEST VIRGINIA
(38.66551127300005, -80.71263755899997)",
ALABAMA,2015,9,1,,3,,10,,22,,29,,,-,137,,182,,1134,,1187,,,-,1,,5,,16,,21,,"ALABAMA
(32.84057234800002, -86.63185738799996)",
PENNSYLVANIA,2015,9,4,,13,,23,,79,,120,,190,,241,,327,,2115,,2153,,3,,3,,9,,37,,34,,"PENNSYLVANIA
(40.79373362300004, -77.86069690799997)",
LOUISIANA,2015,9,2,,4,,15,,23,,33,,21,,134,,328,,246,,1112,,,-,0,,4,,7,,12,,"LOUISIANA
(31.312663324000027, -92.44567750499994)",
KENTUCKY,2015,9,,N,0,,0,,,N,,N,67,,76,,166,,553,,644,,,-,0,,3,,2,,8,,"KENTUCKY
(37.64597313300004, -84.77496771599994)",
FLORIDA,2015,9,17,,22,,54,,170,,154,,196,,397,,521,,3159,,3480,,2,,4,,12,,36,,64,,"FLORIDA
(28.932042722000062, -81.92895768899996)",
CONNECTICUT,2015,9,,-,4,,10,,22,,33,,6,,40,,81,,261,,521,,,-,1,,3,,4,,7,,"CONNECTICUT
(41.56266070000004, -72.64983977999998)",
INDIANA,2015,9,,-,2,,11,,8,,22,,77,,138,,280,,1147,,1215,,,-,2,,4,,8,,13,,"INDIANA
(39.766913353000064, -86.14995646699998)",
VIRGINIA,2015,9,3,,5,,18,,26,,15,,173,,149,,372,,1309,,969,,,-,2,,6,,16,,14,,"VIRGINIA
(37.542680705000066, -78.45788932099998)",
GUAM,2015,9,,-,,,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"GUAM
(13.480998894000038, 144.73149801400007)",
HAWAII,2015,9,,-,1,,3,,3,,3,,,-,19,,38,,144,,130,,,-,0,,2,,,-,6,,"HAWAII
(21.30485232600006, -157.85774798099996)",
MISSISSIPPI,2015,9,,N,0,,0,,,N,,N,18,,106,,249,,419,,1874,,,-,1,,2,,7,,6,,"MISSISSIPPI
(32.745513440000025, -89.53802722999995)",
MAINE,2015,9,3,,2,,8,,11,,27,,,-,4,,11,,28,,50,,,-,0,,3,,8,,3,,"MAINE
(45.25422910300006, -68.98502586699993)",
TENNESSEE,2015,9,,N,0,,0,,,N,,N,44,,134,,220,,1109,,1220,,1,,2,,7,,31,,14,,"TENNESSEE
(35.68094072700006, -85.77448666899994)",
MISSOURI,2015,9,,-,5,,13,,25,,23,,119,,146,,203,,1459,,1146,,,-,1,,4,,12,,24,,"MISSOURI
(38.63579147100006, -92.56629944499997)",
ARKANSAS,2015,9,1,,2,,6,,9,,10,,83,,161,,285,,757,,1532,,1,,1,,5,,9,,10,,"ARKANSAS
(34.74865032200006, -92.27448966799994)",
TEXAS,2015,9,,N,0,,0,,,N,,N,388,,657,,975,,6264,,5699,,,-,0,,2,,4,,2,,"TEXAS
(31.827240467000024, -99.42676785299994)",
MONTANA,2015,9,1,,2,,4,,8,,8,,,-,9,,17,,116,,63,,,-,0,,3,,,-,3,,"MONTANA
(47.06652795700006, -109.42441587999997)",
NEW JERSEY,2015,9,,-,0,,9,,,-,58,,36,,127,,170,,1088,,1173,,,-,3,,5,,12,,23,,"NEW JERSEY
(40.130570807000026, -74.27368796999997)",
OKLAHOMA,2015,9,,-,0,,0,,,-,,-,22,,83,,130,,578,,843,,2,,2,,9,,25,,14,,"OKLAHOMA
(35.472030747000076, -97.52106835299998)",
NORTH CAROLINA,2015,9,,N,0,,0,,,N,,N,1026,,245,,901,,4682,,2633,,4,,2,,22,,33,,28,,"NORTH CAROLINA
(35.466220159000045, -79.15924997399998)",
CALIFORNIA,2015,9,22,,36,,68,,249,,114,,245,,901,,1113,,7807,,3863,,,-,0,,3,,6,,1,,"CALIFORNIA
(37.63864210000003, -120.99999644699994)",
MARYLAND,2015,9,3,,4,,11,,41,,50,,,-,113,,196,,660,,784,,,-,1,,5,,16,,14,,"MARYLAND
(39.290582950000044, -76.60925984299996)",
ARIZONA,2015,9,5,,2,,11,,22,,13,,81,,140,,205,,962,,1147,,,-,1,,8,,26,,25,,"ARIZONA
(34.86597351900008, -111.76380664699997)",
NEVADA,2015,9,,-,1,,5,,8,,7,,,-,48,,76,,78,,826,,,-,0,,2,,7,,3,,"NEVADA
(39.49324221300003, -117.07183885899997)",
IDAHO,2015,9,2,,3,,9,,17,,14,,1,,8,,21,,36,,71,,,-,0,,3,,3,,3,,"IDAHO
(43.68263174800006, -114.36372693399994)",
ALASKA,2015,9,,-,1,,8,,7,,6,,5,,23,,38,,142,,262,,,-,0,,2,,1,,4,,"ALASKA
(64.84507799500005, -147.72205958799998)",
WASHINGTON,2015,9,7,,7,,59,,25,,16,,103,,120,,164,,861,,837,,,-,0,,2,,,-,1,,"WASHINGTON
(47.52228790000004, -120.47002813699999)",
MINNESOTA,2015,9,,-,0,,0,,,-,,-,2,,78,,104,,469,,645,,,-,2,,7,,,-,24,,"MINNESOTA
(46.35564896600005, -94.79419983199995)",
OHIO,2015,9,4,,7,,21,,72,,59,,95,,307,,372,,2261,,2833,,2,,2,,11,,39,,31,,"OHIO
(40.060212455000055, -82.40425667899996)",
MICHIGAN,2015,9,2,,9,,17,,51,,79,,63,,185,,267,,1508,,1694,,,-,2,,7,,19,,16,,"MICHIGAN
(44.66132238800003, -84.71438555599997)",
UTAH,2015,9,,-,4,,11,,17,,42,,6,,27,,48,,226,,220,,,-,1,,6,,3,,10,,"UTAH
(39.36070123200005, -111.58712831499997)",
NEW HAMPSHIRE,2015,9,,-,1,,6,,3,,8,,,-,4,,10,,24,,29,,,-,0,,2,,4,,3,,"NEW HAMPSHIRE
(43.65595283500005, -71.50035697299995)",
DELAWARE,2015,9,,-,0,,2,,3,,4,,25,,24,,46,,171,,199,,,-,0,,3,,3,,3,,"DELAWARE
(39.00883389200004, -75.57773597599999)",
ILLINOIS,2015,9,,-,0,,1,,,-,41,,4,,260,,337,,1020,,2439,,,-,3,,8,,16,,19,,"ILLINOIS
(40.48501223300008, -88.99770922699997)",
NEW MEXICO,2015,9,,-,2,,7,,9,,12,,10,,43,,72,,356,,336,,,-,1,,3,,11,,10,,"NEW MEXICO
(34.52088149400004, -106.24057817299996)",
NORTH DAKOTA,2015,9,,-,1,,2,,3,,2,,,-,10,,23,,55,,140,,,-,0,,2,,2,,2,,"NORTH DAKOTA
(47.475318609000055, -100.11842789099995)",
KANSAS,2015,9,,-,2,,6,,6,,12,,21,,49,,81,,355,,384,,,-,0,,3,,5,,7,,"KANSAS
(38.347742794000055, -98.20077822999997)",
VERMONT,2015,9,,-,3,,8,,15,,14,,,-,1,,6,,12,,6,,1,,0,,2,,4,,2,,"VERMONT
(43.62538389600007, -72.51763667599994)",
NEBRASKA,2015,9,3,,2,,9,,27,,21,,,-,29,,55,,204,,220,,1,,0,,3,,2,,3,,"NEBRASKA
(41.64104362100005, -99.36571888999998)",
OREGON,2015,9,2,,7,,14,,61,,49,,51,,44,,131,,518,,360,,5,,1,,5,,27,,18,,"OREGON
(44.56745049300008, -120.15502935599994)",
NEW YORK CITY,2015,9,16,,14,,31,,139,,112,,175,,276,,376,,2508,,2222,,1,,1,,6,,19,,20,,"NEW YORK CITY
(40.71426755700003, -74.00596858999995)",
WISCONSIN,2015,9,1,,7,,22,,29,,61,,44,,72,,107,,590,,729,,,-,1,,4,,5,,16,,"WISCONSIN
(44.39319064600005, -89.81636640199997)",
IOWA,2015,9,,-,3,,11,,2,,30,,5,,30,,54,,238,,229,,,-,0,,2,,,-,,-,"IOWA
(42.469401411000035, -93.81648725599996)",
SOUTH DAKOTA,2015,9,,-,2,,9,,8,,13,,2,,16,,27,,114,,126,,,-,0,,0,,,-,,-,"SOUTH DAKOTA
(44.35313004200003, -100.37352915599996)",
SOUTH CAROLINA,2015,9,,-,3,,10,,18,,16,,114,,157,,231,,1302,,1382,,,-,1,,5,,23,,14,,"SOUTH CAROLINA
(33.99882216300006, -81.04536596899999)",
RHODE ISLAND,2015,9,,-,0,,5,,,-,,-,3,,11,,28,,95,,85,,,-,0,,3,,3,,2,,"RHODE ISLAND
(41.70828106100004, -71.52246566099996)",
WYOMING,2015,9,,-,0,,2,,,-,6,,,-,1,,8,,17,,19,,,-,0,,1,,,-,,-,"WYOMING
(43.23554100600006, -108.10982701399996)",
GEORGIA,2015,9,14,,12,,33,,112,,116,,,-,260,,322,,1649,,1816,,,-,2,,7,,19,,31,,"GEORGIA
(32.839683200000024, -83.62757885599996)",
PUERTO RICO,2015,9,,-,0,,3,,,-,5,,,-,8,,30,,61,,76,,,-,0,,1,,1,,,-,"PUERTO RICO
(18.24828934900006, -66.49988980099994)",
MASSACHUSETTS,2015,9,,-,12,,26,,,-,88,,,-,71,,113,,,-,617,,,-,2,,8,,,-,18,,"MASSACHUSETTS
(42.27687400000008, -72.08268726299997)",
NEW YORK,2015,9,4,,17,,30,,101,,121,,122,,125,,254,,1202,,811,,1,,3,,15,,27,,17,,"NEW YORK
(42.82700376100007, -75.54396609999998)",
COLORADO,2015,9,,-,7,,16,,37,,54,,13,,60,,88,,577,,510,,,-,1,,5,,16,,19,,"COLORADO
(38.84384342200008, -106.13360911499996)",
UNITED STATES,2015,10,157,,243,,390,,1824,,2138,,3126,,6646,,7400,,58693,,59430,,37,,62,,117,,657,,737,,,
NEW ENGLAND,2015,10,13,,24,,49,,138,,202,,69,,126,,196,,1111,,1420,,2,,4,,10,,43,,37,,,
MID. ATLANTIC,2015,10,37,,44,,75,,362,,467,,614,,776,,952,,7760,,7054,,6,,10,,23,,105,,105,,,
E.N. CENTRAL,2015,10,16,,26,,52,,186,,285,,313,,963,,1248,,7357,,9881,,3,,10,,27,,95,,105,,,
W.N. CENTRAL,2015,10,7,,15,,38,,83,,113,,144,,357,,428,,3203,,3248,,,-,4,,11,,22,,65,,,
S. ATLANTIC,2015,10,39,,49,,89,,441,,412,,592,,1402,,1986,,13765,,12767,,13,,14,,30,,170,,203,,,
DIST. OF COL.,2015,10,,-,0,,3,,,-,12,,,-,0,,0,,,-,,-,,-,0,,1,,,-,2,,"DIST. OF COL.
",
E.S. CENTRAL,2015,10,2,,3,,10,,28,,31,,175,,444,,640,,3517,,5433,,6,,4,,12,,65,,54,,,
W.S. CENTRAL,2015,10,4,,6,,19,,36,,50,,708,,1071,,1365,,8812,,10177,,2,,4,,15,,46,,43,,,
MOUNTAIN,2015,10,13,,20,,43,,135,,171,,123,,333,,426,,2597,,3518,,2,,6,,14,,71,,83,,,
PACIFIC,2015,10,26,,54,,103,,415,,407,,388,,1111,,1317,,10571,,5932,,3,,3,,8,,40,,42,,,
AMER. SAMOA,2015,10,,-,,,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"AMER. SAMOA
",
C.N.M.I.,2015,10,,-,,,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"C.N.M.I.
",
VIRGIN ISL.,2015,10,,-,0,,0,,,-,,-,,-,1,,6,,9,,17,,,-,0,,0,,,-,,-,"VIRGIN ISL.
",
IDAHO,2015,10,1,,3,,9,,18,,16,,10,,8,,21,,59,,80,,2,,0,,3,,5,,4,,"IDAHO
(43.68263174800006, -114.36372693399994)",
MARYLAND,2015,10,,-,5,,11,,43,,53,,,-,113,,196,,660,,865,,3,,1,,5,,19,,14,,"MARYLAND
(39.290582950000044, -76.60925984299996)",
NEW YORK,2015,10,16,,17,,30,,117,,143,,154,,124,,255,,1356,,952,,4,,3,,15,,31,,21,,"NEW YORK
(42.82700376100007, -75.54396609999998)",
WYOMING,2015,10,,-,0,,2,,,-,6,,,-,1,,8,,17,,20,,,-,0,,1,,,-,,-,"WYOMING
(43.23554100600006, -108.10982701399996)",
ARIZONA,2015,10,1,,2,,11,,23,,13,,,-,138,,205,,962,,1292,,,-,1,,8,,28,,32,,"ARIZONA
(34.86597351900008, -111.76380664699997)",
MISSISSIPPI,2015,10,,N,0,,0,,,N,,N,62,,105,,249,,488,,2079,,1,,1,,2,,10,,8,,"MISSISSIPPI
(32.745513440000025, -89.53802722999995)",
SOUTH DAKOTA,2015,10,,-,2,,9,,10,,16,,,-,16,,27,,113,,145,,,-,0,,0,,,-,,-,"SOUTH DAKOTA
(44.35313004200003, -100.37352915599996)",
MISSOURI,2015,10,,-,5,,13,,25,,26,,109,,146,,203,,1607,,1283,,,-,1,,4,,12,,25,,"MISSOURI
(38.63579147100006, -92.56629944499997)",
ALABAMA,2015,10,2,,3,,10,,28,,31,,,-,138,,181,,1256,,1309,,,-,1,,5,,17,,22,,"ALABAMA
(32.84057234800002, -86.63185738799996)",
NEW MEXICO,2015,10,,-,2,,7,,10,,13,,7,,43,,72,,390,,370,,,-,1,,3,,12,,11,,"NEW MEXICO
(34.52088149400004, -106.24057817299996)",
WEST VIRGINIA,2015,10,,-,1,,6,,5,,7,,16,,16,,31,,151,,147,,,-,1,,5,,10,,11,,"WEST VIRGINIA
(38.66551127300005, -80.71263755899997)",
SOUTH CAROLINA,2015,10,2,,2,,10,,20,,21,,223,,156,,231,,1525,,1546,,,-,1,,5,,23,,16,,"SOUTH CAROLINA
(33.99882216300006, -81.04536596899999)",
RHODE ISLAND,2015,10,,-,0,,6,,,-,5,,,-,11,,28,,95,,90,,,-,0,,3,,3,,2,,"RHODE ISLAND
(41.70828106100004, -71.52246566099996)",
INDIANA,2015,10,,-,2,,11,,9,,24,,51,,138,,280,,1261,,1335,,,-,2,,4,,8,,15,,"INDIANA
(39.766913353000064, -86.14995646699998)",
NEBRASKA,2015,10,7,,2,,9,,35,,24,,19,,29,,55,,255,,248,,,-,0,,3,,2,,4,,"NEBRASKA
(41.64104362100005, -99.36571888999998)",
OKLAHOMA,2015,10,,-,0,,0,,,-,,-,15,,84,,130,,655,,924,,1,,2,,9,,26,,16,,"OKLAHOMA
(35.472030747000076, -97.52106835299998)",
ARKANSAS,2015,10,4,,2,,6,,13,,15,,41,,161,,285,,798,,1666,,1,,1,,5,,9,,11,,"ARKANSAS
(34.74865032200006, -92.27448966799994)",
MONTANA,2015,10,3,,2,,4,,11,,8,,8,,10,,19,,142,,62,,,-,0,,2,,,-,3,,"MONTANA
(47.06652795700006, -109.42441587999997)",
MINNESOTA,2015,10,,-,0,,0,,,-,,-,,-,78,,104,,474,,720,,,-,2,,7,,,-,25,,"MINNESOTA
(46.35564896600005, -94.79419983199995)",
TENNESSEE,2015,10,,N,0,,0,,,N,,N,32,,134,,220,,1141,,1324,,5,,2,,7,,36,,16,,"TENNESSEE
(35.68094072700006, -85.77448666899994)",
NORTH DAKOTA,2015,10,,-,1,,2,,4,,3,,,-,10,,23,,69,,153,,,-,0,,2,,3,,3,,"NORTH DAKOTA
(47.475318609000055, -100.11842789099995)",
WISCONSIN,2015,10,1,,7,,22,,32,,67,,46,,72,,107,,656,,795,,,-,1,,4,,5,,16,,"WISCONSIN
(44.39319064600005, -89.81636640199997)",
MICHIGAN,2015,10,3,,9,,17,,63,,90,,109,,188,,267,,1713,,1876,,,-,2,,7,,22,,17,,"MICHIGAN
(44.66132238800003, -84.71438555599997)",
IOWA,2015,10,,-,3,,11,,2,,32,,4,,31,,54,,275,,258,,,-,0,,2,,,-,,-,"IOWA
(42.469401411000035, -93.81648725599996)",
CALIFORNIA,2015,10,3,,36,,68,,284,,325,,230,,902,,1117,,8735,,4169,,,-,0,,3,,9,,10,,"CALIFORNIA
(37.63864210000003, -120.99999644699994)",
LOUISIANA,2015,10,,-,4,,15,,23,,35,,21,,132,,328,,268,,1256,,,-,0,,4,,7,,14,,"LOUISIANA
(31.312663324000027, -92.44567750499994)",
TEXAS,2015,10,,N,0,,0,,,N,,N,631,,662,,976,,7091,,6331,,,-,0,,2,,4,,2,,"TEXAS
(31.827240467000024, -99.42676785299994)",
PUERTO RICO,2015,10,,-,0,,3,,,-,6,,,-,9,,39,,100,,77,,,-,0,,1,,1,,,-,"PUERTO RICO
(18.24828934900006, -66.49988980099994)",
VERMONT,2015,10,1,,2,,8,,16,,18,,,-,1,,6,,13,,6,,,-,0,,2,,4,,2,,"VERMONT
(43.62538389600007, -72.51763667599994)",
WASHINGTON,2015,10,18,,7,,63,,42,,20,,91,,120,,164,,952,,936,,,-,0,,2,,,-,1,,"WASHINGTON
(47.52228790000004, -120.47002813699999)",
HAWAII,2015,10,,-,1,,3,,3,,3,,,-,19,,38,,144,,150,,,-,0,,2,,,-,7,,"HAWAII
(21.30485232600006, -157.85774798099996)",
KANSAS,2015,10,,-,2,,6,,7,,12,,12,,49,,81,,410,,441,,,-,0,,3,,5,,8,,"KANSAS
(38.347742794000055, -98.20077822999997)",
GEORGIA,2015,10,8,,12,,33,,142,,128,,118,,259,,322,,1882,,2077,,,-,2,,7,,19,,33,,"GEORGIA
(32.839683200000024, -83.62757885599996)",
NORTH CAROLINA,2015,10,,N,0,,0,,,N,,N,57,,252,,1026,,4739,,2858,,5,,2,,22,,38,,34,,"NORTH CAROLINA
(35.466220159000045, -79.15924997399998)",
COLORADO,2015,10,6,,7,,16,,43,,59,,80,,59,,89,,689,,585,,,-,1,,5,,16,,20,,"COLORADO
(38.84384342200008, -106.13360911499996)",
MAINE,2015,10,2,,2,,8,,13,,28,,,-,4,,11,,28,,53,,1,,0,,3,,9,,4,,"MAINE
(45.25422910300006, -68.98502586699993)",
MASSACHUSETTS,2015,10,10,,12,,26,,82,,104,,38,,71,,113,,620,,669,,1,,2,,8,,19,,19,,"MASSACHUSETTS
(42.27687400000008, -72.08268726299997)",
NEVADA,2015,10,,-,1,,5,,11,,8,,,-,48,,76,,78,,866,,,-,0,,2,,7,,3,,"NEVADA
(39.49324221300003, -117.07183885899997)",
UTAH,2015,10,2,,4,,11,,19,,48,,18,,27,,48,,260,,243,,,-,1,,6,,3,,10,,"UTAH
(39.36070123200005, -111.58712831499997)",
OHIO,2015,10,12,,7,,21,,82,,63,,102,,307,,372,,2537,,3131,,3,,2,,11,,42,,33,,"OHIO
(40.060212455000055, -82.40425667899996)",
ILLINOIS,2015,10,,-,0,,1,,,-,41,,5,,274,,345,,1190,,2744,,,-,3,,8,,18,,24,,"ILLINOIS
(40.48501223300008, -88.99770922699997)",
GUAM,2015,10,,-,,,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"GUAM
(13.480998894000038, 144.73149801400007)",
PENNSYLVANIA,2015,10,3,,12,,23,,88,,138,,234,,241,,327,,2370,,2366,,2,,3,,9,,41,,36,,"PENNSYLVANIA
(40.79373362300004, -77.86069690799997)",
DELAWARE,2015,10,,-,0,,2,,4,,4,,24,,24,,46,,195,,241,,,-,0,,3,,4,,4,,"DELAWARE
(39.00883389200004, -75.57773597599999)",
NEW YORK CITY,2015,10,18,,14,,31,,157,,122,,176,,279,,377,,2831,,2462,,,-,1,,6,,19,,21,,"NEW YORK CITY
(40.71426755700003, -74.00596858999995)",
VIRGINIA,2015,10,2,,5,,18,,30,,20,,154,,149,,367,,1454,,1191,,,-,1,,6,,16,,16,,"VIRGINIA
(37.542680705000066, -78.45788932099998)",
NEW HAMPSHIRE,2015,10,,-,1,,6,,5,,9,,,-,4,,10,,24,,29,,,-,0,,2,,4,,3,,"NEW HAMPSHIRE
(43.65595283500005, -71.50035697299995)",
NEW JERSEY,2015,10,,-,0,,9,,,-,64,,50,,127,,170,,1203,,1274,,,-,3,,5,,14,,27,,"NEW JERSEY
(40.130570807000026, -74.27368796999997)",
KENTUCKY,2015,10,,N,0,,0,,,N,,N,81,,75,,166,,632,,721,,,-,0,,3,,2,,8,,"KENTUCKY
(37.64597313300004, -84.77496771599994)",
OREGON,2015,10,4,,7,,14,,77,,52,,63,,44,,131,,582,,398,,2,,1,,5,,29,,20,,"OREGON
(44.56745049300008, -120.15502935599994)",
FLORIDA,2015,10,27,,22,,54,,197,,167,,,-,397,,521,,3159,,3842,,5,,3,,12,,41,,73,,"FLORIDA
(28.932042722000062, -81.92895768899996)",
CONNECTICUT,2015,10,,-,4,,10,,22,,38,,31,,40,,81,,331,,573,,,-,1,,3,,4,,7,,"CONNECTICUT
(41.56266070000004, -72.64983977999998)",
ALASKA,2015,10,1,,1,,8,,9,,7,,4,,23,,38,,158,,279,,1,,0,,2,,2,,4,,"ALASKA
(64.84507799500005, -147.72205958799998)",
